Majority protein IDs,Protein names,Gene names,Correlation C2 vs C6,M score,R score,Hit with current cut-offs,Endosomal
P31939;P31939-2,Bifunctional purine biosynthesis protein PURH;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase,ATIC,0.768,0.723,0.285,0.000,
Q9H5Q4,"Dimethyladenosine transferase 2, mitochondrial",TFB2M,0.956,0.722,-0.940,0.000,
Q2TAY7;Q2TAY7-2,"WD40 repeat-containing protein SMU1;WD40 repeat-containing protein SMU1, N-terminally processed",SMU1,0.823,0.719,-0.437,0.000,
P68371,Tubulin beta-4B chain,TUBB4B,0.767,0.714,0.158,0.000,
O95297;O95297-2;O95297-4,Myelin protein zero-like protein 1,MPZL1,0.854,0.714,0.658,0.000,
Q709C8;Q709C8-3;Q709C8-4;Q709C8-2,Vacuolar protein sorting-associated protein 13C,VPS13C,0.769,0.708,-0.553,0.000,
Q12874,Splicing factor 3A subunit 3,SF3A3,0.753,0.691,-0.334,0.000,
P54886-2,Delta-1-pyrroline-5-carboxylate synthase;Glutamate 5-kinase;Gamma-glutamyl phosphate reductase,ALDH18A1,0.998,0.681,0.995,0.000,
Q9HAV0,Guanine nucleotide-binding protein subunit beta-4,GNB4,0.882,0.674,-0.062,0.000,
E9PAV3;Q13765;E9PAV3-2,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Nascent polypeptide-associated complex subunit alpha",NACA,0.878,0.664,-0.394,0.000,
Q15125,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",EBP,0.811,0.649,0.657,0.000,
Q9Y6M0;Q9Y6M0-2,Testisin,PRSS21,0.846,0.646,-0.230,0.000,
P28070,Proteasome subunit beta type-4,PSMB4,0.825,0.644,-0.750,0.000,
P60900;P60900-2;P60900-3,Proteasome subunit alpha type-6,PSMA6,0.905,0.639,-0.737,0.000,
Q9Y333,U6 snRNA-associated Sm-like protein LSm2,LSM2,0.842,0.639,-0.052,0.000,
Q9BQ67,Glutamate-rich WD repeat-containing protein 1,GRWD1,0.921,0.638,-0.312,0.000,
O76021,Ribosomal L1 domain-containing protein 1,RSL1D1,0.950,0.638,-0.955,0.000,
P46087;P46087-4,Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase,NOP2,0.861,0.637,-0.711,0.000,
Q06124;Q06124-2;Q06124-3,Tyrosine-protein phosphatase non-receptor type 11,PTPN11,0.786,0.631,-0.640,0.000,
O76003,Glutaredoxin-3,GLRX3,0.839,0.622,-0.714,0.000,
P35241;P35241-4,Radixin,RDX,0.850,0.617,0.310,0.000,
O60884,DnaJ homolog subfamily A member 2,DNAJA2,0.894,0.614,-0.325,0.000,
P32004;P32004-2;P32004-3,Neural cell adhesion molecule L1,L1CAM,0.835,0.608,0.006,0.000,
Q12959;Q12959-2;Q12959-5;Q12959-3;Q12959-6;Q12959-4;Q12959-7;Q12959-8;Q12959-9,Disks large homolog 1,DLG1,0.806,0.607,-0.548,0.000,
P49368;P49368-2,T-complex protein 1 subunit gamma,CCT3,0.883,0.604,0.925,0.000,
P30825,High affinity cationic amino acid transporter 1,SLC7A1,0.810,0.596,0.340,0.000,
O95084;O95084-2,Serine protease 23,PRSS23,0.756,0.593,-0.302,0.000,
O60828;O60828-2;O60828-5;O60828-3;O60828-4;O60828-6,Polyglutamine-binding protein 1,PQBP1,0.762,0.585,0.207,0.000,
Q5VW36,Focadhesin,FOCAD,0.829,0.584,-0.238,0.000,
Q86V48;Q86V48-2;Q86V48-3,Leucine zipper protein 1,LUZP1,0.798,0.574,-0.363,0.000,
Q96CM8;Q96CM8-3;Q96CM8-2;Q96CM8-4,"Acyl-CoA synthetase family member 2, mitochondrial",ACSF2,0.839,0.574,0.003,0.000,
Q96D46,60S ribosomal export protein NMD3,NMD3,0.756,0.572,0.224,0.000,
P55060;P55060-3;P55060-4,Exportin-2,CSE1L,0.817,0.567,-0.331,0.000,
P06756;P06756-3;P06756-2,Integrin alpha-V;Integrin alpha-V heavy chain;Integrin alpha-V light chain,ITGAV,0.780,0.558,-0.219,0.000,
Q14203;Q14203-6;Q14203-4;Q14203-3;Q14203-5;Q14203-2,Dynactin subunit 1,DCTN1,0.784,0.554,-0.113,0.000,
Q96I59;Q96I59-2,"Probable asparagine--tRNA ligase, mitochondrial",NARS2,0.783,0.553,-0.591,0.000,
O00468-6;O00468-3;O00468-7;O00468;O00468-5;O00468-4;O00468-2,Agrin;Agrin N-terminal 110 kDa subunit;Agrin C-terminal 110 kDa subunit;Agrin C-terminal 90 kDa fragment;Agrin C-terminal 22 kDa fragment,AGRN,0.757,0.548,0.093,0.000,
Q9H488,GDP-fucose protein O-fucosyltransferase 1,POFUT1,0.846,0.547,-0.607,0.000,
P11047,Laminin subunit gamma-1,LAMC1,0.960,0.547,0.237,0.000,
P52597,"Heterogeneous nuclear ribonucleoprotein F;Heterogeneous nuclear ribonucleoprotein F, N-terminally processed",HNRNPF,0.825,0.546,0.178,0.000,
Q7L014,Probable ATP-dependent RNA helicase DDX46,DDX46,0.779,0.545,-0.348,0.000,
Q8WXX5,DnaJ homolog subfamily C member 9,DNAJC9,0.846,0.543,-0.044,0.000,
O14653;O14653-2;O14653-3,Golgi SNAP receptor complex member 2,GOSR2,0.757,0.534,0.636,0.000,
Q16775;Q16775-2,"Hydroxyacylglutathione hydrolase, mitochondrial",HAGH,0.803,0.527,-0.899,0.000,
Q15404;Q15404-2,Ras suppressor protein 1,RSU1,0.779,0.527,-0.667,0.000,
P62263,40S ribosomal protein S14,RPS14,0.846,0.526,-0.347,0.000,
P61769,Beta-2-microglobulin;Beta-2-microglobulin form pI 5.3,B2M,0.921,0.518,0.140,0.000,
O43617;O43617-2,Trafficking protein particle complex subunit 3,TRAPPC3,0.793,0.517,-0.375,0.000,
P34932,Heat shock 70 kDa protein 4,HSPA4,0.825,0.514,0.058,0.000,
Q9UNY4;Q9UNY4-2,Transcription termination factor 2,TTF2,0.752,0.511,-0.725,0.000,
P07437,Tubulin beta chain,TUBB,0.766,0.506,0.121,0.000,
Q5VIR6-4;Q5VIR6;Q5VIR6-2;Q5VIR6-3,Vacuolar protein sorting-associated protein 53 homolog,VPS53,0.834,0.500,-0.188,0.000,
O75533,Splicing factor 3B subunit 1,SF3B1,0.807,0.499,-0.109,0.000,
Q9BTU6,Phosphatidylinositol 4-kinase type 2-alpha,PI4K2A,0.885,0.494,0.292,0.000,
Q93050;Q93050-1,V-type proton ATPase 116 kDa subunit a isoform 1,ATP6V0A1,0.870,0.492,0.533,0.000,
P41240,Tyrosine-protein kinase CSK,CSK,0.866,0.487,-0.131,0.000,
Q3MHD2;Q3MHD2-2,Protein LSM12 homolog,LSM12,0.839,0.484,0.675,0.000,
Q92598;Q92598-2;Q92598-3,Heat shock protein 105 kDa,HSPH1,0.774,0.483,-0.469,0.000,
Q96JB5;Q96JB5-4;Q96JB5-2,CDK5 regulatory subunit-associated protein 3,CDK5RAP3,0.884,0.470,-0.129,0.000,
Q99729-3;Q99729-4;Q99729-2;Q99729,Heterogeneous nuclear ribonucleoprotein A/B,HNRNPAB,0.833,0.464,-0.206,0.000,
P22314;P22314-2,Ubiquitin-like modifier-activating enzyme 1,UBA1,0.795,0.463,-0.700,0.000,
O60231,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16,DHX16,0.949,0.457,0.488,0.000,
Q08379;Q08379-2,Golgin subfamily A member 2,GOLGA2,0.906,0.456,0.111,0.000,
P49207,60S ribosomal protein L34,RPL34,0.775,0.456,-0.597,0.000,
O15173;O15173-2,Membrane-associated progesterone receptor component 2,PGRMC2,0.826,0.452,0.318,0.000,
P60903,Protein S100-A10,S100A10,0.908,0.451,-0.086,0.000,
Q13617;Q13617-2,Cullin-2,CUL2,0.839,0.447,-0.408,0.000,
P84103;P84103-2,Serine/arginine-rich splicing factor 3,SRSF3,0.878,0.446,-0.174,0.000,
P62841,40S ribosomal protein S15,RPS15,0.920,0.445,-0.726,0.000,
P50552,Vasodilator-stimulated phosphoprotein,VASP,0.944,0.443,0.313,0.000,
O95721,Synaptosomal-associated protein 29,SNAP29,0.945,0.442,-0.084,0.000,
P30508;P30510;Q29960-2;Q29960;Q07000;P30504;P30505;Q9TNN7;P30501;Q95604,"HLA class I histocompatibility antigen, Cw-12 alpha chain;HLA class I histocompatibility antigen, Cw-14 alpha chain;HLA class I histocompatibility antigen, Cw-16 alpha chain;HLA class I histocompatibility antigen, Cw-15 alpha chain;HLA class I histocompatibility antigen, Cw-4 alpha chain;HLA class I histocompatibility antigen, Cw-8 alpha chain;HLA class I histocompatibility antigen, Cw-5 alpha chain;HLA class I histocompatibility antigen, Cw-2 alpha chain;HLA class I histocompatibility antigen, Cw-17 alpha chain",HLA-C,0.959,0.440,0.360,0.000,
O75306;O75306-2,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",NDUFS2,0.895,0.438,-0.065,0.000,
O75063,Glycosaminoglycan xylosylkinase,FAM20B,0.897,0.432,0.523,0.000,
Q96CT7,Coiled-coil domain-containing protein 124,CCDC124,0.843,0.430,-0.342,0.000,
Q9Y296;Q9Y296-2,Trafficking protein particle complex subunit 4,TRAPPC4,0.883,0.429,-0.496,0.000,
Q16513;Q16513-2;Q16513-3;Q16513-4;Q16513-5,Serine/threonine-protein kinase N2,PKN2,0.963,0.427,0.693,0.000,
Q14192,Four and a half LIM domains protein 2,FHL2,0.921,0.424,-0.485,0.000,
P84077,ADP-ribosylation factor 1,ARF1,0.887,0.422,-0.297,0.000,
P61619;P61619-3,Protein transport protein Sec61 subunit alpha isoform 1,SEC61A1,0.944,0.420,-0.246,0.000,
Q9H583,"HEAT repeat-containing protein 1;HEAT repeat-containing protein 1, N-terminally processed",HEATR1,0.861,0.420,-0.432,0.000,
P49792,E3 SUMO-protein ligase RanBP2,RANBP2,0.893,0.408,0.036,0.000,
Q9UNH7;Q9UNH7-2,"Sorting nexin-6;Sorting nexin-6, N-terminally processed",SNX6,0.870,0.408,-0.081,0.000,
Q99471;Q99471-3,Prefoldin subunit 5,PFDN5,0.921,0.404,0.051,0.000,
P23246;P23246-2,"Splicing factor, proline- and glutamine-rich",SFPQ,0.901,0.398,-0.237,0.000,
P08174;P08174-2;P08174-4;P08174-3;P08174-5;P08174-6;P08174-7,Complement decay-accelerating factor,CD55,0.962,0.397,0.708,0.000,
P35269,General transcription factor IIF subunit 1,GTF2F1,0.795,0.395,-0.748,0.000,
P15311,Ezrin,EZR,0.923,0.389,-0.344,0.000,
P07947,Tyrosine-protein kinase Yes,YES1,0.758,0.388,-0.411,0.000,
P42285,Superkiller viralicidic activity 2-like 2,SKIV2L2,0.928,0.381,0.543,0.000,
P23528,Cofilin-1,CFL1,0.977,0.380,0.634,0.000,
Q6YHK3;Q6YHK3-4;Q6YHK3-2,CD109 antigen,CD109,0.784,0.373,0.800,0.000,
P22061;P22061-2,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,PCMT1,0.922,0.370,-0.784,0.000,
O95571,"Persulfide dioxygenase ETHE1, mitochondrial",ETHE1,0.977,0.369,-0.921,0.000,
Q13362;Q13362-4;Q13362-5;Q13362-3;Q13362-2,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform,PPP2R5C,0.842,0.369,-0.467,0.000,
P42766,60S ribosomal protein L35,RPL35,0.800,0.368,0.501,0.000,
Q8IZH2-2;Q8IZH2,5-3 exoribonuclease 1,XRN1,0.851,0.368,-0.264,0.000,
O15270,Serine palmitoyltransferase 2,SPTLC2,0.844,0.368,-0.571,0.000,
Q9NP81;Q9NP81-2,"Serine--tRNA ligase, mitochondrial",SARS2,0.977,0.367,-0.831,0.000,
P62273;P62273-2,40S ribosomal protein S29,RPS29,0.785,0.363,0.177,0.000,
Q9P287;Q9P287-3;Q9P287-2;Q9P287-4,BRCA2 and CDKN1A-interacting protein,BCCIP,0.819,0.362,-0.020,0.000,
Q07666;Q07666-2;Q07666-3,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",KHDRBS1,0.756,0.359,-0.274,0.000,
P00390;P00390-2;P00390-3;P00390-4;P00390-5,"Glutathione reductase, mitochondrial",GSR,0.950,0.357,-0.521,0.000,
Q9Y4Z0,U6 snRNA-associated Sm-like protein LSm4,LSM4,0.766,0.356,-0.239,0.000,
P61163,Alpha-centractin,ACTR1A,0.811,0.353,-0.455,0.000,
Q8NBU5;Q8NBU5-2,ATPase family AAA domain-containing protein 1,ATAD1,0.872,0.353,-0.581,0.000,
Q96HY7,"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial",DHTKD1,0.801,0.352,-0.962,0.000,
P49189;P49189-2,4-trimethylaminobutyraldehyde dehydrogenase,ALDH9A1,0.913,0.351,-0.631,0.000,
P55209;P55209-2;P55209-3,Nucleosome assembly protein 1-like 1,NAP1L1,0.751,0.350,0.274,0.000,
P53582,Methionine aminopeptidase 1,METAP1,0.864,0.346,-0.664,0.000,
Q9NZ08;Q9NZ08-2,Endoplasmic reticulum aminopeptidase 1,ERAP1,0.950,0.339,-0.668,0.000,
Q9UPN3-2;Q9UPN3-3,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5",MACF1,0.937,0.337,-0.831,0.000,
Q9NX40;Q9NX40-3;Q9NX40-2;Q9NX40-4,OCIA domain-containing protein 1,OCIAD1,0.772,0.333,-0.789,0.000,
O15091;O15091-2;O15091-4,Mitochondrial ribonuclease P protein 3,KIAA0391,0.753,0.330,-0.722,0.000,
P17931,Galectin-3,LGALS3,0.817,0.325,-0.767,0.000,
Q9Y4F1;Q9Y4F1-2,"FERM, RhoGEF and pleckstrin domain-containing protein 1",FARP1,0.941,0.324,0.148,0.000,
Q99584,Protein S100-A13,S100A13,0.936,0.320,-0.441,0.000,
Q15003;Q15003-2,Condensin complex subunit 2,NCAPH,0.754,0.316,-0.254,0.000,
Q8IXB1;Q8IXB1-2,DnaJ homolog subfamily C member 10,DNAJC10,0.820,0.308,-0.414,0.000,
P11169;Q8TDB8;Q8TDB8-4;Q8TDB8-2;Q8TDB8-5,"Solute carrier family 2, facilitated glucose transporter member 3;Solute carrier family 2, facilitated glucose transporter member 14",SLC2A3;SLC2A14,0.928,0.306,0.640,0.000,
Q01968;Q01968-2,Inositol polyphosphate 5-phosphatase OCRL-1,OCRL,0.947,0.302,-0.666,0.000,
O43795,Unconventional myosin-Ib,MYO1B,0.859,0.297,-0.520,0.000,
P29966,Myristoylated alanine-rich C-kinase substrate,MARCKS,0.786,0.293,-0.487,0.000,
P09496-2;P09496;P09496-4;P09496-3;P09496-5,Clathrin light chain A,CLTA,0.786,0.292,-0.312,0.000,
P37198,Nuclear pore glycoprotein p62,NUP62,0.809,0.290,0.102,0.000,
Q9Y2T2,AP-3 complex subunit mu-1,AP3M1,0.811,0.288,0.290,0.000,
Q9NRG9;Q9NRG9-2,Aladin,AAAS,0.880,0.285,-0.402,0.000,
P29992,Guanine nucleotide-binding protein subunit alpha-11,GNA11,0.783,0.280,0.108,0.000,
P46060,Ran GTPase-activating protein 1,RANGAP1,0.971,0.279,0.110,0.000,
P48449;P48449-3;P48449-2,Lanosterol synthase,LSS,0.841,0.278,-0.843,0.000,
Q6UXH1;Q6UXH1-5;Q6UXH1-4;Q6UXH1-6;Q6UXH1-3;Q6UXH1-2,Cysteine-rich with EGF-like domain protein 2,CRELD2,0.900,0.278,-0.014,0.000,
Q9BRK5;Q9BRK5-6;Q9BRK5-2;Q9BRK5-4;Q9BRK5-3,45 kDa calcium-binding protein,SDF4,0.884,0.276,-0.716,0.000,
O00330;O00330-3;O00330-2,"Pyruvate dehydrogenase protein X component, mitochondrial",PDHX,0.883,0.276,-0.773,0.000,
Q96JJ7,Protein disulfide-isomerase TMX3,TMX3,0.863,0.271,0.222,0.000,
O00560;O00560-2;O00560-3,Syntenin-1,SDCBP,0.870,0.270,0.126,0.000,
P55327-2;P55327-4;P55327;P55327-7;P55327-5;P55327-6;P55327-3,Tumor protein D52,TPD52,0.855,0.270,-0.599,0.000,
P51553;P51553-2,"Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial",IDH3G,0.957,0.264,-0.962,0.000,
Q00610;Q00610-2,Clathrin heavy chain 1,CLTC,0.858,0.264,0.109,0.000,
Q7L2E3-2,Putative ATP-dependent RNA helicase DHX30,DHX30,0.856,0.257,-0.670,0.000,
Q7Z7H8;Q7Z7H8-2,"39S ribosomal protein L10, mitochondrial",MRPL10,0.869,0.255,-0.851,0.000,
Q86Y07;Q86Y07-3;Q86Y07-5;Q86Y07-2;Q86Y07-4,Serine/threonine-protein kinase VRK2,VRK2,0.890,0.255,-0.749,0.000,
P06865,Beta-hexosaminidase subunit alpha,HEXA,0.839,0.255,-0.077,0.000,
Q9P258,Protein RCC2,RCC2,0.947,0.253,-0.484,0.000,
O75694;O75694-2,Nuclear pore complex protein Nup155,NUP155,0.934,0.251,-0.934,0.000,
Q13217,DnaJ homolog subfamily C member 3,DNAJC3,0.859,0.246,-0.089,0.000,
Q9BZF1;Q9BZF1-3;Q9BZF1-2,Oxysterol-binding protein-related protein 8,OSBPL8,0.784,0.242,-0.552,0.000,
Q8IY17;Q8IY17-2;Q8IY17-3;Q8IY17-4;Q8IY17-5,Neuropathy target esterase,PNPLA6,0.837,0.238,0.035,0.000,
Q9BUJ2;Q9BUJ2-2;Q9BUJ2-4;Q9BUJ2-3,Heterogeneous nuclear ribonucleoprotein U-like protein 1,HNRNPUL1,0.837,0.232,-0.501,0.000,
Q9UBQ7,Glyoxylate reductase/hydroxypyruvate reductase,GRHPR,0.879,0.231,-0.540,0.000,
O43237;O43237-2,Cytoplasmic dynein 1 light intermediate chain 2,DYNC1LI2,0.750,0.226,0.042,0.000,
P42166;P42167-3,"Lamina-associated polypeptide 2, isoform alpha;Thymopoietin;Thymopentin;Lamina-associated polypeptide 2, isoforms beta/gamma;Thymopoietin;Thymopentin",TMPO,0.902,0.225,-0.740,0.000,
Q15459;Q15459-2,Splicing factor 3A subunit 1,SF3A1,0.825,0.225,-0.810,0.000,
O15511;O15511-2,Actin-related protein 2/3 complex subunit 5,ARPC5,0.864,0.223,-0.480,0.000,
Q9Y3A6;Q9Y3A6-2,Transmembrane emp24 domain-containing protein 5,TMED5,0.874,0.220,-0.212,0.000,
O14561,"Acyl carrier protein, mitochondrial",NDUFAB1,1.000,0.218,0.735,0.000,
P26885,Peptidyl-prolyl cis-trans isomerase FKBP2,FKBP2,0.947,0.217,-0.069,0.000,
Q9UBB4;Q9UBB4-2,Ataxin-10,ATXN10,0.817,0.216,-0.443,0.000,
O00443,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,PIK3C2A,0.986,0.212,-0.717,0.000,
P52789,Hexokinase-2,HK2,0.981,0.211,-0.975,0.000,
O14745;O14745-2,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,SLC9A3R1,0.910,0.203,-0.020,0.000,
Q96TC7;Q96TC7-2,Regulator of microtubule dynamics protein 3,RMDN3,0.873,0.203,0.129,0.000,
Q9BVK6,Transmembrane emp24 domain-containing protein 9,TMED9,0.784,0.203,-0.563,0.000,
Q13501;Q13501-2,Sequestosome-1,SQSTM1,0.835,0.202,0.304,0.000,
P27105,Erythrocyte band 7 integral membrane protein,STOM,0.855,0.197,0.232,0.000,
Q9BT09,Protein canopy homolog 3,CNPY3,0.868,0.194,0.640,0.000,
Q9HAS0,Protein Njmu-R1,C17orf75,0.768,0.193,-0.478,0.000,
Q9UN86,Ras GTPase-activating protein-binding protein 2,G3BP2,0.813,0.192,-0.274,0.000,
P40429,60S ribosomal protein L13a,RPL13A,0.774,0.191,-0.154,0.000,
O00203;O00203-3,AP-3 complex subunit beta-1,AP3B1,0.806,0.191,-0.328,0.000,
P62993;P62993-2,Growth factor receptor-bound protein 2,GRB2,0.763,0.191,0.106,0.000,
O75976;O75976-2,Carboxypeptidase D,CPD,0.930,0.185,-0.770,0.000,
Q5TC12;Q5TC12-2,ATP synthase mitochondrial F1 complex assembly factor 1,ATPAF1,0.784,0.184,-0.868,0.000,
P50416;P50416-2,"Carnitine O-palmitoyltransferase 1, liver isoform",CPT1A,0.990,0.184,-0.863,0.000,
Q15691,Microtubule-associated protein RP/EB family member 1,MAPRE1,0.813,0.182,-0.091,0.000,
Q86WA8;Q86WA8-2,"Lon protease homolog 2, peroxisomal",LONP2,0.825,0.181,-0.285,0.000,
Q9HCU5,Prolactin regulatory element-binding protein,PREB,0.975,0.180,-0.423,0.000,
Q9P289;Q9P289-2;Q9P289-3,Serine/threonine-protein kinase 26,STK26,0.827,0.180,-0.738,0.000,
Q6UB35,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",MTHFD1L,0.882,0.179,-0.918,0.000,
Q9BX68,"Histidine triad nucleotide-binding protein 2, mitochondrial",HINT2,0.843,0.179,-0.741,0.000,
P14854,Cytochrome c oxidase subunit 6B1,COX6B1,0.779,0.176,0.190,0.000,
Q14562,ATP-dependent RNA helicase DHX8,DHX8,0.787,0.176,0.250,0.000,
O00139;O00139-4;O00139-2;O00139-1;O00139-5,Kinesin-like protein KIF2A,KIF2A,0.764,0.174,-0.266,0.000,
O75436;O75436-2,Vacuolar protein sorting-associated protein 26A,VPS26A,0.902,0.173,0.543,0.000,
P47756-2;P47756,F-actin-capping protein subunit beta,CAPZB,0.853,0.172,-0.079,0.000,
Q9H845,"Acyl-CoA dehydrogenase family member 9, mitochondrial",ACAD9,0.981,0.170,-0.416,0.000,
P09001,"39S ribosomal protein L3, mitochondrial",MRPL3,0.785,0.165,-0.978,0.000,
P62333,26S protease regulatory subunit 10B,PSMC6,0.896,0.159,-0.387,0.000,
Q13492;Q13492-2;Q13492-5;Q13492-3;Q13492-4,Phosphatidylinositol-binding clathrin assembly protein,PICALM,0.937,0.159,0.356,0.000,
Q63HN8;Q63HN8-4,E3 ubiquitin-protein ligase RNF213,RNF213,0.887,0.158,-0.696,0.000,
Q8IYB8,"ATP-dependent RNA helicase SUPV3L1, mitochondrial",SUPV3L1,0.992,0.158,-0.931,0.000,
P22059,Oxysterol-binding protein 1,OSBP,0.813,0.154,-0.618,0.000,
Q16630-2;Q16630;Q16630-3,Cleavage and polyadenylation specificity factor subunit 6,CPSF6,0.768,0.151,-0.615,0.000,
P08581;P08581-2,Hepatocyte growth factor receptor,MET,0.910,0.150,-0.324,0.000,
Q9NYY8;Q9NYY8-2,FAST kinase domain-containing protein 2,FASTKD2,0.902,0.147,-0.378,0.000,
O60313-2;O60313,"Dynamin-like 120 kDa protein, mitochondrial;Dynamin-like 120 kDa protein, form S1",OPA1,0.929,0.146,0.055,0.000,
P49419-2;P49419;P49419-4,Alpha-aminoadipic semialdehyde dehydrogenase,ALDH7A1,0.977,0.145,-0.879,0.000,
P48444;P48444-2,Coatomer subunit delta,ARCN1,0.965,0.145,0.145,0.000,
P18206;P18206-2,Vinculin,VCL,0.872,0.144,0.468,0.000,
P43121;P43121-2,Cell surface glycoprotein MUC18,MCAM,0.841,0.143,0.401,0.000,
Q15427,Splicing factor 3B subunit 4,SF3B4,0.810,0.143,-0.496,0.000,
P61353,60S ribosomal protein L27,RPL27,0.824,0.143,0.311,0.000,
P09543;P09543-2,"2,3-cyclic-nucleotide 3-phosphodiesterase",CNP,0.857,0.141,-0.767,0.000,
Q07955;Q07955-3;Q07955-2,Serine/arginine-rich splicing factor 1,SRSF1,0.940,0.141,-0.558,0.000,
Q96AG4,Leucine-rich repeat-containing protein 59,LRRC59,0.971,0.141,-0.416,0.000,
Q14008;Q14008-2;Q14008-3,Cytoskeleton-associated protein 5,CKAP5,0.838,0.140,-0.025,0.000,
O14950;P19105;P24844,Myosin regulatory light chain 12B;Myosin regulatory light chain 12A;Myosin regulatory light polypeptide 9,MYL12B;MYL12A;MYL9,0.928,0.140,-0.684,0.000,
Q9UPQ0;Q9UPQ0-10;Q9UPQ0-2;Q9UPQ0-4,LIM and calponin homology domains-containing protein 1,LIMCH1,0.880,0.138,-0.416,0.000,
Q13148,TAR DNA-binding protein 43,TARDBP,0.950,0.136,-0.516,0.000,
Q9BZE1,"39S ribosomal protein L37, mitochondrial",MRPL37,0.885,0.136,-0.831,0.000,
Q9HCC0;Q9HCC0-2,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",MCCC2,0.992,0.135,-0.370,0.000,
Q9UKS6,Protein kinase C and casein kinase substrate in neurons protein 3,PACSIN3,0.864,0.135,-0.573,0.000,
A0FGR8-6;A0FGR8,Extended synaptotagmin-2,ESYT2,0.910,0.135,-0.567,0.000,
O14617;O14617-5;O14617-4;O14617-2;O14617-3,AP-3 complex subunit delta-1,AP3D1,0.820,0.134,-0.219,0.000,
Q9ULX3,RNA-binding protein NOB1,NOB1,0.792,0.133,-0.248,0.000,
Q13162,Peroxiredoxin-4,PRDX4,0.924,0.131,-0.246,0.000,
Q9UKD2,mRNA turnover protein 4 homolog,MRTO4,0.851,0.131,-0.095,0.000,
Q9UQB8-5;Q9UQB8;Q9UQB8-4;Q9UQB8-3;Q9UQB8-2;Q9UQB8-6,Brain-specific angiogenesis inhibitor 1-associated protein 2,BAIAP2,0.799,0.130,-0.141,0.000,
Q9Y6W5;Q9Y6W5-2,Wiskott-Aldrich syndrome protein family member 2,WASF2,0.963,0.125,-0.407,0.000,
P98179,RNA-binding protein 3,RBM3,0.887,0.124,-0.608,0.000,
Q8WVC6;Q8WVC6-2,Dephospho-CoA kinase domain-containing protein,DCAKD,0.880,0.124,0.722,0.000,
Q9Y6K5,2-5-oligoadenylate synthase 3,OAS3,0.877,0.123,-0.294,0.000,
P49841;P49841-2,Glycogen synthase kinase-3 beta,GSK3B,0.831,0.123,-0.507,0.000,
O75489,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",NDUFS3,0.956,0.123,-0.944,0.000,
P30040,Endoplasmic reticulum resident protein 29,ERP29,0.939,0.121,0.458,0.000,
O94979;O94979-9;O94979-3;O94979-2;O94979-8;O94979-4;O94979-6;O94979-10;O94979-5,Protein transport protein Sec31A,SEC31A,0.915,0.119,-0.075,0.000,
O95747,Serine/threonine-protein kinase OSR1,OXSR1,0.820,0.118,0.098,0.000,
P13667,Protein disulfide-isomerase A4,PDIA4,0.827,0.117,0.918,0.000,
Q8WWI1-3;Q8WWI1;Q8WWI1-2;Q8WWI1-4;Q8WWI1-5,LIM domain only protein 7,LMO7,0.954,0.116,0.690,0.000,
Q96RP9,"Elongation factor G, mitochondrial",GFM1,0.997,0.116,-0.981,0.000,
Q9BXW7;Q9BXW7-2,Cat eye syndrome critical region protein 5,CECR5,0.821,0.116,-0.297,0.000,
Q00688,Peptidyl-prolyl cis-trans isomerase FKBP3,FKBP3,0.943,0.114,-0.730,0.000,
P18031,Tyrosine-protein phosphatase non-receptor type 1,PTPN1,0.862,0.113,-0.924,0.000,
O75822;O75822-3;O75822-2,Eukaryotic translation initiation factor 3 subunit J,EIF3J,0.850,0.113,-0.414,0.000,
P51571,Translocon-associated protein subunit delta,SSR4,0.947,0.113,-0.154,0.000,
Q16822;Q16822-2,"Phosphoenolpyruvate carboxykinase [GTP], mitochondrial",PCK2,0.992,0.113,-0.983,0.000,
Q8IWR0,Zinc finger CCCH domain-containing protein 7A,ZC3H7A,0.798,0.113,-0.667,0.000,
Q00577,Transcriptional activator protein Pur-alpha,PURA,0.856,0.112,-0.910,0.000,
P51398;P51398-2;P51398-3,"28S ribosomal protein S29, mitochondrial",DAP3,0.989,0.111,-0.899,0.000,
P06493;P06493-2,Cyclin-dependent kinase 1,CDK1,0.917,0.111,-0.559,0.000,
P23588;P23588-2,Eukaryotic translation initiation factor 4B,EIF4B,0.919,0.109,-0.821,0.000,
Q00059;Q00059-2,"Transcription factor A, mitochondrial",TFAM,0.920,0.109,-0.162,0.000,
