Protein IDs,Majority protein IDs,Protein names,Gene names,Fasta headers,Marker,Min across,log H/L Con01_04K,log H/L Con01_10K,log H/L Con01_20K,log H/L Con01_40K,log H/L Con01_80K,log H/L Con02_04K,log H/L Con02_10K,log H/L Con02_20K,log H/L Con02_40K,log H/L Con02_80K,log H/L Pra01_04K,log H/L Pra01_10K,log H/L Pra01_20K,log H/L Pra01_40K,log H/L Pra01_80K,log H/L Pra02_04K,log H/L Pra02_10K,log H/L Pra02_20K,log H/L Pra02_40K,log H/L Pra02_80K,log H/L Tam01_04K,log H/L Tam01_10K,log H/L Tam01_20K,log H/L Tam01_40K,log H/L Tam01_80K,log H/L Tam02_04K,log H/L Tam02_10K,log H/L Tam02_20K,log H/L Tam02_40K,log H/L Tam02_80K
Q9DBG7,Q9DBG7,Signal recognition particle receptor subunit alpha,Srpr,sp|Q9DBG7|SRPRA_MOUSE Signal recognition particle receptor subunit alpha OS=Mus musculus OX=10090 GN=Srpra PE=1 SV=1,ER,6,0.349472397,-0.548750858,-1.084309842,-0.170725671,1.489988131,0.438210042,-0.470845539,-1.02608861,-0.09306828,1.582657095,0.182360896,-0.617857965,-1.157139757,-0.312813252,1.258001358,0.834045126,0.11285369,-0.477669561,0.355796651,2.071059063,0.028684917,-0.795878812,-1.065965612,-0.213071908,1.125626828,0.268682152,-0.895688526,-1.057910508,0.242130381,2.009767458
Q9DC23,Q9DC23,DnaJ homolog subfamily C member 10,Dnajc10,sp|Q9DC23|DJC10_MOUSE DnaJ homolog subfamily C member 10 OS=Mus musculus OX=10090 GN=Dnajc10 PE=1 SV=2,ER,5,0.435167795,-0.506430448,-0.978865711,-0.189820898,0.940020571,0.419159562,-0.518267906,-1.107474779,-0.221772904,0.687615678,0.2602346,-0.543209299,-1.007347439,-0.158932851,0.815942363,0.73723403,-0.057859301,-0.544607186,0.029136275,0.914566682,-0.033336114,-0.799110116,-1.047620149,-0.117965581,0.9714462,0.092754984,-1.017777259,-1.128342505,0.138315447,1.307974688
Q9EP69,Q9EP69,Phosphatidylinositide phosphatase SAC1,Sacm1l,sp|Q9EP69|SAC1_MOUSE Phosphatidylinositide phosphatase SAC1 OS=Mus musculus OX=10090 GN=Sacm1l PE=1 SV=1,ER,11,0.46525986,-0.300821102,-1.00986661,-0.4490302,0.70787188,0.438756911,-0.419719747,-1.046183827,-0.286020786,0.878987527,0.303629436,-0.402713647,-0.994688907,-0.532764603,0.530154065,0.851741727,0.148591577,-0.554540886,0.081222347,1.713748274,0.082324846,-0.71851884,-1.089984298,-0.313337954,0.893015908,0.171966861,-0.899521919,-1.09206384,0.015631642,1.742598781
Q9EPE9,Q9EPE9,Manganese-transporting ATPase 13A1,Atp13a1,sp|Q9EPE9|AT131_MOUSE Manganese-transporting ATPase 13A1 OS=Mus musculus OX=10090 GN=Atp13a1 PE=1 SV=2,ER,16,0.479971393,-0.302670056,-1.034220141,-0.246594701,1.409326611,0.502502084,-0.399887719,-1.077970489,-0.130119995,1.425439158,0.290165036,-0.446495942,-1.001640701,-0.260616044,1.16993947,0.821321532,0.131426572,-0.473837699,0.304953391,1.999302259,0.203059965,-0.691195266,-1.023301932,-0.160371469,1.244860609,0.204877441,-0.852586787,-1.116096907,0.120451575,2.107918531
Q9ESP1,Q9ESP1,Stromal cell-derived factor 2-like protein 1,Sdf2l1,sp|Q9ESP1|SDF2L_MOUSE Stromal cell-derived factor 2-like protein 1 OS=Mus musculus OX=10090 GN=Sdf2l1 PE=1 SV=2,ER,6,0.357405759,-0.54279826,-0.99243547,-0.168635101,1.759788827,0.152551407,-0.78687448,-1.391779248,-0.331680875,1.429445558,0.27707208,-0.542924683,-1.049739532,-0.080244476,1.566395865,0.516009515,-0.28560708,-0.858639959,-0.020700183,1.763940393,0.180822609,-0.795960185,-1.025194499,0.120539395,1.824739955,0.077879418,-1.228770344,-1.38634918,0.162676559,2.209421452
Q9JHP7;Q9JHP7-2;Q9JHP7-3,Q9JHP7;Q9JHP7-2;Q9JHP7-3,KDEL motif-containing protein 1,Kdelc1,sp|Q9JHP7|PLGT2_MOUSE Protein O-glucosyltransferase 2 OS=Mus musculus OX=10090 GN=Poglut2 PE=1 SV=1;sp|Q9JHP7-2|PLGT2_MOUSE Isoform 2 of Protein O-glucosyltransferase 2 OS=Mus musculus OX=10090 GN=Poglut2;sp|Q9JHP7-3|PLGT2_MOUSE Isoform 3 of Protein O-gluc,ER,2,0.378423771,-0.407672829,-0.690773071,-0.244742908,0.577688595,0.326456545,-0.640200219,-1.306867472,-0.410061106,0.453552488,0.420099592,-0.486394059,-1.050085959,-0.24667831,0.68801558,0.594453691,-0.073757427,-0.907061666,-0.273693178,0.6820339,0.308048358,-0.679863399,-0.914941324,0.176419818,1.30040359,0.159577987,-1.263671963,-1.359479983,0.108583065,0.639646424
Q9JKR6,Q9JKR6,Hypoxia up-regulated protein 1,Hyou1,sp|Q9JKR6|HYOU1_MOUSE Hypoxia up-regulated protein 1 OS=Mus musculus OX=10090 GN=Hyou1 PE=1 SV=1,ER,29,0.417426688,-0.513730839,-0.948895866,-0.030893805,1.76683883,0.13794273,-0.905443287,-1.434168701,-0.336683159,1.46335547,0.220269326,-0.687980032,-1.103734422,-0.050302939,1.701290898,0.39464897,-0.434555022,-0.948074263,0.044426484,1.628591907,0.189036233,-0.848300022,-1.047314174,0.205296783,2.008800448,0.083257391,-1.307955805,-1.474135366,0.131401172,1.947974217
Q9QY76,Q9QY76,Vesicle-associated membrane protein-associated protein B,Vapb,sp|Q9QY76|VAPB_MOUSE Vesicle-associated membrane protein-associated protein B OS=Mus musculus OX=10090 GN=Vapb PE=1 SV=3,ER,8,0.360744817,-0.490342964,-1.00986661,-0.412920146,0.748412108,0.469055378,-0.269895486,-0.906892715,-0.221597932,1.125667528,0.158111546,-0.512210161,-1.03749496,-0.444825271,0.501281897,0.968759555,0.166712872,-0.43264506,0.195023348,1.774955338,-0.059282781,-0.879116591,-1.180985396,-0.344500583,0.898379348,0.2947023,-0.89017251,-1.073204813,0.013356858,1.47690844
Q9QYF1,Q9QYF1,Retinol dehydrogenase 11,Rdh11,sp|Q9QYF1|RDH11_MOUSE Retinol dehydrogenase 11 OS=Mus musculus OX=10090 GN=Rdh11 PE=1 SV=2,ER,6,0.447677853,-0.312637679,-0.978162437,-0.460933727,0.464421559,0.35153326,-0.385329849,-1.089324693,-0.421582265,0.809311346,0.320551028,-0.342589581,-1.017338068,-0.552605357,0.382842407,0.836788651,0.120444386,-0.582957403,-0.133534307,1.611153542,0.197921774,-0.784935434,-1.103144406,-0.305638464,0.926181206,0.106916406,-0.930502387,-1.208877505,-0.119920248,1.450191895
Q9R0E1,Q9R0E1,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",Plod3,sp|Q9R0E1|PLOD3_MOUSE Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 OS=Mus musculus OX=10090 GN=Plod3 PE=1 SV=1,ER,6,0.268709687,-0.743558309,-0.523269763,0.662628765,1.790500695,0.220023175,-0.798222242,-0.823431347,0.499691776,1.519425913,0.097900764,-0.867950996,-0.731765644,0.551293616,1.814721355,0.61460252,-0.210310004,-0.237035895,0.935662973,1.439605457,0.015025363,-0.908932779,-0.677560214,0.586948718,1.353987336,0.181775228,-1.10683666,-0.906025125,0.727708179,1.384141191
Q9R233;Q9R233-2,Q9R233;Q9R233-2,Tapasin,Tapbp,sp|Q9R233|TPSN_MOUSE Tapasin OS=Mus musculus OX=10090 GN=Tapbp PE=1 SV=2;sp|Q9R233-2|TPSN_MOUSE Isoform Short of Tapasin OS=Mus musculus OX=10090 GN=Tapbp,ER,18,0.48191483,-0.382413986,-1.041291202,-0.439869931,0.883826283,0.532324159,-0.417462169,-1.033947332,-0.302910149,1.142690518,0.275676438,-0.47273074,-1.129530886,-0.4557622,0.784762697,0.884958308,0.160267079,-0.540620499,0.177591186,1.8054769,0.14090724,-0.798756764,-1.203942954,-0.343177592,1.011404763,0.221105936,-0.911665571,-1.175706928,0.061288716,2.017487427
Q9WV55,Q9WV55,Vesicle-associated membrane protein-associated protein A,Vapa,sp|Q9WV55|VAPA_MOUSE Vesicle-associated membrane protein-associated protein A OS=Mus musculus OX=10090 GN=Vapa PE=1 SV=2,ER,19,0.244211067,-0.506761484,-1.054092288,-0.448433331,0.559884188,0.363679664,-0.402749338,-1.063795929,-0.365261575,0.900982954,0.185867872,-0.56279229,-1.070006208,-0.533405557,0.321954138,0.912653619,0.127334567,-0.580189961,0.099566189,1.686591954,-0.054711862,-0.887936211,-1.235613923,-0.408893257,0.865825275,0.172668608,-1.098994281,-1.172899817,-0.060611133,1.843469992
Q9Z2G6-2,Q9Z2G6-2,Protein sel-1 homolog 1,Sel1l,sp|Q9Z2G6-2|SE1L1_MOUSE Isoform 2 of Protein sel-1 homolog 1 OS=Mus musculus OX=10090 GN=Sel1l,ER,5,0.470214742,-0.388272731,-1.088098732,-0.345782321,1.276170327,0.480892614,-0.380257999,-1.102187705,-0.178828277,1.309482169,0.242586114,-0.450093964,-1.057449854,-0.400091887,0.888921808,0.694547062,-0.066088739,-0.664821672,0.1784004,1.984365549,0.201627891,-0.775196974,-1.075293414,-0.295342167,0.992496468,0.204001319,-1.038061919,-1.285742367,-0.173560027,2.041636297
E9Q4P1,E9Q4P1,,Wdfy1,sp|E9Q4P1|WDFY1_MOUSE WD repeat and FYVE domain-containing protein 1 OS=Mus musculus OX=10090 GN=Wdfy1 PE=1 SV=1,Endosome,4,1.087714742,-0.296128591,-1.191699569,-0.912951567,-0.436900346,1.11246176,-0.164144457,-1.214232634,-1.064177323,-0.506779989,0.789810701,-0.576077758,-1.167438212,-0.844441893,-0.300744758,0.918847967,-0.011393533,-0.524437172,-0.517208655,0.418318168,0.709127285,-0.754385704,-1.596662359,-1.676629889,-1.261208685,0.555723557,-0.825876369,-1.754027329,-1.861500848,-0.839008417
O35609,O35609,Secretory carrier-associated membrane protein 3,Scamp3,sp|O35609|SCAM3_MOUSE Secretory carrier-associated membrane protein 3 OS=Mus musculus OX=10090 GN=Scamp3 PE=1 SV=3,Endosome,6,0.893293425,-0.294520176,-1.061447875,-1.299472581,-0.86597999,0.996676022,-0.275625463,-1.091743596,-1.242116468,-1.090910591,0.873975106,-0.352718449,-0.987272803,-1.161124591,-0.9202098,0.779890324,0.06741606,-0.84114122,-1.247500356,-0.315967466,0.730470056,-0.111700127,-1.3422993,-1.413551051,-1.193255628,0.56303067,-0.531648002,-1.455486462,-1.699658693,-0.886657057
O54774,O54774,AP-3 complex subunit delta-1,Ap3d1,sp|O54774|AP3D1_MOUSE AP-3 complex subunit delta-1 OS=Mus musculus OX=10090 GN=Ap3d1 PE=1 SV=1,Endosome,9,-0.049756541,-0.033085245,0.172961511,-0.321436196,-1.183791682,0.039849608,0.067948383,0.286626266,-0.111178035,-0.881629861,0.044931851,0.095524651,0.141419654,-0.181898533,-0.936790547,-0.424856514,0.002308313,0.244428094,-0.166804325,-0.439101797,-0.117392791,0.032486398,0.266786815,-0.029317401,-0.537693928,-0.351689372,-0.29601577,0.112266232,0.156752536,-0.538298748
O70404,O70404,Vesicle-associated membrane protein 8,Vamp8,sp|O70404|VAMP8_MOUSE Vesicle-associated membrane protein 8 OS=Mus musculus OX=10090 GN=Vamp8 PE=1 SV=1,Endosome,7,0.632793095,-0.636289594,-0.863134193,-0.719953637,-0.028020444,0.723623481,-0.52186434,-0.91716491,-0.70206826,0.098027808,0.386227455,-0.655053974,-0.701573779,-0.330587548,0.126344521,0.617899168,-0.307168295,-0.620249877,-0.472064999,0.602412107,0.100752624,-0.349988421,-0.699852981,-0.536499133,-0.112229258,0.444399189,-0.697265802,-1.022305976,-0.908136516,0.29528094
O70439,O70439,Syntaxin-7,Stx7,sp|O70439|STX7_MOUSE Syntaxin-7 OS=Mus musculus OX=10090 GN=Stx7 PE=1 SV=3,Endosome,5,0.886514048,-0.444575715,-0.876996488,-0.876107386,-0.426603289,0.916964023,-0.343447916,-0.980282763,-0.923678849,-0.33162386,0.558931436,-0.501201405,-0.809573661,-0.638923003,-0.203239051,0.916507287,-0.06651203,-0.573734815,-0.655671135,0.321346668,0.294677595,-0.302588288,-0.69433296,-0.725916453,-0.356627988,0.589883828,-0.690333785,-1.040826955,-0.920991665,0.092718213
O70492,O70492,Sorting nexin-3,Snx3,sp|O70492|SNX3_MOUSE Sorting nexin-3 OS=Mus musculus OX=10090 GN=Snx3 PE=1 SV=3,Endosome,3,0.356625532,-0.532355698,-0.962533073,-0.323193747,0.35066917,0.093346539,-0.532189542,-0.998017799,-0.394812071,0.117053112,-0.043635935,-0.78960766,-0.8501704,-0.552094981,-0.032661219,-0.065665834,-0.348687434,-0.321128494,-0.040634138,0.608372718,0.049797252,-0.238095244,-0.413663534,-0.264962122,-0.083614013,-0.217560524,-0.406061208,-0.670532579,-0.462373443,0.094046356
O88384,O88384,Vesicle transport through interaction with t-SNAREs homolog 1B,Vti1b,sp|O88384|VTI1B_MOUSE Vesicle transport through interaction with t-SNAREs homolog 1B OS=Mus musculus OX=10090 GN=Vti1b PE=1 SV=1,Endosome,5,0.525509574,-0.59791612,-0.865603338,-0.309967199,0.158775114,0.600579225,-0.598348895,-0.767209032,-0.466742111,0.166211096,0.114501698,-0.655900091,-0.520115034,-0.100895665,0.351342146,0.848149553,-0.184582091,-0.38997649,-0.150742325,0.850758713,-0.074947595,-0.427711084,-0.669498654,-0.45296217,0.130426646,0.455729958,-0.685996349,-0.922567439,-0.708823256,0.277368655
P15920;P15920-2,P15920,V-type proton ATPase 116 kDa subunit a isoform 2,Atp6v0a2,sp|P15920|VPP2_MOUSE V-type proton ATPase 116 kDa subunit a isoform 2 OS=Mus musculus OX=10090 GN=Atp6v0a2 PE=1 SV=2,Endosome,4,0.738734687,-0.369525101,-1.051759716,-0.995275344,-0.422449653,0.741819072,-0.418282698,-1.04758491,-0.873180377,-0.337191581,0.391483517,-0.532503801,-0.898727441,-0.501141818,0.095719558,0.626721764,-0.150592019,-0.530327744,-0.445018392,0.501563101,0.635467043,-0.393570727,-1.164442241,-1.178047582,-0.828077791,0.264486235,-0.708168941,-1.276707566,-1.230953158,-0.103775891
P24668,P24668,Cation-dependent mannose-6-phosphate receptor,M6pr,sp|P24668|MPRD_MOUSE Cation-dependent mannose-6-phosphate receptor OS=Mus musculus OX=10090 GN=M6pr PE=1 SV=1,Endosome,13,1.154969373,-0.097425566,-1.087150576,-1.374226035,-1.090815571,1.142381175,-0.107114698,-1.15485599,-1.422520458,-1.111617083,0.948690303,-0.225428732,-1.057484678,-1.143613295,-0.928042697,0.919349048,0.162848853,-0.938331332,-1.20579611,-0.363488842,1.001372427,-0.111244424,-1.299350444,-1.516737113,-1.346117097,0.751812727,-0.445547434,-1.507905069,-1.681325514,-0.927037711
P40336;P40336-2,P40336;P40336-2,Vacuolar protein sorting-associated protein 26A,Vps26a,sp|P40336|VP26A_MOUSE Vacuolar protein sorting-associated protein 26A OS=Mus musculus OX=10090 GN=Vps26a PE=1 SV=1;sp|P40336-2|VP26A_MOUSE Isoform 2 of Vacuolar protein sorting-associated protein 26A OS=Mus musculus OX=10090 GN=Vps26a,Endosome,2,0.082129024,-0.372670548,-0.674703016,-0.241046436,0.139518429,0.067553402,-0.500250071,-0.940922546,-0.632132344,-0.070447894,0.01322039,-0.7947379,-0.874290651,-0.476984954,-0.007703444,-0.280820984,-0.466837694,-0.385548704,0.074065426,0.765992883,0.285919672,-0.350466392,-0.771147755,-0.669648611,-0.390588971,-0.096933748,-0.688088656,-0.929227076,-0.890172872,-0.118442089
P46638;Q9WTL2,P46638,Ras-related protein Rab-11B,Rab11b,sp|P46638|RB11B_MOUSE Ras-related protein Rab-11B OS=Mus musculus OX=10090 GN=Rab11b PE=1 SV=3,Endosome,9,0.224063741,-0.316150839,-0.418569307,-0.153720413,0.51691301,0.208524482,-0.302495097,-0.465054181,0.003330592,0.769326163,0.218506337,-0.227733311,-0.369007244,0.07691555,0.72692996,0.066144107,-0.395039842,-0.428557397,-0.028989416,1.224616293,0.008488077,-0.41567818,-0.438239137,0.166199844,0.823439253,-0.095009639,-0.743141513,-0.6381211,-0.096972346,1.205100203
P50516;P50516-2,P50516;P50516-2,V-type proton ATPase catalytic subunit A,Atp6v1a,sp|P50516|VATA_MOUSE V-type proton ATPase catalytic subunit A OS=Mus musculus OX=10090 GN=Atp6v1a PE=1 SV=2;sp|P50516-2|VATA_MOUSE Isoform 2 of V-type proton ATPase catalytic subunit A OS=Mus musculus OX=10090 GN=Atp6v1a,Endosome,11,0.018299017,-0.822278944,0.084206013,1.132053751,1.693463534,0.144662328,-0.817335812,0.043287605,0.690596553,1.520283676,-0.458997028,-0.874949396,-0.270455845,0.474813649,1.513648322,0.099115549,-0.596057729,0.009529344,0.68666317,1.555718871,-0.732578416,-0.684500964,0.02151546,0.553103831,1.249979707,-0.247428107,-1.380660634,-0.627731862,0.010750099,1.313591258
P50518;Q9D593,P50518,V-type proton ATPase subunit E 1,Atp6v1e1,sp|P50518|VATE1_MOUSE V-type proton ATPase subunit E 1 OS=Mus musculus OX=10090 GN=Atp6v1e1 PE=1 SV=2,Endosome,4,0.100753347,-0.78968924,0.138374452,0.907843009,1.035510681,0.165957106,-0.493412869,0.171113143,0.727917623,0.932623631,-0.443710007,-0.922380498,-0.334544901,0.283241436,1.015864269,0.162795824,-0.48656792,0.225319271,0.886494789,1.001975101,-0.757083526,-0.6049571,0.008497567,0.536094597,1.128964978,-0.158716919,-1.284852127,-0.418216521,0.008741689,0.901164199
P51863,P51863,V-type proton ATPase subunit d 1,Atp6v0d1,sp|P51863|VA0D1_MOUSE V-type proton ATPase subunit d 1 OS=Mus musculus OX=10090 GN=Atp6v0d1 PE=1 SV=2,Endosome,5,0.546871558,-0.624476909,-0.472320032,0.076007722,0.815071263,0.591853121,-0.559562105,-0.436598832,0.109971312,0.9114826,0.125611372,-0.613044863,-0.310047,0.149723279,1.053806193,0.769181763,-0.2221518,0.021530833,0.313818661,0.317806539,-0.323267469,-0.575021618,-0.505126844,-0.255722529,0.297127514,0.324029691,-0.813886956,-0.674948766,-0.308962861,0.751954402
P62814,P62814,"V-type proton ATPase subunit B, brain isoform",Atp6v1b2,"sp|P62814|VATB2_MOUSE V-type proton ATPase subunit B, brain isoform OS=Mus musculus OX=10090 GN=Atp6v1b2 PE=1 SV=1",Endosome,7,-0.027454656,-0.868672523,0.081948511,1.007306536,1.41021962,0.112530311,-0.777339505,0.004823685,0.707337035,1.353142885,-0.42326302,-0.774019277,-0.277820989,0.461893052,1.494596658,0.004525154,-0.600385555,0.026296349,0.469254701,1.012156151,-0.74515864,-0.633586608,0.084998863,0.475651439,1.024230488,-0.355472984,-1.448373478,-0.64769967,-0.009701493,1.039541129
Q07113,Q07113,Cation-independent mannose-6-phosphate receptor,Igf2r,sp|Q07113|MPRI_MOUSE Cation-independent mannose-6-phosphate receptor OS=Mus musculus OX=10090 GN=Igf2r PE=1 SV=1,Endosome,35,1.09782158,-0.088246732,-1.046958361,-1.127362246,-0.679810169,0.972556888,-0.264557032,-1.106561831,-1.16397697,-0.714035064,0.738847874,-0.310541981,-0.797337831,-0.677290631,-0.156161617,0.963991113,0.079901065,-0.64132487,-0.811174448,0.117720224,0.722170574,-0.225875317,-1.253250756,-1.300006194,-1.051519136,0.640733454,-0.608633268,-1.383838796,-1.531393237,-0.641242361
Q3UHD6;Q3UHD6-2,Q3UHD6;Q3UHD6-2,Sorting nexin-27,Snx27,sp|Q3UHD6|SNX27_MOUSE Sorting nexin-27 OS=Mus musculus OX=10090 GN=Snx27 PE=1 SV=2;sp|Q3UHD6-2|SNX27_MOUSE Isoform 2 of Sorting nexin-27 OS=Mus musculus OX=10090 GN=Snx27,Endosome,3,0.233808425,-0.494522435,-0.587677591,0.119384951,0.462101932,0.064013045,-0.387493028,-0.663514695,0.154450162,0.629594411,0.202541733,-0.584523064,-0.97176619,0.055520185,0.590724018,-0.24427928,-0.382036031,-0.511857259,0.606357393,1.101719745,0.408086729,0.07129294,0.152062307,0.331611067,0.811023744,-0.004769356,-0.2302759,-0.157005901,0.255496499,0.636687516
Q3UMB9,Q3UMB9,WASH complex subunit 7,Kiaa1033,sp|Q3UMB9|WASC4_MOUSE WASH complex subunit 4 OS=Mus musculus OX=10090 GN=Washc4 PE=1 SV=2,Endosome,5,0.73633733,-0.458416199,-0.916265412,-0.292435451,0.43175537,0.838237374,-0.420199082,-1.040035176,-0.427691454,0.544618331,0.62148234,-0.615013052,-0.941308452,-0.198049653,0.554031851,0.926429059,0.018078762,-0.302877185,0.262464665,0.9796862,0.78040823,-0.37679881,-0.728264811,-0.359160865,0.20401811,0.670002816,-0.396437689,-0.777797396,-0.439707582,0.480763594
Q5KU39,Q5KU39,Vacuolar protein sorting-associated protein 41 homolog,Vps41,sp|Q5KU39|VPS41_MOUSE Vacuolar protein sorting-associated protein 41 homolog OS=Mus musculus OX=10090 GN=Vps41 PE=1 SV=1,Endosome,3,0.80837425,-0.413887472,-0.649598283,-0.483007991,-0.085858304,0.600481471,-0.411913072,-0.813564785,-0.812365271,-0.4519809,0.437678339,-0.393083705,-0.405487132,-0.34850299,-0.250463312,0.778878262,0.076618792,-0.357461854,-0.419203829,-0.205038539,-0.165938285,-0.32517349,-0.475244136,-0.426774337,-0.015304865,0.246587088,-0.541657406,-1.072075129,-0.868296788,0.159364249
Q62351,Q62351,Transferrin receptor protein 1,Tfrc,sp|Q62351|TFR1_MOUSE Transferrin receptor protein 1 OS=Mus musculus OX=10090 GN=Tfrc PE=1 SV=1,Endosome,28,0.723598978,-0.243371908,-0.507531162,-0.424318638,0.2520751,0.631142252,-0.410937366,-0.864265352,-0.823120955,-0.101276947,0.861868503,-0.145382346,-0.403051306,-0.259820293,0.307611346,0.387423437,-0.357188381,-0.682669187,-0.630816395,0.405998941,0.957571906,0.05204275,-0.803669309,-0.735118184,-0.305739845,0.55457847,-0.599133929,-1.384060125,-1.31220011,-0.124608011
Q6P8X1,Q6P8X1,"Sorting nexin-6;Sorting nexin-6, N-terminally processed",Snx6,sp|Q6P8X1|SNX6_MOUSE Sorting nexin-6 OS=Mus musculus OX=10090 GN=Snx6 PE=1 SV=2,Endosome,6,-0.14791654,-0.11010132,-0.151323137,-0.305810382,-0.335401638,-0.170143644,0.078715298,-0.206250057,-0.292826348,-0.266294311,0.103755317,-0.00458136,-0.200300075,-0.388738738,-0.602788457,-0.599261576,-0.416443532,-0.113475198,-0.014922846,0.333300085,-0.216636981,-0.056652896,-0.584782754,-0.929966138,-1.072567103,-0.378276092,-0.186324567,-0.384226144,-0.667332754,-0.434852873
Q80WQ2,Q80WQ2,Protein VAC14 homolog,Vac14,sp|Q80WQ2|VAC14_MOUSE Protein VAC14 homolog OS=Mus musculus OX=10090 GN=Vac14 PE=1 SV=1,Endosome,8,0.523127415,0.567011466,0.131792988,-0.921860216,-2.410580993,0.394226094,0.437770105,-0.056143482,-0.857356965,-2.473644898,0.751812122,0.589799774,0.157395871,-0.831293618,-2.401153736,0.008094256,0.284128107,-0.06831498,-1.148964888,-2.389950527,0.470263152,0.219767623,-0.400455878,-1.306643781,-2.426640605,0.163218689,0.018126267,-0.453162532,-1.279703571,-2.310988286
Q80XQ2,Q80XQ2,TBC1 domain family member 5,Tbc1d5,sp|Q80XQ2|TBCD5_MOUSE TBC1 domain family member 5 OS=Mus musculus OX=10090 GN=Tbc1d5 PE=1 SV=2,Endosome,2,0.084015781,-0.089485801,-0.23952443,-0.524776805,-1.202401577,-0.00748975,-0.076425251,-0.584437037,-0.831374162,-0.950221554,0.193278812,0.002585869,-0.42620201,-0.626170032,-0.765569906,-0.256545939,-0.291780065,-0.152305178,-0.865098211,-1.035926804,0.384509005,0.118208634,-0.709849474,-1.264511256,-1.806325433,-0.270459856,-0.219895974,-0.723553367,-1.245436603,-0.899837854
Q810B6;Q810B6-2;REV__Q8CIL4,Q810B6,Rabankyrin-5,Ankfy1,sp|Q810B6|ANFY1_MOUSE Rabankyrin-5 OS=Mus musculus OX=10090 GN=Ankfy1 PE=1 SV=2,Endosome,3,-0.543181889,-0.053675585,0.446012756,0.889833692,1.061445677,-0.722008835,0.185532415,0.455624384,0.65207215,0.49984524,-0.199890255,0.126288962,0.377113152,0.122153414,0.946273248,-1.317347844,-1.128863459,-0.255990997,0.338645068,0.26779329,0.211859814,1.18507746,1.483966877,1.005867413,1.156945606,-0.518060163,0.125144049,0.614112616,0.669725345,0.767020393
Q8BVE3,Q8BVE3,V-type proton ATPase subunit H,Atp6v1h,sp|Q8BVE3|VATH_MOUSE V-type proton ATPase subunit H OS=Mus musculus OX=10090 GN=Atp6v1h PE=1 SV=1,Endosome,3,-0.051545615,-0.796907399,0.077033826,1.01513276,1.411461149,0.13267963,-0.585337887,-0.032282003,0.839083146,1.443639379,-0.40644248,-0.8155292,-0.29551673,0.468882257,1.428936309,0.166458919,-0.485961151,0.236475891,0.807795154,1.557378913,-0.869491147,-0.748441861,-0.123895723,0.389337934,0.667301461,-0.316461919,-1.289269411,-0.406216407,0.231742145,1.02249497
Q8C2E7;Q8C2E7-2,Q8C2E7;Q8C2E7-2,WASH complex subunit strumpellin,Kiaa0196,sp|Q8C2E7|WASC5_MOUSE WASH complex subunit 5 OS=Mus musculus OX=10090 GN=Washc5 PE=1 SV=2;sp|Q8C2E7-2|WASC5_MOUSE Isoform 2 of WASH complex subunit 5 OS=Mus musculus OX=10090 GN=Washc5,Endosome,5,0.688065839,-0.438938288,-0.981928945,-0.290256499,0.335379176,0.949026095,-0.41273045,-1.136811985,-0.114982694,0.252021264,0.51533362,-0.544609478,-0.804246061,-0.161053838,0.356029864,0.941143816,-0.039564862,-0.384172328,0.092285243,0.272324765,0.561382722,-0.356034454,-0.802304116,-0.354808438,0.05571234,0.617891755,-0.662150423,-0.82847713,-0.515277114,0.780350318
Q8R307,Q8R307,Vacuolar protein sorting-associated protein 18 homolog,Vps18,sp|Q8R307|VPS18_MOUSE Vacuolar protein sorting-associated protein 18 homolog OS=Mus musculus OX=10090 GN=Vps18 PE=1 SV=2,Endosome,3,0.652271351,-0.434975623,-0.71702179,-0.551973663,-0.311776825,0.410710372,-0.402208124,-0.901213867,-0.646649401,-0.765215016,0.362570079,-0.354236649,-0.517477959,-0.38875945,-0.381902599,0.635490734,-0.115115097,-0.337532438,-0.403134718,-0.070889341,-0.017683355,-0.267656802,-0.479188985,-0.385119121,-0.137055829,0.36418998,-0.676964588,-0.935836478,-0.73572228,-0.14430912
Q8R5L3-2,Q8R5L3-2,Vam6/Vps39-like protein,Vps39,sp|Q8R5L3-2|VPS39_MOUSE Isoform 2 of Vam6/Vps39-like protein OS=Mus musculus OX=10090 GN=Vps39,Endosome,4,0.702700085,-0.428238496,-0.606845774,-0.258390703,-0.646130729,0.665283199,-0.271274372,-0.648847033,-0.711237761,-0.596451768,0.218713859,-0.366272237,-0.364928875,-0.338446948,-0.310691754,0.698931417,0.023628965,-0.308019267,-0.595621273,-0.157451847,-0.036571646,-0.355614604,-0.458408947,-0.309818995,-0.046674719,0.30957628,-0.519288554,-0.797512184,-0.678351339,0.129019844
Q8VEH3,Q8VEH3,ADP-ribosylation factor-like protein 8A,Arl8a,sp|Q8VEH3|ARL8A_MOUSE ADP-ribosylation factor-like protein 8A OS=Mus musculus OX=10090 GN=Arl8a PE=1 SV=1,Endosome,6,0.168369706,-0.724062297,-0.397401223,0.158812277,0.554766627,0.241621376,-0.842048146,-0.647199908,0.245849012,0.787897789,-0.162518675,-0.676877601,-0.28532588,0.099962738,0.68145363,0.458215134,-0.262456981,0.031697603,0.448943315,1.304829668,-0.293748034,-0.454242448,-0.228485318,0.097379688,0.534583134,0.049352031,-0.692282394,-0.451673313,0.051495471,0.780419065
