UniProt Accession for Protein Group,UniProt Protein Description,Peptides,PSMs,Protein Coverage (%),Normalized TMT 10-plex reporter ion distribution,,,,,,,,,
Q9Z0R6,Intersectin-2 GN=Itsn2 PE=1 SV=2 - [ITSN2_MOUSE],14,23,11.6,0.000,0.235,0.115,0.062,0.102,0.182,0.140,0.069,0.037,0.058
Q3TZZ7,Extended synaptotagmin-2 GN=Esyt2 PE=1 SV=1 - [ESYT2_MOUSE],14,22,24.9,0.002,0.116,0.089,0.072,0.168,0.237,0.105,0.118,0.008,0.086
Q6NV83-2,Isoform 2 of U2 snRNP-associated SURP motif-containing protein GN=U2surp - [SR140_MOUSE],14,22,19.2,0.238,0.003,0.027,0.000,0.012,0.025,0.051,0.106,0.321,0.218
Q91XA2,Golgi membrane protein 1 GN=Golm1 PE=1 SV=2 - [GOLM1_MOUSE],14,22,38.4,0.003,0.063,0.151,0.109,0.246,0.189,0.066,0.086,0.016,0.070
Q9CX34,Suppressor of G2 allele of SKP1 homolog GN=Sugt1 PE=2 SV=3 - [SUGT1_MOUSE],14,22,54.5,0.517,0.128,0.096,0.049,0.057,0.052,0.029,0.023,0.024,0.025
Q9R1T2,SUMO-activating enzyme subunit 1 GN=Sae1 PE=2 SV=1 - [SAE1_MOUSE],14,22,67.1,0.789,0.048,0.075,0.016,0.019,0.015,0.008,0.010,0.009,0.010
O70589-5,Isoform 5 of Peripheral plasma membrane protein CASK GN=Cask - [CSKP_MOUSE],14,21,23.7,0.012,0.331,0.156,0.100,0.148,0.115,0.047,0.047,0.012,0.032
Q9DBX3,Sushi domain-containing protein 2 GN=Susd2 PE=1 SV=1 - [SUSD2_MOUSE],14,21,23.7,0.000,0.268,0.206,0.133,0.203,0.097,0.037,0.032,0.000,0.024
Q9WU62-2,Isoform 2 of Inner centromere protein GN=Incenp - [INCE_MOUSE],14,21,27.6,0.062,0.028,0.016,0.012,0.022,0.048,0.114,0.242,0.200,0.257
Q9Z110;Q9Z110-2,Delta-1-pyrroline-5-carboxylate synthase GN=Aldh18a1 PE=2 SV=2 - [P5CS_MOUSE]|Isoform Short of Delta-1-pyrroline-5-carboxylate synthase GN=Aldh18a1 - [P5CS_MOUSE],14,21,31.2,0.000,0.010,0.013,0.005,0.026,0.093,0.254,0.285,0.076,0.236
E2JF22,Piezo-type mechanosensitive ion channel component 1 GN=Piezo1 PE=2 SV=1 - [PIEZ1_MOUSE],14,20,10.2,0.000,0.225,0.174,0.097,0.169,0.168,0.088,0.039,0.006,0.034
P10493,Nidogen-1 GN=Nid1 PE=1 SV=2 - [NID1_MOUSE],14,20,17.8,0.017,0.066,0.107,0.091,0.218,0.193,0.090,0.112,0.014,0.092
P42703,Leukemia inhibitory factor receptor GN=Lifr PE=1 SV=1 - [LIFR_MOUSE],14,20,20.9,0.002,0.133,0.177,0.138,0.293,0.125,0.048,0.045,0.000,0.038
P54103,DnaJ homolog subfamily C member 2 GN=Dnajc2 PE=1 SV=2 - [DNJC2_MOUSE],14,20,30.1,0.230,0.035,0.044,0.012,0.027,0.041,0.067,0.236,0.094,0.214
P97363,Serine palmitoyltransferase 2 GN=Sptlc2 PE=2 SV=2 - [SPTC2_MOUSE],14,20,37.1,0.000,0.032,0.051,0.049,0.154,0.244,0.133,0.172,0.006,0.158
Q5F2E8,Serine/threonine-protein kinase TAO1 GN=Taok1 PE=1 SV=1 - [TAOK1_MOUSE],14,20,21.0,0.000,0.379,0.212,0.111,0.107,0.086,0.028,0.034,0.021,0.023
Q8C1A5,Thimet oligopeptidase GN=Thop1 PE=1 SV=1 - [THOP1_MOUSE],14,20,26.3,0.666,0.084,0.095,0.033,0.044,0.031,0.014,0.017,0.006,0.011
Q8CJ53-2,Isoform 2 of Cdc42-interacting protein 4 GN=Trip10 - [CIP4_MOUSE],14,20,28.1,0.099,0.190,0.113,0.076,0.116,0.086,0.060,0.124,0.030,0.106
Q8K2I4,Beta-mannosidase GN=Manba PE=2 SV=1 - [MANBA_MOUSE],14,20,19.9,0.006,0.079,0.132,0.131,0.318,0.196,0.051,0.048,0.004,0.035
Q8R0X7,Sphingosine-1-phosphate lyase 1 GN=Sgpl1 PE=2 SV=1 - [SGPL1_MOUSE],14,20,33.6,0.003,0.042,0.051,0.041,0.116,0.269,0.152,0.157,0.030,0.140
Q8R3N1,Nucleolar protein 14 GN=Nop14 PE=1 SV=2 - [NOP14_MOUSE],14,20,17.0,0.141,0.009,0.018,0.006,0.017,0.023,0.054,0.191,0.318,0.221
Q9Z2I0,"LETM1 and EF-hand domain-containing protein 1, mitochondrial GN=Letm1 PE=2 SV=1 - [LETM1_MOUSE]",14,20,23.7,0.000,0.006,0.007,0.009,0.026,0.101,0.345,0.237,0.040,0.229
E9Q634,Unconventional myosin-Ie GN=Myo1e PE=1 SV=1 - [MYO1E_MOUSE],14,19,17.1,0.074,0.340,0.146,0.097,0.113,0.074,0.023,0.063,0.009,0.062
Q3UKC1,Tax1-binding protein 1 homolog GN=Tax1bp1 PE=1 SV=2 - [TAXB1_MOUSE],14,19,15.7,0.072,0.280,0.174,0.097,0.121,0.075,0.042,0.056,0.026,0.057
Q8BIP0,"Aspartate--tRNA ligase, mitochondrial GN=Dars2 PE=2 SV=1 - [SYDM_MOUSE]",14,19,27.9,0.000,0.015,0.014,0.009,0.034,0.098,0.313,0.266,0.022,0.229
Q9QY39,PDZ domain-containing protein 4 GN=Pdzd4 PE=2 SV=2 - [PDZD4_MOUSE],14,19,31.2,0.000,0.283,0.191,0.104,0.169,0.117,0.061,0.040,0.014,0.021
O88327,Alpha-catulin GN=Ctnnal1 PE=2 SV=1 - [CTNL1_MOUSE],14,18,23.3,0.025,0.302,0.161,0.095,0.097,0.121,0.071,0.066,0.023,0.039
Q62179,Semaphorin-4B GN=Sema4b PE=1 SV=2 - [SEM4B_MOUSE],14,18,24.2,0.005,0.071,0.141,0.126,0.314,0.141,0.070,0.067,0.006,0.059
Q80TH2,Protein LAP2 GN=Erbb2ip PE=1 SV=3 - [LAP2_MOUSE],14,18,10.5,0.005,0.305,0.177,0.101,0.107,0.131,0.074,0.042,0.018,0.039
Q8CEC0-3,Isoform 3 of Nuclear pore complex protein Nup88 GN=Nup88 - [NUP88_MOUSE],14,18,24.0,0.088,0.035,0.035,0.016,0.034,0.044,0.083,0.196,0.243,0.226
Q91W50,Cold shock domain-containing protein E1 GN=Csde1 PE=2 SV=1 - [CSDE1_MOUSE],14,18,17.9,0.371,0.060,0.085,0.035,0.057,0.051,0.046,0.066,0.131,0.098
O88685,26S protease regulatory subunit 6A GN=Psmc3 PE=1 SV=2 - [PRS6A_MOUSE],14,17,56.1,0.642,0.078,0.097,0.031,0.046,0.020,0.011,0.027,0.016,0.032
P56960,Exosome component 10 GN=Exosc10 PE=1 SV=2 - [EXOSX_MOUSE],14,17,23.9,0.171,0.012,0.027,0.005,0.012,0.030,0.076,0.180,0.254,0.234
P62192,26S protease regulatory subunit 4 GN=Psmc1 PE=1 SV=1 - [PRS4_MOUSE],14,17,37.5,0.642,0.062,0.083,0.027,0.044,0.032,0.016,0.041,0.017,0.037
Q03137,Ephrin type-A receptor 4 GN=Epha4 PE=1 SV=2 - [EPHA4_MOUSE],14,17,24.4,0.018,0.200,0.203,0.134,0.229,0.115,0.046,0.028,0.005,0.023
Q99KD5,Protein unc-45 homolog A GN=Unc45a PE=1 SV=2 - [UN45A_MOUSE],14,17,21.3,0.148,0.189,0.115,0.072,0.106,0.087,0.051,0.089,0.047,0.095
O70472,Transmembrane protein 131 GN=Tmem131 PE=1 SV=2 - [TM131_MOUSE],14,16,10.4,0.000,0.000,0.034,0.032,0.118,0.281,0.141,0.201,0.030,0.163
Q5KU39,Vacuolar protein sorting-associated protein 41 homolog GN=Vps41 PE=2 SV=1 - [VPS41_MOUSE],14,16,24.3,0.041,0.103,0.186,0.143,0.206,0.108,0.044,0.070,0.022,0.076
Q8BHK9,DNA excision repair protein ERCC-6-like GN=Ercc6l PE=1 SV=1 - [ERC6L_MOUSE],14,16,12.7,0.074,0.111,0.072,0.039,0.047,0.041,0.086,0.228,0.048,0.254
Q9CRC8,Leucine-rich repeat-containing protein 40 GN=Lrrc40 PE=2 SV=2 - [LRC40_MOUSE],14,16,31.2,0.191,0.133,0.073,0.045,0.052,0.053,0.067,0.152,0.076,0.159
Q9Z315,U4/U6.U5 tri-snRNP-associated protein 1 GN=Sart1 PE=2 SV=1 - [SNUT1_MOUSE],14,16,27.2,0.260,0.007,0.030,0.004,0.017,0.019,0.038,0.093,0.326,0.207
Q5SUR0,Phosphoribosylformylglycinamidine synthase GN=Pfas PE=2 SV=1 - [PUR4_MOUSE],14,15,18.6,0.720,0.055,0.103,0.024,0.035,0.022,0.007,0.014,0.005,0.014
P70704,Probable phospholipid-transporting ATPase IA GN=Atp8a1 PE=1 SV=1 - [AT8A1_MOUSE],14,14,10.8,0.000,0.118,0.194,0.152,0.293,0.134,0.042,0.039,0.000,0.029
Q6PB44,Tyrosine-protein phosphatase non-receptor type 23 GN=Ptpn23 PE=1 SV=2 - [PTN23_MOUSE],14,14,13.6,0.166,0.192,0.122,0.072,0.110,0.085,0.058,0.082,0.002,0.111
P17742,Peptidyl-prolyl cis-trans isomerase A GN=Ppia PE=1 SV=2 - [PPIA_MOUSE],13,44,64.0,0.376,0.118,0.112,0.056,0.074,0.048,0.033,0.063,0.062,0.058
Q9CZX8,40S ribosomal protein S19 GN=Rps19 PE=1 SV=3 - [RS19_MOUSE],13,40,60.7,0.342,0.056,0.061,0.024,0.051,0.077,0.059,0.076,0.074,0.179
P47758,Signal recognition particle receptor subunit beta GN=Srprb PE=1 SV=1 - [SRPRB_MOUSE],13,37,52.8,0.000,0.050,0.059,0.044,0.119,0.268,0.163,0.152,0.019,0.126
Q99LC5,"Electron transfer flavoprotein subunit alpha, mitochondrial GN=Etfa PE=1 SV=2 - [ETFA_MOUSE]",13,36,56.5,0.001,0.011,0.013,0.009,0.028,0.095,0.322,0.264,0.017,0.239
Q9EQU5,Protein SET GN=Set PE=1 SV=1 - [SET_MOUSE],13,36,41.5,0.753,0.044,0.070,0.011,0.017,0.027,0.017,0.019,0.024,0.017
Q9WTP6-2,"Isoform 2 of Adenylate kinase 2, mitochondrial GN=Ak2 - [KAD2_MOUSE]",13,33,66.8,0.071,0.030,0.031,0.021,0.042,0.090,0.194,0.277,0.007,0.238
P28798,Granulins GN=Grn PE=1 SV=2 - [GRN_MOUSE],13,32,41.9,0.000,0.064,0.159,0.156,0.332,0.168,0.054,0.035,0.008,0.023
Q9D051,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial GN=Pdhb PE=1 SV=1 - [ODPB_MOUSE]",13,32,56.3,0.000,0.014,0.019,0.011,0.033,0.080,0.241,0.297,0.029,0.277
P61965,WD repeat-containing protein 5 GN=Wdr5 PE=1 SV=1 - [WDR5_MOUSE],13,31,60.2,0.110,0.023,0.025,0.008,0.020,0.038,0.107,0.233,0.221,0.216
Q9DB20,"ATP synthase subunit O, mitochondrial GN=Atp5o PE=1 SV=1 - [ATPO_MOUSE]",13,31,55.4,0.000,0.009,0.008,0.011,0.030,0.072,0.223,0.316,0.067,0.263
Q9WVA4,Transgelin-2 GN=Tagln2 PE=1 SV=4 - [TAGL2_MOUSE],13,31,59.8,0.210,0.231,0.119,0.077,0.139,0.081,0.029,0.031,0.051,0.031
Q9DAW9,Calponin-3 GN=Cnn3 PE=2 SV=1 - [CNN3_MOUSE],13,30,53.9,0.200,0.215,0.133,0.075,0.126,0.084,0.032,0.042,0.059,0.034
Q9DCW4,Electron transfer flavoprotein subunit beta GN=Etfb PE=1 SV=3 - [ETFB_MOUSE],13,29,62.0,0.002,0.016,0.018,0.016,0.032,0.097,0.225,0.310,0.012,0.272
Q9R0P5,Destrin GN=Dstn PE=1 SV=3 - [DEST_MOUSE],13,29,71.5,0.197,0.256,0.131,0.095,0.143,0.111,0.032,0.018,0.008,0.009
P14094,Sodium/potassium-transporting ATPase subunit beta-1 GN=Atp1b1 PE=1 SV=1 - [AT1B1_MOUSE],13,28,49.3,0.000,0.297,0.189,0.115,0.171,0.120,0.061,0.032,0.001,0.014
P62301,40S ribosomal protein S13 GN=Rps13 PE=1 SV=2 - [RS13_MOUSE],13,28,55.0,0.346,0.058,0.064,0.028,0.054,0.059,0.041,0.084,0.074,0.192
Q3U0V1,Far upstream element-binding protein 2 GN=Khsrp PE=1 SV=2 - [FUBP2_MOUSE],13,28,31.4,0.205,0.012,0.026,0.005,0.012,0.014,0.031,0.050,0.556,0.090
Q61425,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial GN=Hadh PE=1 SV=2 - [HCDH_MOUSE]",13,28,51.0,0.005,0.013,0.017,0.011,0.031,0.088,0.287,0.269,0.021,0.258
Q91VX2,Ubiquitin-associated protein 2 GN=Ubap2 PE=2 SV=1 - [UBAP2_MOUSE],13,28,20.4,0.092,0.032,0.035,0.016,0.033,0.069,0.091,0.213,0.066,0.354
P29416,Beta-hexosaminidase subunit alpha GN=Hexa PE=2 SV=2 - [HEXA_MOUSE],13,27,32.6,0.000,0.087,0.160,0.148,0.307,0.158,0.058,0.045,0.008,0.028
Q62446,Peptidyl-prolyl cis-trans isomerase FKBP3 GN=Fkbp3 PE=1 SV=2 - [FKBP3_MOUSE],13,27,46.0,0.154,0.062,0.058,0.035,0.073,0.122,0.094,0.108,0.073,0.221
Q8VBZ3,Cleft lip and palate transmembrane protein 1 homolog GN=Clptm1 PE=1 SV=1 - [CLPT1_MOUSE],13,27,27.9,0.000,0.070,0.073,0.048,0.143,0.241,0.145,0.144,0.011,0.125
Q99KP6,Pre-mRNA-processing factor 19 GN=Prpf19 PE=2 SV=1 - [PRP19_MOUSE],13,27,41.7,0.212,0.013,0.022,0.008,0.020,0.024,0.036,0.156,0.265,0.244
P26638,"Serine--tRNA ligase, cytoplasmic GN=Sars PE=2 SV=3 - [SYSC_MOUSE]",13,26,37.1,0.569,0.106,0.103,0.048,0.066,0.040,0.014,0.022,0.011,0.020
P32233,Developmentally-regulated GTP-binding protein 1 GN=Drg1 PE=1 SV=1 - [DRG1_MOUSE],13,26,59.4,0.201,0.065,0.050,0.030,0.049,0.103,0.109,0.152,0.070,0.170
P54822,Adenylosuccinate lyase GN=Adsl PE=2 SV=2 - [PUR8_MOUSE],13,26,43.2,0.407,0.085,0.089,0.048,0.086,0.065,0.039,0.074,0.011,0.095
Q9R1C7,Pre-mRNA-processing factor 40 homolog A GN=Prpf40a PE=1 SV=1 - [PR40A_MOUSE],13,26,16.8,0.243,0.011,0.029,0.002,0.016,0.018,0.036,0.095,0.400,0.150
Q9WVE8,Protein kinase C and casein kinase substrate in neurons protein 2 GN=Pacsin2 PE=1 SV=1 - [PACN2_MOUSE],13,26,44.0,0.028,0.278,0.162,0.100,0.146,0.085,0.040,0.076,0.027,0.058
Q3UFY8,Mitochondrial ribonuclease P protein 1 GN=Trmt10c PE=2 SV=2 - [MRRP1_MOUSE],13,24,39.4,0.000,0.006,0.004,0.007,0.028,0.101,0.222,0.299,0.031,0.302
Q8BXN9,Transmembrane protein 87A GN=Tmem87a PE=1 SV=1 - [TM87A_MOUSE],13,24,25.2,0.000,0.066,0.170,0.162,0.311,0.173,0.048,0.042,0.000,0.027
Q99KQ4,Nicotinamide phosphoribosyltransferase GN=Nampt PE=1 SV=1 - [NAMPT_MOUSE],13,24,31.6,0.502,0.100,0.105,0.046,0.055,0.038,0.021,0.059,0.016,0.058
Q78IK4,Apolipoprotein O-like GN=Apool PE=2 SV=1 - [APOOL_MOUSE],13,23,56.2,0.000,0.013,0.017,0.010,0.030,0.097,0.309,0.230,0.084,0.209
Q8BGA5,KRR1 small subunit processome component homolog GN=Krr1 PE=2 SV=1 - [KRR1_MOUSE],13,23,33.4,0.176,0.011,0.018,0.006,0.018,0.025,0.047,0.158,0.364,0.177
O35691,Pinin GN=Pnn PE=1 SV=4 - [PININ_MOUSE],13,22,18.2,0.110,0.008,0.019,0.007,0.018,0.030,0.056,0.135,0.417,0.200
P39749,Flap endonuclease 1 GN=Fen1 PE=1 SV=1 - [FEN1_MOUSE],13,22,30.7,0.176,0.012,0.022,0.004,0.011,0.029,0.102,0.276,0.105,0.262
Q8BX90,Fibronectin type-III domain-containing protein 3A GN=Fndc3a PE=1 SV=3 - [FND3A_MOUSE],13,22,16.9,0.000,0.043,0.048,0.038,0.117,0.271,0.154,0.165,0.032,0.132
Q9WUD1,STIP1 homology and U box-containing protein 1 GN=Stub1 PE=1 SV=1 - [CHIP_MOUSE],13,22,47.4,0.180,0.200,0.150,0.090,0.148,0.084,0.045,0.046,0.021,0.035
Q9WUQ2,Prolactin regulatory element-binding protein GN=Preb PE=1 SV=1 - [PREB_MOUSE],13,22,39.6,0.002,0.064,0.067,0.055,0.141,0.257,0.122,0.148,0.019,0.126
P61161,Actin-related protein 2 GN=Actr2 PE=1 SV=1 - [ARP2_MOUSE],13,21,32.7,0.127,0.204,0.117,0.068,0.102,0.085,0.055,0.081,0.064,0.097
Q08288,Cell growth-regulating nucleolar protein GN=Lyar PE=1 SV=2 - [LYAR_MOUSE],13,21,32.2,0.300,0.026,0.030,0.014,0.035,0.049,0.037,0.059,0.310,0.139
Q3TCN2,Putative phospholipase B-like 2 GN=Plbd2 PE=1 SV=2 - [PLBL2_MOUSE],13,21,28.6,0.000,0.073,0.166,0.160,0.326,0.163,0.043,0.040,0.000,0.029
Q3UKJ7,WD40 repeat-containing protein SMU1 GN=Smu1 PE=2 SV=2 - [SMU1_MOUSE],13,21,37.4,0.185,0.019,0.031,0.017,0.027,0.028,0.039,0.131,0.291,0.231
Q64324,Syntaxin-binding protein 2 GN=Stxbp2 PE=2 SV=1 - [STXB2_MOUSE],13,21,38.1,0.026,0.312,0.167,0.111,0.163,0.080,0.045,0.051,0.000,0.045
Q80UM7,Mannosyl-oligosaccharide glucosidase GN=Mogs PE=2 SV=1 - [MOGS_MOUSE],13,21,24.2,0.000,0.044,0.051,0.042,0.115,0.219,0.139,0.191,0.039,0.159
Q8K2K6-3,Isoform 3 of Arf-GAP domain and FG repeat-containing protein 1 GN=Agfg1 - [AGFG1_MOUSE],13,21,34.7,0.082,0.177,0.085,0.055,0.088,0.117,0.076,0.127,0.072,0.122
Q9CZ13,"Cytochrome b-c1 complex subunit 1, mitochondrial GN=Uqcrc1 PE=1 SV=2 - [QCR1_MOUSE]",13,21,39.8,0.000,0.010,0.014,0.007,0.035,0.069,0.186,0.335,0.081,0.263
Q9D0F3,Protein ERGIC-53 GN=Lman1 PE=2 SV=1 - [LMAN1_MOUSE],13,21,29.4,0.000,0.054,0.079,0.060,0.189,0.206,0.096,0.177,0.000,0.140
Q9D8W5,26S proteasome non-ATPase regulatory subunit 12 GN=Psmd12 PE=1 SV=4 - [PSD12_MOUSE],13,21,38.6,0.538,0.124,0.096,0.036,0.048,0.036,0.020,0.043,0.015,0.044
O88509,DNA (cytosine-5)-methyltransferase 3B GN=Dnmt3b PE=1 SV=2 - [DNM3B_MOUSE],13,20,26.3,0.026,0.000,0.005,0.001,0.007,0.032,0.126,0.306,0.219,0.278
Q3TIV5,Zinc finger CCCH domain-containing protein 15 GN=Zc3h15 PE=1 SV=2 - [ZC3HF_MOUSE],13,20,34.7,0.197,0.052,0.068,0.025,0.054,0.075,0.083,0.183,0.060,0.203
Q8VHK9,Probable ATP-dependent RNA helicase DHX36 GN=Dhx36 PE=2 SV=2 - [DHX36_MOUSE],13,20,20.8,0.221,0.090,0.069,0.037,0.043,0.073,0.067,0.087,0.148,0.164
Q91YJ2,Sorting nexin-4 GN=Snx4 PE=2 SV=1 - [SNX4_MOUSE],13,20,27.3,0.060,0.041,0.086,0.105,0.415,0.160,0.043,0.051,0.007,0.032
Q99LF4,tRNA-splicing ligase RtcB homolog GN=D10Wsu52e PE=2 SV=1 - [RTCB_MOUSE],13,20,27.7,0.284,0.058,0.061,0.027,0.056,0.083,0.065,0.085,0.112,0.169
A6H5Z3,Exocyst complex component 6B GN=Exoc6b PE=2 SV=1 - [EXC6B_MOUSE],13,19,22.7,0.015,0.256,0.158,0.098,0.160,0.122,0.064,0.057,0.015,0.057
Q06138,Calcium-binding protein 39 GN=Cab39 PE=1 SV=2 - [CAB39_MOUSE],13,19,39.9,0.120,0.244,0.141,0.126,0.139,0.069,0.032,0.069,0.014,0.046
Q9ESW4,"Acylglycerol kinase, mitochondrial GN=Agk PE=1 SV=1 - [AGK_MOUSE]",13,19,40.6,0.000,0.009,0.010,0.012,0.033,0.088,0.199,0.308,0.072,0.269
Q8CE50,Sorting nexin-30 GN=Snx30 PE=2 SV=1 - [SNX30_MOUSE],13,18,39.1,0.052,0.027,0.085,0.109,0.452,0.154,0.051,0.042,0.000,0.028
Q8K297,Procollagen galactosyltransferase 1 GN=Glt25d1 PE=1 SV=2 - [GT251_MOUSE],13,18,36.8,0.007,0.052,0.067,0.046,0.145,0.244,0.118,0.168,0.013,0.140
Q9QYE6,Golgin subfamily A member 5 GN=Golga5 PE=1 SV=2 - [GOGA5_MOUSE],13,18,19.3,0.007,0.029,0.042,0.031,0.123,0.216,0.132,0.222,0.012,0.187
Q9Z1X4,Interleukin enhancer-binding factor 3 GN=Ilf3 PE=1 SV=2 - [ILF3_MOUSE],13,18,24.7,0.213,0.011,0.026,0.004,0.017,0.019,0.035,0.051,0.522,0.103
A2A7S8-2,Isoform 2 of Uncharacterized protein KIAA1522 GN=Kiaa1522 - [K1522_MOUSE],13,17,30.6,0.009,0.345,0.204,0.111,0.131,0.076,0.042,0.036,0.015,0.031
A2ATU0,"Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial GN=Dhtkd1 PE=2 SV=1 - [DHTK1_MOUSE]",13,17,18.3,0.000,0.011,0.017,0.014,0.037,0.102,0.229,0.284,0.014,0.293
O08788-2,Isoform 2 of Dynactin subunit 1 GN=Dctn1 - [DCTN1_MOUSE],13,17,13.0,0.080,0.090,0.058,0.033,0.048,0.057,0.073,0.231,0.084,0.245
P08226,Apolipoprotein E GN=Apoe PE=1 SV=2 - [APOE_MOUSE],13,17,36.0,0.003,0.048,0.078,0.108,0.278,0.178,0.083,0.119,0.004,0.103
Q6PB93,Polypeptide N-acetylgalactosaminyltransferase 2 GN=Galnt2 PE=2 SV=1 - [GALT2_MOUSE],13,17,31.4,0.004,0.047,0.061,0.051,0.158,0.186,0.096,0.193,0.042,0.163
Q8BJW5,Nucleolar protein 11 GN=Nol11 PE=2 SV=1 - [NOL11_MOUSE],13,17,16.6,0.124,0.012,0.017,0.007,0.018,0.025,0.053,0.191,0.340,0.213
Q8BRT1,CLIP-associating protein 2 GN=Clasp2 PE=1 SV=1 - [CLAP2_MOUSE],13,17,13.1,0.141,0.102,0.084,0.039,0.065,0.065,0.072,0.218,0.048,0.167
Q91WJ8,Far upstream element-binding protein 1 GN=Fubp1 PE=1 SV=1 - [FUBP1_MOUSE],13,17,24.3,0.211,0.012,0.022,0.004,0.010,0.016,0.038,0.074,0.501,0.113
Q9R0K7,Plasma membrane calcium-transporting ATPase 2 GN=Atp2b2 PE=1 SV=2 - [AT2B2_MOUSE],13,17,11.8,0.000,0.310,0.184,0.110,0.178,0.101,0.052,0.039,0.003,0.024
O88738,Baculoviral IAP repeat-containing protein 6 GN=Birc6 PE=1 SV=2 - [BIRC6_MOUSE],13,16,6.0,0.513,0.108,0.098,0.047,0.064,0.040,0.041,0.031,0.000,0.058
P15920,V-type proton ATPase 116 kDa subunit a isoform 2 GN=Atp6v0a2 PE=1 SV=2 - [VPP2_MOUSE],13,16,18.1,0.000,0.046,0.111,0.114,0.379,0.198,0.055,0.056,0.014,0.027
Q8BG67,Protein EFR3 homolog A GN=Efr3a PE=1 SV=1 - [EFR3A_MOUSE],13,16,25.8,0.000,0.260,0.185,0.124,0.181,0.120,0.056,0.034,0.017,0.023
Q91VI7,Ribonuclease inhibitor GN=Rnh1 PE=1 SV=1 - [RINI_MOUSE],13,15,64.9,0.584,0.111,0.116,0.049,0.057,0.031,0.014,0.017,0.011,0.009
O35134,DNA-directed RNA polymerase I subunit RPA1 GN=Polr1a PE=1 SV=2 - [RPA1_MOUSE],13,14,12.8,0.243,0.026,0.023,0.000,0.022,0.031,0.060,0.246,0.129,0.221
O55111,Desmoglein-2 GN=Dsg2 PE=1 SV=3 - [DSG2_MOUSE],13,14,18.2,0.010,0.319,0.178,0.107,0.186,0.083,0.044,0.036,0.020,0.017
Q09XV5,Chromodomain-helicase-DNA-binding protein 8 GN=Chd8 PE=1 SV=1 - [CHD8_MOUSE],13,14,7.7,0.032,0.010,0.005,0.000,0.010,0.036,0.090,0.279,0.245,0.294
Q61033,"Lamina-associated polypeptide 2, isoforms alpha/zeta GN=Tmpo PE=1 SV=4 - [LAP2A_MOUSE]",13,14,38.4,0.018,0.000,0.001,0.000,0.009,0.025,0.081,0.351,0.211,0.303
Q921G7,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial GN=Etfdh PE=1 SV=1 - [ETFD_MOUSE]",13,14,26.3,0.004,0.011,0.017,0.011,0.034,0.082,0.201,0.331,0.024,0.285
Q99KW3-1,Isoform 1 of TRIO and F-actin-binding protein GN=Triobp - [TARA_MOUSE],13,14,27.4,0.010,0.150,0.099,0.052,0.099,0.098,0.078,0.194,0.045,0.177
P24369,Peptidyl-prolyl cis-trans isomerase B GN=Ppib PE=2 SV=2 - [PPIB_MOUSE],12,37,50.9,0.014,0.053,0.070,0.057,0.128,0.245,0.153,0.137,0.034,0.110
P35293,Ras-related protein Rab-18 GN=Rab18 PE=2 SV=2 - [RAB18_MOUSE],12,37,67.5,0.005,0.085,0.114,0.069,0.189,0.229,0.098,0.115,0.009,0.087
Q91V41,Ras-related protein Rab-14 GN=Rab14 PE=1 SV=3 - [RAB14_MOUSE],12,37,80.0,0.006,0.076,0.158,0.132,0.331,0.149,0.058,0.051,0.002,0.038
Q8BFR4,N-acetylglucosamine-6-sulfatase GN=Gns PE=2 SV=1 - [GNS_MOUSE],12,34,29.0,0.002,0.079,0.170,0.141,0.298,0.183,0.054,0.043,0.000,0.029
Q9D1G5,Leucine-rich repeat-containing protein 57 GN=Lrrc57 PE=2 SV=1 - [LRC57_MOUSE],12,34,53.1,0.004,0.285,0.187,0.119,0.196,0.112,0.038,0.029,0.012,0.018
P14131,40S ribosomal protein S16 GN=Rps16 PE=2 SV=4 - [RS16_MOUSE],12,31,56.2,0.321,0.065,0.062,0.027,0.054,0.080,0.053,0.076,0.092,0.171
P53026,60S ribosomal protein L10a GN=Rpl10a PE=1 SV=3 - [RL10A_MOUSE],12,31,41.5,0.127,0.073,0.080,0.037,0.076,0.136,0.104,0.084,0.091,0.192
P67778,Prohibitin GN=Phb PE=1 SV=1 - [PHB_MOUSE],12,28,66.2,0.000,0.015,0.017,0.013,0.032,0.070,0.184,0.324,0.076,0.269
Q62465,Synaptic vesicle membrane protein VAT-1 homolog GN=Vat1 PE=1 SV=3 - [VAT1_MOUSE],12,28,36.0,0.102,0.198,0.139,0.072,0.081,0.082,0.096,0.117,0.007,0.106
P14206,40S ribosomal protein SA GN=Rpsa PE=1 SV=4 - [RSSA_MOUSE],12,27,50.5,0.349,0.052,0.065,0.027,0.052,0.068,0.058,0.076,0.077,0.175
P46978,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A GN=Stt3a PE=1 SV=1 - [STT3A_MOUSE],12,27,21.6,0.000,0.047,0.042,0.040,0.103,0.223,0.156,0.187,0.037,0.165
Q9DB77,"Cytochrome b-c1 complex subunit 2, mitochondrial GN=Uqcrc2 PE=1 SV=1 - [QCR2_MOUSE]",12,27,49.7,0.000,0.012,0.016,0.011,0.032,0.087,0.238,0.270,0.080,0.254
