IPI accession no.,Protein name, MascotScore.1 , NbPeptides.1,NbQuantAC.1,NbQuantBD.1,AC114.1,AC115.1,AC116.1,AC117.1,BD114.1,BD115.1,BD116.1,BD117.1, MascotScore.2 , NbPeptides.2,NbQuantAC.2,NbQuantBD.2,AC114.2,AC115.2,AC116.2,AC117.2,BD114.2,BD115.2,BD116.2,BD117.2
IPI00579805.1,Tumor protein D52-like 2,734.4,12,37,71,0.176,0.323,0.261,0.240,0.252,0.273,0.223,0.252,685.32,12,60,30,0.309,0.317,0.214,0.161,0.252,0.207,0.296,0.246
IPI00579860.1,Sodium/potassium-transporting ATPase subunit beta-1,405.66,8,27,18,0.454,0.270,0.143,0.133,0.514,0.180,0.133,0.173,276.77,5,4,2,0.590,0.253,0.070,0.087,0.441,0.100,0.264,0.196
IPI00579980.2,64 kDa protein,883.79,17,41,81,0.192,0.336,0.237,0.234,0.256,0.331,0.195,0.218,572.73,12,33,11,0.327,0.385,0.167,0.121,0.213,0.231,0.318,0.238
IPI00580007.2,"Elongation factor Tu, mitochondrial precursor (Fragment)",584.78,11,34,10,0.089,0.130,0.179,0.602,0.109,0.180,0.232,0.479,709.25,12,57,21,0.166,0.201,0.103,0.530,0.096,0.114,0.374,0.416
IPI00580074.1,16 kDa beta-galactoside-binding lectin,339.69,5,32,31,0.211,0.235,0.175,0.378,0.233,0.149,0.166,0.452,260.24,5,21,20,0.289,0.246,0.200,0.266,0.194,0.139,0.314,0.353
IPI00580202.2,Similar to signal peptidase:SUBUNIT=12kD,138.85,2,11,14,0.096,0.117,0.248,0.538,0.131,0.128,0.281,0.460,50.14,1,3,2,0.240,0.202,0.264,0.294,0.064,0.133,0.415,0.390
IPI00580225.3,Inositol(myo)-1(or 4)-monophosphatase 1,160.77,3,10,16,0.135,0.189,0.476,0.200,0.126,0.411,0.257,0.206,136.14,3,12,12,0.218,0.362,0.235,0.185,0.097,0.258,0.340,0.306
IPI00580273.1,Saccharopine dehydrogenase (putative),563.05,8,38,101,0.089,0.132,0.273,0.505,0.132,0.157,0.270,0.440,496.51,9,38,33,0.219,0.266,0.257,0.258,0.107,0.125,0.405,0.363
IPI00580312.2,Similar to RAD23B protein,135.28,3,4,5,0.146,0.248,0.388,0.218,0.164,0.352,0.254,0.230,89.15,2,7,6,0.213,0.289,0.298,0.199,0.130,0.259,0.333,0.279
IPI00580381.1,Hypothetical protein,540.79,10,56,24,0.129,0.454,0.231,0.186,0.296,0.309,0.200,0.195,320.99,6,21,17,0.265,0.451,0.163,0.120,0.177,0.263,0.364,0.196
IPI00580455.1,lymphocyte-specific protein 1,608.39,10,23,27,0.454,0.225,0.192,0.129,0.503,0.177,0.156,0.163,184.36,4,13,9,0.399,0.280,0.145,0.177,0.416,0.135,0.234,0.214
IPI00580459.2,Similar to WD repeat protein,219.24,4,6,6,0.098,0.132,0.482,0.288,0.123,0.376,0.268,0.234,138.65,3,1,3,0.168,0.191,0.383,0.257,0.088,0.255,0.367,0.290
IPI00580489.3,Similar to TGF-beta receptor interacting protein 1,279.59,6,8,11,0.193,0.133,0.308,0.366,0.202,0.228,0.246,0.324,141.94,3,4,5,0.232,0.204,0.233,0.331,0.164,0.160,0.345,0.331
IPI00580561.1,Ribonucleoside-diphosphate reductase M1 chain,499.94,11,22,23,0.175,0.129,0.397,0.299,0.173,0.252,0.287,0.288,443.1,10,32,33,0.242,0.274,0.183,0.302,0.140,0.178,0.362,0.320
IPI00580628.1,Similar to Vacuolar protein sorting 26 homolog B,179.1,4,10,9,0.157,0.400,0.262,0.181,0.238,0.305,0.246,0.211,146.72,3,10,3,0.316,0.320,0.190,0.175,0.154,0.252,0.312,0.283
IPI00580699.3,"Similar to Solute carrier family 25 (mitochondrial carrier, Aralar), member 12",547.7,11,34,23,0.047,0.078,0.092,0.784,0.101,0.191,0.227,0.481,259.67,5,18,2,0.120,0.174,0.076,0.630,0.097,0.081,0.301,0.522
IPI00580709.3,Calcium-binding protein p22,198.63,4,4,29,0.283,0.216,0.256,0.245,0.254,0.180,0.218,0.348,169.61,4,17,1,0.352,0.251,0.232,0.165,0.205,0.086,0.374,0.334
IPI00580732.1,Hypothetical protein,183.32,3,2,1,0.178,0.183,0.306,0.332,0.242,0.370,0.215,0.173,142.84,3,5,1,0.228,0.314,0.116,0.342,0.104,0.184,0.356,0.356
IPI00580740.2,"Similar to striatin, calmodulin binding protein",183.27,4,6,14,0.325,0.241,0.244,0.190,0.335,0.175,0.212,0.279,48.3,1,3,2,0.396,0.268,0.178,0.158,0.263,0.239,0.272,0.228
IPI00580779.3,"Glutamate-cysteine ligase, modifier subunit",234.35,5,10,17,0.132,0.220,0.411,0.238,0.114,0.369,0.274,0.242,126.55,3,12,16,0.202,0.358,0.242,0.197,0.104,0.253,0.345,0.298
IPI00580829.2,Similar to Ggh protein,214.18,4,12,6,0.159,0.421,0.299,0.122,0.157,0.233,0.312,0.298,129.99,3,2,7,0.183,0.347,0.276,0.195,0.099,0.165,0.365,0.371
IPI00580869.3,Similar to general transcription factor,53.89,1,3,7,0.133,0.141,0.392,0.334,0.114,0.324,0.268,0.293,122.25,3,11,7,0.159,0.288,0.284,0.269,0.133,0.264,0.308,0.295
IPI00580874.1,Sodium/potassium-transporting ATPase subunit beta-3,619.07,10,52,126,0.330,0.339,0.195,0.136,0.509,0.174,0.149,0.168,670.32,11,121,45,0.566,0.224,0.129,0.081,0.448,0.123,0.236,0.193
IPI00580961.3,Similar to ribosomal protein L38,110.19,2,12,13,0.203,0.201,0.256,0.341,0.232,0.200,0.212,0.356,117.1,2,11,16,0.241,0.363,0.156,0.241,0.183,0.138,0.357,0.322
IPI00580968.1,T-complex protein 1 subunit eta,1253.97,21,90,149,0.148,0.142,0.222,0.489,0.210,0.229,0.225,0.336,1230.61,23,136,130,0.212,0.342,0.137,0.308,0.127,0.159,0.368,0.346
IPI00580985.1,Calreticulin (Fragment),531.15,10,18,75,0.159,0.210,0.355,0.277,0.141,0.163,0.265,0.431,736.48,15,44,74,0.227,0.289,0.204,0.280,0.135,0.133,0.344,0.388
IPI00581054.1,Hypothetical protein,325.02,6,9,11,0.118,0.183,0.474,0.225,0.149,0.342,0.260,0.249,320.26,6,12,8,0.151,0.242,0.367,0.240,0.103,0.250,0.333,0.314
IPI00581055.3,76 kDa protein,185.75,4,10,12,0.149,0.470,0.240,0.141,0.224,0.423,0.181,0.172,188.31,4,10,1,0.240,0.399,0.263,0.099,0.167,0.328,0.358,0.147
IPI00581075.3,Sorting nexin 1,226.18,5,5,8,0.208,0.227,0.343,0.222,0.208,0.297,0.254,0.242,142.41,3,3,12,0.359,0.321,0.161,0.159,0.141,0.258,0.322,0.278
IPI00581078.3,Similar to SEC63 homolog,583.76,11,30,43,0.070,0.129,0.287,0.514,0.133,0.149,0.260,0.457,549.59,11,21,26,0.241,0.261,0.225,0.274,0.108,0.110,0.406,0.377
IPI00581160.3,Hypothetical protein,113.37,2,1,1,0.185,0.180,0.361,0.274,0.224,0.175,0.295,0.306,59.6,1,3,1,0.153,0.182,0.396,0.269,0.128,0.179,0.323,0.370
IPI00581165.2,Similar to nuclear pore complex protein hnup153,394.09,8,14,7,0.108,0.113,0.159,0.620,0.165,0.165,0.279,0.391,177.05,4,4,5,0.211,0.237,0.147,0.405,0.110,0.094,0.387,0.410
IPI00581192.3,Similar to isoleucyl-tRNA synthetase,252.84,5,19,3,0.148,0.115,0.162,0.575,0.164,0.370,0.243,0.223,87.8,2,10,2,0.233,0.275,0.124,0.368,0.124,0.216,0.328,0.333
IPI00581279.1,Similar to Signal recognition particle 54,365.73,6,7,21,0.146,0.175,0.253,0.425,0.148,0.150,0.247,0.455,110.06,3,6,14,0.193,0.215,0.250,0.343,0.115,0.129,0.339,0.417
IPI00581295.2,40S ribosomal protein S4,630.66,12,62,129,0.134,0.131,0.232,0.503,0.173,0.185,0.234,0.409,321.42,7,58,56,0.264,0.359,0.121,0.257,0.147,0.113,0.399,0.341
IPI00581378.1,Amidophosphoribosyltransferase precursor,310.73,7,10,10,0.196,0.155,0.384,0.265,0.166,0.247,0.289,0.298,320.47,7,14,13,0.220,0.268,0.259,0.253,0.126,0.172,0.367,0.335
IPI00581387.1,CAP23,419.5,8,13,4,0.469,0.302,0.115,0.114,0.493,0.167,0.153,0.188,287.31,5,8,4,0.583,0.215,0.104,0.097,0.540,0.081,0.195,0.184
IPI00581388.2,Similar to Leucine-rich repeats and calponin homology (CH) domain containing 3,383.99,9,10,11,0.498,0.229,0.158,0.115,0.459,0.146,0.169,0.226,138.13,3,9,2,0.506,0.240,0.088,0.165,0.304,0.146,0.267,0.283
IPI00581393.1,Similar to KIAA0174 protein,288.4,6,9,21,0.250,0.283,0.210,0.257,0.253,0.200,0.218,0.329,282.06,6,18,11,0.266,0.275,0.176,0.283,0.206,0.162,0.280,0.353
IPI00581409.1,Calcyclin binding protein,248.37,5,8,16,0.284,0.199,0.293,0.224,0.281,0.234,0.233,0.253,131.83,3,23,15,0.249,0.252,0.270,0.229,0.143,0.199,0.326,0.331
IPI00581466.3,Type II alpha-keratin IIC,196.58,4,2,11,0.154,0.199,0.316,0.332,0.287,0.251,0.221,0.240,106.44,2,10,3,0.322,0.331,0.124,0.224,0.215,0.229,0.300,0.256
IPI00581471.1,Programmed cell death protein 10,279.25,6,9,8,0.412,0.260,0.190,0.137,0.452,0.170,0.181,0.198,112.79,2,6,5,0.400,0.280,0.146,0.174,0.297,0.165,0.277,0.261
IPI00581512.1,"Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4 ",591.65,10,68,69,0.049,0.078,0.104,0.770,0.099,0.148,0.224,0.529,635.68,12,173,33,0.105,0.151,0.058,0.685,0.060,0.082,0.390,0.468
IPI00581530.3,Similar to GTP-binding protein RAB21,354.33,6,29,30,0.162,0.212,0.193,0.432,0.217,0.212,0.221,0.350,204.38,4,8,6,0.314,0.280,0.176,0.231,0.198,0.153,0.376,0.274
IPI00581565.3,Coiled-coil domain containing 134 ,179.58,4,6,27,0.146,0.211,0.347,0.297,0.122,0.177,0.269,0.432,132.91,3,10,7,0.192,0.259,0.231,0.317,0.153,0.130,0.314,0.403
IPI00581591.1,Integrin alpha 3A subunit cytoplasmic domain variant,112.27,2,11,15,0.331,0.266,0.194,0.209,0.424,0.187,0.157,0.233,51.7,1,5,2,0.484,0.244,0.150,0.122,0.266,0.173,0.280,0.281
IPI00581657.1,JC7,182.71,4,12,4,0.211,0.255,0.205,0.330,0.131,0.296,0.275,0.299,347.34,6,15,12,0.128,0.310,0.186,0.375,0.119,0.202,0.384,0.295
IPI00581678.3,WD repeat protein 1,732.37,14,27,45,0.242,0.171,0.400,0.186,0.222,0.319,0.231,0.228,614.64,11,46,36,0.354,0.253,0.211,0.181,0.201,0.211,0.314,0.275
IPI00581679.2,Similar to KIAA0851 protein,748.86,15,39,91,0.095,0.172,0.321,0.412,0.134,0.201,0.273,0.393,622.6,14,39,16,0.277,0.291,0.210,0.222,0.100,0.133,0.429,0.337
IPI00581742.1,"SPFH domain family, member 1",342.8,5,11,27,0.084,0.143,0.244,0.528,0.117,0.148,0.287,0.448,259.99,5,4,3,0.218,0.224,0.267,0.291,0.114,0.108,0.453,0.324
IPI00581871.4,Hypothetical protein LOC416883,645.46,13,31,47,0.369,0.210,0.202,0.219,0.389,0.165,0.187,0.259,399.57,9,31,14,0.383,0.314,0.126,0.178,0.204,0.161,0.339,0.296
IPI00581918.1,Developmentally regulated GTP binding protein 2,511.29,11,8,20,0.171,0.197,0.429,0.204,0.170,0.268,0.260,0.302,266.38,6,7,5,0.205,0.223,0.285,0.287,0.165,0.225,0.311,0.299
IPI00581952.1,Nucleoporin 210kDa-like,1045.77,19,26,33,0.246,0.291,0.294,0.168,0.265,0.268,0.236,0.231,999.38,18,40,18,0.327,0.318,0.209,0.146,0.219,0.231,0.287,0.263
IPI00581966.1,Hypothetical protein,364.83,5,14,9,0.056,0.119,0.307,0.518,0.120,0.137,0.290,0.452,252.81,5,7,13,0.210,0.216,0.317,0.256,0.097,0.095,0.425,0.383
IPI00581991.1,Similar to X-linked deafness dystonia protein,100.9,2,2,20,0.107,0.193,0.438,0.264,0.113,0.197,0.212,0.478,186.53,4,11,6,0.131,0.178,0.130,0.561,0.088,0.134,0.324,0.455
IPI00582016.2,Hypothetical protein,805.28,17,37,39,0.237,0.150,0.268,0.345,0.257,0.205,0.251,0.286,877.75,18,49,39,0.332,0.286,0.153,0.230,0.167,0.160,0.338,0.336
IPI00582041.1,Charged multivesicular body protein 4b,571.27,11,33,58,0.110,0.214,0.182,0.494,0.192,0.190,0.234,0.384,439.42,9,45,32,0.193,0.223,0.315,0.269,0.126,0.115,0.378,0.381
IPI00582043.1,Vacuolar protein sorting factor 4B,331.81,7,14,22,0.196,0.251,0.303,0.250,0.222,0.241,0.242,0.294,353.46,8,25,20,0.216,0.260,0.226,0.299,0.129,0.200,0.334,0.337
IPI00582060.3,"Similar to nuclear poly(C)-binding protein, splicevariant E, partial",467.58,7,19,73,0.109,0.125,0.322,0.444,0.128,0.314,0.258,0.300,399.72,7,33,30,0.199,0.358,0.119,0.325,0.120,0.189,0.355,0.336
IPI00582079.1,Ras-related protein Rab-2A,574.13,10,21,40,0.186,0.248,0.261,0.306,0.276,0.230,0.211,0.283,470.15,10,36,14,0.293,0.312,0.175,0.220,0.178,0.186,0.343,0.293
IPI00582091.4,Heat shock 70 kDa protein,1137.92,19,5,8,0.253,0.163,0.345,0.239,0.277,0.282,0.216,0.225,998.59,17,5,2,0.229,0.211,0.315,0.245,0.162,0.211,0.335,0.293
IPI00582104.1,"Replication protein A3, 14kDa ",85.49,2,3,1,0.157,0.196,0.276,0.372,0.183,0.214,0.282,0.321,46.11,1,4,6,0.268,0.284,0.159,0.289,0.165,0.179,0.308,0.349
IPI00582179.3,Similar to Gu protein,467.42,11,8,20,0.115,0.115,0.239,0.532,0.139,0.184,0.253,0.423,204.53,5,10,6,0.185,0.429,0.147,0.240,0.103,0.136,0.413,0.349
IPI00582188.2,Similar to fragile site-associated protein,85.47,2,3,10,0.378,0.249,0.168,0.205,0.393,0.182,0.193,0.232,100.15,2,4,2,0.611,0.214,0.090,0.086,0.163,0.195,0.337,0.306
IPI00582262.2,Similar to nucleoporin 210,1238.92,22,53,78,0.071,0.103,0.157,0.668,0.120,0.159,0.242,0.479,473.08,10,27,11,0.197,0.268,0.137,0.398,0.082,0.138,0.408,0.372
IPI00582392.1,Nucleosome assembly protein 1-like 1 ,538.46,9,36,51,0.146,0.144,0.428,0.283,0.163,0.340,0.252,0.245,544.39,10,37,40,0.202,0.276,0.274,0.248,0.131,0.231,0.347,0.290
IPI00582424.3,"Proteasome (prosome, macropain) 26S subunit, non-ATPase, 5 ",140.89,3,6,4,0.184,0.155,0.281,0.379,0.257,0.186,0.275,0.283,79.68,2,2,4,0.240,0.208,0.267,0.286,0.185,0.152,0.330,0.334
IPI00582452.2,Triosephosphate isomerase,967.48,16,69,145,0.108,0.222,0.478,0.193,0.124,0.426,0.233,0.218,904.16,16,114,136,0.164,0.300,0.333,0.203,0.108,0.257,0.348,0.288
IPI00582476.2,Similar to asparagine-linked glycosylation 11 homolog,114.31,2,5,10,0.083,0.137,0.248,0.532,0.098,0.194,0.280,0.427,51.64,1,3,3,0.228,0.304,0.203,0.266,0.114,0.151,0.380,0.355
IPI00582503.1,"LSM7 homolog, U6 small nuclear RNA associated",98.59,2,2,6,0.128,0.158,0.455,0.260,0.157,0.328,0.247,0.268,71.29,2,4,12,0.167,0.239,0.366,0.229,0.175,0.221,0.314,0.290
IPI00582536.1,Vacuolar protein sorting-associated protein 35 ,595.43,11,44,54,0.162,0.309,0.267,0.263,0.211,0.294,0.243,0.251,698.04,14,49,27,0.279,0.325,0.145,0.250,0.145,0.203,0.349,0.303
IPI00582583.2,"Similar to X-prolyl aminopeptidase (aminopeptidase P) 1, soluble",431.66,8,10,16,0.145,0.115,0.465,0.275,0.140,0.312,0.290,0.258,369.93,8,14,25,0.150,0.145,0.387,0.319,0.107,0.173,0.384,0.336
IPI00582590.2,Hypothetical protein,455.8,9,14,9,0.431,0.191,0.157,0.221,0.417,0.176,0.202,0.206,263.6,6,11,1,0.427,0.276,0.124,0.173,0.387,0.136,0.220,0.258
IPI00582600.2,Similar to ribosomal protein S20,243.83,4,25,18,0.161,0.154,0.228,0.457,0.199,0.181,0.237,0.384,224.3,4,21,13,0.261,0.397,0.126,0.216,0.222,0.112,0.363,0.303
IPI00582603.3,Similar to ATAD3A protein,833.86,16,51,27,0.048,0.072,0.092,0.787,0.138,0.172,0.213,0.477,640.78,13,51,9,0.143,0.176,0.068,0.613,0.089,0.087,0.387,0.437
IPI00582615.3,Similar to SCFD2 protein,81.71,1,2,6,0.153,0.215,0.434,0.199,0.129,0.242,0.288,0.342,139.15,3,2,1,0.186,0.272,0.304,0.238,0.123,0.161,0.349,0.367
IPI00582628.1,"Protein kinase, cAMP-dependent, catalytic, beta",163.94,3,12,14,0.274,0.203,0.252,0.271,0.326,0.198,0.246,0.230,151.39,3,24,18,0.442,0.234,0.153,0.171,0.229,0.129,0.343,0.300
IPI00582637.1,Hypothetical protein,741.86,12,18,13,0.098,0.152,0.215,0.535,0.150,0.220,0.260,0.370,292.83,6,14,1,0.181,0.245,0.198,0.376,0.122,0.119,0.345,0.414
IPI00582638.1,Hsp90 co-chaperone Cdc37,294.69,6,14,32,0.153,0.137,0.483,0.227,0.168,0.305,0.283,0.245,319.83,6,19,17,0.244,0.322,0.190,0.244,0.130,0.182,0.360,0.327
IPI00582727.3,104 kDa protein,235.77,5,9,5,0.463,0.180,0.205,0.153,0.342,0.195,0.220,0.242,131.13,2,3,1,0.387,0.261,0.176,0.176,0.120,0.113,0.309,0.458
IPI00582776.4,Similar to spermidine synthase,162.85,3,2,10,0.128,0.153,0.462,0.257,0.145,0.368,0.257,0.230,50.97,1,3,3,0.230,0.327,0.116,0.327,0.107,0.228,0.346,0.319
IPI00582808.4,Similar to cellular apoptosis susceptibility protein,781.69,15,36,61,0.126,0.110,0.463,0.300,0.116,0.350,0.279,0.255,920.99,20,56,51,0.179,0.314,0.233,0.274,0.111,0.219,0.366,0.305
IPI00582881.3,Ras-related protein Rab-14,230.9,5,6,11,0.262,0.260,0.202,0.276,0.338,0.232,0.183,0.247,198.75,4,12,6,0.372,0.308,0.175,0.144,0.157,0.229,0.334,0.280
IPI00582957.1,Similar to tRNA-Guanine Transglycosylase,488.69,9,33,72,0.131,0.171,0.370,0.329,0.152,0.370,0.250,0.228,553.3,11,43,57,0.224,0.296,0.178,0.301,0.124,0.229,0.335,0.312
IPI00583037.1,GTP-binding protein PTD004,283.84,6,16,31,0.144,0.138,0.463,0.255,0.140,0.319,0.264,0.277,509.58,10,20,33,0.211,0.219,0.334,0.236,0.120,0.230,0.331,0.319
IPI00583128.2,Similar to Prostaglandin F2 receptor negative regulator precursor,508.6,10,12,28,0.237,0.261,0.192,0.310,0.403,0.194,0.157,0.246,426.61,10,23,3,0.520,0.257,0.098,0.125,0.328,0.138,0.264,0.269
IPI00583208.2,Similar to ataxin-2,175.27,3,9,10,0.170,0.188,0.209,0.433,0.217,0.191,0.220,0.372,243.11,5,9,1,0.250,0.273,0.162,0.315,0.124,0.103,0.385,0.388
IPI00583240.1,Sodium/potassium-transporting ATPase alpha-2 chain,878.87,14,10,46,0.467,0.243,0.139,0.152,0.495,0.162,0.158,0.185,897.31,14,13,2,0.552,0.254,0.088,0.106,0.340,0.115,0.262,0.283
IPI00583285.1,Cytosolic purine 5'-nucleotidase ,294.49,6,10,23,0.165,0.120,0.330,0.385,0.197,0.215,0.301,0.287,420.54,9,19,23,0.210,0.219,0.287,0.284,0.135,0.146,0.389,0.331
IPI00583336.1,"Malate dehydrogenase, cytoplasmic",481.97,10,25,38,0.141,0.155,0.466,0.239,0.142,0.366,0.243,0.248,311.07,7,36,27,0.198,0.333,0.218,0.250,0.099,0.251,0.351,0.299
IPI00583457.2,Similar to Reticulocalbin 2,336.39,6,3,18,0.188,0.228,0.327,0.258,0.115,0.158,0.272,0.455,151.29,3,7,12,0.222,0.277,0.243,0.257,0.142,0.162,0.318,0.378
IPI00583504.3,35 kDa protein,335.81,6,24,68,0.073,0.147,0.265,0.515,0.112,0.143,0.299,0.445,276.63,5,35,17,0.242,0.236,0.281,0.241,0.097,0.105,0.411,0.387
IPI00583512.1,Nuclear calmodulin-binding protein (Fragment),491.84,10,26,31,0.096,0.106,0.313,0.486,0.101,0.252,0.305,0.342,219.93,5,16,17,0.138,0.368,0.153,0.341,0.128,0.156,0.381,0.335
IPI00583553.3,40 kDa protein,213.52,5,4,11,0.221,0.212,0.367,0.201,0.210,0.273,0.255,0.262,135.78,3,8,4,0.355,0.281,0.190,0.174,0.200,0.209,0.313,0.278
IPI00583593.3,"Similar to Phosphatidylinositol 4-kinase, catalytic, alpha polypeptide",408.57,8,12,14,0.495,0.216,0.125,0.164,0.542,0.123,0.157,0.177,218.49,5,17,6,0.578,0.237,0.081,0.104,0.377,0.110,0.280,0.233
IPI00583613.2,Hypothetical protein,136.46,3,7,33,0.185,0.171,0.270,0.375,0.159,0.160,0.221,0.459,82.98,2,14,12,0.239,0.397,0.140,0.223,0.172,0.119,0.368,0.341
IPI00583615.3,Vesicle-trafficking protein SEC22b,677.9,10,37,133,0.074,0.188,0.308,0.430,0.088,0.280,0.267,0.364,650.11,10,53,23,0.180,0.389,0.239,0.192,0.102,0.169,0.413,0.316
IPI00583673.3,Hypothetical protein,90.04,2,5,5,0.351,0.255,0.184,0.210,0.415,0.197,0.165,0.224,134.45,3,6,2,0.502,0.251,0.124,0.124,0.304,0.146,0.310,0.241
IPI00583677.3,Hypothetical protein,132.53,2,3,2,0.162,0.220,0.399,0.219,0.128,0.396,0.258,0.219,107.83,2,3,3,0.170,0.297,0.352,0.181,0.120,0.276,0.339,0.266
IPI00583712.3,18 kDa protein,88.92,2,4,5,0.161,0.168,0.242,0.430,0.166,0.194,0.232,0.408,53.94,1,4,1,0.298,0.310,0.142,0.249,0.136,0.190,0.332,0.342
IPI00583720.1,Similar to HINT-5,147.76,3,7,13,0.121,0.134,0.516,0.229,0.112,0.369,0.263,0.255,153.42,3,8,10,0.117,0.180,0.433,0.270,0.098,0.237,0.352,0.314
IPI00583766.1,"Tyrosyl-tRNA synthetase, cytoplasmic",1085.87,22,46,61,0.137,0.107,0.414,0.342,0.158,0.235,0.312,0.295,948.51,21,60,55,0.206,0.233,0.262,0.299,0.125,0.156,0.377,0.342
IPI00583854.3,Similar to myosin IB,167.4,3,3,5,0.402,0.228,0.172,0.198,0.468,0.176,0.168,0.187,250.82,6,9,5,0.382,0.217,0.130,0.272,0.320,0.123,0.297,0.261
IPI00583871.3,294 kDa protein,3645.31,70,157,317,0.128,0.155,0.222,0.495,0.177,0.154,0.187,0.482,1588.19,35,82,65,0.232,0.292,0.125,0.351,0.136,0.116,0.360,0.388
IPI00583893.3,Mitochondrial ribosomal protein L12 ,149.87,2,5,1,0.083,0.127,0.164,0.626,0.214,0.259,0.210,0.317,225.5,4,9,2,0.140,0.163,0.171,0.526,0.101,0.136,0.273,0.492
IPI00583918.1,FK506 bing protein 12,148.73,2,10,13,0.233,0.294,0.305,0.168,0.219,0.342,0.228,0.211,134.45,2,22,15,0.318,0.338,0.184,0.161,0.134,0.168,0.355,0.342
IPI00583929.1,Proteasome subunit beta-type,288.47,6,13,8,0.172,0.137,0.139,0.553,0.310,0.167,0.203,0.321,252.1,5,30,9,0.235,0.313,0.111,0.342,0.202,0.150,0.304,0.344
IPI00583937.3,Similar to UBQLN1 protein,281.26,5,5,10,0.195,0.153,0.326,0.326,0.240,0.222,0.229,0.308,81.15,2,3,3,0.158,0.184,0.264,0.393,0.133,0.196,0.338,0.332
IPI00583957.1,Low-density lipoprotein receptor precursor,340.52,6,18,25,0.210,0.295,0.214,0.282,0.326,0.220,0.171,0.283,422,8,34,8,0.414,0.289,0.145,0.151,0.266,0.192,0.326,0.217
IPI00583992.1,Ran GTPase activating protein 1,421.81,9,18,21,0.142,0.157,0.323,0.379,0.169,0.260,0.252,0.319,707.15,14,30,28,0.221,0.287,0.222,0.270,0.134,0.191,0.346,0.330
IPI00583993.3,Pyrophosphatase (inorganic) 1,486.04,9,21,49,0.148,0.153,0.499,0.201,0.140,0.377,0.249,0.235,406.26,8,35,51,0.200,0.260,0.309,0.231,0.116,0.257,0.337,0.291
IPI00584017.2,ADP-ribosylation factor 6,218.3,4,20,31,0.342,0.196,0.140,0.322,0.438,0.150,0.146,0.266,203.01,4,13,9,0.510,0.236,0.085,0.169,0.354,0.141,0.248,0.256
IPI00584049.1,"ATP synthase subunit beta, mitochondrial precursor",1260.76,19,73,78,0.076,0.107,0.148,0.669,0.116,0.146,0.223,0.515,1137.58,18,182,83,0.149,0.200,0.095,0.556,0.156,0.120,0.321,0.403
IPI00584061.2,46 kDa protein,126.88,3,4,7,0.184,0.171,0.382,0.263,0.149,0.335,0.249,0.266,79.84,2,4,5,0.200,0.229,0.377,0.194,0.121,0.232,0.337,0.311
IPI00584064.2,Similar to Tcerg1 protein,601.24,13,15,29,0.331,0.185,0.228,0.256,0.311,0.185,0.227,0.278,260.91,6,17,7,0.346,0.395,0.091,0.168,0.215,0.137,0.383,0.265
IPI00584152.1,Caspase-3,138.67,2,6,11,0.167,0.176,0.404,0.253,0.146,0.372,0.249,0.234,155.69,3,4,3,0.123,0.207,0.390,0.280,0.109,0.288,0.329,0.275
IPI00584168.1,TNF receptor-associated protein 1,352.02,6,30,35,0.153,0.119,0.374,0.353,0.148,0.371,0.266,0.215,353.27,6,28,16,0.199,0.386,0.123,0.291,0.119,0.189,0.337,0.355
IPI00584175.1,Farnesyl pyrophosphate synthetase,635.84,12,26,62,0.134,0.158,0.488,0.220,0.148,0.374,0.250,0.228,448.84,9,53,66,0.230,0.272,0.250,0.249,0.125,0.227,0.343,0.305
IPI00584215.2,Similar to ribosomal protein S15 isoform 1,140.48,3,25,47,0.160,0.183,0.186,0.472,0.216,0.187,0.224,0.374,224.45,5,33,20,0.264,0.417,0.095,0.224,0.182,0.125,0.354,0.339
IPI00584282.3,Casein kinase II subunit alpha,276.18,6,11,15,0.171,0.134,0.310,0.385,0.186,0.209,0.274,0.331,219.72,5,21,11,0.182,0.226,0.292,0.300,0.137,0.161,0.378,0.325
IPI00584300.2,Hypothetical protein,1156.84,21,70,74,0.158,0.127,0.188,0.527,0.232,0.203,0.223,0.342,953.4,19,88,74,0.247,0.294,0.134,0.324,0.142,0.140,0.330,0.389
IPI00584306.1,EF hand-containing protein 1,291.93,5,6,5,0.329,0.270,0.287,0.114,0.282,0.246,0.211,0.261,168.81,4,10,1,0.299,0.233,0.249,0.219,0.144,0.197,0.351,0.308
IPI00584318.3,Hypothetical protein,374.13,7,25,22,0.437,0.249,0.151,0.163,0.481,0.185,0.154,0.181,288.38,5,15,21,0.509,0.235,0.135,0.120,0.376,0.128,0.274,0.222
IPI00584342.2,Similar to KIAA0674 protein,964.26,17,27,37,0.198,0.377,0.275,0.149,0.224,0.311,0.257,0.208,397.44,8,22,9,0.208,0.369,0.211,0.212,0.145,0.204,0.340,0.312
IPI00584357.2,"Solute carrier family 7 (cationic amino acid transporter, y+ system), member 6",96.51,2,4,27,0.422,0.281,0.171,0.126,0.484,0.193,0.167,0.156,103.66,2,10,2,0.583,0.218,0.084,0.115,0.450,0.140,0.240,0.171
IPI00584482.1,Hypothetical protein,272.45,5,38,30,0.190,0.171,0.248,0.390,0.184,0.206,0.223,0.387,308.93,7,36,18,0.235,0.334,0.151,0.280,0.185,0.130,0.327,0.358
