Lead gene name,Lead ID,Lead protein name,Majority protein IDs,Organellar markers,Profiled in how many Control Maps,Log2 Ratio H/L Con1_03K,Log2 Ratio H/L Con1_06K,Log2 Ratio H/L Con1_12K,Log2 Ratio H/L Con1_24K,Log2 Ratio H/L Con1_80K,Log2 Ratio H/L Con2_03K,Log2 Ratio H/L Con2_06K,Log2 Ratio H/L Con2_12K,Log2 Ratio H/L Con2_24K,Log2 Ratio H/L Con2_80K,Log2 Ratio H/L Con3_03K,Log2 Ratio H/L Con3_06K,Log2 Ratio H/L Con3_12K,Log2 Ratio H/L Con3_24K,Log2 Ratio H/L Con3_80K
BTF3L4,Q96K17,Transcription factor BTF3 homolog 4,Q96K17;Q96K17-2,,3,1.300006547,1.651912745,0.047259175,-0.758623505,-0.531990226,1.256829515,1.128821281,-0.428313483,-1.004624027,-0.767093699,0.741057041,0.678432534,-0.703243072,-1.714349215,-1.301337
BUB3,O43684,Mitotic checkpoint protein BUB3,O43684;O43684-2,,3,0.427284346,0.853356969,-0.776701027,-1.707406697,-2.03368767,0.511973982,0.750606505,-0.795834237,-1.57209352,-1.777986851,0.10259095,0.695726623,-0.704300482,-1.754333974,-2.00427671
BUD31,P41223,Protein BUD31 homolog,P41223;P41223-2,,3,0.777451278,0.928048109,-0.418214925,-1.438815635,-1.672036768,0.412510571,0.700972307,-0.487722538,-1.279809106,-1.499524247,0.098150021,0.516418642,-0.708844407,-1.523131015,-1.854544264
BYSL,Q13895,Bystin,Q13895,,3,0.198494154,1.176641918,0.290896181,-0.522426281,-1.561920108,0.125122061,0.718789028,-0.093894444,-0.59254935,-1.863808614,-0.409680631,0.908659217,-0.519217876,-0.978520273,-1.999423037
BZW1,Q7L1Q6,Basic leucine zipper and W2 domain-containing protein 1,Q7L1Q6;Q7L1Q6-4;Q7L1Q6-3;Q7L1Q6-2,,3,1.808714537,1.668209914,0.277389699,-0.613917481,-0.88803391,1.687911717,1.257131341,-0.045014612,-0.807982631,-1.117255232,1.403267722,1.137765808,-0.131660914,-1.081033751,-1.376282939
BZW2,Q9Y6E2,Basic leucine zipper and W2 domain-containing protein 2,Q9Y6E2,,3,1.693364288,1.596410431,0.243425362,-0.655671421,-0.989735757,1.556306784,1.209016592,-0.096036233,-0.826335255,-1.132767724,1.262312878,1.094033335,-0.190783142,-1.073089693,-1.466376852
C12orf57,Q99622,Protein C10,Q99622,,3,-0.084853924,0.358958826,-0.040007338,-0.233023279,-0.036244763,0.217602977,0.09895848,-0.176886544,-0.292051209,-0.131898016,0.000721167,-0.030457144,-0.36481212,-0.518081122,-0.198096385
C14orf166,Q9Y224,UPF0568 protein C14orf166,Q9Y224,,3,1.967353084,1.617909665,-0.241236326,-1.266489466,-1.322902243,1.861518719,1.285993972,-0.259201932,-1.148129053,-1.221051338,1.78947887,1.290424404,-0.222885426,-1.24649815,-1.377294502
C15orf40,Q8WUR7,UPF0235 protein C15orf40,Q8WUR7;Q8WUR7-2;Q8WUR7-3,,2,-0.247268533,0.128557365,1.078473209,0.108624815,-0.192661566,0.066674763,0.187007567,0.633384709,0.269870983,-0.04473184,,,,,
C17orf59,Q96GS4,Uncharacterized protein C17orf59,Q96GS4,,1,,,,,,,,,,,0.292428393,0.281787257,-0.796811375,-0.389961443,0.123931008
C17orf62,Q9BQA9,Uncharacterized protein C17orf62,Q9BQA9;Q9BQA9-2,,1,,,,,,0.548041987,-0.579706251,-0.736653044,0.993130871,2.486946009,,,,,
C17orf75,Q9HAS0,Protein Njmu-R1,Q9HAS0,,2,0.872710582,1.534310665,0.151209393,-0.560047141,-0.962350702,1.160081168,0.791439026,0.193582525,-0.477502267,-1.09028065,,,,,
C18orf8,Q96DM3,Uncharacterized protein C18orf8,Q96DM3,,3,1.707127178,-0.605244423,-1.317354794,-0.078365636,1.832120372,1.70593368,-0.506926579,-1.272610991,0.568032105,1.942270517,1.95419631,-0.327094971,-1.085404863,0.349478515,1.884363476
C19orf53,Q9UNZ5,Leydig cell tumor 10 kDa protein homolog,Q9UNZ5,,3,0.762986565,0.249870047,-1.26392338,-2.066366936,-2.022917945,0.674822184,0.060877473,-1.690777237,-2.005666478,-2.220748686,0.507921465,0.014355293,-1.478828625,-2.122051628,-2.216786435
C1QBP,Q07021,"Complement component 1 Q subcomponent-binding protein, mitochondrial",Q07021,,3,-1.113442049,-0.612924262,3.327399946,5.373335002,5.894890502,-1.010250611,-0.615485952,3.304204364,5.383151297,5.58877459,-0.814387138,-0.344666491,3.563890277,5.456379059,5.799553619
C1QTNF6,Q9BXI9,Complement C1q tumor necrosis factor-related protein 6,Q9BXI9;Q9BXI9-2;Q9BXI9-3,,1,,,,,,0.710525442,-0.856763334,-0.721729717,1.726308091,2.873183235,,,,,
C21orf33,P30042,"ES1 protein homolog, mitochondrial",P30042;P30042-2,,3,-1.112381152,-0.632136936,3.387500406,5.140983105,7.577655412,-0.988046435,-0.611292453,3.294047233,4.956381966,5.606767923,-0.838434744,-0.361453453,3.461790463,5.448900951,5.430352187
C21orf59,P57076,UPF0769 protein C21orf59,P57076,,2,0.482125464,0.436161839,-0.018965715,-0.457771671,-0.614049962,0.14912927,0.372394965,-0.249050548,-0.466855318,-0.87863972,,,,,
C2CD5,Q86YS7-2,C2 domain-containing protein 5,Q86YS7-2;Q86YS7-3;Q86YS7-4;Q86YS7;Q86YS7-5,,2,-0.418157091,-0.261949907,-0.252621194,0.890874671,2.021728446,-0.370545455,-0.363846398,0.163885117,-1.07810671,-1.096714873,,,,,
C2orf43,Q9H6V9,UPF0554 protein C2orf43,Q9H6V9;Q9H6V9-2;Q9H6V9-3;Q9H6V9-4,,1,,,,,,-0.408167419,-0.737663065,-0.331263617,1.006836577,1.014712352,,,,,
C2orf47,Q8WWC4,"Uncharacterized protein C2orf47, mitochondrial",Q8WWC4,,3,-1.136791008,-0.546940785,2.943377518,4.791032617,4.039752549,-1.108611923,-0.601715308,2.983458812,4.45936604,4.256784236,-1.005985155,-0.413268878,3.338424415,5.327543662,5.36110159
C4BPB,P20851,C4b-binding protein beta chain,P20851;P20851-2,,1,,,,,,0.39758394,-0.933049756,-0.666003882,0.371726122,3.209016592,,,,,
C7orf50,Q9BRJ6,Uncharacterized protein C7orf50,Q9BRJ6,,3,1.641592269,1.425459305,-0.845261267,-1.875301312,-2.334607229,1.634825568,0.741315967,-1.01356722,-1.950034733,-2.240861214,1.472123802,1.184915004,-1.007028591,-2.045848367,-2.45292533
C8orf33,Q9H7E9,UPF0488 protein C8orf33,Q9H7E9;Q9H7E9-2,,3,1.682213702,1.930737338,0.254352163,-0.828127073,-1.121486518,1.171719239,1.022545365,-0.359823331,-0.938984225,-1.207294546,1.344544474,1.199688048,-0.285424761,-1.252466512,-1.565374441
C8orf82,Q6P1X6,UPF0598 protein C8orf82,Q6P1X6;Q6P1X6-2,,1,,,,,,,,,,,-1.00129901,-0.472309069,3.464014725,2.802606834,3.298790263
CA9,Q16790,Carbonic anhydrase 9,Q16790,,1,,,,,,,,,,,0.850479411,0.713431883,0.596839754,1.282973489,2.920483868
CAB39,Q9Y376,Calcium-binding protein 39,Q9Y376,,3,-0.432415614,-0.301692606,-0.483641875,-0.215663539,0.256527627,-0.489443105,-0.465061888,-0.680798288,0.069839625,0.486868801,-0.636795274,-0.531468814,-0.635584452,-0.265795479,0.278936315
CACYBP,Q9HB71,Calcyclin-binding protein,Q9HB71;Q9HB71-3,,3,0.59091335,0.96790637,0.180911663,-0.346169528,-0.839105621,0.545078762,0.613060107,-0.024120399,-0.518432387,-0.990853515,0.435628594,0.668209914,-0.137171742,-0.736556888,-1.098381979
CAD,P27708,CAD protein,P27708,,3,-0.24696033,0.124725152,-0.223390631,-0.234108867,-0.779521449,-0.302955717,-0.05574124,-0.282070288,-0.296598032,-0.967673423,-0.154361422,-0.115363009,-0.156450235,-0.722205642,-0.928374606
CADM1,Q9BY67,Cell adhesion molecule 1,Q9BY67;Q9BY67-5;Q9BY67-4;Q9BY67-3;Q9BY67-2,Plasma membrane,2,-0.694321257,-0.400663161,-0.151474202,0.913875539,2.252082561,,,,,,-0.642121491,-0.382024531,0.177471364,1.136519533,2.159532314
CALD1,Q05682-3,Caldesmon,Q05682-3;Q05682-6;Q05682-2,Actin binding proteins,3,-1.261327265,-0.009175805,0.865918815,0.636450617,0.552770524,-1.122177238,-0.100035551,0.877901269,0.774333758,0.716420286,-1.184654109,-0.171498397,0.799833335,0.779217689,0.786596362
CALM1,P62158,Calmodulin,P62158,,3,-0.798566876,-0.381817737,-0.338524009,0.24610401,1.306087216,-0.633076351,-0.48360153,-0.305396118,0.411643176,1.266396773,-0.713402689,-0.452629144,-0.139950967,0.273336847,1.42282503
CALR,P27797,Calreticulin,P27797,ER,3,0.493954694,-0.819444727,-0.720397961,1.181993025,3.650419925,0.505179567,-0.819215609,-0.516862691,1.778587076,3.814037648,0.693676517,-0.654376536,-0.560515155,1.557973676,3.916094423
CALU,O43852,Calumenin,O43852;O43852-3;O43852-6;O43852-15;O43852-5;O43852-9;O43852-10,,3,0.564134243,-0.663076826,-0.638366373,0.975043158,2.463648611,0.632175135,-0.683877434,-0.445499554,1.38084025,2.398432464,0.674189443,-0.580245395,-0.506660091,1.135403531,2.466601019
CALU,O43852-4,Calumenin,O43852-4;O43852-2;O43852-8,,2,0.63747114,-0.638590956,-0.678048822,0.983166916,2.555300815,,,,,,0.610794538,-0.698857229,-0.600599187,1.271306144,2.423981478
CAMK2D,Q13557-12,Calcium/calmodulin-dependent protein kinase type II subunit delta,Q13557-12;Q13557;Q13557-8;Q13557-10;Q13557-6;Q13557-11;Q13557-9;Q13557-5;Q13557-3;Q13557-4,,2,1.461423785,1.816517791,0.398678716,-0.939675867,-1.214240226,1.320657964,1.38122799,-0.143436527,-1.059074037,-1.232192678,,,,,
CAMK2G,Q13555-8,Calcium/calmodulin-dependent protein kinase type II subunit gamma,Q13555-8;Q13555-9;Q13555-2;Q13555-6;Q13555;Q13555-4;Q13555-5,,3,1.486971744,1.550900665,0.221567789,-0.814691616,-1.184293423,1.432050758,1.290129465,-0.21720565,-1.035579187,-1.343293133,0.896078055,0.74691466,-0.49872902,-1.527949002,-1.804904423
CAMSAP2,Q08AD1,Calmodulin-regulated spectrin-associated protein 2,Q08AD1;Q08AD1-2;Q08AD1-3,,2,0.14912927,1.992623429,0.211884402,-0.556966297,-1.145796843,1.444242994,1.369326884,0.095721922,-0.804980038,-1.412154991,,,,,
CAND1,Q86VP6,Cullin-associated NEDD8-dissociated protein 1,Q86VP6;Q86VP6-2,,3,-0.487601164,0.116630912,-0.443850199,-0.932581559,-1.344611532,-0.444066079,-0.088423455,-0.48582218,-0.933242587,-1.310468238,-0.356236146,0.21673422,-0.313351569,-1.056431188,-1.272227633
CANT1,Q8WVQ1,Soluble calcium-activated nucleotidase 1,Q8WVQ1;Q8WVQ1-3;Q8WVQ1-2,,3,-0.918524018,-0.113769837,1.07231164,1.754631,2.253686783,-0.692991229,-0.514923584,0.717736734,1.918577055,2.194906532,-0.817663654,-0.253326068,0.753775664,1.43023174,2.647222395
CANX,P27824,Calnexin,P27824;P27824-2;P27824-3,ER,3,0.470719061,-0.642166521,-0.734539099,0.93960272,3.415893845,0.512075149,-0.681098967,-0.598325849,1.399717984,3.459693903,0.630871383,-0.504448091,-0.56260179,1.291014101,3.611408481
CAP1,Q01518,Adenylyl cyclase-associated protein 1,Q01518;Q01518-2,,3,-0.995361985,-0.572393827,-0.666988524,-0.69560578,-0.277796308,-1.023005896,-0.748359671,-0.897355305,-0.577508629,-0.436178041,-0.832821939,-0.44373246,-0.398683816,-0.801003034,-0.0289697
CAP2,P40123,Adenylyl cyclase-associated protein 2,P40123;P40123-2,,1,,,,,,-0.820361565,-0.742578966,-0.851677585,-0.254341002,-0.82966469,,,,,
CAPG,P40121,Macrophage-capping protein,P40121;P40121-2,,3,-1.631242824,-0.753579751,-1.209461481,-0.990394843,-0.320936583,-1.735235398,-1.517007197,-1.595358417,-1.151938975,-0.700591209,-1.472208998,-0.737278212,-0.811244617,-1.308573036,-0.104743918
CAPN2,P17655,Calpain-2 catalytic subunit,P17655;P17655-2,,1,,,,,,-1.321026692,-1.128156351,-1.587966432,-0.618251496,-0.231040799,,,,,
CAPNS1,P04632,Calpain small subunit 1,P04632,,3,-1.662779879,-1.035194772,-1.23779578,-1.026263837,-0.529864048,-1.711511498,-1.011617061,-2.079965913,-1.283737768,-0.505471743,-1.385412643,-0.728096294,-0.895904928,-1.61922623,0.023610215
CAPRIN1,Q14444,Caprin-1,Q14444;Q14444-2,,3,2.487100413,1.889629291,-0.250113951,-1.228232715,-0.877287529,2.440394142,1.53216732,-0.48055874,-1.25721766,-1.041328046,2.246438491,1.394129957,-0.624154275,-1.586405918,-1.137774776
CAPZA1,P52907,F-actin-capping protein subunit alpha-1,P52907,,3,0.086783766,0.532067552,-0.098474652,-0.419468562,-0.443438155,0.075874867,0.223793216,-0.264859126,-0.37984529,-0.455435483,-0.023049873,0.172743517,-0.137774776,-0.51084759,-0.477502267
CAPZA2,P47755,F-actin-capping protein subunit alpha-2,P47755;P47755-2,,3,0.082293836,0.40206725,-0.080179417,-0.310343006,-0.380033026,0.19496955,0.179765808,-0.272001152,-0.132830996,-0.206811596,-0.022903288,0.220206113,-0.14193941,-0.272471576,-0.20398376
CAPZB,P47756-2,F-actin-capping protein subunit beta,P47756-2;P47756,,3,0.093154488,0.421909973,-0.116457381,-0.38933773,-0.362232116,0.161436266,0.187007567,-0.24331826,-0.286198626,-0.370620064,0.034779158,0.190172345,-0.13028649,-0.494454546,-0.362974091
CARS,P49589-3,"Cysteine--tRNA ligase, cytoplasmic",P49589-3;P49589,,3,0.645701659,1.105745116,-0.001169057,-0.792981774,-1.211598263,0.551294521,0.707082992,-0.347802647,-0.960580817,-1.250577291,0.504366151,0.60530468,-0.335207719,-1.203701281,-1.453043822
CARS2,Q9HA77,"Probable cysteine--tRNA ligase, mitochondrial",Q9HA77,Mitochondrion,3,-1.193766694,-0.6314663,2.025489533,2.225213222,1.780939959,-1.049098656,-0.715580628,3.066915812,5.057103637,5.340491058,-0.962097728,-0.423410143,2.919645181,3.58183327,3.612352499
CASC3,O15234,Protein CASC3,O15234,,1,,,,,,1.580965513,1.445355919,-0.068558988,-0.876598664,-1.295305064,,,,,
CASC4,Q6P4E1,Protein CASC4,Q6P4E1;Q6P4E1-2;Q6P4E1-5;Q6P4E1-4,,1,,,,,,,,,,,-0.772111089,-0.151762664,0.506195692,1.886355044,2.403431346
CASK,O14936,Peripheral plasma membrane protein CASK,O14936;O14936-3;O14936-4;O14936-6;O14936-2;O14936-5,,2,,,,,,-0.703994928,-0.609486386,-0.019726044,1.327687364,2.976876829,-0.426974555,-0.334625422,0.151339301,0.973868385,2.218781168
CASKIN2,Q8WXE0,Caskin-2,Q8WXE0;Q8WXE0-2,,1,,,,,,0.721678885,0.476640909,0.00992041,-0.342835637,-0.571235845,,,,,
CAST,P20810-10,Calpastatin,P20810-10;P20810-6;P20810-9;P20810-7;P20810-5;P20810;P20810-8;P20810-4;P20810-2;P20810-3,,3,1.466392198,1.836772469,0.468426919,-0.457078339,-1.017650707,1.325328844,1.501311749,0.033370138,-0.664448144,-1.15293313,0.917317175,1.272739878,0.053806444,-0.838047841,-1.3693336
CAT,P04040,Catalase,P04040,Peroxisome,3,0.761455493,-0.78799104,-0.713260764,0.953078953,3.786387261,0.781485616,-0.709292511,-0.586514232,1.361992886,3.87282876,0.799087306,-0.62531103,-0.581324287,1.267415943,3.773257915
CAV1,Q03135,Caveolin-1,Q03135,,3,-0.840164176,-0.091110253,0.52747075,0.716156852,1.387362541,-0.77571271,-0.166486471,0.680234326,1.147111287,1.440739631,-0.753652723,-0.224351006,0.560910561,0.788769222,1.48722907
CAV2,P51636,Caveolin-2,P51636;P51636-2,,2,-0.946860853,-0.088684239,0.470302579,0.670930955,1.396543134,-0.855979743,-0.199686096,0.690372395,0.888928292,1.258157075,,,,,
CBR1,P16152,Carbonyl reductase [NADPH] 1,P16152,,3,-1.228875047,-0.785079444,-0.827205288,-0.904170075,0.027437183,-1.089758552,-0.982705177,-1.212333514,-0.87318569,-0.260117342,-1.027028023,-0.696353666,-0.456147817,-0.979970803,0.105275783
CBR4,Q8N4T8,Carbonyl reductase family member 4,Q8N4T8;Q8N4T8-2,,1,,,,,,,,,,,-0.80236103,-0.464803021,3.217432369,2.813483645,3.116098552
CBS,P35520,Cystathionine beta-synthase,P35520;P35520-2,,3,-1.2344992,-0.94608237,-1.444380143,-1.111788637,-0.719518726,-1.464504386,-1.187575708,-0.984302625,-1.40312209,-0.845805675,-1.229044129,-0.752048189,-1.080728574,-1.6127257,-0.580978954
CBX3,Q13185,Chromobox protein homolog 3,Q13185,,1,,,,,,-2.187838614,-0.312419677,-0.436763756,-0.680659534,-0.478125101,,,,,
CC2D1A,Q6P1N0,Coiled-coil and C2 domain-containing protein 1A,Q6P1N0,,3,1.620867884,1.4875378,0.15924166,-0.5987846,-0.904710168,1.476692747,1.174342496,-0.075884908,-0.701482442,-1.037443574,1.189856179,0.709643545,-0.299116444,-1.273029315,-1.532031947
CCAR1,Q8IX12,Cell division cycle and apoptosis regulator protein 1,Q8IX12;Q8IX12-2,,1,,,,,,-2.002483572,-0.221454974,-0.754090633,-1.978577129,-1.912835912,,,,,
CCAR2,Q8N163,Cell cycle and apoptosis regulator protein 2,Q8N163;Q8N163-2,,1,,,,,,,,,,,-1.063258426,0.261229909,-0.614072043,-1.606561833,-1.420665355
CCBL2,Q6YP21,Kynurenine--oxoglutarate transaminase 3,Q6YP21;Q6YP21-3,,2,-1.328326187,-0.655944177,1.566181934,2.1567202,2.290896181,,,,,,-0.903819124,-0.39333037,1.794603015,2.116664178,2.958749894
CCDC124,Q96CT7,Coiled-coil domain-containing protein 124,Q96CT7,,3,2.257342581,1.971773447,1.195914485,0.079838881,-1.693854441,2.209203797,1.888733509,1.058316496,-0.029455528,-1.79992258,1.943846331,1.722553458,1.030618586,0.000721167,-1.805156488
CCDC127,Q96BQ5,Coiled-coil domain-containing protein 127,Q96BQ5,,1,,,,,,,,,,,-0.755405162,-0.421109579,2.904329945,4.655809754,4.941998327
CCDC132,Q96JG6,Coiled-coil domain-containing protein 132,Q96JG6,,3,2.068086048,1.995773933,0.289716448,-0.875327777,-1.017475463,1.520246223,1.559442866,-0.354685694,-0.877049038,-1.104666353,1.634546804,1.386700602,-0.155533999,-1.130112805,-1.585842813
CCDC134,Q9H6E4,Coiled-coil domain-containing protein 134,Q9H6E4,,3,0.484602194,-0.634128327,-0.643563172,1.530170648,3.443076151,0.629193397,-0.728359191,-0.370638717,1.51893793,2.805333734,0.579373267,-0.682719089,-0.781132056,1.257191698,2.267535798
CCDC25,Q86WR0,Coiled-coil domain-containing protein 25,Q86WR0;Q86WR0-2,,3,1.043624477,0.665483733,0.029841557,-0.758892025,-0.624977255,0.734048403,0.646807808,-0.366280512,-0.972308047,-1.232938502,0.399225792,0.160533009,-0.531844212,-1.199089749,-1.391644923
CCDC47,Q96A33,Coiled-coil domain-containing protein 47,Q96A33;Q96A33-2,,3,0.544089667,-0.769206746,-0.737037731,1.193771743,3.905543451,0.522055749,-0.805459024,-0.556011509,1.796929943,4.177439471,0.662023157,-0.681237764,-0.635158663,1.440420721,4.090938093
CCDC51,Q96ER9,Coiled-coil domain-containing protein 51,Q96ER9;Q96ER9-2,,3,-1.176674545,-0.673692765,2.997707902,3.34879896,5.271537729,-1.132577925,-0.68466564,2.969896447,4.195426346,3.12951383,-0.935641358,-0.607924421,3.103699049,3.428142391,4.16695641
CCDC58,Q4VC31,Coiled-coil domain-containing protein 58,Q4VC31,,3,-1.432532433,-0.685036709,2.12124754,2.914143517,3.340277405,-1.180397209,-0.511526123,2.534559685,3.10331299,3.897434063,-0.35850946,0.502432447,3.485426827,3.745344912,4.227047898
CCDC59,Q9P031,Thyroid transcription factor 1-associated protein 26,Q9P031,,2,0.675273972,0.960289284,-0.540820219,-1.432143073,-1.898618858,0.355241844,0.382611923,-0.557985434,-1.291450756,-1.777492168,,,,,
CCDC86,Q9H6F5,Coiled-coil domain-containing protein 86,Q9H6F5,,1,,,,,,-1.327203565,1.089091319,-0.057076437,-0.89558282,-1.78791631,,,,,
CCNA2,P20248,Cyclin-A2,P20248,,1,,,,,,0.397693455,0.774080691,-0.42728492,-1.036910646,-1.515315321,,,,,
CCNB1,P14635,G2/mitotic-specific cyclin-B1,P14635;P14635-2,,3,1.165365299,1.164721928,0.366811773,0.079975377,-0.08196494,0.693587315,0.608430781,-0.05325417,-0.281035664,-0.652357019,0.372394965,-0.116535582,-0.433857043,-0.745599458,-0.926618468
CCNB2,O95067,G2/mitotic-specific cyclin-B2,O95067,,2,0.494364405,-0.085512014,-0.723205595,-0.285459928,0.065434446,0.965100862,0.141694362,-0.266437406,0.157431827,-0.036881045,,,,,
CCNH,P51946,Cyclin-H,P51946,,1,,,,,,,,,,,-0.845287186,-0.311040863,-0.25169335,-1.041832905,-1.05256574
CCNK,O75909,Cyclin-K,O75909;O75909-4;O75909-1;O75909-2,,2,,,,,,0.766467953,0.37784561,-1.03584538,-1.721087467,-2.27900365,0.538935409,0.455018097,-0.731901017,-2.059314536,-2.250645946
CCNT1,O60563,Cyclin-T1,O60563,,2,,,,,,1.367706537,1.523361219,-0.067439869,-0.975226447,-1.477462094,-0.051728095,0.561692721,0.092072095,-0.928676658,-1.523172481
CCT2,P78371,T-complex protein 1 subunit beta,P78371;P78371-2,Large Protein Complex,3,-0.520148613,-0.016176402,0.113033665,0.556208672,0.235604533,-0.571343027,-0.286145849,0.105409894,0.750949452,0.16889872,-0.466576194,-0.099989163,0.209890007,0.408168371,0.261350279
CCT3,P49368,T-complex protein 1 subunit gamma,P49368;P49368-2,Large Protein Complex,3,-0.510724255,-0.003857147,0.123666196,0.549422746,0.309059743,-0.471868808,-0.277376599,0.125915549,0.652325868,0.2083924,-0.445499554,-0.125321051,0.187261005,0.415650514,0.298892881
CCT4,P50991,T-complex protein 1 subunit delta,P50991;P50991-2,Large Protein Complex,3,-0.177881725,0.274768566,0.184851546,0.24902051,-0.046027092,-0.198659207,0.042784398,0.130140135,0.270110276,-0.129986502,-0.329504067,0.032241931,0.048654702,0.023326332,-0.214909845
CCT5,P48643,T-complex protein 1 subunit epsilon,P48643;P48643-2,Large Protein Complex,3,-0.481102344,-0.017417053,0.120882733,0.554048507,0.272620455,-0.529530814,-0.252500884,0.144568518,0.691266147,0.16774328,-0.449059945,-0.110261696,0.178619043,0.396926676,0.244278199
CCT6A,P40227,T-complex protein 1 subunit zeta,P40227;P40227-2,Large Protein Complex,3,-0.489868502,-0.010759244,0.102456577,0.598460492,0.357946053,-0.503241114,-0.273203652,0.06060083,0.638583615,0.234623941,-0.437076235,-0.117505629,0.185232254,0.426103701,0.313478058
CCT7,Q99832,T-complex protein 1 subunit eta,Q99832;Q99832-3;Q99832-4;Q99832-2,Large Protein Complex,3,-0.357474011,0.133695033,0.21238257,0.44010174,0.128029389,-0.410217341,-0.149136583,0.152507948,0.505687719,0.045303168,-0.401082217,-0.072103546,0.163369914,0.270947487,0.071488106
CCT8,P50990,T-complex protein 1 subunit theta,P50990;P50990-2;P50990-3,Large Protein Complex,3,-0.526535166,-0.021423608,0.088684372,0.594644089,0.320542442,-0.561707148,-0.294951029,0.060739158,0.664573859,0.193077822,-0.500034239,-0.152820852,0.171975377,0.414568547,0.3068455
CCZ1,P86791,Vacuolar fusion protein CCZ1 homolog,P86791;P86790,Endosome,3,1.301002256,-0.628608416,-1.14193941,0.013783815,1.653197629,1.149584553,-0.609266289,-1.212166378,0.55424502,1.794603015,1.51212573,-0.402016006,-1.052116941,0.240131118,1.963363143
CD109,Q6YHK3,CD109 antigen,Q6YHK3;Q6YHK3-4;Q6YHK3-2,Plasma membrane,3,-0.463966999,-0.316079019,-0.385393798,0.442014566,2.387748531,-0.279704021,-0.413903025,-0.335043924,0.72368961,2.439490164,-0.255770001,-0.334061546,-0.33509852,0.466548817,2.390199917
CD151,P48509,CD151 antigen,P48509,,3,-0.338542252,-0.557327159,-0.408780174,0.592923408,2.299508434,-0.115316125,-0.396156488,-0.479090021,0.761200156,2.359464946,-0.26091232,-0.450616686,-0.485074853,0.471759742,2.156008221
CD276,Q5ZPR3,CD276 antigen,Q5ZPR3;Q5ZPR3-4;Q5ZPR3-3;Q5ZPR3-2,,3,-0.308412237,-0.374187141,-0.457632978,0.393855477,2.389511746,-0.439304608,-0.520728042,-0.337320517,0.894837161,2.008200014,-0.468012267,-0.692361644,-0.471568707,0.312781328,2.448345962
CD2AP,Q9Y5K6,CD2-associated protein,Q9Y5K6,,3,1.501362709,1.751549415,0.220206113,-0.715817559,-0.948140701,1.224842921,1.187134291,-0.164059761,-0.85425734,-1.100298443,0.892585315,0.836408932,-0.217004411,-1.138124016,-1.297466565
CD2BP2,O95400,CD2 antigen cytoplasmic tail-binding protein 2,O95400,,2,,,,,,0.377623538,0.279530726,-0.521224881,-0.979629371,-1.410274858,-0.003669107,0.465086379,-0.32789152,-1.300874843,-1.410466596
CD320,Q9NPF0,CD320 antigen,Q9NPF0;Q9NPF0-2,,2,0.695726623,-0.569414977,-0.870360887,0.246347277,1.486199493,,,,,,0.231309516,-1.092893978,-1.286937703,0.004033901,1.201382936
CD3EAP,O15446,DNA-directed RNA polymerase I subunit RPA34,O15446;O15446-2,,1,,,,,,-0.94227941,-0.451602834,-0.955927681,-1.549789064,-1.968209599,,,,,
CD44,P16070,CD44 antigen,P16070;P16070-16;P16070-8;P16070-17;P16070-6;P16070-3;P16070-7;P16070-5;P16070-18;P16070-12;P16070-14;P16070-13;P16070-11;P16070-10;P16070-4,Plasma membrane,3,-0.72406325,-0.328742865,-0.129512965,0.704960471,2.947946628,-0.563283795,-0.410850148,-0.078517967,0.937419727,2.916189988,-0.454071157,-0.378006768,-0.054332373,0.809002775,2.900103608
CD46,P15529-4,Membrane cofactor protein,P15529-4;P15529-7;P15529-6;P15529-3;P15529-5;P15529-2;P15529-16,Plasma membrane,3,-0.46048878,-0.349713355,-0.327330269,0.480058269,2.317767139,-0.220345248,-0.322000231,-0.357603402,0.839234028,2.320686843,-0.178795939,-0.358269022,-0.351737055,0.575699579,2.327399946
CD47,Q08722,Leukocyte surface antigen CD47,Q08722;Q08722-3;Q08722-4;Q08722-2,Plasma membrane,2,,,,,,-0.268921053,-0.459794141,-0.466895198,0.650121176,1.983422328,-0.084165546,-0.167506908,-0.163429485,0.661111098,1.955163988
CD55,P08174,Complement decay-accelerating factor,P08174;P08174-2;P08174-4;P08174-3;P08174-5;P08174-6;P08174-7,,3,-0.458227471,-0.312975155,-0.367973805,0.406210109,2.394157403,-0.289633259,-0.418542694,-0.410044805,0.607484193,2.358508792,-0.235806735,-0.248193535,-0.251590293,0.489029064,2.291190964
CD58,P19256-3,Lymphocyte function-associated antigen 3,P19256-3;P19256;P19256-2,Plasma membrane,1,,,,,,-0.28056244,-0.267565806,-0.349272198,0.688135588,2.115632576,,,,,
CD59,P13987,CD59 glycoprotein,P13987,Plasma membrane,3,-0.413230454,-0.202339512,-0.307483529,0.382390583,1.990737079,-0.227573776,-0.362083767,-0.396783157,0.504467853,1.88631602,-0.137949385,-0.248656258,-0.278531091,0.435095152,1.944108799
CD63,P08962,CD63 antigen,P08962;P08962-3;P08962-2,,3,1.402558473,-0.718117809,-0.915636339,1.009848767,2.590027078,1.333709954,-0.859744866,-0.96826605,1.524665509,2.617227945,1.0767643,-0.791832375,-0.944221276,1.286171451,2.570851483
