UniProt Accession for Protein Group,UniProt Protein Description,Peptides,PSMs,Protein Coverage (%),Normalized TMT 10-plex reporter ion distribution,,,,,,,,,
Q8VBZ3,Cleft lip and palate transmembrane protein 1 homolog GN=Clptm1 PE=1 SV=1 - [CLPT1_MOUSE],11,23,25.9,0.002,0.062,0.088,0.138,0.200,0.222,0.154,0.094,0.018,0.021
Q8VCH8,UBX domain-containing protein 4 GN=Ubxn4 PE=1 SV=1 - [UBXN4_MOUSE],11,23,28.7,0.003,0.044,0.083,0.128,0.197,0.272,0.139,0.091,0.023,0.020
Q9D1G5,Leucine-rich repeat-containing protein 57 GN=Lrrc57 PE=2 SV=1 - [LRC57_MOUSE],11,23,56.1,0.007,0.199,0.150,0.166,0.218,0.136,0.075,0.024,0.014,0.012
O08756,3-hydroxyacyl-CoA dehydrogenase type-2 GN=Hsd17b10 PE=1 SV=4 - [HCD2_MOUSE],11,22,60.9,0.002,0.013,0.013,0.017,0.032,0.095,0.381,0.263,0.046,0.138
P16460,Argininosuccinate synthase GN=Ass1 PE=1 SV=1 - [ASSY_MOUSE],11,22,29.9,0.314,0.081,0.103,0.096,0.085,0.074,0.048,0.034,0.041,0.124
Q9CRB9,"Coiled-coil-helix-coiled-coil-helix domain-containing protein 3, mitochondrial GN=Chchd3 PE=1 SV=1 - [CHCH3_MOUSE]",11,22,41.9,0.001,0.008,0.011,0.015,0.022,0.099,0.334,0.274,0.112,0.122
P57759,Endoplasmic reticulum resident protein 29 GN=Erp29 PE=1 SV=2 - [ERP29_MOUSE],11,21,47.7,0.021,0.055,0.092,0.124,0.205,0.241,0.149,0.078,0.014,0.020
P62900,60S ribosomal protein L31 GN=Rpl31 PE=2 SV=1 - [RL31_MOUSE],11,21,48.0,0.115,0.043,0.058,0.057,0.076,0.105,0.103,0.050,0.071,0.322
P97314,Cysteine and glycine-rich protein 2 GN=Csrp2 PE=1 SV=3 - [CSRP2_MOUSE],11,21,54.4,0.037,0.148,0.086,0.093,0.127,0.104,0.095,0.041,0.140,0.129
Q8VH51-2,Isoform 2 of RNA-binding protein 39 GN=Rbm39 - [RBM39_MOUSE],11,21,25.0,0.192,0.024,0.037,0.031,0.039,0.050,0.057,0.038,0.294,0.239
Q8VHK9,Probable ATP-dependent RNA helicase DHX36 GN=Dhx36 PE=2 SV=2 - [DHX36_MOUSE],11,21,16.1,0.151,0.050,0.068,0.063,0.070,0.083,0.070,0.043,0.124,0.278
Q91VK1,Basic leucine zipper and W2 domain-containing protein 2 GN=Bzw2 PE=1 SV=1 - [BZW2_MOUSE],11,21,28.2,0.243,0.070,0.070,0.057,0.067,0.052,0.060,0.063,0.113,0.205
Q920E5,Farnesyl pyrophosphate synthase GN=Fdps PE=2 SV=1 - [FPPS_MOUSE],11,21,43.3,0.618,0.065,0.098,0.055,0.066,0.034,0.032,0.015,0.006,0.010
Q99KQ4,Nicotinamide phosphoribosyltransferase GN=Nampt PE=1 SV=1 - [NAMPT_MOUSE],11,21,35.0,0.448,0.079,0.108,0.080,0.086,0.052,0.034,0.029,0.025,0.059
Q9CQE8,UPF0568 protein C14orf166 homolog PE=2 SV=1 - [CN166_MOUSE],11,21,42.2,0.206,0.043,0.056,0.052,0.065,0.079,0.069,0.044,0.102,0.284
Q9D6J6,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial GN=Ndufv2 PE=1 SV=2 - [NDUV2_MOUSE]",11,21,48.0,0.002,0.010,0.012,0.017,0.033,0.085,0.365,0.258,0.082,0.135
P38060,"Hydroxymethylglutaryl-CoA lyase, mitochondrial GN=Hmgcl PE=1 SV=2 - [HMGCL_MOUSE]",11,20,44.0,0.002,0.011,0.016,0.023,0.036,0.095,0.404,0.237,0.023,0.154
Q64213-2,Isoform CW17E of Splicing factor 1 GN=Sf1 - [SF01_MOUSE],11,20,25.5,0.162,0.025,0.038,0.028,0.030,0.043,0.045,0.028,0.374,0.228
Q6PDM2,Serine/arginine-rich splicing factor 1 GN=Srsf1 PE=1 SV=3 - [SRSF1_MOUSE],11,20,40.7,0.272,0.021,0.040,0.014,0.021,0.020,0.035,0.018,0.482,0.078
Q8K2K6-3,Isoform 3 of Arf-GAP domain and FG repeat-containing protein 1 GN=Agfg1 - [AGFG1_MOUSE],11,20,23.6,0.070,0.104,0.090,0.077,0.092,0.119,0.123,0.064,0.102,0.160
Q8K354,Carbonyl reductase [NADPH] 3 GN=Cbr3 PE=2 SV=1 - [CBR3_MOUSE],11,20,48.0,0.451,0.078,0.110,0.090,0.089,0.061,0.048,0.033,0.015,0.026
Q99J47,Dehydrogenase/reductase SDR family member 7B GN=Dhrs7b PE=2 SV=1 - [DRS7B_MOUSE],11,20,44.6,0.000,0.054,0.063,0.091,0.150,0.169,0.238,0.113,0.053,0.068
Q99L13,"3-hydroxyisobutyrate dehydrogenase, mitochondrial GN=Hibadh PE=2 SV=1 - [3HIDH_MOUSE]",11,20,37.6,0.003,0.009,0.014,0.018,0.024,0.104,0.351,0.339,0.006,0.132
P50136,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial GN=Bckdha PE=1 SV=1 - [ODBA_MOUSE]",11,19,35.1,0.010,0.016,0.015,0.024,0.033,0.097,0.380,0.238,0.039,0.146
Q07417,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial GN=Acads PE=2 SV=2 - [ACADS_MOUSE]",11,19,32.8,0.003,0.012,0.016,0.021,0.029,0.099,0.383,0.267,0.029,0.141
Q80U72;Q80U72-4,Protein scribble homolog GN=Scrib PE=1 SV=2 - [SCRIB_MOUSE]|Isoform 3 of Protein scribble homolog GN=Scrib - [SCRIB_MOUSE]|Isoform 4 of Protein scribble homolog GN=Scrib - [SCRIB_MOUSE],11,19,2.2,0.000,0.206,0.133,0.161,0.172,0.184,0.128,0.016,0.000,0.000
P70460,Vasodilator-stimulated phosphoprotein GN=Vasp PE=1 SV=4 - [VASP_MOUSE],11,18,36.3,0.099,0.197,0.138,0.145,0.156,0.094,0.061,0.021,0.058,0.032
Q5SUF2,Luc7-like protein 3 GN=Luc7l3 PE=1 SV=1 - [LC7L3_MOUSE],11,18,32.2,0.180,0.024,0.037,0.025,0.039,0.053,0.056,0.035,0.293,0.259
Q62074,Protein kinase C iota type GN=Prkci PE=1 SV=3 - [KPCI_MOUSE],11,18,27.2,0.048,0.216,0.145,0.156,0.158,0.130,0.084,0.023,0.010,0.030
Q62188,Dihydropyrimidinase-related protein 3 GN=Dpysl3 PE=1 SV=1 - [DPYL3_MOUSE],11,18,24.6,0.141,0.081,0.090,0.087,0.081,0.078,0.086,0.154,0.070,0.131
Q8JZK9,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic GN=Hmgcs1 PE=1 SV=1 - [HMCS1_MOUSE]",11,18,31.3,0.527,0.088,0.110,0.074,0.078,0.047,0.024,0.014,0.017,0.021
O35454,Chloride transport protein 6 GN=Clcn6 PE=1 SV=1 - [CLCN6_MOUSE],11,17,20.8,0.002,0.065,0.116,0.207,0.281,0.216,0.070,0.026,0.010,0.007
P14152,"Malate dehydrogenase, cytoplasmic GN=Mdh1 PE=1 SV=3 - [MDHC_MOUSE]",11,17,46.7,0.535,0.074,0.113,0.083,0.073,0.054,0.025,0.019,0.009,0.016
P26638,"Serine--tRNA ligase, cytoplasmic GN=Sars PE=2 SV=3 - [SYSC_MOUSE]",11,17,35.2,0.486,0.091,0.125,0.089,0.088,0.053,0.025,0.010,0.017,0.016
Q3UPF5,Zinc finger CCCH-type antiviral protein 1 GN=Zc3hav1 PE=1 SV=1 - [ZCCHV_MOUSE],11,17,15.4,0.061,0.087,0.100,0.102,0.135,0.163,0.114,0.051,0.059,0.128
Q6PE01,U5 small nuclear ribonucleoprotein 40 kDa protein GN=Snrnp40 PE=2 SV=1 - [SNR40_MOUSE],11,17,53.6,0.113,0.012,0.020,0.017,0.020,0.026,0.034,0.030,0.292,0.435
Q78IK4,Apolipoprotein O-like GN=Apool PE=2 SV=1 - [APOOL_MOUSE],11,17,51.3,0.001,0.012,0.012,0.017,0.025,0.088,0.352,0.266,0.103,0.124
Q8BYB9,Protein O-glucosyltransferase 1 GN=Poglut1 PE=2 SV=2 - [PGLT1_MOUSE],11,17,35.5,0.010,0.048,0.080,0.119,0.183,0.234,0.167,0.074,0.045,0.039
Q8QZS1,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial GN=Hibch PE=1 SV=1 - [HIBCH_MOUSE]",11,17,28.6,0.019,0.013,0.020,0.027,0.039,0.101,0.369,0.257,0.020,0.135
Q99LI7,Cleavage stimulation factor subunit 3 GN=Cstf3 PE=1 SV=1 - [CSTF3_MOUSE],11,17,21.2,0.057,0.007,0.013,0.010,0.012,0.015,0.039,0.033,0.391,0.425
Q9CXF4,TBC1 domain family member 15 GN=Tbc1d15 PE=1 SV=1 - [TBC15_MOUSE],11,17,21.2,0.329,0.113,0.138,0.116,0.108,0.075,0.044,0.027,0.021,0.029
Q9JIG7,Coiled-coil domain-containing protein 22 GN=Ccdc22 PE=1 SV=1 - [CCD22_MOUSE],11,17,22.6,0.024,0.051,0.072,0.139,0.298,0.196,0.083,0.035,0.020,0.083
Q9Z1D1,Eukaryotic translation initiation factor 3 subunit G GN=Eif3g PE=1 SV=2 - [EIF3G_MOUSE],11,17,40.9,0.413,0.063,0.088,0.060,0.058,0.054,0.032,0.022,0.037,0.174
O08749,"Dihydrolipoyl dehydrogenase, mitochondrial GN=Dld PE=1 SV=2 - [DLDH_MOUSE]",11,16,33.6,0.003,0.010,0.015,0.019,0.029,0.091,0.352,0.316,0.040,0.126
O70311,Glycylpeptide N-tetradecanoyltransferase 2 GN=Nmt2 PE=1 SV=1 - [NMT2_MOUSE],11,16,24.8,0.096,0.037,0.047,0.042,0.044,0.049,0.053,0.040,0.053,0.539
P51174,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial GN=Acadl PE=2 SV=2 - [ACADL_MOUSE]",11,16,26.5,0.003,0.012,0.018,0.023,0.033,0.101,0.398,0.247,0.029,0.136
Q61136,Serine/threonine-protein kinase PRP4 homolog GN=Prpf4b PE=1 SV=3 - [PRP4B_MOUSE],11,16,9.8,0.154,0.017,0.025,0.022,0.031,0.041,0.038,0.029,0.313,0.330
Q6NVF9,Cleavage and polyadenylation specificity factor subunit 6 GN=Cpsf6 PE=1 SV=1 - [CPSF6_MOUSE],11,16,24.3,0.177,0.019,0.036,0.024,0.032,0.052,0.048,0.028,0.297,0.288
Q8VCM8,Nicalin GN=Ncln PE=2 SV=2 - [NCLN_MOUSE],11,16,20.6,0.004,0.053,0.067,0.095,0.146,0.241,0.227,0.099,0.036,0.034
Q91YM4,Protein TBRG4 GN=Tbrg4 PE=2 SV=1 - [TBRG4_MOUSE],11,16,22.9,0.001,0.013,0.014,0.018,0.034,0.098,0.386,0.240,0.052,0.144
Q9WV70,Nucleolar complex protein 2 homolog GN=Noc2l PE=1 SV=2 - [NOC2L_MOUSE],11,16,17.5,0.136,0.015,0.025,0.027,0.033,0.040,0.046,0.040,0.352,0.285
Q9Z1X4,Interleukin enhancer-binding factor 3 GN=Ilf3 PE=1 SV=2 - [ILF3_MOUSE],11,16,20.0,0.156,0.017,0.025,0.018,0.029,0.035,0.041,0.022,0.444,0.213
Q8BJY1,26S proteasome non-ATPase regulatory subunit 5 GN=Psmd5 PE=1 SV=4 - [PSMD5_MOUSE],11,15,37.7,0.474,0.086,0.115,0.077,0.090,0.060,0.038,0.015,0.017,0.028
Q8CEC6,Peptidylprolyl isomerase domain and WD repeat-containing protein 1 GN=Ppwd1 PE=2 SV=2 - [PPWD1_MOUSE],11,15,22.0,0.152,0.019,0.034,0.023,0.024,0.035,0.043,0.063,0.221,0.385
Q8CHY6,Transcriptional repressor p66 alpha GN=Gatad2a PE=1 SV=2 - [P66A_MOUSE],11,15,21.3,0.048,0.009,0.012,0.009,0.019,0.036,0.119,0.164,0.494,0.090
Q8JZX4,Splicing factor 45 GN=Rbm17 PE=1 SV=1 - [SPF45_MOUSE],11,15,24.2,0.155,0.012,0.026,0.015,0.023,0.028,0.039,0.037,0.234,0.430
Q8VCN5,Cystathionine gamma-lyase GN=Cth PE=1 SV=1 - [CGL_MOUSE],11,15,33.9,0.460,0.096,0.112,0.082,0.092,0.064,0.030,0.016,0.011,0.038
Q91VA6,Polymerase delta-interacting protein 2 GN=Poldip2 PE=2 SV=1 - [PDIP2_MOUSE],11,15,31.5,0.004,0.014,0.015,0.021,0.032,0.087,0.405,0.229,0.048,0.145
Q9DC29,"ATP-binding cassette sub-family B member 6, mitochondrial GN=Abcb6 PE=1 SV=1 - [ABCB6_MOUSE]",11,15,19.6,0.003,0.101,0.130,0.202,0.312,0.143,0.067,0.021,0.014,0.008
O35604,Niemann-Pick C1 protein GN=Npc1 PE=1 SV=2 - [NPC1_MOUSE],11,14,13.3,0.001,0.102,0.149,0.200,0.301,0.142,0.074,0.022,0.005,0.005
P28867,Protein kinase C delta type GN=Prkcd PE=1 SV=3 - [KPCD_MOUSE],11,14,22.4,0.089,0.167,0.166,0.165,0.158,0.155,0.060,0.024,0.004,0.011
Q06335-2,Isoform 2 of Amyloid-like protein 2 GN=Aplp2 - [APLP2_MOUSE],11,14,15.0,0.004,0.059,0.100,0.204,0.292,0.186,0.095,0.040,0.009,0.012
Q3UA06,Pachytene checkpoint protein 2 homolog GN=Trip13 PE=2 SV=1 - [PCH2_MOUSE],11,14,32.2,0.368,0.108,0.130,0.116,0.101,0.079,0.032,0.021,0.018,0.027
Q3ULF4,Paraplegin GN=Spg7 PE=1 SV=1 - [SPG7_MOUSE],11,14,18.7,0.002,0.016,0.021,0.024,0.032,0.096,0.367,0.220,0.091,0.131
Q3UW53,Protein Niban GN=Fam129a PE=1 SV=2 - [NIBAN_MOUSE],11,14,21.5,0.047,0.197,0.202,0.210,0.170,0.117,0.035,0.015,0.001,0.005
Q5SVQ0-4,Isoform 4 of Histone acetyltransferase KAT7 GN=Kat7 - [KAT7_MOUSE],11,14,20.1,0.075,0.007,0.016,0.016,0.023,0.038,0.100,0.157,0.409,0.159
Q64378,Peptidyl-prolyl cis-trans isomerase FKBP5 GN=Fkbp5 PE=1 SV=1 - [FKBP5_MOUSE],11,14,21.1,0.465,0.057,0.082,0.053,0.074,0.061,0.051,0.038,0.038,0.081
Q8BGR2,Leucine-rich repeat-containing protein 8D GN=Lrrc8d PE=2 SV=1 - [LRC8D_MOUSE],11,14,17.1,0.003,0.114,0.120,0.157,0.165,0.240,0.128,0.053,0.012,0.009
Q99JB8,Protein kinase C and casein kinase II substrate protein 3 GN=Pacsin3 PE=1 SV=1 - [PACN3_MOUSE],11,14,34.7,0.017,0.184,0.129,0.173,0.228,0.110,0.088,0.025,0.028,0.018
Q9CQ56,Vesicle transport protein USE1 GN=Use1 PE=2 SV=1 - [USE1_MOUSE],11,14,35.2,0.005,0.056,0.073,0.136,0.233,0.215,0.163,0.069,0.027,0.021
Q9CWP6,Motile sperm domain-containing protein 2 GN=Mospd2 PE=1 SV=2 - [MSPD2_MOUSE],11,14,23.7,0.019,0.080,0.114,0.136,0.195,0.229,0.121,0.076,0.009,0.020
Q9CXT8,Mitochondrial-processing peptidase subunit beta GN=Pmpcb PE=2 SV=1 - [MPPB_MOUSE],11,14,29.4,0.008,0.021,0.018,0.019,0.037,0.092,0.417,0.207,0.033,0.147
Q9D287,Pre-mRNA-splicing factor SPF27 GN=Bcas2 PE=2 SV=1 - [SPF27_MOUSE],11,14,42.7,0.158,0.020,0.031,0.027,0.031,0.037,0.049,0.051,0.264,0.330
Q9JHJ0,Tropomodulin-3 GN=Tmod3 PE=1 SV=1 - [TMOD3_MOUSE],11,14,38.9,0.135,0.095,0.093,0.108,0.091,0.215,0.129,0.047,0.073,0.014
E9PZJ8,Activating signal cointegrator 1 complex subunit 3 GN=Ascc3 PE=2 SV=1 - [ASCC3_MOUSE],11,13,6.6,0.175,0.056,0.069,0.065,0.072,0.090,0.063,0.046,0.079,0.285
O89001,Carboxypeptidase D GN=Cpd PE=1 SV=2 - [CBPD_MOUSE],11,13,10.1,0.002,0.036,0.105,0.232,0.283,0.219,0.077,0.035,0.003,0.008
P15208,Insulin receptor GN=Insr PE=1 SV=2 - [INSR_MOUSE],11,13,8.8,0.000,0.193,0.140,0.184,0.176,0.166,0.089,0.037,0.005,0.010
P54731,FAS-associated factor 1 GN=Faf1 PE=1 SV=2 - [FAF1_MOUSE],11,13,19.3,0.514,0.066,0.096,0.072,0.074,0.066,0.031,0.024,0.029,0.027
Q08481-3,Isoform 3 of Platelet endothelial cell adhesion molecule GN=Pecam1 - [PECA1_MOUSE],11,13,22.1,0.003,0.131,0.150,0.189,0.200,0.173,0.101,0.038,0.007,0.008
Q3UM45,Protein phosphatase 1 regulatory subunit 7 GN=Ppp1r7 PE=1 SV=2 - [PP1R7_MOUSE],11,13,34.6,0.453,0.097,0.116,0.095,0.097,0.060,0.037,0.012,0.021,0.012
Q6PAV2-2,Isoform 2 of Probable E3 ubiquitin-protein ligase HERC4 GN=Herc4 - [HERC4_MOUSE],11,13,20.2,0.415,0.086,0.118,0.094,0.103,0.069,0.039,0.026,0.020,0.031
Q7TSY8,Shugoshin-like 2 GN=Sgol2 PE=1 SV=1 - [SGOL2_MOUSE],11,13,13.1,0.060,0.005,0.010,0.015,0.017,0.055,0.103,0.233,0.385,0.117
Q8BHN1,Gamma-taxilin GN=Txlng PE=1 SV=1 - [TXLNG_MOUSE],11,13,23.3,0.154,0.056,0.068,0.058,0.059,0.072,0.080,0.115,0.125,0.215
Q8BIP0,"Aspartate--tRNA ligase, mitochondrial GN=Dars2 PE=2 SV=1 - [SYDM_MOUSE]",11,13,20.1,0.006,0.017,0.018,0.022,0.036,0.104,0.352,0.269,0.037,0.139
Q8BRN9,Coiled-coil and C2 domain-containing protein 1B GN=Cc2d1b PE=1 SV=1 - [C2D1B_MOUSE],11,13,14.7,0.135,0.135,0.134,0.118,0.132,0.089,0.055,0.056,0.050,0.096
Q8C6P8-2,Isoform 2 of Zinc finger protein 57 GN=Zfp57 - [ZFP57_MOUSE],11,13,31.3,0.302,0.027,0.048,0.037,0.033,0.046,0.066,0.090,0.164,0.187
Q8CEC0-3,Isoform 3 of Nuclear pore complex protein Nup88 GN=Nup88 - [NUP88_MOUSE],11,13,20.9,0.078,0.043,0.043,0.041,0.048,0.057,0.069,0.074,0.321,0.225
Q8VDC0,"Probable leucine--tRNA ligase, mitochondrial GN=Lars2 PE=2 SV=1 - [SYLM_MOUSE]",11,13,12.2,0.010,0.016,0.019,0.023,0.025,0.118,0.314,0.324,0.028,0.123
Q99KK2,N-acylneuraminate cytidylyltransferase GN=Cmas PE=1 SV=2 - [NEUA_MOUSE],11,13,27.1,0.039,0.012,0.013,0.015,0.025,0.041,0.136,0.177,0.431,0.111
Q9R0K7,Plasma membrane calcium-transporting ATPase 2 GN=Atp2b2 PE=1 SV=2 - [AT2B2_MOUSE],11,13,11.6,0.005,0.221,0.131,0.151,0.192,0.152,0.113,0.023,0.005,0.007
B2RY04,Dedicator of cytokinesis protein 5 GN=Dock5 PE=1 SV=2 - [DOCK5_MOUSE],11,12,7.3,0.037,0.118,0.112,0.106,0.099,0.113,0.096,0.119,0.116,0.085
P63005,Platelet-activating factor acetylhydrolase IB subunit alpha GN=Pafah1b1 PE=1 SV=2 - [LIS1_MOUSE],11,12,32.7,0.164,0.096,0.115,0.108,0.094,0.083,0.068,0.070,0.082,0.120
P97770,THUMP domain-containing protein 3 GN=Thumpd3 PE=2 SV=1 - [THUM3_MOUSE],11,12,23.0,0.470,0.095,0.109,0.081,0.087,0.055,0.032,0.020,0.018,0.033
Q6P9R2,Serine/threonine-protein kinase OSR1 GN=Oxsr1 PE=1 SV=1 - [OXSR1_MOUSE],11,12,28.5,0.236,0.153,0.128,0.125,0.128,0.073,0.048,0.032,0.030,0.045
Q7TQE6,Macoilin GN=Tmem57 PE=2 SV=1 - [MACOI_MOUSE],11,12,17.3,0.006,0.059,0.081,0.114,0.160,0.228,0.166,0.103,0.050,0.033
Q8BYL4,"Tyrosine--tRNA ligase, mitochondrial GN=Yars2 PE=2 SV=2 - [SYYM_MOUSE]",11,12,30.9,0.009,0.015,0.016,0.025,0.037,0.103,0.365,0.229,0.054,0.148
Q8C0T5,Signal-induced proliferation-associated 1-like protein 1 GN=Sipa1l1 PE=1 SV=2 - [SI1L1_MOUSE],11,12,8.5,0.047,0.095,0.101,0.087,0.090,0.208,0.167,0.059,0.069,0.077
Q8K389,CDK5 regulatory subunit-associated protein 2 GN=Cdk5rap2 PE=1 SV=3 - [CK5P2_MOUSE],11,12,6.2,0.083,0.027,0.033,0.036,0.038,0.106,0.169,0.209,0.158,0.141
Q8R3N6,THO complex subunit 1 GN=Thoc1 PE=1 SV=1 - [THOC1_MOUSE],11,12,18.1,0.131,0.013,0.024,0.019,0.029,0.037,0.054,0.059,0.323,0.311
Q8VHR5,Transcriptional repressor p66-beta GN=Gatad2b PE=1 SV=1 - [P66B_MOUSE],11,12,23.6,0.054,0.016,0.012,0.024,0.020,0.048,0.102,0.164,0.472,0.088
Q9JHP7,KDEL motif-containing protein 1 GN=Kdelc1 PE=1 SV=1 - [KDEL1_MOUSE],11,12,29.3,0.013,0.052,0.089,0.130,0.179,0.245,0.146,0.093,0.024,0.030
Q3UKC1,Tax1-binding protein 1 homolog GN=Tax1bp1 PE=1 SV=2 - [TAXB1_MOUSE],11,11,11.7,0.063,0.178,0.179,0.170,0.138,0.111,0.064,0.039,0.028,0.030
Q3V1T4,Prolyl 3-hydroxylase 1 GN=Lepre1 PE=2 SV=2 - [P3H1_MOUSE],11,11,26.9,0.019,0.043,0.074,0.122,0.193,0.242,0.196,0.076,0.011,0.024
Q62388,Serine-protein kinase ATM GN=Atm PE=1 SV=2 - [ATM_MOUSE],11,11,4.1,0.043,0.020,0.029,0.036,0.039,0.061,0.104,0.143,0.337,0.188
Q64512,Tyrosine-protein phosphatase non-receptor type 13 GN=Ptpn13 PE=1 SV=2 - [PTN13_MOUSE],11,11,5.3,0.012,0.194,0.163,0.171,0.140,0.153,0.083,0.037,0.028,0.019
Q6KCD5,Nipped-B-like protein GN=Nipbl PE=1 SV=1 - [NIPBL_MOUSE],11,11,3.5,0.038,0.004,0.009,0.009,0.016,0.042,0.109,0.228,0.413,0.131
Q6RT24,Centromere-associated protein E GN=Cenpe PE=1 SV=1 - [CENPE_MOUSE],11,11,5.7,0.151,0.058,0.065,0.056,0.057,0.083,0.094,0.086,0.163,0.186
Q80TA6,Myotubularin-related protein 12 GN=Mtmr12 PE=2 SV=2 - [MTMRC_MOUSE],11,11,19.4,0.104,0.140,0.135,0.118,0.119,0.110,0.057,0.054,0.054,0.109
Q8CCP0,Nuclear export mediator factor Nemf GN=Nemf PE=1 SV=2 - [NEMF_MOUSE],11,11,11.6,0.283,0.069,0.088,0.079,0.074,0.092,0.055,0.034,0.066,0.160
Q8K019,Bcl-2-associated transcription factor 1 GN=Bclaf1 PE=1 SV=2 - [BCLF1_MOUSE],11,11,13.6,0.261,0.026,0.037,0.028,0.040,0.059,0.063,0.041,0.161,0.284
Q8K4R9,Disks large-associated protein 5 GN=Dlgap5 PE=1 SV=2 - [DLGP5_MOUSE],11,11,21.3,0.223,0.095,0.081,0.065,0.081,0.067,0.059,0.066,0.189,0.073
Q91YE5,Bromodomain adjacent to zinc finger domain protein 2A GN=Baz2a PE=1 SV=2 - [BAZ2A_MOUSE],11,11,6.7,0.029,0.005,0.007,0.005,0.012,0.035,0.117,0.177,0.511,0.103
P62806,Histone H4 GN=Hist1h4a PE=1 SV=2 - [H4_MOUSE],10,103,60.2,0.033,0.009,0.007,0.010,0.013,0.040,0.115,0.199,0.490,0.083
P32037,"Solute carrier family 2, facilitated glucose transporter member 3 GN=Slc2a3 PE=1 SV=1 - [GTR3_MOUSE]",10,57,18.3,0.000,0.126,0.158,0.188,0.210,0.162,0.112,0.032,0.007,0.006
P43276,Histone H1.5 GN=Hist1h1b PE=1 SV=2 - [H15_MOUSE],10,57,32.3,0.042,0.008,0.011,0.011,0.019,0.036,0.123,0.144,0.490,0.117
P14869,60S acidic ribosomal protein P0 GN=Rplp0 PE=1 SV=3 - [RLA0_MOUSE],10,50,53.9,0.116,0.044,0.066,0.063,0.078,0.116,0.100,0.063,0.061,0.293
P63242,Eukaryotic translation initiation factor 5A-1 GN=Eif5a PE=1 SV=2 - [IF5A1_MOUSE],10,37,68.8,0.222,0.058,0.079,0.075,0.072,0.087,0.066,0.062,0.099,0.179
Q6PHN9,Ras-related protein Rab-35 GN=Rab35 PE=1 SV=1 - [RAB35_MOUSE],10,33,61.2,0.004,0.183,0.149,0.178,0.219,0.139,0.079,0.026,0.016,0.008
O54734,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit GN=Ddost PE=1 SV=2 - [OST48_MOUSE],10,32,27.0,0.000,0.045,0.073,0.102,0.150,0.250,0.178,0.126,0.048,0.028
Q9CQA3,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial GN=Sdhb PE=1 SV=1 - [DHSB_MOUSE]",10,28,52.5,0.001,0.013,0.016,0.023,0.030,0.098,0.356,0.262,0.068,0.130
Q9DB20,"ATP synthase subunit O, mitochondrial GN=Atp5o PE=1 SV=1 - [ATPO_MOUSE]",10,28,50.2,0.001,0.010,0.014,0.018,0.028,0.081,0.388,0.231,0.091,0.139
Q8BP67,60S ribosomal protein L24 GN=Rpl24 PE=2 SV=2 - [RL24_MOUSE],10,27,37.6,0.117,0.045,0.059,0.066,0.083,0.114,0.107,0.049,0.065,0.295
Q9D0L7,Armadillo repeat-containing protein 10 GN=Armc10 PE=1 SV=1 - [ARM10_MOUSE],10,27,49.7,0.009,0.015,0.020,0.032,0.048,0.112,0.354,0.224,0.073,0.113
P14206,40S ribosomal protein SA GN=Rpsa PE=1 SV=4 - [RSSA_MOUSE],10,26,49.5,0.219,0.058,0.065,0.048,0.061,0.056,0.068,0.036,0.060,0.329
P24369,Peptidyl-prolyl cis-trans isomerase B GN=Ppib PE=2 SV=2 - [PPIB_MOUSE],10,26,50.0,0.016,0.047,0.090,0.120,0.170,0.245,0.150,0.086,0.038,0.039
P35979,60S ribosomal protein L12 GN=Rpl12 PE=1 SV=2 - [RL12_MOUSE],10,26,66.1,0.109,0.051,0.056,0.053,0.087,0.099,0.111,0.052,0.076,0.306
P62204,Calmodulin GN=Calm1 PE=1 SV=2 - [CALM_MOUSE],10,26,72.5,0.120,0.178,0.159,0.181,0.143,0.127,0.044,0.020,0.017,0.009
Q7TN89,GTPase ERas GN=Eras PE=1 SV=1 - [RASE_MOUSE],10,26,51.1,0.003,0.210,0.196,0.151,0.161,0.150,0.084,0.024,0.017,0.005
Q9CQQ7,"ATP synthase subunit b, mitochondrial GN=Atp5f1 PE=1 SV=1 - [AT5F1_MOUSE]",10,26,43.4,0.000,0.012,0.015,0.021,0.029,0.085,0.331,0.304,0.077,0.126
Q9ER00,Syntaxin-12 GN=Stx12 PE=1 SV=1 - [STX12_MOUSE],10,25,51.5,0.003,0.058,0.088,0.163,0.321,0.229,0.091,0.028,0.011,0.007
Q9WUM5,"Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial GN=Suclg1 PE=1 SV=4 - [SUCA_MOUSE]",10,25,32.7,0.003,0.009,0.013,0.018,0.024,0.103,0.352,0.317,0.019,0.143
P51569,Alpha-galactosidase A GN=Gla PE=1 SV=1 - [AGAL_MOUSE],10,24,28.9,0.003,0.059,0.168,0.223,0.253,0.196,0.062,0.029,0.002,0.004
Q05186,Reticulocalbin-1 GN=Rcn1 PE=1 SV=1 - [RCN1_MOUSE],10,24,29.5,0.017,0.052,0.083,0.115,0.200,0.263,0.169,0.077,0.008,0.016
