"Accession number","Accession number","ENV %","STR %","THY %","Total Spectral count","ENV (spectral count)","STR (spectral count)","THY (spectral count)","TOT (spectral count)",LOC_Training,LOC_Test,"cTP (ChloroP)","TargetP (PPDB)","Description (TAIR)","MapManBin (PPDB)","Curated Location (PPDB)","Location (TAIR)","Subcellular loc MF120725","Subplastidial loc MF120725","Subsubplastidial loc 120725","TMHMM (PPDB)","Calc.MW (PPDB)","Calc.PI (PPDB)","Length (nb of aa)","ProteomicsPub. (PPDB)","GFP/YFP loc. (PPDB)"
AT4G34200.1,AT4G34200,3.50581907543933,96.4941809245607,0,243,2,176,0,65,STR," -",Y,C,"D-3-phosphoglycerate dehydrogenase, putative / 3-PGDH, putative, similar to phosph","13.1.5.1.1 amino acid metabolism.synthesis.serine-glycine-cysteine group.serine.phosphoglycerate dehydrogenase",plastid,mitochondrion,C,STR,unknown,0,63.32,6.16,603,"MitoDB(Mitochondrial proteome); 16242667(mature Pollen); 16358359(cell suspension (Gamborg)); 16618929(UNKNOWN-LOPIT-callus); "," -"
AT5G24490.1,AT5G24490,9.4665751369525,22.2066527678223,68.3267720952252,37,2,15,15,5," -",STR,Y,C,"30S ribosomal protein, putative, similar to SP:P19954 Plastid-specific 30S ribosom","29.2.1.99 protein.synthesis.chloroplast/mito.unknown","plastid stroma"," -",C,STR,unknown,0,34.85,6.29,308,"15028209(Total chloroplast); "," -"
AT5G36700.1,AT5G36700,2.83699053312468,97.1630094668753,0,269,2,219,0,48," -",STR,Y,C,"phosphoglycolate phosphatase, putative, similar to phosphoglycolate phosphatase pr","1.2.1 PS.photorespiration.phosphoglycolate phosphatase","plastid stroma"," -",C,STR,unknown,0,39.76,6.89,362,"15028209(Total chloroplast); 16207701(chloroplast stroma); "," -"
AT5G45930.1,AT5G45930,3.79728637909961,96.2027136209004,0,203,2,162,0,39," -"," -",Y,C,"magnesium-chelatase subunit chlI, chloroplast, putative / Mg-protoporphyrin IX che","19.1 tetrapyrrole synthesis.magnesium chelatase",plastid,"magnesium chelatase complex & chloroplast stroma",C,STR,unknown,0,46.09,5.35,418," -"," -"
AT5G48300.1,AT5G48300,6.84668144560421,93.1533185543958,0,141,2,87,0,52," -",STR,Y,C,"glucose-1-phosphate adenylyltransferase small subunit 1 (APS1) / ADP-glucose pyrop","2.1.2.1 major CHO metabolism.synthesis.starch.AGPase","plastid stroma"," -",C,STR,unknown,0,56.65,6.12,520,"16207701(chloroplast stroma); 15815986(Leaf); 15052571(soluble leaf); "," -"
AtCg00820,AtCg00820,32.9704052348858,67.0295947651142,0,23,2,13,0,8," -"," -",-,C,"RPS19 | Encodes a 6.8-kDa protein of the small ribosomal subunit. | chrC:84005-84283 REVE","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome","plastid small ribosomal subunit & plastid ribosome",C,STR,unknown,0,10.57,10.77,92,"16207701(chloroplast stroma); "," -"
AT1G03475.1,AT1G03475,6.58803506183453,93.4119649381655,0,194,3,136,0,55," -",STR,Y,C,"coproporphyrinogen III oxidase, putative / coproporphyrinogenase, putative / copro","19.8 tetrapyrrole synthesis.coproporphyrinogen III oxidase","plastid stroma",plastid,C,STR,unknown,0,40.76,7.66,362,"15028209(Total chloroplast); 16207701(chloroplast stroma); ","11733507(Plastid  -SUBA); "
AT1G48350.1,AT1G48350,15.0649524992221,80.1024206066873,4.83262689409062,64,3,51,1,9," -"," -",Y,C,"ribosomal protein L18 family protein, similar to ribosomal protein L18 GI:3980238 ","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome"," -",C,STR,unknown,0,18.72,9.92,170,"12938931(Total chloroplast envelope); "," -"
AT2G15620.1,AT2G15620,2.56055575224086,97.4394442477591,0,505,3,365,0,137," -",STR,Y,C,"ferredoxin--nitrite reductase, putative, strong similarity to ferredoxin--nitrite ","12.1.2 N-metabolism.nitrate metabolism.nitrite reductase","plastid stroma",mitochondrion,C,STR,unknown,0,65.5,5.95,586,"15028209(Total chloroplast); MitoDB(Mitochondrial proteome); 16207701(chloroplast stroma); 16358359(cell suspension (M&Skoog)); 15815986(seedling); 15815986(Leaf); 15052571(soluble leaf); "," -"
AT2G27680.1,AT2G27680,16.7666708872304,40.2052135401887,43.0281155725809,44,3,23,8,10," -",STR,Y,C,"aldo/keto reductase family protein, contains Pfam profile PF00248: oxidoreductase,","3.5 minor CHO metabolism.others","plastid stroma"," -",C,STR,unknown,0,43.15,8.2,384,"12938931(Total chloroplast envelope); 15815986(Silique); 15815986(seedling); 15815986(Leaf); "," -"
AT2G47940.1,AT2G47940,24.2264036078469,75.7735963921531,0,50,3,30,0,17," -",STR,Y,C,"DegP2 protease (DEGP2), identical to DegP2 protease GI:13172275 from (Arabidopsis ","29.5.5 protein.degradation.serine protease","plastid stroma","thylakoid membrane (sensu Viridiplantae) & chloroplast stromal thylakoid",C,STR,unknown,0,66.8,5.7,607," -"," -"
AT3G63190.1,AT3G63190,7.67006273283582,77.5672416221649,14.7626956449993,115,3,97,6,9," -",STR,Y,C,"ribosome recycling factor, chloroplast, putative / ribosome releasing factor, chlo","29.2.9* protein.synthesis.ribosome recycling","plastid stroma"," -",C,STR,unknown,0,30.42,9.45,275,"11826309(thylakoid peripheral&lumen); 15815986(Silique); 15815986(seedling); 15815986(Leaf); "," -"
AT5G04590.1,AT5G04590,6.12524923571091,93.8747507642891,0,179,3,147,0,29," -",STR,Y,C,"sulfite reductase / ferredoxin (SIR), identical to sulfite reductase (Arabidopsis ","14.3 S-assimilation.sulfite redox","plastid stroma",plastid,C,STR,unknown,0,71.95,8.5,642,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 16358359(cell suspension (Gamborg)); 16923014(cold-stress responsive chloroplast); 15815986(seedling); 15815986(Leaf); "," -"
AT5G08280.1,AT5G08280,4.46971187915639,95.5302881208436,0,312,3,205,0,104," -",STR,Y,C,"hydroxymethylbilane synthase / porphobilinogen deaminase, chloroplast / pre-uropor","19.5 tetrapyrrole synthesis.porphobilinogen deaminase","plastid stroma",chloroplast,C,STR,unknown,0,41.04,8.75,382,"12938931(Total chloroplast envelope); 16207701(chloroplast stroma); 15815986(seedling); 15815986(Leaf); "," -"
AT5G35360.1,AT5G35360,8.9984811120858,91.0015188879142,0,162,3,97,0,62," -"," -",Y,C,"acetyl-CoA carboxylase, biotin carboxylase subunit (CAC2), identical to acetyl-CoA","11.1.1 lipid metabolism.FA synthesis and FA elongation.Acetyl CoA Carboxylation",envelope-inner-peripheral-stromal-side," -",C,STR,unknown,0,58.38,6.84,537,"12938931(Total chloroplast envelope); 16207701(chloroplast stroma); 16358359(cell suspension (Gamborg)); 16055689(Glutathionylated suspension cell); 15815986(seedling); 15815986(Leaf); 15052571(soluble leaf); "," -"
AT5G66530.1,AT5G66530,8.37026899493948,91.6297310050605,0,149,3,105,0,41," -",STR,Y,C,"aldose 1-epimerase family protein, similar to apospory-associated protein C; APOC ","3.5 minor CHO metabolism.others","plastid stroma"," -",C,STR,unknown,0,33.69,5.63,307,"16207701(chloroplast stroma); 15815986(Leaf); "," -"
AtCg00330,AtCg00330,28.5536253776435,71.4463746223565,0,32,3,24,0,5," -"," -",-,C,"RPS14 | 30S chloroplast ribosomal protein S14 | chrC:36938-37240 REVERSE | Aliases: RPS14","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome","plastid small ribosomal subunit & chloroplast",C,STR,unknown,0,11.74,11.23,100," -"," -"
AtCg00660,AtCg00660,57.8100459704935,42.1899540295065,0,16,3,7,0,6," -"," -",Y,C,"RPL20 | encodes a chloroplast ribosomal protein L20, a constituent of the large subunit o","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome","plastid large ribosomal subunit",C,STR,unknown,0,14.16,11.89,117," -"," -"
AT1G35680.1,AT1G35680,31.3537665676624,68.6462334323376,0,48,4,28,0,16," -"," -",Y,C,"50S ribosomal protein L21, chloroplast / CL21 (RPL21), identical to 50S ribosomal ","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome"," -",C,STR,unknown,0,24.03,9.31,220,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 14617066(Nuclear proteome); 16207701(chloroplast stroma); "," -"
AT1G75350.1,AT1G75350,18.1650011517553,46.8725229552635,34.9624758929812,60,4,33,8,15," -"," -",Y,C,"EMB2184 | ribosomal protein L31 family protein, similar to SP:O46917 from (Guillardia the","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome"," -",C,STR,unknown,0,16.03,9.81,144,"12938931(Total chloroplast envelope); 16207701(chloroplast stroma); "," -"
AT2G21170.1,AT2G21170,6.84668144560421,93.1533185543958,0,285,4,174,0,107,STR," -",Y,C,"triosephosphate isomerase, chloroplast, putative, similar to Triosephosphate isome","1.3.5 PS.calvin cycle.TPI","plastid stroma",mitochondrion,C,STR,unknown,0,33.34,7.67,315,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); MitoDB(Mitochondrial proteome); 16207701(chloroplast stroma); 15815986(Silique); 15815986(seedling); 15815986(Leaf); 15052571(soluble leaf); ","10737809(Cytosol  -SUBA); "
AT3G54660.1,AT3G54660,10.5008282977949,89.4991717022051,0,120,4,109,0,7," -",STR,Y,C,"gluthatione reductase, chloroplast, nearly identical to SP:P42770 Glutathione redu","21.2.2 redox.ascorbate and glutathione.glutathione","plastid stroma",mitochondrion,C,STR,unknown,0,60.85,7.96,565,"15028209(Total chloroplast); MitoDB(Mitochondrial proteome); 16207701(chloroplast stroma); 15815986(Silique); 15815986(seedling); 15815986(Leaf); 11402211,12068122,15047896,16679420,17028149(seed-all-Jobpapers); ","12954611(Mitochondrion  -SUBA); "
AT5G14320.1,AT5G14320,15.2631748276717,84.7368251723283,0,93,4,71,0,18," -"," -",Y,C,"30S ribosomal protein S13, chloroplast (CS13), ribosomal protein S13 precursor, ch","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome"," -",C,STR,unknown,0,19.09,10.26,169,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); ","11919680(Plastid  -SUBA); "
AtCg00750,AtCg00750,14.9073435696862,85.0926564303138,0,113,4,73,0,36," -"," -",Y,C,"RPS11 | 30S chloroplast ribosomal protein S11 | chrC:78960-79376 REVERSE | Aliases: RPS11","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome","plastid small ribosomal subunit",C,STR,unknown,0,15.02,12.24,138," -"," -"
AT1G03680.1,AT1G03680,17.0089566407704,82.9910433592296,0,93,5,78,0,10," -"," -",Y,C,"thioredoxin M-type 1, chloroplast (TRX-M1), nearly identical to SP:O48737 Thioredo","21.1 redox.thioredoxin",thylakoid-peripheral-stromal-side," -",C,STR,unknown,0,19.66,9.13,179,"11826309(thylakoid peripheral&lumen); 16207701(chloroplast stroma); 16923014(cold-stress responsive chloroplast); 15815986(seedling); 15815986(Leaf); "," -"
AT1G07320.3,AT1G07320,14.6679748407663,85.3320251592337,0,128,5,93,0,30," -"," -",Y,C,"50S ribosomal protein L4, chloroplast (CL4), identical to SP:O50061 from (Arabidop","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome","thylakoid membrane (sensu Viridiplantae) & plastid large ribosomal subunit",C,STR,unknown,0,30.55,8.92,282,"15028209(Total chloroplast); 14617066(Nuclear proteome); 11826309(thylakoid peripheral&lumen); 15322131(Thylakoid-stripped); 16207701(chloroplast stroma); 15821981(crude&pure 80S ribosome); "," -"
AT1G12230.1,AT1G12230,55.0049800225105,34.4081211825775,10.586898794912,25,5,10,1,9," -",STR,Y,C,"transaldolase, putative, similar to Swiss-Prot:P30148 transaldolase B (EC 2.2.1.2)","7.2.2 OPP.non-reductive PP.transaldolase","plastid stroma"," -",C,STR,unknown,0,43.99,6.41,405," -"," -"
AT1G74970.1,AT1G74970,32.6338766917683,67.3661233082317,0,47,5,33,0,9," -"," -",Y,C,"ribosomal protein S9 (RPS9), identical to ribosomal protein S9 (Arabidopsis thalia","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome","plastid small ribosomal subunit",C,STR,unknown,0,22.57,10.46,208,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 16207701(chloroplast stroma); "," -"
AT2G37660.1,AT2G37660,5.25880907900942,94.7411909209906,0,353,5,288,0,60," -",STR,Y,C,"expressed protein | chr2:15802392-15804137 REVERSE | Aliases: F13M22.16, F13M22_16","35.2 not assigned.unknown","plastid stroma"," -",C,STR,unknown,0,34.88,8.37,325,"15028209(Total chloroplast); 16207701(chloroplast stroma); 15815986(Silique); 15815986(seedling); 15815986(Leaf); "," -"
AT4G17560.1,AT4G17560,43.2218298537026,56.7781701462974,0,35,5,21,0,9," -",STR,Y,C,"ribosomal protein L19 family protein, similar to plastid ribosomal protein L19 pre","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid stroma"," -",C,STR,unknown,0,25.51,10.03,225,"12938931(Total chloroplast envelope); "," -"
AT5G26742.1,AT5G26742,41.0045324081418,58.9954675918582,0,38,5,23,0,10," -",STR,Y,C,"EMB1138 | DEAD box RNA helicase (RH3), nearly identical to RNA helicase (Arabidopsis thal","27.5* RNA. DEAD/DEAH BOX helicase","plastid stroma"," -",C,STR,unknown,0,81,7.24,747,"16207701(chloroplast stroma); "," -"
AT5G40950.1,AT5G40950,59.2381926122664,40.7618073877336,0,17,5,11,0,1," -"," -",Y,C,"50S ribosomal protein L27, chloroplast, putative (RPL27), identical to SP:Q9FLN4 r","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome"," -",C,STR,unknown,0,21.73,9.96,198,"15028209(Total chloroplast); 11826309(thylakoid peripheral&lumen); 16207701(chloroplast stroma); "," -"
AtCg00790,AtCg00790,44.4229017948944,55.5770982051056,0,34,5,20,0,9," -"," -",-,C,"RPL16 | chloroplast gene encoding a ribosomal protein L16, which is a constituent of 50S ","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome","plastid large ribosomal subunit",C,STR,unknown,0,15.29,11.62,135," -"," -"
AtCg00810,AtCg00810,24.1982175515784,71.1443117952011,4.65747065322052,65,5,47,1,12," -"," -",-,C,"RPL22 | encodes a chloroplast ribosomal protein L22, a constituent of the large subunit o","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome","plastid large ribosomal subunit",C,STR,unknown,0,18.58,9.69,160," -"," -"
AT1G78630.1,AT1G78630,39.749707952277,53.8747157658747,6.37557628184826,62,6,26,1,29," -"," -",Y,C,"EMB1473 | ribosomal protein L13 family protein, similar to ribosomal protein L13 GI:17013","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome"," -",C,STR,unknown,0,26.78,9.93,241,"11826309(thylakoid peripheral&lumen); 16207701(chloroplast stroma); "," -"
AT1G79850.1,AT1G79850,20.6549180088481,49.5289371865282,29.8161448046237,86,6,46,9,25," -"," -",Y,C,"30S ribosomal protein S17, chloroplast / CS17 (RPS17), identical to 30S ribosomal ","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome"," -",C,STR,unknown,0,16.28,10.57,149,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 16207701(chloroplast stroma); "," -"
AT1G80380.2,AT1G80380,12.6053651158065,87.3946348841935,0,202,6,133,0,63,STR," -",Y,C,"phosphoribulokinase/uridine kinase-related | chr1:30222160-30224810 FORWARD | Alia","1.3.12 PS.calvin cyle.PRK","plastid stroma"," -",C,STR,unknown,0,51.01,6.71,456,"12938931(Total chloroplast envelope); 15815986(Leaf); "," -"
AT2G44650.1,AT2G44650,54.5238209701457,45.4761790298543,0,29,6,16,0,7," -",STR,Y,C,"chloroplast chaperonin 10 (cpn10), identical to chloroplast chaperonin 10 GI:14041","29.6 protein.folding","plastid stroma","chloroplast stroma",C,STR,unknown,0,15.05,8.74,139,"16207701(chloroplast stroma); "," -"
AT3G48730.1,AT3G48730,5.89781962824424,93.1562111842186,0.94596918753711,450,6,303,1,140," -",STR,Y,C,"glutamate-1-semialdehyde 2,1-aminomutase 2 (GSA 2) / glutamate-1-semialdehyde amin","19.3 tetrapyrrole synthesis.GSA","plastid stroma"," -",C,STR,unknown,0,50.14,7.01,472,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 16207701(chloroplast stroma); 15815986(seedling); 15815986(Leaf); "," -"
AT3G54210.1,AT3G54210,53.0169410314206,46.9830589685794,0,30,6,17,0,7," -"," -",Y,C,"ribosomal protein L17 family protein, contains Pfam profile: PF01196 ribosomal pro","29.2.1.1 protein.synthesis.chloroplast/mito.plastid",plastid," -",C,STR,unknown,0,23.48,11.38,211," -"," -"
AT4G29060.1,AT4G29060,3.71470583840111,94.4978553356995,1.78743882589935,719,6,488,3,222," -",STR,Y,C,"EMB2726 | elongation factor Ts family protein, similar to SP:P35019 Elongation factor Ts ","29.2.1.99 protein.synthesis.chloroplast/mito.unknown","plastid stroma"," -",C,STR,unknown,0,103.78,4.95,953,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 16358359(cell suspension (M&Skoog)); 16502469(cell suspension-Cd-up); "," -"
AT5G63570.1,AT5G63570,6.22307394650099,92.7787883388488,0.99813771465022,437,6,286,1,144," -",STR,Y,C,"glutamate-1-semialdehyde 2,1-aminomutase 1 (GSA 1) / glutamate-1-semialdehyde amin","19.3 tetrapyrrole synthesis.GSA","plastid stroma"," -",C,STR,unknown,0,50.37,6.42,474,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 16207701(chloroplast stroma); 15815986(seedling); "," -"
AtCg00380,AtCg00380,13.6844125488712,86.3155874511288,0,206,6,121,0,79," -"," -",-,C,"RPS4 | Chloroplast encoded ribosomal protein S4 | chrC:45223-45828 REVERSE | Aliases: RPS","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome","plastid small ribosomal subunit",C,STR,unknown,0,23.24,10.32,201,"15028209(Total chloroplast); 16207701(chloroplast stroma); "," -"
AtCg00780,AtCg00780,18.6471495348888,54.434994364809,26.9178561003022,75,6,56,9,4," -"," -",-,C,"RPL14 | encodes a chloroplast ribosomal protein L14, a constituent of the large subunit o","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome","plastid large ribosomal subunit",C,STR,unknown,0,13.58,9.38,122," -"," -"
AT4G25130.1,AT4G25130,41.0972523286963,53.2527079453577,5.65003972594599,43,7,29,1,6," -",STR,Y,C,"peptide methionine sulfoxide reductase, putative, strong similarity to SP:P54151 P","29.11* protein.methione sulfoxide reductases","plastid stroma"," -",C,STR,unknown,0,28.64,8.95,258,"15815986(seedling); "," -"
AtCg00770,AtCg00770,20.0108534738615,63.4826244589506,16.5065220671878,115,7,71,6,31," -"," -",-,C,"RPS8 | chloroplast 30S ribosomal protein S8 | chrC:80068-80472 REVERSE | Aliases: RPS8","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome","plastid small ribosomal subunit",C,STR,unknown,0,15.48,10.93,134," -"," -"
AT3G15190.1,AT3G15190,46.8647190706548,53.1352809293452,0,43,8,29,0,6," -"," -",Y,C,"chloroplast 30S ribosomal protein S20, putative, contains Pfam profile: PF01649 ri","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome"," -",C,STR,unknown,0,21.82,10.14,202,"15028209(Total chloroplast); 16207701(chloroplast stroma); "," -"
AT5G65220.1,AT5G65220,43.5502572268064,45.9720059036434,10.4777368695502,59,8,27,2,22," -"," -",Y,C,"ribosomal protein L29 family protein, contains Pfam profile PF00831: ribosomal pro","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome"," -",C,STR,unknown,0,19.37,10.5,173,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 16326926(nucleoids); "," -"
AtCg00830,AtCg00830,21.2126113828238,78.7873886171762,0,150,8,95,0,47," -"," -",-,C,"RPL2.1 | encodes a chloroplast ribosomal protein L2, a constituent of the large subunit o","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome","plastid large ribosomal subunit",C,STR,unknown,0,29.86,10.84,274," -"," -"
AtCg01120,AtCg01120,38.2851989951166,47.8982727012704,13.816528303613,53,8,32,3,10," -"," -",-,C,"RPS15 | encodes a chloroplast ribosomal protein S15, a constituent of the small subunit o","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome","plastid small ribosomal subunit",C,STR,unknown,0,10.71,10.81,88,"16207701(chloroplast stroma); "," -"
AT3G54050.1,AT3G54050,7.97585524869973,92.0241447513003,0,449,9,332,0,108,STR," -",Y,C,"fructose-1,6-bisphosphatase, putative / D-fructose-1,6-bisphosphate 1-phosphohydro","1.3.7 PS.calvin cyle.FBPase","plastid stroma"," -",C,STR,unknown,0,45.16,5.24,417,"15028209(Total chloroplast); 16207701(chloroplast stroma); 16923014(cold-stress responsive chloroplast); 15815986(seedling); 15815986(Leaf); "," -"
AtCg00650,AtCg00650,51.4493133697407,37.5478712995132,11.0028153307461,40,9,21,2,8," -"," -",-,C,"RPS18 | chloroplast-encoded ribosomal protein S18 | chrC:67917-68222 FORWARD | Aliases: R","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome","plastid small ribosomal subunit & chloroplast",C,STR,unknown,0,12.06,12.16,101,"12766230(Total chloroplast envelope); 16207701(chloroplast stroma); "," -"
AT2G43030.1,AT2G43030,20.7545011693375,77.2481723765057,1.99732645415685,211,10,119,1,81," -"," -",Y,C,"ribosomal protein L3 family protein, contains Pfam profile PF00297: ribosomal prot","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome"," -",C,STR,unknown,0,29.36,10.43,271,"15028209(Total chloroplast); 16207701(chloroplast stroma); "," -"
AT3G16950.1,AT3G16950,53.2433797311749,41.6326999212281,5.12392034759702,50,10,25,1,14," -"," -",Y,C,"dihydrolipoamide dehydrogenase 1, plastidic / lipoamide dehydrogenase 1 (PTLPD1), ","11.1  lipid metabolism.FA synthesis and FA elongation"," -","chloroplast stroma",C,STR,unknown,0,60.75,8.13,570,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 15496452(nucleolus); 15815986(Silique); 15815986(Leaf); ","15496452(Nucleus  -SUBA); "
AT3G25920.1,AT3G25920,21.9028796594495,78.0971203405505,0,158,10,114,0,34," -"," -",Y,C,"50S ribosomal protein L15, chloroplast (CL15), identical to GB:P25873 from (Arabid","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome","plastid large ribosomal subunit",C,STR,unknown,0,29.7,10.77,277,"15028209(Total chloroplast); 16207701(chloroplast stroma); "," -"
AT3G44890.1,AT3G44890,26.7870790182158,60.3235383085652,12.889382673219,129,10,72,5,42," -"," -",Y,C,"50S ribosomal protein L9, chloroplast (CL9), contains Pfam profile PF03948: Riboso","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome","plastid large ribosomal subunit",C,STR,unknown,0,22.13,9.68,197,"15028209(Total chloroplast); 16207701(chloroplast stroma); "," -"
AT5G13510.1,AT5G13510,26.5814894985221,63.1861446675588,10.2323658339191,131,10,76,4,41," -"," -",Y,C,"ribosomal protein L10 family protein, ribosomal protein L10- Nicotiana tabacum, EM","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome","cytosolic ribosome (sensu Eukaryota)",C,STR,unknown,0,24.73,9.36,220,"16207701(chloroplast stroma); 15821981(crude&pure 80S ribosome); 15815986(Silique); 15815986(seedling); 15815986(Leaf); "," -"
AT5G06290.1,AT5G06290,13.3092948433923,85.5263134177227,1.16439173888498,356,11,226,1,118," -",STR,Y,C,"2-cys peroxiredoxin, chloroplast, putative, very strong similarity to SP:Q96291 2-","21.5 redox.periredoxins","plastid stroma"," -",C,STR,unknown,0,29.78,5.54,273,"15028209(Total chloroplast); 16207701(chloroplast stroma); 16923014(cold-stress responsive chloroplast); 15815986(Leaf); "," -"
AT5G47190.1,AT5G47190,50.1206373024249,49.8793626975751,0,58,11,35,0,12," -"," -",Y,C,"ribosomal protein L19 family protein, similar to plastid ribosomal protein L19 pre","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome"," -",C,STR,unknown,0,25.46,10.06,229,"12938931(Total chloroplast envelope); "," -"
AT3G62030.1,AT3G62030,22.0033708818858,77.9966291181142,0,280,12,136,0,132," -",STR,Y,C,"peptidyl-prolyl cis-trans isomerase, chloroplast / cyclophilin / rotamase / cyclos","29.6 protein.folding","plastid stroma","thylakoid membrane (sensu Viridiplantae) & chloroplast stroma",C,STR,unknown,0,28.2,8.83,260,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 11719511(Thylakoid lumen proteome); 15322131(Thylakoid-stripped); 16207701(chloroplast stroma); 15821981(crude&pure 80S ribosome); 15815986(Silique); 15815986(seedling); 15815986(Leaf); "," -"
AT1G32990.1,AT1G32990,25.2334691416796,46.7469507076299,28.0195801506905,148,13,77,15,43," -"," -",Y,C,"ribosomal protein L11 family protein, similar to chloroplast ribosomal protein L11","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome","cytosolic ribosome (sensu Eukaryota)",C,STR,unknown,0,23.14,9.68,222,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 16207701(chloroplast stroma); 15821981(crude&pure 80S ribosome); 15815986(Leaf); "," -"
AT1G05190.1,AT1G05190,28.7369423732057,71.2630576267943,0,171,14,111,0,46," -"," -",Y,C,"EMB2394 | ribosomal protein L6 family protein, Similar to Mycobacterium RlpF (gb:Z84395).","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome"," -",C,STR,unknown,0,24.7,9.89,223,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 16207701(chloroplast stroma); 15815986(Silique); 15815986(Leaf); "," -"
AT2G45290.1,AT2G45290,11.7818379134278,86.5983980273326,1.61976405923961,497,14,329,2,152,STR," -",Y,C,"transketolase, putative, strong similarity to transketolase 1 (Capsicum annuum) GI","1.3.8 PS.calvin cyle.transketolase; 7.2.1  OPP.non-reductive PP.transketolase"," -"," -",C,STR,unknown,0,79.92,6.12,741,"15028209(Total chloroplast); 16242667(mature Pollen); 16358359(cell suspension (M&Skoog)); 16502469(cell suspension-Cd-up); 15052571(soluble leaf); "," -"
AT5G04140.1,AT5G04140,3.97497428734284,94.9320688184359,1.09295689422132,1626,14,1069,4,539," -",STR,Y,C,"glutamate synthase (GLU1) / ferredoxin-dependent glutamate synthase (Fd-GOGAT 1), ","12.2.1 N-metabolism.ammonia metabolism.glutamate synthase","plastid stroma"," -",C,STR,unknown,0,176.75,5.93,1622,"15028209(Total chloroplast); 12938931(Total chloroplast envelope); 16207701(chloroplast stroma); 15052571(soluble leaf); 15276459(epidermis); "," -"
AT5G30510.1,AT5G30510,8.79404220403163,89.3924537906265,1.81350400534188,683,14,455,3,211," -"," -",Y,C,"30S ribosomal protein S1, putative, similar to Swiss-Prot:P29344 30S ribosomal pro","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome"," -",C,STR,unknown,0,45.11,5.12,416,"15028209(Total chloroplast); 15815986(seedling); 15815986(Leaf); "," -"
AT5G54600.1,AT5G54600,54.7461106064965,45.2538893935035,0,73,14,37,0,22," -"," -",Y,C,"50S ribosomal protein L24, chloroplast  (CL24), identical to SP:P92959 50S ribosom","29.2.1.1 protein.synthesis.chloroplast/mito.plastid","plastid ribosome"," -",C,STR,unknown,0,21.97,9.69,198," -"," -"
