UniProt Accession for Protein Group,UniProt Protein Description,Peptides,PSMs,Protein Coverage (%),Normalized TMT 10-plex reporter ion distribution,,,,,,,,,
O55234,Proteasome subunit beta type-5 OS=Mus musculus GN=Psmb5 PE=1 SV=3 [PSB5_MOUSE],10,12,61.0,0.760,0.000,0.049,0.000,0.006,0.026,0.023,0.018,0.117,0.000
P21995,Embigin OS=Mus musculus GN=Emb PE=1 SV=2 [EMB_MOUSE],10,12,30.6,0.011,0.010,0.007,0.013,0.143,0.365,0.249,0.133,0.063,0.005
P25425-6,"Isoform 6 of POU domain, class 2, transcription factor 1 OS=Mus musculus GN=Pou2f1 [PO2F1_MOUSE]",10,12,24.0,0.111,0.000,0.007,0.001,0.033,0.100,0.168,0.360,0.198,0.020
P26516,26S proteasome non-ATPase regulatory subunit 7 OS=Mus musculus GN=Psmd7 PE=1 SV=2 [PSMD7_MOUSE],10,12,43.0,0.747,0.001,0.042,0.000,0.009,0.028,0.028,0.043,0.100,0.001
P57785,Left-right determination factor 2 OS=Mus musculus GN=Lefty2 PE=2 SV=2 [LFTY2_MOUSE],10,12,38.6,0.033,0.000,0.001,0.012,0.192,0.302,0.238,0.123,0.095,0.004
P62717,60S ribosomal protein L18a OS=Mus musculus GN=Rpl18a PE=1 SV=1 [RL18A_MOUSE],10,12,44.9,0.136,0.001,0.011,0.001,0.023,0.093,0.108,0.061,0.563,0.004
Q3TQI7,Uncharacterized protein C9orf78 homolog OS=Mus musculus PE=1 SV=2 [CI078_MOUSE],10,12,38.1,0.286,0.000,0.022,0.000,0.015,0.027,0.057,0.102,0.470,0.021
Q61081,Hsp90 co-chaperone Cdc37 OS=Mus musculus GN=Cdc37 PE=2 SV=1 [CDC37_MOUSE],10,12,27.7,0.815,0.005,0.054,0.004,0.022,0.037,0.024,0.022,0.019,0.001
Q62361,Pro-thyrotropin-releasing hormone OS=Mus musculus GN=Trh PE=2 SV=2 [TRH_MOUSE],10,12,38.3,0.014,0.029,0.056,0.098,0.211,0.222,0.196,0.095,0.066,0.013
Q8BLH7,HIRA-interacting protein 3 OS=Mus musculus GN=Hirip3 PE=1 SV=1 [HIRP3_MOUSE],10,12,22.0,0.801,0.000,0.049,0.001,0.009,0.017,0.030,0.049,0.041,0.003
Q8VHZ7,U3 small nucleolar ribonucleoprotein protein IMP4 OS=Mus musculus GN=Imp4 PE=2 SV=1 [IMP4_MOUSE],10,12,40.9,0.084,0.000,0.004,0.000,0.005,0.018,0.046,0.140,0.695,0.007
Q99LG2,Transportin-2 OS=Mus musculus GN=Tnpo2 PE=2 SV=1 [TNPO2_MOUSE],10,12,19.5,0.810,0.000,0.049,0.000,0.002,0.021,0.022,0.040,0.056,0.000
Q99MZ7,Peroxisomal trans-2-enoyl-CoA reductase OS=Mus musculus GN=Pecr PE=1 SV=1 [PECR_MOUSE],10,12,39.9,0.005,0.000,0.000,0.001,0.034,0.133,0.210,0.368,0.235,0.015
Q99N87,"28S ribosomal protein S5, mitochondrial OS=Mus musculus GN=Mrps5 PE=2 SV=1 [RT05_MOUSE]",10,12,31.0,0.010,0.000,0.000,0.003,0.060,0.164,0.401,0.224,0.131,0.009
Q9CRD2,ER membrane protein complex subunit 2 OS=Mus musculus GN=Emc2 PE=2 SV=1 [EMC2_MOUSE],10,12,45.1,0.006,0.000,0.000,0.005,0.077,0.336,0.309,0.161,0.103,0.004
Q9ERE7,LDLR chaperone MESD OS=Mus musculus GN=Mesdc2 PE=1 SV=1 [MESD_MOUSE],10,12,49.1,0.038,0.000,0.003,0.008,0.037,0.321,0.346,0.158,0.080,0.009
Q9QXK7,Cleavage and polyadenylation specificity factor subunit 3 OS=Mus musculus GN=Cpsf3 PE=1 SV=2 [CPSF3_MOUSE],10,12,22.8,0.331,0.000,0.024,0.000,0.008,0.023,0.041,0.050,0.516,0.007
Q9Z2D8,Methyl-CpG-binding domain protein 3 OS=Mus musculus GN=Mbd3 PE=1 SV=1 [MBD3_MOUSE],10,12,34.7,0.137,0.000,0.009,0.000,0.018,0.060,0.115,0.397,0.229,0.034
O08756,3-hydroxyacyl-CoA dehydrogenase type-2 OS=Mus musculus GN=Hsd17b10 PE=1 SV=4 [HCD2_MOUSE],10,11,53.6,0.004,0.000,0.000,0.001,0.045,0.150,0.438,0.212,0.140,0.008
O09061,Proteasome subunit beta type-1 OS=Mus musculus GN=Psmb1 PE=1 SV=1 [PSB1_MOUSE],10,11,51.7,0.724,0.002,0.046,0.000,0.022,0.028,0.027,0.024,0.124,0.003
O88448,Kinesin light chain 2 OS=Mus musculus GN=Klc2 PE=1 SV=1 [KLC2_MOUSE],10,11,26.4,0.132,0.000,0.011,0.003,0.031,0.103,0.133,0.166,0.412,0.008
O88643,Serine/threonine-protein kinase PAK 1 OS=Mus musculus GN=Pak1 PE=1 SV=1 [PAK1_MOUSE],10,11,23.1,0.607,0.002,0.042,0.000,0.025,0.053,0.045,0.079,0.146,0.003
P21279,Guanine nucleotide-binding protein G(q) subunit alpha OS=Mus musculus GN=Gnaq PE=1 SV=4 [GNAQ_MOUSE],10,11,30.6,0.030,0.019,0.017,0.027,0.270,0.298,0.181,0.104,0.053,0.000
P58137,Acyl-coenzyme A thioesterase 8 OS=Mus musculus GN=Acot8 PE=1 SV=1 [ACOT8_MOUSE],10,11,40.6,0.006,0.000,0.000,0.002,0.048,0.130,0.209,0.380,0.209,0.017
P61082,NEDD8-conjugating enzyme Ubc12 OS=Mus musculus GN=Ube2m PE=2 SV=1 [UBC12_MOUSE],10,11,53.6,0.783,0.003,0.051,0.000,0.014,0.031,0.026,0.045,0.046,0.001
P81117,Nucleobindin-2 OS=Mus musculus GN=Nucb2 PE=1 SV=2 [NUCB2_MOUSE],10,11,33.6,0.022,0.000,0.005,0.010,0.162,0.343,0.257,0.130,0.064,0.006
Q03147,Cyclin-dependent kinase 7 OS=Mus musculus GN=Cdk7 PE=2 SV=2 [CDK7_MOUSE],10,11,32.4,0.577,0.002,0.034,0.000,0.013,0.028,0.045,0.105,0.189,0.006
Q03958,Prefoldin subunit 6 OS=Mus musculus GN=Pfdn6 PE=2 SV=1 [PFD6_MOUSE],10,11,69.3,0.714,0.002,0.051,0.001,0.022,0.030,0.028,0.029,0.120,0.002
Q06180-2,Isoform 2 of Tyrosine-protein phosphatase non-receptor type 2 OS=Mus musculus GN=Ptpn2 [PTN2_MOUSE],10,11,34.6,0.315,0.000,0.018,0.000,0.033,0.149,0.164,0.135,0.181,0.004
Q06335-2,Isoform 2 of Amyloid-like protein 2 OS=Mus musculus GN=Aplp2 [APLP2_MOUSE],10,11,21.2,0.016,0.001,0.007,0.009,0.101,0.325,0.308,0.137,0.089,0.007
Q3URE1,"Acyl-CoA synthetase family member 3, mitochondrial OS=Mus musculus GN=Acsf3 PE=2 SV=2 [ACSF3_MOUSE]",10,11,18.4,0.029,0.000,0.003,0.000,0.065,0.170,0.398,0.190,0.144,0.000
Q4PJX1,Protein odr-4 homolog OS=Mus musculus GN=Odr4 PE=2 SV=2 [ODR4_MOUSE],10,11,21.5,0.023,0.000,0.003,0.004,0.070,0.305,0.303,0.167,0.117,0.008
Q61458,Cyclin-H OS=Mus musculus GN=Ccnh PE=2 SV=2 [CCNH_MOUSE],10,11,44.3,0.584,0.000,0.039,0.000,0.012,0.023,0.040,0.100,0.203,0.000
Q6NZQ4,PAX-interacting protein 1 OS=Mus musculus GN=Paxip1 PE=1 SV=1 [PAXI1_MOUSE],10,11,13.4,0.179,0.000,0.010,0.000,0.018,0.052,0.086,0.212,0.428,0.016
Q6ZPL9,ATP-dependent RNA helicase DDX55 OS=Mus musculus GN=Ddx55 PE=1 SV=2 [DDX55_MOUSE],10,11,20.5,0.249,0.000,0.011,0.000,0.020,0.056,0.074,0.071,0.514,0.005
Q7TN89,GTPase ERas OS=Mus musculus GN=Eras PE=1 SV=1 [RASE_MOUSE],10,11,62.6,0.020,0.005,0.007,0.015,0.168,0.409,0.209,0.117,0.046,0.004
Q80US4,Actin-related protein 5 OS=Mus musculus GN=Actr5 PE=2 SV=3 [ARP5_MOUSE],10,11,28.1,0.153,0.000,0.009,0.000,0.015,0.041,0.090,0.284,0.387,0.020
Q80VD1,Protein FAM98B OS=Mus musculus GN=Fam98b PE=2 SV=1 [FA98B_MOUSE],10,11,33.6,0.277,0.000,0.015,0.000,0.003,0.041,0.062,0.068,0.533,0.002
Q8BHX1,HAUS augmin-like complex subunit 1 OS=Mus musculus GN=Haus1 PE=2 SV=2 [HAUS1_MOUSE],10,11,38.5,0.235,0.000,0.020,0.000,0.042,0.070,0.089,0.128,0.411,0.005
Q8BJL1,F-box only protein 30 OS=Mus musculus GN=Fbxo30 PE=1 SV=2 [FBX30_MOUSE],10,11,14.6,0.632,0.023,0.052,0.018,0.058,0.068,0.048,0.045,0.056,0.000
Q8BSF4,Phosphatidylserine decarboxylase proenzyme OS=Mus musculus GN=Pisd PE=2 SV=1 [PISD_MOUSE],10,11,25.6,0.016,0.000,0.002,0.002,0.047,0.172,0.388,0.213,0.152,0.009
Q8C176,Transcription initiation factor TFIID subunit 2 OS=Mus musculus GN=Taf2 PE=2 SV=2 [TAF2_MOUSE],10,11,11.2,0.133,0.000,0.013,0.000,0.018,0.048,0.069,0.191,0.518,0.010
Q8C8R3-4,Isoform 4 of Ankyrin-2 OS=Mus musculus GN=Ank2 [ANK2_MOUSE],10,11,9.4,0.192,0.000,0.009,0.000,0.107,0.246,0.138,0.099,0.210,0.000
Q8CD15,Bifunctional lysine-specific demethylase and histidyl-hydroxylase MINA OS=Mus musculus GN=Mina PE=1 SV=2 [MINA_MOUSE],10,11,26.0,0.444,0.000,0.030,0.000,0.010,0.036,0.051,0.101,0.319,0.008
Q8CE96,tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6 OS=Mus musculus GN=Trmt6 PE=1 SV=1 [TRM6_MOUSE],10,11,19.9,0.799,0.000,0.048,0.000,0.012,0.025,0.018,0.034,0.064,0.000
Q8JZN7,Mitochondrial Rho GTPase 2 OS=Mus musculus GN=Rhot2 PE=2 SV=1 [MIRO2_MOUSE],10,11,26.5,0.013,0.000,0.001,0.000,0.058,0.157,0.399,0.208,0.153,0.012
Q8K0J2,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7 OS=Mus musculus GN=B3gnt7 PE=2 SV=2 [B3GN7_MOUSE]",10,11,32.2,0.022,0.000,0.006,0.005,0.130,0.303,0.301,0.146,0.084,0.004
Q8K2T1,NmrA-like family domain-containing protein 1 OS=Mus musculus GN=Nmral1 PE=1 SV=1 [NMRL1_MOUSE],10,11,37.9,0.804,0.000,0.045,0.000,0.028,0.029,0.028,0.027,0.039,0.000
Q8R0F6,Integrin-linked kinase-associated serine/threonine phosphatase 2C OS=Mus musculus GN=Ilkap PE=2 SV=1 [ILKAP_MOUSE],10,11,35.2,0.216,0.000,0.020,0.000,0.028,0.043,0.063,0.087,0.535,0.008
Q8R3K3,"Pentatricopeptide repeat-containing protein 2, mitochondrial OS=Mus musculus GN=Ptcd2 PE=2 SV=1 [PTCD2_MOUSE]",10,11,26.5,0.008,0.000,0.000,0.000,0.021,0.152,0.440,0.216,0.154,0.009
Q8R574,Phosphoribosyl pyrophosphate synthase-associated protein 2 OS=Mus musculus GN=Prpsap2 PE=1 SV=1 [KPRB_MOUSE],10,11,36.9,0.488,0.000,0.027,0.000,0.025,0.053,0.065,0.098,0.239,0.005
Q8VC30,Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing) OS=Mus musculus GN=Dak PE=2 SV=1 [DHAK_MOUSE],10,11,34.9,0.778,0.000,0.054,0.000,0.048,0.028,0.032,0.032,0.028,0.000
Q8VE22,"28S ribosomal protein S23, mitochondrial OS=Mus musculus GN=Mrps23 PE=1 SV=1 [RT23_MOUSE]",10,11,55.4,0.008,0.000,0.001,0.000,0.052,0.158,0.429,0.213,0.133,0.006
Q99K74,Mediator of RNA polymerase II transcription subunit 24 OS=Mus musculus GN=Med24 PE=1 SV=1 [MED24_MOUSE],10,11,18.7,0.100,0.000,0.005,0.000,0.007,0.029,0.059,0.072,0.722,0.005
Q99KR7,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial OS=Mus musculus GN=Ppif PE=1 SV=1 [PPIF_MOUSE]",10,11,55.8,0.014,0.001,0.002,0.005,0.054,0.162,0.399,0.206,0.144,0.012
Q99L13,"3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Mus musculus GN=Hibadh PE=1 SV=1 [3HIDH_MOUSE]",10,11,41.5,0.007,0.000,0.000,0.001,0.048,0.169,0.413,0.223,0.132,0.007
Q9CQR6,Serine/threonine-protein phosphatase 6 catalytic subunit OS=Mus musculus GN=Ppp6c PE=2 SV=1 [PPP6_MOUSE],10,11,37.7,0.790,0.002,0.052,0.002,0.024,0.037,0.030,0.027,0.034,0.002
Q9CWI3,BRCA2 and CDKN1A-interacting protein OS=Mus musculus GN=Bccip PE=2 SV=1 [BCCIP_MOUSE],10,11,41.8,0.856,0.000,0.050,0.000,0.005,0.016,0.014,0.022,0.036,0.000
Q9CY73,"39S ribosomal protein L44, mitochondrial OS=Mus musculus GN=Mrpl44 PE=2 SV=3 [RM44_MOUSE]",10,11,44.7,0.006,0.000,0.000,0.000,0.067,0.147,0.413,0.217,0.143,0.008
Q9D2G2,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Mus musculus GN=Dlst PE=1 SV=1 [ODO2_MOUSE]",10,11,26.2,0.004,0.003,0.004,0.005,0.080,0.152,0.418,0.201,0.126,0.008
Q9D902,General transcription factor IIE subunit 2 OS=Mus musculus GN=Gtf2e2 PE=1 SV=2 [T2EB_MOUSE],10,11,45.2,0.334,0.001,0.024,0.001,0.023,0.052,0.073,0.165,0.311,0.015
Q9DBM2,Peroxisomal bifunctional enzyme OS=Mus musculus GN=Ehhadh PE=1 SV=4 [ECHP_MOUSE],10,11,26.9,0.045,0.000,0.000,0.000,0.044,0.127,0.190,0.313,0.271,0.010
Q9EQ80,Putative GTP cyclohydrolase 1 type 2 Nif3l1 OS=Mus musculus GN=Nif3l1 PE=1 SV=4 [GTPC1_MOUSE],10,11,32.2,0.455,0.000,0.029,0.001,0.032,0.096,0.202,0.100,0.082,0.004
Q9R0N0,Galactokinase OS=Mus musculus GN=Galk1 PE=2 SV=2 [GALK1_MOUSE],10,11,22.4,0.821,0.006,0.054,0.002,0.026,0.029,0.023,0.018,0.020,0.000
Q9R1P0,Proteasome subunit alpha type-4 OS=Mus musculus GN=Psma4 PE=1 SV=1 [PSA4_MOUSE],10,11,52.1,0.748,0.002,0.046,0.001,0.014,0.027,0.023,0.023,0.115,0.001
Q9WV68,"Peroxisomal 2,4-dienoyl-CoA reductase OS=Mus musculus GN=Decr2 PE=1 SV=1 [DECR2_MOUSE]",10,11,32.9,0.012,0.000,0.000,0.002,0.036,0.124,0.211,0.365,0.230,0.018
Q9Z0F8,Disintegrin and metalloproteinase domain-containing protein 17 OS=Mus musculus GN=Adam17 PE=1 SV=3 [ADA17_MOUSE],10,11,19.1,0.021,0.020,0.014,0.030,0.189,0.291,0.230,0.127,0.072,0.005
Q9Z1N5,Spliceosome RNA helicase Ddx39b OS=Mus musculus GN=Ddx39b PE=1 SV=1 [DX39B_MOUSE],10,11,33.2,0.222,0.000,0.013,0.000,0.005,0.014,0.040,0.080,0.622,0.004
A2AR02,Peptidyl-prolyl cis-trans isomerase G OS=Mus musculus GN=Ppig PE=2 SV=1 [PPIG_MOUSE],10,10,16.0,0.283,0.000,0.014,0.000,0.018,0.034,0.056,0.066,0.521,0.009
B2RRE4,Zinc finger protein 518B OS=Mus musculus GN=Znf518b PE=2 SV=1 [Z518B_MOUSE],10,10,13.7,0.126,0.000,0.013,0.003,0.050,0.080,0.128,0.234,0.329,0.038
O08856,RNA polymerase II elongation factor ELL OS=Mus musculus GN=Ell PE=2 SV=2 [ELL_MOUSE],10,10,19.9,0.162,0.000,0.009,0.000,0.012,0.044,0.069,0.131,0.564,0.008
O35459,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Mus musculus GN=Ech1 PE=1 SV=1 [ECH1_MOUSE]",10,10,38.8,0.028,0.000,0.003,0.000,0.038,0.126,0.323,0.292,0.181,0.010
O54784,Death-associated protein kinase 3 OS=Mus musculus GN=Dapk3 PE=1 SV=1 [DAPK3_MOUSE],10,10,33.5,0.192,0.000,0.010,0.000,0.027,0.097,0.108,0.141,0.414,0.010
O88447,Kinesin light chain 1 OS=Mus musculus GN=Klc1 PE=1 SV=3 [KLC1_MOUSE],10,10,20.7,0.255,0.000,0.017,0.000,0.010,0.077,0.114,0.186,0.330,0.012
O88545,COP9 signalosome complex subunit 6 OS=Mus musculus GN=Cops6 PE=1 SV=1 [CSN6_MOUSE],10,10,45.4,0.698,0.002,0.044,0.000,0.014,0.030,0.029,0.061,0.121,0.001
O89023,Tripeptidyl-peptidase 1 OS=Mus musculus GN=Tpp1 PE=1 SV=2 [TPP1_MOUSE],10,10,29.2,0.041,0.000,0.009,0.010,0.172,0.312,0.251,0.121,0.081,0.002
P07607,Thymidylate synthase OS=Mus musculus GN=Tyms PE=1 SV=1 [TYSY_MOUSE],10,10,36.5,0.604,0.002,0.044,0.000,0.033,0.042,0.043,0.048,0.182,0.003
P08103,Tyrosine-protein kinase HCK OS=Mus musculus GN=Hck PE=1 SV=4 [HCK_MOUSE],10,10,35.2,0.107,0.004,0.011,0.008,0.133,0.274,0.187,0.137,0.133,0.005
P11087,Collagen alpha-1(I) chain OS=Mus musculus GN=Col1a1 PE=1 SV=4 [CO1A1_MOUSE],10,10,9.8,0.024,0.000,0.003,0.007,0.065,0.241,0.292,0.199,0.145,0.024
P12367,cAMP-dependent protein kinase type II-alpha regulatory subunit OS=Mus musculus GN=Prkar2a PE=1 SV=2 [KAP2_MOUSE],10,10,31.4,0.306,0.000,0.019,0.002,0.088,0.138,0.130,0.167,0.146,0.004
P17710-3,Isoform HK1 of Hexokinase-1 OS=Mus musculus GN=Hk1 [HXK1_MOUSE],10,10,15.3,0.413,0.000,0.036,0.000,0.033,0.065,0.106,0.128,0.217,0.003
P21956-2,Isoform 2 of Lactadherin OS=Mus musculus GN=Mfge8 [MFGM_MOUSE],10,10,29.6,0.011,0.003,0.007,0.015,0.183,0.326,0.248,0.122,0.080,0.005
P24860,G2/mitotic-specific cyclin-B1 OS=Mus musculus GN=Ccnb1 PE=2 SV=3 [CCNB1_MOUSE],10,10,26.3,0.211,0.002,0.014,0.001,0.021,0.061,0.079,0.152,0.449,0.010
P35831,Tyrosine-protein phosphatase non-receptor type 12 OS=Mus musculus GN=Ptpn12 PE=1 SV=3 [PTN12_MOUSE],10,10,17.5,0.356,0.000,0.027,0.000,0.048,0.082,0.099,0.205,0.170,0.014
P38060,"Hydroxymethylglutaryl-CoA lyase, mitochondrial OS=Mus musculus GN=Hmgcl PE=1 SV=2 [HMGCL_MOUSE]",10,10,37.5,0.006,0.000,0.000,0.003,0.050,0.147,0.343,0.281,0.161,0.010
P42209,Septin-1 OS=Mus musculus GN=Sept1 PE=2 SV=2 [SEPT1_MOUSE],10,10,37.2,0.140,0.000,0.007,0.001,0.041,0.075,0.092,0.194,0.441,0.009
P48377,MHC class II regulatory factor RFX1 OS=Mus musculus GN=Rfx1 PE=2 SV=2 [RFX1_MOUSE],10,10,16.4,0.109,0.000,0.002,0.000,0.016,0.070,0.118,0.410,0.249,0.026
P51855,Glutathione synthetase OS=Mus musculus GN=Gss PE=2 SV=1 [GSHB_MOUSE],10,10,31.9,0.765,0.001,0.043,0.000,0.040,0.035,0.038,0.035,0.043,0.000
P53810,Phosphatidylinositol transfer protein alpha isoform OS=Mus musculus GN=Pitpna PE=1 SV=2 [PIPNA_MOUSE],10,10,45.0,0.789,0.000,0.046,0.000,0.009,0.031,0.042,0.047,0.034,0.002
P58404-2,Isoform 2 of Striatin-4 OS=Mus musculus GN=Strn4 [STRN4_MOUSE],10,10,21.4,0.412,0.003,0.031,0.009,0.096,0.167,0.112,0.081,0.089,0.002
P61022,Calcineurin B homologous protein 1 OS=Mus musculus GN=Chp1 PE=1 SV=2 [CHP1_MOUSE],10,10,52.8,0.017,0.000,0.000,0.007,0.052,0.402,0.290,0.149,0.078,0.004
P62071,Ras-related protein R-Ras2 OS=Mus musculus GN=Rras2 PE=1 SV=1 [RRAS2_MOUSE],10,10,46.1,0.048,0.003,0.009,0.013,0.187,0.355,0.212,0.117,0.052,0.004
P70403,Protein CASP OS=Mus musculus GN=Cux1 PE=2 SV=2 [CASP_MOUSE],10,10,18.6,0.039,0.001,0.016,0.012,0.074,0.292,0.288,0.170,0.105,0.002
P70677,Caspase-3 OS=Mus musculus GN=Casp3 PE=1 SV=1 [CASP3_MOUSE],10,10,43.0,0.831,0.001,0.058,0.000,0.018,0.026,0.024,0.019,0.022,0.000
P97760,DNA-directed RNA polymerase II subunit RPB3 OS=Mus musculus GN=Polr2c PE=1 SV=1 [RPB3_MOUSE],10,10,52.0,0.422,0.001,0.028,0.000,0.013,0.032,0.045,0.178,0.267,0.015
P97930,Thymidylate kinase OS=Mus musculus GN=Dtymk PE=2 SV=2 [KTHY_MOUSE],10,10,43.9,0.485,0.002,0.035,0.001,0.019,0.083,0.191,0.099,0.083,0.004
Q03141-2,Isoform 2 of MAP/microtubule affinity-regulating kinase 3 OS=Mus musculus GN=Mark3 [MARK3_MOUSE],10,10,18.0,0.199,0.002,0.019,0.008,0.047,0.126,0.105,0.109,0.378,0.007
Q03160,Growth factor receptor-bound protein 7 OS=Mus musculus GN=Grb7 PE=1 SV=1 [GRB7_MOUSE],10,10,26.9,0.298,0.000,0.014,0.000,0.031,0.063,0.079,0.100,0.409,0.006
Q08091,Calponin-1 OS=Mus musculus GN=Cnn1 PE=2 SV=1 [CNN1_MOUSE],10,10,42.4,0.201,0.003,0.014,0.000,0.025,0.091,0.098,0.157,0.403,0.008
Q08509,Epidermal growth factor receptor kinase substrate 8 OS=Mus musculus GN=Eps8 PE=1 SV=2 [EPS8_MOUSE],10,10,21.0,0.173,0.000,0.008,0.000,0.055,0.138,0.119,0.219,0.282,0.007
Q2EMV9,Poly [ADP-ribose] polymerase 14 OS=Mus musculus GN=Parp14 PE=1 SV=3 [PAR14_MOUSE],10,10,7.3,0.129,0.000,0.004,0.000,0.046,0.136,0.177,0.263,0.240,0.005
Q2NL51,Glycogen synthase kinase-3 alpha OS=Mus musculus GN=Gsk3a PE=1 SV=2 [GSK3A_MOUSE],10,10,31.6,0.370,0.000,0.030,0.000,0.023,0.056,0.075,0.099,0.341,0.007
Q3TUH1,"Phosphatidate cytidylyltransferase, mitochondrial OS=Mus musculus GN=Tamm41 PE=2 SV=2 [TAM41_MOUSE]",10,10,33.5,0.008,0.000,0.000,0.002,0.087,0.173,0.378,0.196,0.146,0.009
Q3UA16,Kinetochore protein Spc25 OS=Mus musculus GN=Spc25 PE=2 SV=1 [SPC25_MOUSE],10,10,50.9,0.568,0.000,0.035,0.000,0.005,0.042,0.057,0.106,0.185,0.002
Q3UE37,Ubiquitin-conjugating enzyme E2 Z OS=Mus musculus GN=Ube2z PE=2 SV=2 [UBE2Z_MOUSE],10,10,31.2,0.723,0.000,0.049,0.000,0.027,0.034,0.035,0.056,0.072,0.004
Q3UFB2,Box C/D snoRNA protein 1 OS=Mus musculus GN=Znhit6 PE=1 SV=2 [BCD1_MOUSE],10,10,24.8,0.383,0.001,0.025,0.000,0.014,0.052,0.069,0.068,0.384,0.006
Q3UHX9-2,Isoform 2 of Putative methyltransferase C9orf114 homolog OS=Mus musculus GN=D2Wsu81e [CI114_MOUSE],10,10,38.8,0.195,0.000,0.011,0.000,0.018,0.029,0.043,0.111,0.584,0.011
Q3UKC1,Tax1-binding protein 1 homolog OS=Mus musculus GN=Tax1bp1 PE=1 SV=2 [TAXB1_MOUSE],10,10,12.7,0.352,0.002,0.022,0.005,0.070,0.186,0.152,0.100,0.108,0.004
Q5KU39,Vacuolar protein sorting-associated protein 41 homolog OS=Mus musculus GN=Vps41 PE=2 SV=1 [VPS41_MOUSE],10,10,14.2,0.106,0.000,0.003,0.003,0.072,0.129,0.124,0.109,0.454,0.000
Q5RJH6-3,Isoform 3 of Protein SMG7 OS=Mus musculus GN=Smg7 [SMG7_MOUSE],10,10,14.8,0.185,0.000,0.012,0.000,0.026,0.066,0.082,0.114,0.508,0.008
Q5XG69,Soluble lamin-associated protein of 75 kDa OS=Mus musculus GN=Fam169a PE=1 SV=3 [F169A_MOUSE],10,10,27.1,0.721,0.000,0.044,0.000,0.001,0.019,0.036,0.095,0.082,0.002
Q61037-6,Isoform E of Tuberin OS=Mus musculus GN=Tsc2 [TSC2_MOUSE],10,10,7.8,0.187,0.013,0.025,0.009,0.051,0.080,0.089,0.079,0.448,0.019
Q61066,Nuclear receptor subfamily 0 group B member 1 OS=Mus musculus GN=Nr0b1 PE=1 SV=1 [NR0B1_MOUSE],10,10,40.5,0.184,0.000,0.016,0.000,0.026,0.060,0.091,0.223,0.389,0.011
Q63ZW7,InaD-like protein OS=Mus musculus GN=Inadl PE=1 SV=2 [INADL_MOUSE],10,10,8.2,0.089,0.000,0.009,0.024,0.177,0.260,0.189,0.119,0.125,0.007
Q64105,Sepiapterin reductase OS=Mus musculus GN=Spr PE=1 SV=1 [SPRE_MOUSE],10,10,46.7,0.808,0.001,0.045,0.000,0.025,0.036,0.040,0.025,0.019,0.000
Q69ZQ2,Pre-mRNA-splicing factor ISY1 homolog OS=Mus musculus GN=Isy1 PE=1 SV=2 [ISY1_MOUSE],10,10,32.6,0.159,0.001,0.011,0.000,0.015,0.029,0.048,0.074,0.652,0.011
Q6DFV1,Condensin-2 complex subunit G2 OS=Mus musculus GN=Ncapg2 PE=2 SV=2 [CNDG2_MOUSE],10,10,14.0,0.115,0.000,0.003,0.000,0.007,0.047,0.101,0.236,0.484,0.007
Q6NXY1,TBC1 domain family member 31 OS=Mus musculus GN=Tbc1d31 PE=2 SV=1 [TBC31_MOUSE],10,10,13.6,0.044,0.000,0.004,0.007,0.030,0.090,0.132,0.274,0.404,0.016
Q6P1G2,Lysine-specific demethylase 2B OS=Mus musculus GN=Kdm2b PE=1 SV=1 [KDM2B_MOUSE],10,10,10.5,0.198,0.000,0.003,0.000,0.016,0.062,0.099,0.240,0.366,0.017
Q6P8X1,Sorting nexin-6 OS=Mus musculus GN=Snx6 PE=1 SV=2 [SNX6_MOUSE],10,10,20.0,0.551,0.001,0.033,0.001,0.037,0.060,0.061,0.106,0.144,0.006
Q6P9Q4,FH1/FH2 domain-containing protein 1 OS=Mus musculus GN=Fhod1 PE=1 SV=3 [FHOD1_MOUSE],10,10,15.0,0.123,0.000,0.008,0.000,0.049,0.162,0.189,0.233,0.227,0.009
Q6PE01,U5 small nuclear ribonucleoprotein 40 kDa protein OS=Mus musculus GN=Snrnp40 PE=2 SV=1 [SNR40_MOUSE],10,10,44.4,0.134,0.000,0.010,0.000,0.008,0.017,0.038,0.056,0.730,0.006
Q6PG16-2,Isoform 2 of Holliday junction recognition protein OS=Mus musculus GN=Hjurp [HJURP_MOUSE],10,10,24.6,0.243,0.000,0.020,0.000,0.019,0.049,0.057,0.071,0.536,0.005
Q6PGB8,Probable global transcription activator SNF2L1 OS=Mus musculus GN=Smarca1 PE=1 SV=1 [SMCA1_MOUSE],10,10,14.9,0.130,0.000,0.009,0.000,0.011,0.076,0.119,0.358,0.281,0.015
Q6PGF3,Mediator of RNA polymerase II transcription subunit 16 OS=Mus musculus GN=Med16 PE=2 SV=2 [MED16_MOUSE],10,10,12.6,0.108,0.000,0.007,0.000,0.009,0.051,0.066,0.076,0.677,0.005
