Majority protein IDs,Protein names,Gene names,Organellar Markers,Ratio H/L R1_C2_03,Ratio H/L R1_C2_06,Ratio H/L R1_C2_12,Ratio H/L R1_C2_24,Ratio H/L R1_C2_80,Ratio H/L R1_C6_03,Ratio H/L R1_C6_06,Ratio H/L R1_C6_12,Ratio H/L R1_C6_24,Ratio H/L R1_C6_80,Ratio H/L R1_Con_03,Ratio H/L R1_Con_06,Ratio H/L R1_Con_12,Ratio H/L R1_Con_24,Ratio H/L R1_Con_80,Ratio H/L R2_C2_03,Ratio H/L R2_C2_06,Ratio H/L R2_C2_12,Ratio H/L R2_C2_24,Ratio H/L R2_C2_80,Ratio H/L R2_C6_03,Ratio H/L R2_C6_06,Ratio H/L R2_C6_12,Ratio H/L R2_C6_24,Ratio H/L R2_C6_80,Ratio H/L R2_Con_03,Ratio H/L R2_Con_06,Ratio H/L R2_Con_12,Ratio H/L R2_Con_24,Ratio H/L R2_Con_80,Ratio H/L R3_C2_03,Ratio H/L R3_C2_06,Ratio H/L R3_C2_12,Ratio H/L R3_C2_24,Ratio H/L R3_C2_80,Ratio H/L R3_C6_03,Ratio H/L R3_C6_06,Ratio H/L R3_C6_12,Ratio H/L R3_C6_24,Ratio H/L R3_C6_80,Ratio H/L R3_Con_03,Ratio H/L R3_Con_06,Ratio H/L R3_Con_12,Ratio H/L R3_Con_24,Ratio H/L R3_Con_80
P25398,40S ribosomal protein S12,RPS12,Large Protein Complex,3.3927,1.831,0.70328,0.49246,0.46561,3.0877,1.7168,0.64644,0.47021,0.47333,2.9113,1.8723,0.73472,0.51521,0.5133,3.1997,1.8022,0.58027,0.38794,0.36985,2.8255,1.5203,0.51046,0.37991,0.36608,3.5071,1.7011,0.52988,0.37476,0.36565,3.2079,1.9083,0.72609,0.44684,0.44577,3.184,1.9668,0.71604,0.57679,0.46674,3.5807,2.2768,0.80604,0.52607,0.51609
P62277,40S ribosomal protein S13,RPS13,Large Protein Complex,3.46,1.9261,0.6902,0.51226,0.48148,3.0843,1.7614,0.6464,0.50653,0.47569,3.5758,1.8979,0.73267,0.51575,0.51862,3.4301,2.0327,0.64355,0.45513,0.39885,3.0619,1.7938,0.544,0.40403,0.38198,3.5633,1.7299,0.55442,0.39446,0.36046,3.3102,2.3399,0.79915,0.47533,0.49386,3.2832,2.2708,0.74396,0.60815,0.47373,3.7313,2.5027,0.85115,0.59749,0.52799
P62263,40S ribosomal protein S14,RPS14,Large Protein Complex,3.1256,1.8241,0.65092,0.46891,0.47853,2.8434,1.7049,0.65212,0.46039,0.45483,3.1784,1.8282,0.65245,0.5099,0.48954,3.3754,1.8036,0.58331,0.38266,0.3596,2.8063,1.5643,0.52779,0.39386,0.34901,2.4973,1.5839,0.50835,0.3783,0.33891,2.3088,2.2464,0.74397,0.46584,0.4416,0.79609,2.0967,0.75446,0.56721,0.43507,2.8016,2.3678,0.8457,0.54369,0.53433
P62841,40S ribosomal protein S15,RPS15,Large Protein Complex,2.2138,1.8891,0.66391,0.48036,0.44783,1.4865,1.7395,0.63547,0.47008,0.4634,0.74652,1.8802,0.65727,0.48517,0.46898,2.8609,1.8581,0.6002,0.41647,0.36237,2.5932,1.6028,0.54527,0.36856,0.35049,2.1795,1.6151,0.51735,0.3955,0.32636,2.5816,2.0615,0.81095,0.48055,0.45979,1.789,2.1305,0.77403,0.64102,0.50063,3.3504,2.4779,0.87711,0.52301,0.49724
P62249,40S ribosomal protein S16,RPS16,Large Protein Complex,3.2617,1.7879,0.64984,0.46242,0.4626,2.8193,1.7306,0.63829,0.44504,0.45117,3.0326,1.8547,0.6696,0.47631,0.49346,3.3996,1.7076,0.58483,0.38968,0.32951,2.8174,1.594,0.51495,0.39102,0.35503,3.2623,1.6887,0.50597,0.3649,0.34264,3.2366,2.2783,0.71789,0.48899,0.48053,3.2351,2.1157,0.73488,0.59604,0.45569,3.7697,2.3536,0.83144,0.55462,0.50624
P08708,40S ribosomal protein S17,RPS17,Large Protein Complex,3.2973,1.8457,0.68989,0.47176,0.47862,3.0555,1.6798,0.65015,0.47413,0.47028,3.1691,1.8841,0.70317,0.4852,0.50711,3.378,1.8148,0.62548,0.41567,0.37132,2.8864,1.6342,0.50359,0.36646,0.36775,3.1807,1.6565,0.52552,0.3897,0.34635,2.9933,2.2677,0.75483,0.48504,0.48508,3.2768,2.171,0.74981,0.56591,0.4279,3.5554,2.4535,0.8401,0.53866,0.50966
P62269,40S ribosomal protein S18,RPS18,Large Protein Complex,3.4211,1.7945,0.66276,0.49018,0.4909,3.0422,1.7191,0.64156,0.47512,0.47931,3.2915,1.8035,0.69259,0.49717,0.50052,3.3799,1.8422,0.57836,0.40904,0.36103,2.9208,1.6534,0.49875,0.38709,0.35449,3.0864,1.7086,0.51369,0.37459,0.34603,3.2787,2.3449,0.76022,0.46637,0.45661,3.2072,2.2565,0.734,0.59229,0.45519,3.2957,2.5407,0.8298,0.54448,0.50937
P39019,40S ribosomal protein S19,RPS19,Large Protein Complex,3.3426,1.8055,0.67393,0.50337,0.48182,3.042,1.7983,0.66674,0.47303,0.47883,3.4944,1.8338,0.68469,0.51101,0.50906,3.3647,1.8637,0.59812,0.41636,0.37126,3.0434,1.6831,0.51694,0.40989,0.37392,3.3151,1.7227,0.51686,0.37958,0.35877,3.2957,2.2475,0.77155,0.48144,0.47656,3.1937,2.1705,0.78438,0.60593,0.47783,3.5721,2.4179,0.85118,0.55674,0.52971
P15880,40S ribosomal protein S2,RPS2,Large Protein Complex,3.223,1.8389,0.7008,0.5043,0.50408,2.9883,1.8039,0.68184,0.51094,0.48629,3.0928,1.8956,0.71375,0.52037,0.51734,3.1026,1.8343,0.63753,0.43406,0.38744,1.7586,1.5711,0.52923,0.39499,0.3756,2.9991,1.6759,0.56837,0.40606,0.37497,3.2026,2.2098,0.78293,0.49496,0.47588,2.9538,2.1783,0.77827,0.60835,0.47575,3.4722,2.4053,0.85677,0.56081,0.53537
P60866;P60866-2,40S ribosomal protein S20,RPS20,Large Protein Complex,3.3937,1.7157,0.63259,0.43245,0.42989,2.9462,1.5953,0.61795,0.38461,0.44896,2.9475,1.8255,0.60471,0.45496,0.43293,3.2493,1.8462,0.58813,0.37986,0.36195,2.7433,1.5444,0.50802,0.3857,0.3713,3.2737,1.6564,0.47475,0.35649,0.34356,3.0217,2.0921,0.69492,0.48165,0.42753,2.9148,2.1097,0.7004,0.59408,0.41569,3.4368,2.4195,0.77826,0.54898,0.4488
P63220,40S ribosomal protein S21,RPS21,Large Protein Complex,3.1625,1.8401,0.66821,0.48945,0.47689,2.9553,1.695,0.65103,0.44395,0.47739,3.0822,1.8299,0.68781,0.48652,0.49063,2.845,1.8322,0.5982,0.40133,0.35843,2.915,1.6508,0.52983,0.40697,0.37977,3.0963,1.6568,0.51151,0.37535,0.34988,3.2069,2.1722,0.75365,0.48459,0.47967,3.3311,2.292,0.76372,0.5968,0.45433,3.4531,2.4573,0.8365,0.55102,0.48737
P62266,40S ribosomal protein S23,RPS23,Large Protein Complex,3.0501,1.7784,0.65899,0.48919,0.47636,2.9076,1.71,0.61785,0.46087,0.45207,3.1141,1.8248,0.6732,0.47959,0.47501,3.2238,1.7165,0.59339,0.42148,0.37522,2.9308,1.3985,0.52897,0.38871,0.3632,3.1536,1.6291,0.54132,0.38044,0.35203,3.3199,2.3137,0.8052,0.48751,0.48743,3.2178,2.1648,0.77683,0.60362,0.4641,3.6281,2.448,0.84158,0.56283,0.53739
P62847;P62847-2;P62847-3;P62847-4,40S ribosomal protein S24,RPS24,Large Protein Complex,3.5276,1.9233,0.70642,0.55697,0.49651,3.1528,1.8209,0.71704,0.51403,0.50628,3.5147,1.9719,0.71227,0.52616,0.52906,3.2753,2.0043,0.66272,0.45338,0.39889,2.9539,1.7351,0.54281,0.41525,0.37618,3.2872,1.7983,0.56694,0.41675,0.37626,3.3394,2.3539,0.84843,0.51379,0.5299,3.4424,2.299,0.78882,0.6664,0.4929,3.828,2.4466,0.87237,0.57161,0.53472
P62851,40S ribosomal protein S25,RPS25,Large Protein Complex,3.2854,1.9082,0.69184,0.47481,0.5103,2.9706,1.798,0.66302,0.47439,0.48329,3.1563,1.9519,0.70324,0.53106,0.50802,3.3675,1.8986,0.62075,0.41723,0.38752,2.9143,1.7065,0.54163,0.4045,0.36954,3.3746,1.7675,0.53575,0.38678,0.36056,3.4104,2.4082,0.80347,0.48271,0.48497,3.3048,2.2598,0.76242,0.60461,0.47949,3.5531,2.51,0.87523,0.56752,0.52801
Q71UM5,40S ribosomal protein S27-like,RPS27L,Large Protein Complex,3.347,1.9181,0.68056,0.46118,0.46471,3.0781,1.7369,0.65211,0.4666,0.45782,2.7788,1.7452,0.66506,0.49675,0.50103,3.0523,1.9332,0.64463,0.40846,0.38248,3.0782,1.6042,0.51954,0.40552,0.37535,3.223,1.6528,0.53957,0.37027,0.36159,3.2708,2.2524,0.81671,0.52558,0.48281,3.3728,2.2289,0.7729,0.60252,0.47265,3.6003,2.4528,0.92047,0.58259,0.536
P62857,40S ribosomal protein S28,RPS28,Large Protein Complex,3.2237,1.7918,0.67438,0.46445,0.43215,2.8238,1.7265,0.61154,0.44545,0.45944,3.1242,1.8284,0.68091,0.4856,0.4831,2.9413,1.7277,0.56665,0.37371,0.35191,2.4494,1.5858,0.47601,0.36836,0.34714,3.2118,1.548,0.49152,0.35595,0.3355,3.4011,2.2049,0.69816,0.4586,0.43447,3.0685,2,0.70672,0.5486,0.4453,3.5949,2.2777,0.80964,0.51022,0.50034
P23396;P23396-2,40S ribosomal protein S3,RPS3,Large Protein Complex,3.3398,1.7931,0.68292,0.48656,0.472,2.9651,1.7466,0.65359,0.47449,0.47939,2.9542,1.8324,0.69454,0.50155,0.49694,3.2736,1.8778,0.60727,0.41076,0.36973,2.9752,1.6272,0.51143,0.39782,0.35922,3.2399,1.7108,0.53069,0.37449,0.36035,3.3507,2.2699,0.75273,0.51238,0.48785,3.2434,2.2043,0.75737,0.6083,0.48155,3.6114,2.4214,0.83457,0.57275,0.5395
P61247,40S ribosomal protein S3a,RPS3A,Large Protein Complex,3.3689,1.7935,0.69156,0.47248,0.46468,3.0739,1.7559,0.65941,0.45954,0.45576,3.0702,1.8595,0.69125,0.49404,0.4819,3.3505,1.8508,0.60782,0.40199,0.36297,2.9692,1.6647,0.51416,0.39216,0.36373,3.3149,1.6807,0.52551,0.37785,0.34218,3.4315,2.2277,0.76362,0.47587,0.46471,3.3655,2.3182,0.77768,0.59067,0.46464,3.6036,2.4104,0.82711,0.55757,0.50491
P46782,"40S ribosomal protein S5;40S ribosomal protein S5, N-terminally processed",RPS5,Large Protein Complex,3.3143,1.7205,0.65032,0.47998,0.44704,2.9088,1.7512,0.65351,0.45122,0.4479,2.941,1.8134,0.66953,0.4938,0.47643,3.1052,1.8235,0.5875,0.4184,0.37268,2.881,1.5834,0.50264,0.37492,0.35192,3.1555,1.6001,0.50856,0.37689,0.34734,2.8926,2.1053,0.71426,0.46766,0.45442,2.7807,2.1094,0.74078,0.60936,0.46973,3.4135,2.1659,0.7684,0.53298,0.49585
P62753,40S ribosomal protein S6,RPS6,Large Protein Complex,3.4158,1.884,0.6646,0.49075,0.48257,2.9651,1.7986,0.65896,0.48734,0.4726,3.2128,1.8588,0.66654,0.49794,0.50065,2.7934,1.7348,0.59724,0.40208,0.36856,2.6001,1.6914,0.50658,0.37937,0.34161,3.214,1.6695,0.5278,0.38523,0.34511,2.7689,1.8989,0.72133,0.42377,0.43972,2.2477,2.0674,0.73592,0.5716,0.43694,3.2878,2.3107,0.76655,0.51684,0.49526
P62081,40S ribosomal protein S7,RPS7,Large Protein Complex,3.1314,1.8498,0.68131,0.50019,0.5084,2.954,1.765,0.67617,0.48224,0.48314,3.3818,1.8784,0.68045,0.51488,0.52156,3.3246,1.8595,0.61331,0.41796,0.36928,2.9102,1.6957,0.54151,0.40244,0.36304,2.9637,1.7527,0.53243,0.3862,0.36413,3.233,2.3937,0.7954,0.50357,0.47541,3.2203,2.2062,0.77385,0.6168,0.4723,3.5713,2.431,0.86271,0.58356,0.51987
P62241,40S ribosomal protein S8,RPS8,Large Protein Complex,3.3526,1.8004,0.66534,0.46293,0.46086,3.0223,1.7551,0.6244,0.4457,0.44015,3.2029,1.8554,0.68968,0.48832,0.49649,3.3557,1.7957,0.56426,0.35896,0.34237,2.9334,1.636,0.5124,0.35751,0.3609,3.1587,1.6896,0.52583,0.34541,0.34258,3.22,2.1515,0.68941,0.43949,0.45019,3.1794,2.0924,0.67482,0.5634,0.42131,3.5689,2.3345,0.80554,0.54727,0.49093
P46781,40S ribosomal protein S9,RPS9,Large Protein Complex,3.3717,1.8254,0.66841,0.48867,0.47304,3.08,1.7166,0.65106,0.45573,0.45437,3.2151,1.871,0.68827,0.50826,0.48688,3.3665,1.8565,0.60927,0.42245,0.37276,2.8692,1.7506,0.50834,0.38814,0.37115,3.2793,1.6986,0.52804,0.38987,0.36554,3.3253,2.2462,0.75023,0.46672,0.43981,3.3419,2.2397,0.73721,0.59881,0.48189,3.5699,2.4406,0.83307,0.55422,0.50441
P55735;P55735-3;P55735-2,Protein SEC13 homolog,SEC13,Large Protein Complex,1.7219,1.2985,0.57933,0.37656,0.46557,1.5703,1.1519,0.54096,0.37505,0.45426,1.2883,1.3304,0.537,0.37079,0.47062,1.52,1.1249,0.49771,0.34086,0.34851,1.4456,0.95482,0.49447,0.39814,0.40778,1.8025,1.1661,0.48966,0.32206,0.40491,1.1746,1.0408,0.42057,0.26876,0.32145,1.1257,0.93802,0.43064,0.37776,0.3304,1.3757,1.1459,0.56069,0.37112,0.43804
Q15436;Q15436-2,Protein transport protein Sec23A,SEC23A,Large Protein Complex,1.6918,2.0188,0.79865,0.46479,0.41176,1.4587,1.8615,0.75062,0.45782,0.43626,1.2329,2.294,0.78082,0.45133,0.46022,1.7491,1.9741,0.71838,0.41426,0.39,1.561,1.574,0.69073,0.45137,0.40407,1.8048,1.748,0.63557,0.37725,0.38301,1.7958,1.6573,0.67491,0.37207,0.422,1.7145,1.6585,0.77664,0.58688,0.41314,1.7872,1.9267,0.81411,0.47767,0.49419
Q15437,Protein transport protein Sec23B,SEC23B,Large Protein Complex,1.2988,1.5797,0.65018,0.43609,0.47969,1.155,1.385,0.62753,0.4027,0.47624,0.82702,1.6718,0.62642,0.40306,0.47245,1.3585,1.4784,0.6051,0.39908,0.41706,1.181,1.2691,0.60958,0.44431,0.45511,1.4699,1.349,0.55292,0.36521,0.43665,1.0643,1.0424,0.46602,0.29349,0.36282,1.0296,1.0717,0.50478,0.41909,0.36364,1.0814,1.1063,0.50661,0.34468,0.42147
O95486,Protein transport protein Sec24A,SEC24A,Large Protein Complex,1.4819,1.7028,0.63191,0.39069,0.53675,1.1239,1.5932,0.51795,0.3863,0.44883,1.0313,1.4882,0.60668,0.36187,0.477,1.2595,1.6655,0.4798,0.33948,0.37,1.1175,1.2982,0.59957,0.36606,0.43077,1.2656,1.0928,0.42824,0.40161,0.37032,0.79519,1.3992,0.46188,0.30306,0.33772,1.1499,0.78581,0.35846,0.33868,0.37802,1.1752,1.5011,0.49157,0.2911,0.37883
O95487;O95487-3;O95487-2,Protein transport protein Sec24B,SEC24B,Large Protein Complex,2.1513,2.3085,0.69843,0.43403,0.43804,2.0744,1.9298,0.64161,0.40872,0.40786,2.0799,2.581,0.69971,0.41149,0.46112,2.1736,2.2824,0.64649,0.36545,0.38651,2.2007,1.7084,0.63314,0.4068,0.40592,2.0999,2.0373,0.55821,0.33478,0.39474,2.2566,2.4039,0.60392,0.36783,0.38758,2.1072,1.9087,0.71693,0.51173,0.40347,2.5514,2.368,0.7186,0.42096,0.4705
P53992,Protein transport protein Sec24C,SEC24C,Large Protein Complex,1.4094,1.9004,0.82577,0.49339,0.46261,1.358,1.7378,0.77939,0.47248,0.45522,1.068,2.1223,0.83239,0.45901,0.49523,1.556,1.7267,0.70663,0.41708,0.4008,1.4089,1.2843,0.67718,0.46122,0.41862,1.6576,1.571,0.64723,0.39423,0.41558,1.4497,1.5189,0.60784,0.34924,0.37524,1.4533,1.2924,0.62589,0.50726,0.40609,1.4965,1.4979,0.68294,0.46349,0.47944
O94855;O94855-2,Protein transport protein Sec24D,SEC24D,Large Protein Complex,1.0059,1.4808,0.82493,0.53812,0.47658,0.84186,1.3943,0.79036,0.52093,0.46192,0.71128,1.8802,0.76332,0.51161,0.50065,0.97185,1.6493,0.69663,0.35203,0.50081,0.94744,1.174,0.7271,0.40057,0.43574,1.2725,1.4204,0.65153,0.37664,0.40184,0.95584,1.0702,0.52907,0.28573,0.39991,0.90808,0.79376,0.65589,0.43895,0.39372,0.96786,1.0518,0.62815,0.50051,0.48807
O94979;O94979-9;O94979-3;O94979-2;O94979-8;O94979-4;O94979-6;O94979-10;O94979-5,Protein transport protein Sec31A,SEC31A,Large Protein Complex,2.0718,1.4973,0.56505,0.36513,0.4278,1.8672,1.3378,0.50365,0.34711,0.39138,1.4811,1.5987,0.52436,0.3327,0.40455,1.8415,1.5121,0.52353,0.34432,0.34855,1.8806,1.3447,0.52629,0.37764,0.40459,1.9012,1.3527,0.49145,0.31204,0.33812,1.4299,1.3223,0.44691,0.27445,0.30825,1.4853,1.1916,0.45756,0.35255,0.30124,1.5711,1.3488,0.54712,0.3432,0.33034
Q15459;Q15459-2,Splicing factor 3A subunit 1,SF3A1,Large Protein Complex,1.3541,2.5477,0.84787,0.58569,0.4421,1.3981,2.0551,0.78772,0.52805,0.38678,1.6466,3.2433,1.0859,0.68146,0.51017,1.5965,1.9419,0.71559,0.46495,0.35005,2.0324,2.2526,0.94111,0.74302,0.55406,1.3584,1.774,0.63685,0.44036,0.34813,1.2856,1.9152,0.65011,0.40655,0.34639,1.1416,1.6982,0.72631,0.60715,0.36259,1.3522,1.8437,0.73098,0.44406,0.34736
Q12874,Splicing factor 3A subunit 3,SF3A3,Large Protein Complex,1.2777,2.5317,0.85035,0.61838,0.463,1.3267,2.3032,0.79585,0.50285,0.40198,1.625,3.6208,1.0946,0.68298,0.55579,1.6288,2.2496,0.85441,0.54364,0.39508,2.2413,2.5399,1.0001,0.66524,0.51129,1.4615,1.8778,0.65537,0.40257,0.36748,1.2041,1.7174,0.66548,0.38629,0.31929,1.2053,1.7162,0.73761,0.50113,0.36586,1.4269,1.6567,0.71525,0.44627,0.35408
O75533,Splicing factor 3B subunit 1,SF3B1,Large Protein Complex,1.3484,2.2166,0.94456,0.56847,0.38533,1.4106,1.9803,0.87254,0.54192,0.39215,1.7216,3.5586,1.1839,0.68233,0.50824,1.7278,1.8765,0.80184,0.44917,0.35732,2.0702,2.7751,1.0553,0.70237,0.52174,1.3915,2.0417,0.59283,0.42566,0.32179,1.569,1.6809,0.67236,0.4021,0.32964,1.2674,1.6248,0.75628,0.55647,0.34306,1.2841,2.1083,0.69116,0.41625,0.33503
Q13435,Splicing factor 3B subunit 2,SF3B2,Large Protein Complex,1.8402,2.1871,0.78054,0.49168,0.38052,2.0124,1.9646,0.71251,0.50363,0.36252,2.1634,2.9104,0.83334,0.54339,0.43146,2.2939,2.0777,0.68895,0.46833,0.31682,2.2688,2.0194,0.73982,0.56316,0.42879,1.7664,1.8089,0.5831,0.41493,0.31026,2.0096,2.2551,0.70038,0.45718,0.33776,2.1254,1.7915,0.80087,0.52107,0.37434,2.2278,2.4848,0.72655,0.44973,0.37886
Q15393,Splicing factor 3B subunit 3,SF3B3,Large Protein Complex,1.1732,1.4251,0.72815,0.51846,0.39363,1.2024,1.2533,0.68719,0.49322,0.38551,1.1499,2.1451,0.93406,0.62783,0.49975,1.3716,1.3181,0.66029,0.43906,0.36865,1.3837,1.5118,0.72393,0.6724,0.52133,1.146,1.399,0.54154,0.4045,0.34165,1.1277,1.2434,0.5806,0.40422,0.36202,1.1327,1.1494,0.70025,0.57569,0.38588,1.1755,1.1249,0.63593,0.44599,0.3697
Q15427,Splicing factor 3B subunit 4,SF3B4,Large Protein Complex,1.8369,2.0351,0.7448,0.52902,0.4508,1.496,1.7622,0.71759,0.5064,0.44954,1.6077,2.246,0.79324,0.55196,0.48153,1.7741,1.5759,0.69185,0.42945,0.36792,1.9783,1.8852,0.67911,0.59681,0.4787,1.4863,1.5462,0.58825,0.42964,0.35927,1.635,1.7026,0.59316,0.42058,0.33731,1.7195,1.5492,0.75378,0.6169,0.42077,1.7333,0.73032,0.61769,0.4813,0.4511
Q14683,Structural maintenance of chromosomes protein 1A,SMC1A,Large Protein Complex,1.3432,2.3268,0.77908,0.5649,0.52367,1.4855,2.1031,0.6548,0.49924,0.50393,1.5205,2.4538,0.9182,0.59372,0.60657,1.4596,1.6562,0.72424,0.44612,0.43599,1.6814,1.7008,0.54297,0.51538,0.47991,1.3758,1.6258,0.58477,0.45379,0.43258,1.7539,1.8597,0.79163,0.52579,0.55548,1.2999,1.3741,0.7966,0.66965,0.58969,1.6256,1.7503,0.83119,0.61405,0.62903
O95347;O95347-2,Structural maintenance of chromosomes protein 2,SMC2,Large Protein Complex,2.485,1.8548,0.61726,0.46715,0.43367,2.2456,1.7507,0.58462,0.42369,0.39459,1.9699,1.9391,0.63606,0.47479,0.44918,2.6807,1.9481,0.56588,0.38311,0.3529,2.351,1.9207,0.5826,0.44639,0.41313,2.379,1.7341,0.47785,0.35238,0.32163,2.0904,1.9199,0.61451,0.39041,0.36626,1.8116,1.6005,0.5418,0.43867,0.34356,2.1433,1.9621,0.68294,0.46383,0.41266
Q9UQE7,Structural maintenance of chromosomes protein 3,SMC3,Large Protein Complex,1.4425,1.9195,0.78182,0.58853,0.53773,1.6307,1.8872,0.78711,0.51004,0.52338,1.566,2.7939,0.82416,0.54437,0.60421,1.5946,1.4854,0.72047,0.47966,0.44277,1.5564,1.5409,0.57346,0.45283,0.43522,1.2968,1.3587,0.62281,0.42761,0.42128,1.5,1.5926,0.70334,0.50277,0.563,1.2837,1.303,0.83984,0.68313,0.54362,1.5517,1.6512,0.86894,0.63802,0.67324
Q9NTJ3;Q9NTJ3-2,Structural maintenance of chromosomes protein 4,SMC4,Large Protein Complex,2.7449,1.8925,0.60911,0.44687,0.41497,2.1807,1.753,0.55696,0.41212,0.37472,2.1388,2.0641,0.64289,0.45735,0.43788,2.5091,1.8754,0.59487,0.39697,0.34754,2.4237,1.8214,0.5605,0.4493,0.38417,2.4622,1.7354,0.4889,0.35479,0.31908,2.3112,2.039,0.60887,0.37176,0.37306,1.8147,1.5409,0.54655,0.43732,0.32393,2.226,1.968,0.65092,0.45674,0.39808
Q07955;Q07955-3;Q07955-2,Serine/arginine-rich splicing factor 1,SRSF1,Large Protein Complex,1.8482,2.5629,0.79794,0.50032,0.4294,1.696,2.0889,0.75648,0.43632,0.38141,2.2909,2.8917,0.93578,0.54994,0.46415,2.5549,2.3732,0.70492,0.43853,0.32623,3.0932,2.9161,1.0201,0.6863,0.58325,2.1459,2.1691,0.59877,0.38109,0.3413,1.9793,1.8703,0.60188,0.33039,0.31503,1.9587,2.0206,0.68541,0.49525,0.35793,2.2869,2.0285,0.64958,0.38612,0.35229
Q05519;Q05519-2,Serine/arginine-rich splicing factor 11,SRSF11,Large Protein Complex,2.4027,2.1027,0.60704,0.35726,0.29834,2.3257,1.4765,0.56813,0.3964,0.33168,3.1284,2.7229,0.75938,0.47381,0.39006,2.3629,2.0714,0.59765,0.355,0.31487,2.6795,2.1301,0.81264,0.64491,0.54237,1.9661,1.6948,0.53358,0.35672,0.27296,2.1272,1.9189,0.52238,0.33061,0.27058,1.8365,1.4924,0.50583,0.41349,0.27559,2.0357,1.9945,0.58849,0.34286,0.29479
Q01130;Q01130-2,Serine/arginine-rich splicing factor 2,SRSF2,Large Protein Complex,1.974,1.8244,0.53506,0.32009,0.27009,1.666,1.3559,0.51223,0.30961,0.26543,2.3017,2.0105,0.5806,0.36422,0.29328,2.5103,1.8217,0.55478,0.36328,0.30031,3.3438,2.2962,0.82644,0.61375,0.43975,1.8804,1.7235,0.48561,0.33397,0.26982,2.0265,1.5507,0.49662,0.25636,0.29729,2.0129,1.75,0.63211,0.49241,0.35977,2.3705,1.8197,0.68271,0.41886,0.34776
P84103;P84103-2,Serine/arginine-rich splicing factor 3,SRSF3,Large Protein Complex,2.1501,2.2097,0.74153,0.50311,0.4809,1.8777,1.8463,0.63851,0.42323,0.42551,2.5798,2.6509,0.91989,0.62306,0.59036,3.1522,2.3386,0.7094,0.46195,0.4051,3.5691,3.0381,0.96922,0.69335,0.6084,2.3844,2.1511,0.61186,0.43231,0.37437,2.4055,1.7632,0.61287,0.33906,0.33663,2.2733,2.0193,0.63043,0.44623,0.36273,2.6747,2.1027,0.6472,0.42517,0.36131
Q13247;Q13247-3;Q13247-2,Serine/arginine-rich splicing factor 6,SRSF6,Large Protein Complex,2.4008,2.7288,0.91008,0.57043,0.36213,2.2371,2.3065,0.86394,0.52239,0.31391,2.9813,3.7142,1.1564,0.67594,0.41242,3.2681,2.7639,0.89885,0.56244,0.31917,4.1118,3.7232,1.3565,0.95417,0.60904,2.6839,2.638,0.78084,0.51154,0.29502,2.433,2.4161,0.7971,0.45192,0.30502,2.5717,2.406,0.90295,0.68891,0.34476,3.0625,2.7233,0.96149,0.59683,0.33221
Q16629;Q16629-3;Q16629-2;Q16629-4,Serine/arginine-rich splicing factor 7,SRSF7,Large Protein Complex,1.7969,2.7712,0.78874,0.43472,0.3349,1.865,2.6435,0.72201,0.42861,0.31542,2.5001,4.1209,1.0069,0.5439,0.41888,2.3474,2.4987,0.77411,0.4091,0.3222,2.1842,2.7076,0.96188,0.64042,0.48184,1.8123,2.6439,0.69026,0.40049,0.31917,2.2577,2.3731,0.67536,0.33255,0.2976,1.9898,2.6153,0.88286,0.47267,0.31151,2.2129,2.3912,0.68801,0.35815,0.29974
P17987,T-complex protein 1 subunit alpha,TCP1,Large Protein Complex,0.51133,1.133,1.1718,1.3066,0.84787,0.54158,1.014,1.1959,1.3954,0.88386,0.58954,1.2718,1.1427,1.2955,0.85648,0.54707,0.78941,1.244,1.4629,1.0706,0.4618,0.64615,1.058,1.7291,1.2431,0.63066,0.7558,0.94613,1.2772,0.9737,0.47856,0.67821,1.0882,1.6408,1.2238,0.42718,0.53855,0.90523,1.8319,1.0756,0.52702,0.64644,0.99624,1.6391,1.2428
Q7Z392;Q7Z392-3;Q7Z392-4,Trafficking protein particle complex subunit 11,TRAPPC11,Large Protein Complex,2.9127,1.9413,0.71452,0.40016,0.39661,1.8767,1.5981,0.75529,0.43032,0.37507,2.4125,2.4205,0.72893,0.40334,0.41892,2.3418,1.8741,0.66294,0.38687,0.37225,3.0726,2.1667,0.5939,0.41979,0.40656,1.9565,1.9128,0.59405,0.32685,0.39904,2.1356,1.7658,0.67997,0.36987,0.43612,2.7086,2.0957,0.7144,0.5042,0.40084,3.6321,2.3211,0.71634,0.4849,0.48388
O43617;O43617-2,Trafficking protein particle complex subunit 3,TRAPPC3,Large Protein Complex,1.962,1.6423,0.71589,0.42633,0.42699,1.7041,1.5594,0.60138,0.42002,0.4403,1.9015,1.7658,0.85155,0.51564,0.48826,2.0269,1.2582,0.5381,0.41824,0.40849,1.7456,1.2995,0.58969,0.40969,0.39884,2.011,1.6906,0.54297,0.37589,0.42064,1.7931,1.6217,0.6339,0.383,0.47216,1.5904,1.3416,0.6989,0.54515,0.66228,1.8086,1.7316,0.77515,0.50056,0.5136
