Protein.ID,TAIR.annotation,Gene.name,Gene.family,markers,Localization.assigned.by.the.Naive.Bayesian.classifier_start.below.threshold.,Average.Posterior.Probability,Known.Predicted.function,Refered.to.in.discussion.or.figures,Previous.high.confidence.localizations.see.Supplementary.references.,Proteins.with.one.TMD.used.in.the.TMD.analysis,TMD.Span.start,TMD.Span.end,Orientation.of.the.TMD,Number.of.four.plex.labelings.in.which.the.protein.is.observed,LOPIT1A_114,LOPIT1A_115,LOPIT1A_116,LOPIT1A_117,LOPIT1B_114,LOPIT1B_115,LOPIT1B_116,LOPIT1B_117,LOPIT2A_114,LOPIT2A_115,LOPIT2A_116,LOPIT2A_117,LOPIT2B_114,LOPIT2B_115,LOPIT2B_116,LOPIT2B_117,LOPIT3A_114,LOPIT3A_115,LOPIT3A_116,LOPIT3A_117,LOPIT3B_114,LOPIT3B_115,LOPIT3B_116,LOPIT3B_117,LOPIT4A_114,LOPIT4A_115,LOPIT4A_116,LOPIT4A_117,LOPIT4B_114,LOPIT4B_115,LOPIT4B_116,LOPIT4B_117
AT4G26550,"Got1/Sft2-like vesicle transport protein family; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: vesicle-mediated transport; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Vesicle transport protein, Got1/SFT2-like (InterPro:IPR007305), Vesicle transport protein, SFT2-like (InterPro:IPR011691); BEST Arabidopsis thaliana protein match is: Got1/Sft2-like vescicle transport protein family (TAIR:AT5G56020.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",,"Vesicle transport protein",,Golgi/TGN,1,SNARE-like,"novel Golgi protein localised in this study",,,NA,NA,,4,0.191,0.234,0.264,0.31,0.1585,0.157,0.3485,0.336,0.1,0.234,0.433,0.233,0.156,0.2,0.374,0.269,0.1690641758,0.2238567515,0.3300353158,0.2770148988,0.1166958151,0.3462768871,0.2347395304,0.3022878413,0.2172048185,0.2567371936,0.2755381,0.2505350587,0.1942625089,0.2495763947,0.2851548665,0.2709679594
AT1G09330,"ECHIDNA; FUNCTIONS IN: trans-Golgi-network trafficking; INVOLVED IN: biological_process unknown; LOCATED IN: integral to membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF846, eukaryotic (InterPro:IPR008564); Has 518 Blast hits to 518 proteins in 206 species: Archae - 0; Bacteria - 0; Metazoa - 193; Fungi - 145; Plants - 73; Viruses - 0; Other Eukaryotes - 107 (source: NCBI BLink).",ECH,DUF846,,Golgi/TGN,1,unknown,,"TGN EYFP (Gendre et al., 2011)",,NA,NA,,8,0.206,0.3305,0.2675,0.197,0.2385,0.2995,0.2755,0.1865,0.139,0.3094,0.3592,0.1922,0.1212,0.3354,0.3482,0.1954,0.1215,0.31,0.3495,0.219,0.0986666667,0.3573333333,0.303,0.241,0.258,0.2712857143,0.2597142857,0.2105714286,0.125,0.247,0.354,0.274
AT2G43750,"Arabidopsis thaliana O-acetylserine (thiol) lyase (OAS-TL) isoform oasB, the key enzyme for fixation of inorganic sulfide. It catalyzes the formation of cysteine from O-acetylserine and inorganic sulfide.",OASB,"Cysteine synthase",,Golgi/TGN,0.81,"Amino acid metabolism","novel Golgi protein localised in this study",,,NA,NA,,4,0.1664426147,0.244942942,0.2844423002,0.3041827027,0.1891422185,0.229803024,0.2834300956,0.297630464,0.1428035661,0.2184106053,0.3246226709,0.3141502998,0.136634736,0.222881969,0.3199058637,0.3205704186,0.2083333333,0.215,0.269,0.307,0.1425,0.3105,0.237,0.31,0.176,0.2216,0.2822,0.3196,0.17,0.235,0.2745,0.32
AT5G20350,"Encodes a protein containing ankyrin and DHHC-CRD domain. Acts to restrict the size of the swelling that forms at the beginning of root hair cell growth, possibly by a mechanism that requires RHD1. Mutant displays defects in both root hair and pollen tube growth.",TIP1,Acyltransferase,,Golgi/TGN,1,Acyltransferase,,"Golgi LOPIT (Sadowski et al., 2008)",,NA,NA,,8,0.1576,0.2826,0.3006,0.2592,0.137,0.274,0.3066666667,0.282,0.0625,0.348,0.323,0.2665,0.1306,0.3049,0.3163,0.2481,0.211,0.239,0.263,0.287,0.0898333333,0.3318333333,0.2715,0.307,0.2235,0.2405,0.263,0.273,0.172,0.2285,0.295,0.304
AT5G66120,"3-dehydroquinate synthase, putative; FUNCTIONS IN: 3-dehydroquinate synthase activity; INVOLVED IN: aromatic amino acid family biosynthetic process; LOCATED IN: chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: 3-dehydroquinate synthase AroB, subgroup (InterPro:IPR016037), 3-dehydroquinate synthase AroB (InterPro:IPR002658); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",,"3-Dehydroquinate synthase",,Golgi/TGN,0.75,"Dehydroquinate synthase","novel Golgi protein localised in this study",,,NA,NA,,4,0.1044507411,0.2299401297,0.3385106001,0.3271020275,0.1117823086,0.2402418914,0.3307647449,0.3171861375,0.0699980074,0.2249667237,0.3856513785,0.3193730497,0.0751453433,0.2368625394,0.3680187891,0.3199618273,0.11,0.233,0.392,0.265,0.13,0.295,0.2125,0.3625,0.1407142857,0.2031428571,0.3042857143,0.3518571429,0.1684,0.2232,0.2946,0.3136
AT1G29880,"glycyl-tRNA synthetase / glycine--tRNA ligase; FUNCTIONS IN: glycine-tRNA ligase activity, nucleotide binding, aminoacyl-tRNA ligase activity, ATP binding; INVOLVED IN: response to cadmium ion, glycyl-tRNA aminoacylation; LOCATED IN: mitochondrion; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Aminoacyl-tRNA synthetase, class II (G/ H/ P/ S), conserved domain (InterPro:IPR002314), Glycyl-tRNA synthetase, alpha2 dimer (InterPro:IPR002315), S15/NS1, RNA-binding (InterPro:IPR009068), Glycyl-tRNA synthetase, alpha2 dimer, C-terminal (InterPro:IPR018160), Anticodon-binding (InterPro:IPR004154), WHEP-TRS (InterPro:IPR000738), Aminoacyl-tRNA synthetase, class II, conserved domain (InterPro:IPR006195); BEST Arabidopsis thaliana protein match is: tRNA synthetase class II (G, H, P and S) family protein (TAIR:AT1G29870.1); Has 6392 Blast hits to 4464 proteins in 1181 species: Archae - 269; Bacteria - 3324; Metazoa - 242; Fungi - 171; Plants - 75; Viruses - 0; Other Eukaryotes - 2311 (source: NCBI BLink).",GLYRS-1,"Class-II aminoacyl-tRNA synthetase",,Golgi/TGN,0.88,"Glycyl-tRNA synthetase","novel Golgi protein localised in this study",,,NA,NA,,3,0.1507128491,0.2398742685,0.3016953759,0.3077037605,0.1963523853,0.2389525464,0.2824025371,0.282281388,0.121122295,0.2541407515,0.3270957687,0.2976265117,0.1405681907,0.2580668117,0.3078298839,0.2935368033,0.1295,0.2525,0.2985,0.32,0.131873978,0.3046629037,0.2585997567,0.304820154,0.219,0.2245,0.271,0.2865,0.255,0.15,0.244,0.351
AT1G08030,"Encodes a tyrosylprotein sulfotransferase (TPST). This protein is a 500-aa type I transmembrane protein that shows no sequence similarity to animal TPSTs. Activity confirmed by protein expression in yeast.  TPST is expressed throughout the plant body, and the highest levels of expression are in the root apical meristem. TPST acts in the auxin pathway to maintain postembryonic root stem cell niche by defining the expression of the PLETHORA stem cell transcription factor genes. A loss-of-function mutant TPST displayed a marked dwarf phenotype accompanied by stunted roots, pale green leaves, reduction in higher order veins, early senescence, and a reduced number of flowers and siliques.",TPST,Sulfotransferase,Golgi/TGN,Golgi/TGN,1,"Heparan sulfate 3-O-ST like",,"Golgi GFP (Komori et al., 2009)",TMD-Golgi,471,490,N-Outside,4,0.084,0.2275,0.3715,0.317,0.089,0.252,0.385,0.274,0.0656,0.2498,0.4246,0.26,0.07725,0.27,0.4,0.2535,0.0938712291,0.2532423901,0.3614020242,0.2914219315,0.0821438,0.3662783658,0.2292848058,0.3222310314,0.1928285451,0.2635109071,0.285687218,0.2579980268,0.1383043946,0.2659233231,0.2975504687,0.298159058
AT3G06300,"Encodes a prolyl-4 hydroxylase that can hydroxylate poly(L-proline)and other proline rich peptides, including those with sequences corresponding to those in arabinogalactan proteins and extensins.",P4H2,"Prolyl 4-hydroxylase",,Golgi/TGN,0.67,"Hydroxylation of Proline","novel Golgi protein localised in this study",,,NA,NA,,5,0.1584,0.2178,0.3312,0.2926,0.24025,0.20025,0.28375,0.27525,0.1493773437,0.2673853735,0.3273227189,0.255813509,0.1766348251,0.2764326964,0.3015669741,0.245354527,0.16425,0.30825,0.29375,0.23375,0.1735454545,0.2667272727,0.3155454545,0.2443636364,0.3434285714,0.2328571429,0.2282857143,0.1954285714,0.2933336626,0.2089718254,0.2499173254,0.2477993308
AT1G20270,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein; FUNCTIONS IN: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors, oxidoreductase activity, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, L-ascorbic acid binding, iron ion binding; INVOLVED IN: oxidation reduction, peptidyl-proline hydroxylation to 4-hydroxy-L-proline; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Prolyl 4-hydroxylase, alpha subunit (InterPro:IPR006620), Oxoglutarate/iron-dependent oxygenase (InterPro:IPR005123); BEST Arabidopsis thaliana protein match is: 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein (TAIR:AT5G66060.1); Has 2479 Blast hits to 2467 proteins in 338 species: Archae - 0; Bacteria - 393; Metazoa - 997; Fungi - 73; Plants - 409; Viruses - 15; Other Eukaryotes - 592 (source: NCBI BLink).",P4H3,"Prolyl 4-hydroxylase",,Golgi/TGN,1,"Hydroxylation of Proline","novel Golgi protein localised in this study",,TMD-Golgi,20,42,N-Inside,5,0.14,0.209,0.34,0.311,0.1521531626,0.2217853472,0.3321135883,0.2938749545,0.101,0.189,0.418,0.2915,0.1091067575,0.2354863352,0.3779032762,0.2775123125,0.13175,0.277,0.36125,0.23075,0.1355,0.341,0.2485,0.275,0.2351000816,0.2601639952,0.2684683671,0.2362714062,0.196,0.257,0.26,0.287
AT3G28480,"Oxoglutarate/iron-dependent oxygenase; FUNCTIONS IN: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors, oxidoreductase activity, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, L-ascorbic acid binding, iron ion binding; INVOLVED IN: oxidation reduction, peptidyl-proline hydroxylation to 4-hydroxy-L-proline; LOCATED IN: Golgi apparatus; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Prolyl 4-hydroxylase, alpha subunit (InterPro:IPR006620), Oxoglutarate/iron-dependent oxygenase (InterPro:IPR005123), Metridin-like ShK toxin (InterPro:IPR003582); BEST Arabidopsis thaliana protein match is: Oxoglutarate/iron-dependent oxygenase (TAIR:AT3G28490.1).",P4H7,"Prolyl 4-hydroxylase",,Golgi/TGN,1,"Hydroxylation of Proline",,"Golgi LOPIT (Dunkley et al., 2006)",,NA,NA,,8,0.13,0.1955714286,0.3522857143,0.3221428571,0.135,0.205,0.3461666667,0.3136666667,0.068,0.179,0.45,0.302,0.13575,0.22775,0.3605,0.27575,0.1274,0.2472,0.3636,0.2612,0.0766666667,0.3296666667,0.2726666667,0.3216666667,0.2489,0.2481,0.2513,0.2518,0.1713333333,0.2263333333,0.2833333333,0.319
AT1G53710,"Calcineurin-like metallo-phosphoesterase superfamily protein; FUNCTIONS IN: hydrolase activity, protein serine/threonine phosphatase activity; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Metallophosphoesterase (InterPro:IPR004843); Has 794 Blast hits to 778 proteins in 180 species: Archae - 3; Bacteria - 28; Metazoa - 240; Fungi - 249; Plants - 248; Viruses - 0; Other Eukaryotes - 26 (source: NCBI BLink).",,"Calcineurin-like metallo-phosphoesterase",,Golgi/TGN,0.99,phosphodiesterase,"novel Golgi protein localised in this study",,,NA,NA,,3,0.1843986836,0.2484429003,0.2937964293,0.2733702658,0.2377642669,0.2200521425,0.2840432771,0.2580951402,0.1485,0.2345,0.354,0.263,0.15875,0.2365,0.35325,0.2515,0.185459897,0.254715596,0.3228065766,0.2370173573,0.1461730295,0.3158763915,0.2701982997,0.2677676808,0.29,0.256,0.239,0.214,0.2418643799,0.2372900364,0.2719730885,0.2488282521
AT1G26940,"Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein; FUNCTIONS IN: peptidyl-prolyl cis-trans isomerase activity; INVOLVED IN: protein folding; LOCATED IN: endomembrane system; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Cyclophilin-like (InterPro:IPR015891), Peptidyl-prolyl cis-trans isomerase, cyclophilin-type (InterPro:IPR002130); BEST Arabidopsis thaliana protein match is: cyclophilin71 (TAIR:AT3G44600.1); Has 11471 Blast hits to 11465 proteins in 2220 species: Archae - 104; Bacteria - 5913; Metazoa - 1282; Fungi - 864; Plants - 581; Viruses - 0; Other Eukaryotes - 2727 (source: NCBI BLink).",,"Cyclophilin-type PPIase",,Golgi/TGN,1,"Protein folding","novel Golgi protein localised in this study",,,NA,NA,,6,0.1106748538,0.2125444612,0.3456141741,0.3312336793,0.113,0.218,0.318,0.351,0.071,0.2236666667,0.438,0.2673333333,0.0702,0.2034,0.429,0.2976,0.1322577276,0.2304168848,0.3432798049,0.2939947455,0.0978333333,0.3233333333,0.2166666667,0.3628333333,0.20225,0.265125,0.28075,0.251875,0.174,0.2475,0.2945,0.284
AT3G55920,"Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein; FUNCTIONS IN: peptidyl-prolyl cis-trans isomerase activity; INVOLVED IN: protein folding; LOCATED IN: plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Cyclophilin-like (InterPro:IPR015891), Peptidyl-prolyl cis-trans isomerase, cyclophilin-type (InterPro:IPR002130), Peptidyl-prolyl cis-trans isomerase, cyclophilin-type, conserved site (InterPro:IPR020892); BEST Arabidopsis thaliana protein match is: cyclophilin 5 (TAIR:AT2G29960.1); Has 16458 Blast hits to 16421 proteins in 2673 species: Archae - 109; Bacteria - 6881; Metazoa - 2905; Fungi - 1389; Plants - 1283; Viruses - 4; Other Eukaryotes - 3887 (source: NCBI BLink).",,"Cyclophilin-type PPIase",,Golgi/TGN,1,"Protein folding","novel Golgi protein localised in this study",,TMD-Golgi,7,26,N-Inside,4,0.1181925452,0.2672926621,0.325326029,0.2891874936,0.1468591415,0.2553081253,0.3214510103,0.2763430058,0.0755508442,0.2791510245,0.3816746196,0.2635602474,0.0977840423,0.276583119,0.361882756,0.2637558615,0.1285,0.2725,0.347,0.252,0.107,0.348,0.254,0.291,0.2053076923,0.2806923077,0.2732307692,0.2407692308,0.1245,0.2713333333,0.3121666667,0.2925
AT4G34960,"Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein; FUNCTIONS IN: peptidyl-prolyl cis-trans isomerase activity; INVOLVED IN: protein folding; LOCATED IN: Golgi apparatus; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Cyclophilin-like (InterPro:IPR015891), Peptidyl-prolyl cis-trans isomerase, cyclophilin-type (InterPro:IPR002130), Peptidyl-prolyl cis-trans isomerase, cyclophilin-type, conserved site (InterPro:IPR020892); BEST Arabidopsis thaliana protein match is: cyclophilin 5 (TAIR:AT2G29960.1); Has 16085 Blast hits to 16059 proteins in 2650 species: Archae - 108; Bacteria - 6649; Metazoa - 2891; Fungi - 1367; Plants - 1258; Viruses - 4; Other Eukaryotes - 3808 (source: NCBI BLink).",,"Cyclophilin-type PPIase",,Golgi/TGN,1,"Protein folding",,"Golgi LOPIT (Dunkley et al., 2006 and Sadowski et al., 2008)",TMD-Golgi,13,32,N-Inside,7,0.076,0.244,0.367,0.314,0.1103333333,0.265,0.3513333333,0.273,0.0455,0.301,0.421,0.233,0.0765,0.3045,0.38,0.239,0.13,0.265,0.333,0.272,0.089,0.335,0.284,0.292,0.176,0.267,0.2915,0.2655,0.1344406397,0.2712591355,0.299173161,0.2950802703
AT3G66654,"Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein; FUNCTIONS IN: peptidyl-prolyl cis-trans isomerase activity; INVOLVED IN: protein folding; LOCATED IN: Golgi apparatus, plasma membrane; EXPRESSED IN: guard cell; CONTAINS InterPro DOMAIN/s: Cyclophilin-like (InterPro:IPR015891), Peptidyl-prolyl cis-trans isomerase, cyclophilin-type (InterPro:IPR002130); BEST Arabidopsis thaliana protein match is: Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein (TAIR:AT2G47320.1); Has 10036 Blast hits to 10032 proteins in 2023 species: Archae - 100; Bacteria - 4121; Metazoa - 1874; Fungi - 1072; Plants - 961; Viruses - 0; Other Eukaryotes - 1908 (source: NCBI BLink).",,"Cyclophilin-type PPIase",,Golgi/TGN,1,"Protein folding",,"Golgi LOPIT (Dunkley et al., 2006 and Sadowski et al., 2008)",,NA,NA,,8,0.1048571429,0.1801428571,0.3695714286,0.3451428571,0.099,0.212,0.364,0.325,0.058625,0.14825,0.4855,0.30775,0.0832222222,0.1887777778,0.4015555556,0.3263333333,0.0791428571,0.2492857143,0.4135714286,0.2581428571,0.0632857143,0.4222857143,0.2041428571,0.3101428571,0.24,0.26575,0.2685,0.2258333333,0.111,0.303,0.3103333333,0.275
AT2G01270,"Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily.  This protein also belongs to the quiescin-sulfhydryl oxidase (QSOX) family, which possess an Erv1-like domain at the COOH terminus in addition to a TRX domain.",QSOX2,Thioredoxin,,Golgi/TGN,1,"Protein folding",,"Golgi LOPIT (Dunkley et al., 2006 and Sadowski et al., 2008)",TMD-Golgi,461,483,N-Outside,5,0.1256,0.2796,0.3154,0.2792,0.089,0.24,0.3845,0.2865,0.041,0.37,0.3835,0.206,0.1222857143,0.3102857143,0.3107142857,0.2567142857,0.0866543125,0.2695191895,0.3443146786,0.2994484225,0.0945359979,0.3473727768,0.2560452638,0.301966663,0.1932,0.2756,0.282,0.2494,0.1285531567,0.2716131214,0.3069530564,0.2928507661
AT1G64880,"Ribosomal protein S5 family protein; FUNCTIONS IN: structural constituent of ribosome, RNA binding; INVOLVED IN: translation; LOCATED IN: ribosome, Golgi apparatus, intracellular; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Double-stranded RNA-binding-like (InterPro:IPR014720), Ribosomal protein S5, C-terminal (InterPro:IPR005324), Ribosomal protein S5 domain 2-type fold (InterPro:IPR020568), Ribosomal protein S5 (InterPro:IPR000851), Ribosomal protein S5 domain 2-type fold, subgroup (InterPro:IPR014721), Ribosomal protein S5, N-terminal (InterPro:IPR013810); BEST Arabidopsis thaliana protein match is: Ribosomal protein S5 family protein (TAIR:AT2G33800.1); Has 12743 Blast hits to 11445 proteins in 2840 species: Archae - 327; Bacteria - 5337; Metazoa - 1616; Fungi - 508; Plants - 194; Viruses - 58; Other Eukaryotes - 4703 (source: NCBI BLink).",RPS5,"Ribosomal protein S5P",,Golgi/TGN,1,"protein synthesis",,"Ribosome, Golgi LOPIT (Dunkley et al., 2006)",,NA,NA,,4,0.1365,0.2485,0.3155,0.2995,0.117,0.227,0.309,0.347,0.1995,0.329,0.2695,0.201,0.1225,0.303,0.28775,0.2865,0.1598334824,0.2357546365,0.2865464487,0.3178109751,0.1226264462,0.3180684132,0.2559462072,0.3032817362,0.2196224602,0.2322988826,0.2603411232,0.287757307,0.2099134171,0.2159352796,0.2714721318,0.302624113
AT5G43100,"Eukaryotic aspartyl protease family protein; FUNCTIONS IN: aspartic-type endopeptidase activity; INVOLVED IN: proteolysis; LOCATED IN: endomembrane system; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Peptidase aspartic (InterPro:IPR021109), Peptidase aspartic, catalytic (InterPro:IPR009007), Peptidase A1 (InterPro:IPR001461), Peptidase aspartic, active site (InterPro:IPR001969); BEST Arabidopsis thaliana protein match is: Eukaryotic aspartyl protease family protein (TAIR:AT3G50050.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).",,"Peptidase A1",,Golgi/TGN,1,Proteolysis,,"Golgi LOPIT (Sadowski et al., 2008)",TMD-Golgi,576,598,N-Outside,6,0.1868,0.2744,0.2958,0.243,0.2432857143,0.3045714286,0.25,0.2021428571,0.0806666667,0.2526666667,0.4113333333,0.255,0.11,0.279,0.348,0.2632,0.1703950723,0.2595772159,0.3135754559,0.2564502192,0.1377913173,0.3135200632,0.2818768682,0.2667971317,0.2127142857,0.2782857143,0.2745714286,0.2341428571,0.1761666667,0.243,0.3088333333,0.2725
AT4G33410,"SIGNAL PEPTIDE PEPTIDASE-LIKE 1 (SPPL1); FUNCTIONS IN: aspartic-type endopeptidase activity; INVOLVED IN: biological_process unknown; LOCATED IN: endosome; EXPRESSED IN: 27 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Peptidase A22, presenilin signal peptide (InterPro:IPR006639), Peptidase A22B, signal peptide peptidase (InterPro:IPR007369); BEST Arabidopsis thaliana protein match is: SIGNAL PEPTIDE PEPTIDASE-LIKE 3 (TAIR:AT2G43070.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).",SPPL1,"Peptidase A22",Golgi/TGN,Golgi/TGN,1,Proteolysis,,"Endosome/TGN GFP (Tamura et al., 2008)",,NA,NA,,5,0.1348548537,0.2383548415,0.3393231242,0.2874819394,0.1452092588,0.2392190429,0.3375693189,0.2779725329,0.104,0.234,0.434,0.228,0.12475,0.25675,0.37375,0.24475,0.1371939886,0.2404013297,0.3430173986,0.2793263929,0.105,0.369,0.237,0.289,0.192,0.258,0.276,0.274,0.14475,0.27,0.28575,0.29925
AT1G13900,"Purple acid phosphatases superfamily protein; FUNCTIONS IN: hydrolase activity, protein serine/threonine phosphatase activity, metal ion binding, acid phosphatase activity; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Purple acid phosphatase, N-terminal (InterPro:IPR015914), Metallophosphoesterase (InterPro:IPR004843), Purple acid phosphatase-like, N-terminal (InterPro:IPR008963); BEST Arabidopsis thaliana protein match is: purple acid phosphatase 9 (TAIR:AT2G03450.1); Has 1738 Blast hits to 1720 proteins in 355 species: Archae - 1; Bacteria - 507; Metazoa - 197; Fungi - 77; Plants - 727; Viruses - 0; Other Eukaryotes - 229 (source: NCBI BLink).",PAP2,"Calcineurin-like phosphoesterase",,Golgi/TGN,1,"Purple acid phosphatase","novel Golgi protein localised in this study",,TMD-Golgi,614,636,N-Outside,7,0.205,0.3216666667,0.2853333333,0.1883333333,0.19475,0.31875,0.285,0.20175,0.1065,0.318,0.3625,0.213,0.1333333333,0.3131666667,0.3416666667,0.2115,0.083,0.333,0.364,0.22,0.1332,0.2865,0.2949,0.2849,0.2345,0.269875,0.263125,0.2325,0.1656997135,0.2728297066,0.295768792,0.2656658124
AT1G18630,"encodes a glycine-rich RNA binding protein.",GR-RBP6,RNP-1,,Golgi/TGN,1,"RNA binding","novel Golgi protein localised in this study",,,NA,NA,,2,0.0834529513,0.2421726318,0.3604241596,0.3139488199,0.057,0.2875,0.3745,0.2815,0.0355091955,0.2483198002,0.4346049876,0.2815292548,0.0546666667,0.2486666667,0.406,0.2903333333,0.0959250105,0.248526087,0.3503169512,0.3051802972,0.0825149321,0.3629963602,0.2320753214,0.3224026042,0.1685402357,0.2548952735,0.2936781582,0.282891227,0.1170666561,0.2627032906,0.3078812739,0.3122673118
AT2G38530,"Involved in lipid transfer between membranes. Belongs to a family of Lipid transfer proteins. Sequence similarity to other plant/Arabidopsis LPT genes but highest similarity to LPT1. Stress and pathogen-inducible motifs found in the upstream region. Expressed in flower, leaves and siliques but absent in roots. Predicted to be a member of PR-14 pathogenesis-related protein family with the following members:   At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15.",LTP2,"Lipid Transfer",,Golgi/TGN,0.93,"Lipid Transfer","novel Golgi protein localised in this study","PM LOPIT (Dunkley et al., 2006 and Sadowski et al., 2008)",,NA,NA,,8,0.1424285714,0.2642857143,0.2802857143,0.313,0.2148,0.2306,0.246,0.3088,0.102,0.267,0.3336666667,0.2976666667,0.19,0.219,0.297,0.293,0.1274,0.2346,0.3362,0.3018,0.1107142857,0.3077142857,0.2562857143,0.326,0.206875,0.248125,0.289625,0.25525,0.26975,0.2505,0.23475,0.2445
AT5G03700,"D-mannose binding lectin protein with Apple-like carbohydrate-binding domain; FUNCTIONS IN: sugar binding; INVOLVED IN: recognition of pollen; LOCATED IN: plasma membrane; EXPRESSED IN: stem, sperm cell, hypocotyl, root; CONTAINS InterPro DOMAIN/s: Curculin-like (mannose-binding) lectin (InterPro:IPR001480), Apple-like (InterPro:IPR003609), PAN-1 domain (InterPro:IPR003014), S-locus glycoprotein (InterPro:IPR000858); BEST Arabidopsis thaliana protein match is: S-domain-2 5 (TAIR:AT4G32300.1); Has 2091 Blast hits to 2063 proteins in 74 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 2091; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).",,"PAN domain-containing",,Golgi/TGN,1,lectin,"novel Golgi protein localised in this study",,TMD-Golgi,423,445,N-Outside,4,0.203,0.323,0.295,0.18,0.2605,0.2845,0.2525,0.2025,0.1391405921,0.3382070225,0.3367524493,0.1858598735,0.1759382942,0.3257730243,0.2994517257,0.1988310071,0.125,0.248,0.325,0.302,0.086,0.308,0.306,0.3,0.2512301971,0.2378130368,0.2514250886,0.25955556,0.1847088755,0.2413959181,0.2793286631,0.2945187319
