Lead gene name,Canonical lead protein ID,Majority protein IDs,Protein names,Marker protein?,Prediction,SVM score,Prediction confidence class,Subcellular distribution,Median copy number,Max copy number,Min copy number,Abundance percentile (copy numbers),Median cellular concentration [nM],Max cellular concentration [nM],Min cellular concentration [nM],ppm of total cell mass,Average Nuclear Fraction,Average Membrane,Average Cytosol Fraction,MSMS count,MW (kD)
Hist1h4a,P62806,P62806;B2RTM0,Histone H4,Large Protein Complex,Large Protein Complex,0.74,Medium,Mostly Nuclear,"62,555,459","65,437,600","60,552,500",100.0%,238189.3,253474.0,221192.0,13742.6,95%,4%,1%,2316,11.367
Exosc7,Q9D0M0,Q9D0M0,Exosome complex exonuclease RRP42,Large Protein Complex,Large Protein Complex,0.73,Medium,Nuclear and Cytosolic,"86,567","106,710","74,595",82.3%,327.1,395.9,288.9,53.2,19%,4%,77%,113,31.825
Gemin4,Q6P6L6,Q6P6L6,,,Large Protein Complex,0.73,Medium,,"9,268","9,647","7,573",52.3%,33.3,37.4,31.0,21.5,,,,161,120.18
Ythdf1,P59326,P59326;A2AWN8,YTH domain-containing family protein 1,Large Protein Complex,Large Protein Complex,0.73,Medium,,"27,266","30,567","25,806",68.6%,103.6,118.4,94.7,32.1,,,,238,60.878
Wdr26,E0CYH4,E0CYH4,,,Large Protein Complex,0.72,Medium,Mostly Cytosolic,"37,379","44,024","33,087",72.9%,141.7,153.5,135.4,49.8,4%,4%,93%,148,68.879
Eif2b4,Q61749,Q61749-2,Translation initiation factor eIF-2B subunit delta,Large Protein Complex,Large Protein Complex,0.71,Medium,,"15,694","22,255","13,458",60.3%,61.2,77.6,52.1,18.1,,,,113,59.657
Ccdc132,Q8CI71,Q8CI71;Q8CI71-2;Q8CI71-3,Coiled-coil domain-containing protein 132,,Large Protein Complex,0.71,Medium,Organellar with Cytosolic pool,"18,372","24,958","12,427",62.7%,71.0,92.5,46.1,39.5,2%,15%,83%,127,111.17
Dpysl2,O08553,O08553,Dihydropyrimidinase-related protein 2,,Large Protein Complex,0.71,Medium,,"3,335,359","3,544,360","3,310,590",99.3%,12644.1,13551.3,12360.4,4014.5,,,,2001,62.277
Ubap2,A2AMY5,A2AMY5;Q91VX2,Ubiquitin-associated protein 2,,Large Protein Complex,0.71,Medium,,"49,499","59,092","35,260",76.3%,181.9,219.2,144.3,112.7,,,,797,117.83
Mtmr6,Q8VE11,Q8VE11,Myotubularin-related protein 6,,Large Protein Complex,0.71,Medium,Organellar with Cytosolic pool,"4,632","17,266","3,540",42.1%,16.7,66.9,14.5,6.4,1%,35%,64%,98,70.932
Rfc1,P35601,P35601;Q5U4B1;A0A0N5E9G7;G3X8Z6;P35601-2;G3UWX1,Replication factor C subunit 1,,Large Protein Complex,0.71,Medium,Mostly Nuclear,"27,489","28,951","24,361",68.8%,103.4,112.1,91.2,66.9,94%,4%,2%,204,125.98
Gprasp1,Q5U4C1,Q5U4C1;Q5U4C1-2,G-protein coupled receptor-associated sorting protein 1,,Large Protein Complex,0.71,Medium,,"14,666","38,140","4,907",59.2%,57.2,147.7,17.1,43.0,,,,205,151.74
Wdr48,Q8BH57,Q8BH57;Q8BH57-2;Q8BH57-3,WD repeat-containing protein 48,,Large Protein Complex,0.70,Medium,,"38,839","40,462","29,746",73.4%,140.4,155.3,121.8,57.1,,,,425,76.006
Sec23a,Q01405,Q01405;E9Q1S3,Protein transport protein Sec23A,Large Protein Complex,Large Protein Complex,0.70,Medium,,"69,621","93,600","50,287",79.9%,277.2,326.4,186.6,115.9,,,,657,86.161
Gnl3,Q8CI11,Q8CI11;Q8CI11-2,Guanine nucleotide-binding protein-like 3,,Large Protein Complex,0.70,Medium,,"49,143","63,450","32,339",76.2%,180.6,235.4,132.4,57.7,,,,184,60.786
Ube2m,P61082,P61082;F7CDT0;F6WMC0,NEDD8-conjugating enzyme Ubc12,,Large Protein Complex,0.70,Medium,Mostly Cytosolic,"276,426","357,477","268,085",91.4%,1100.7,1246.7,994.6,111.7,4%,5%,90%,112,20.9
Aaas,P58742,P58742,Aladin,,Large Protein Complex,0.70,Medium,Mostly Nuclear,"28,079","36,304","23,701",69.1%,107.8,131.8,90.9,32.3,95%,5%,0%,117,59.43
Rbm14,Q8C2Q3,Q8C2Q3;E9QL13;Q8C2Q3-2,RNA-binding protein 14,,Large Protein Complex,0.70,Medium,Mostly Nuclear,"408,716","516,776","352,602",93.5%,1592.8,1802.2,1365.8,548.6,96%,3%,1%,493,69.448
Gdi2,Q61598,Q61598;Q61598-2,Rab GDP dissociation inhibitor beta,,Large Protein Complex,0.69,Medium,Mostly Cytosolic,"1,533,250","1,917,070","1,505,910",98.0%,6095.1,6685.5,5605.7,1497.5,3%,6%,91%,1088,50.537
Arf3,P61205,P61205;P84078;Q3U344,ADP-ribosylation factor 3;ADP-ribosylation factor 1,,Large Protein Complex,0.69,Medium,,"1,111,492","1,239,590","1,011,780",97.0%,4331.5,4801.6,3528.4,442.5,,,,289,20.601
Dctn2,Q99KJ8,Q99KJ8;Q3TPZ5,Dynactin subunit 2,,Large Protein Complex,0.68,Medium,,"549,166","606,728","517,932",94.8%,2135.1,2219.4,1921.6,468.2,,,,681,44.116
Hint1,P70349,P70349,Histidine triad nucleotide-binding protein 1,,Large Protein Complex,0.68,Medium,Mostly Cytosolic,"1,733,000","1,842,500","1,280,360",98.3%,6544.6,6842.1,4959.5,461.4,1%,2%,96%,272,13.777
Sh3bgrl,Q9JJU8,Q9JJU8,SH3 domain-binding glutamic acid-rich-like protein,,Large Protein Complex,0.68,Medium,Mostly Cytosolic,"1,194,832","1,318,910","1,031,790",97.2%,4514.9,4629.3,4223.4,295.8,2%,4%,94%,182,12.811
Zc3h11a,Q6NZF1,Q6NZF1;Q3UL31,Zinc finger CCCH domain-containing protein 11A,,Large Protein Complex,0.68,Medium,,"46,350","47,577","44,331",75.4%,174.1,186.8,164.1,77.5,,,,318,86.491
Rqcd1,Q9JKY0,Q9JKY0,Cell differentiation protein RCD1 homolog,,Large Protein Complex,0.68,Medium,,"68,460","78,820","63,014",79.6%,266.7,275.0,244.1,44.5,,,,304,33.601
Slain2,Q8CI08,Q8CI08;Q8CI08-2,SLAIN motif-containing protein 2,,Large Protein Complex,0.68,Medium,,"6,308","7,491","5,562",46.5%,23.1,29.0,22.0,7.6,,,,131,62.377
Arhgap1,Q5FWK3,Q5FWK3;A2AH25,Rho GTPase-activating protein 1,,Large Protein Complex,0.68,Medium,Mostly Cytosolic,"117,162","170,936","82,032",84.8%,462.3,607.1,304.3,114.1,3%,5%,91%,228,50.41
Ddx41,Q91VN6,Q91VN6,Probable ATP-dependent RNA helicase DDX41,,Large Protein Complex,0.68,Medium,,"38,838","49,447","22,120",73.4%,147.2,172.4,90.5,52.4,,,,193,69.819
Trappc8,E9PWG2,E9PWG2;E9PY51,,Large Protein Complex,Large Protein Complex,0.68,Medium,Organellar with Cytosolic pool,"5,933","7,558","3,399",45.7%,23.6,26.4,12.6,18.5,0%,17%,83%,177,160.91
Fabp7,P51880,P51880;E9Q0H6,"Fatty acid-binding protein, brain",,Large Protein Complex,0.67,Medium,Mostly Cytosolic,"2,394,171","2,783,150","2,069,430",98.9%,9352.4,10476.8,7390.6,689.1,4%,4%,92%,307,14.893
Ldha,P06151,P06151;Q564E2;G5E8N5;D3Z736;D3YZQ9,L-lactate dehydrogenase A chain;L-lactate dehydrogenase,,Large Protein Complex,0.67,Medium,Mostly Cytosolic,"3,090,775","3,230,870","2,430,230",99.3%,11359.7,11986.8,9947.7,2180.2,3%,5%,92%,602,36.498
Stmn1,P54227,P54227;Q545B6;D3Z5N2;D3Z1Z8,Stathmin,,Large Protein Complex,0.67,Medium,,"7,422,379","7,942,830","7,270,080",99.7%,28137.7,29758.7,27699.4,2478.0,,,,506,17.274
Nudt21,Q9CQF3,Q9CQF3,Cleavage and polyadenylation specificity factor subunit 5,,Large Protein Complex,0.67,Medium,,"747,327","792,458","509,935",95.9%,2688.1,3243.8,1975.2,379.0,,,,284,26.24
Ythdc2,B2RR83,B2RR83,Probable ATP-dependent RNA helicase YTHDC2,,Large Protein Complex,0.67,Medium,Organellar with Cytosolic pool,"2,202","3,403","1,915",32.4%,8.8,11.9,7.1,6.9,3%,65%,32%,179,161.09
Dnajb1,Q9QYJ3,Q9QYJ3;Q3TU79,DnaJ homolog subfamily B member 1,,Large Protein Complex,0.66,Medium,,"69,064","82,357","55,718",79.8%,253.8,305.6,228.1,50.9,,,,227,38.167
Supt16,G3X956,G3X956;Q920B9,FACT complex subunit SPT16,,Large Protein Complex,0.66,Medium,Nuclear and Cytosolic,"453,657","528,793","352,054",93.9%,1719.8,1844.1,1441.1,1050.7,73%,2%,25%,798,119.84
Brix1,Q9DCA5,Q9DCA5;F6WEP7,Ribosome biogenesis protein BRX1 homolog,,Large Protein Complex,0.66,Medium,Mostly Nuclear,"109,720","128,190","87,336",84.3%,409.9,460.3,357.5,87.5,95%,3%,2%,131,41.241
Crkl,P47941,P47941;A2RS58,Crk-like protein,,Large Protein Complex,0.66,Medium,Mostly Cytosolic,"243,652","258,375","215,484",90.7%,916.2,967.8,834.7,159.3,3%,5%,91%,277,33.83
Fam213a,Q9CYH2,Q9CYH2;Q3U125;D3Z252;D3YYG8;D3Z398,Redox-regulatory protein FAM213A,,Large Protein Complex,0.66,Medium,,"77,388","79,268","71,788",81.1%,293.9,323.3,250.4,36.5,,,,194,24.394
Pdcl3,Q8BVF2,Q8BVF2,Phosducin-like protein 3,,Large Protein Complex,0.66,Medium,Mostly Cytosolic,"115,252","123,248","107,919",84.7%,449.1,477.4,376.4,61.4,1%,7%,92%,114,27.581
Mat2a,Q3THS6,Q3THS6;Q99J57;A0A0U1RNT6;A0A0U1RNK6,S-adenosylmethionine synthase isoform type-2;S-adenosylmethionine synthase,,Large Protein Complex,0.65,Medium,Mostly Cytosolic,"259,503","381,794","221,731",91.1%,1011.3,1331.5,858.9,219.1,1%,2%,97%,207,43.688
Exoc7,O35250,O35250;A2AAN0;O35250-2,Exocyst complex component 7,Large Protein Complex,Large Protein Complex,0.65,Medium,,"27,921","31,170","25,076",69.0%,103.8,120.7,96.2,43.1,,,,423,79.959
Nploc4,P60670,P60670;P60670-2,Nuclear protein localization protein 4 homolog,,Large Protein Complex,0.65,Medium,,"50,686","59,466","44,835",76.6%,192.1,207.4,183.5,66.6,,,,273,68.016
Zpr1,Q62384,Q62384;F8WHU9,Zinc finger protein ZPR1,,Large Protein Complex,0.65,Medium,Nuclear and Cytosolic,"75,938","80,168","72,596",81.0%,286.9,310.5,269.3,74.4,10%,3%,87%,166,50.714
Vim,P20152,P20152;Q5FWJ3;A0A0A6YWC8,Vimentin,,Large Protein Complex,0.64,Medium,,"4,376,909","4,532,650","3,679,830",99.5%,16063.6,16864.9,15062.7,4541.5,,,,2510,53.687
Txn,P10639,P10639,Thioredoxin,,Large Protein Complex,0.64,Medium,Mostly Cytosolic,"3,140,058","3,710,640","2,431,790",99.3%,11540.8,13766.8,9954.1,708.5,4%,4%,93%,217,11.675
Sec13,Q9D1M0,Q9D1M0,Protein SEC13 homolog,Large Protein Complex,Large Protein Complex,0.64,Medium,,"291,339","333,709","248,437",91.6%,1091.6,1191.3,1016.9,200.3,,,,334,35.565
Copb1,Q9JIF7,Q9JIF7,Coatomer subunit beta,Large Protein Complex,Large Protein Complex,0.64,Medium,,"195,108","217,427","183,457",89.2%,747.4,806.7,691.3,403.7,,,,931,107.06
Qars,Q8BML9,Q8BML9;D3Z158;Q8R1V9,,,Large Protein Complex,0.64,Medium,,"134,021","174,234","122,522",86.0%,522.3,607.6,474.6,227.1,,,,750,87.676
Hmgcs1,Q8JZK9,Q8JZK9,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic",,Large Protein Complex,0.64,Medium,Mostly Cytosolic,"357,964","421,756","299,517",92.8%,1315.6,1564.8,1226.0,398.3,1%,2%,97%,287,57.568
Tox4,Q8BU11,Q8BU11,TOX high mobility group box family member 4,,Large Protein Complex,0.64,Medium,Nuclear and Cytosolic,"33,565","47,538","21,803",71.4%,130.8,165.8,84.5,42.8,81%,3%,16%,89,65.961
Hnrnph1,O35737,O35737;Q811L7;Q8C2Q7,"Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed",Large Protein Complex,Large Protein Complex,0.64,Medium,,"2,528,299","2,863,380","2,126,890",99.0%,9848.4,10434.6,7890.9,2404.0,,,,2100,49.199
Pdcd5,P56812,P56812;Q564F6;D3Z7Q5,Programmed cell death protein 5,,Large Protein Complex,0.63,Medium,,"515,896","757,211","389,536",94.6%,2010.4,2640.7,1508.9,142.3,,,,205,14.275
Eif4h,Q9WUK2,Q9WUK2;Q9WUK2-2,Eukaryotic translation initiation factor 4H,Large Protein Complex,Large Protein Complex,0.63,Medium,,"314,708","366,628","270,864",92.1%,1190.6,1290.1,1103.2,166.3,,,,267,27.341
Ints7,Q7TQK1,Q7TQK1;A0A0R4J0E4;Q7TQK1-2,Integrator complex subunit 7,,Large Protein Complex,0.63,Medium,Nuclear and Cytosolic,"25,143","31,309","21,158",67.6%,95.3,109.2,86.6,51.9,85%,3%,12%,163,106.86
Pikfyve,D3Z5N5,D3Z5N5;Q9Z1T6;Q9Z1T6-1,1-phosphatidylinositol 3-phosphate 5-kinase,,Large Protein Complex,0.63,Medium,,"1,465","2,684","1,297",27.2%,5.4,10.4,5.1,6.6,,,,114,232.08
Pbx1,P41778,P41778-2;P41778;D9J2V6,Pre-B-cell leukemia transcription factor 1,,Large Protein Complex,0.63,Medium,Nuclear and Cytosolic,"118,957","141,976","97,166",84.9%,427.9,549.9,397.7,88.3,50%,2%,49%,166,38.427
Nckap1,P28660,P28660;A2AS98;P28660-2,Nck-associated protein 1,,Large Protein Complex,0.63,Medium,,"58,656","66,409","46,188",78.0%,222.4,231.6,189.1,146.0,,,,864,128.78
Mios,Q8VE19,Q8VE19,WD repeat-containing protein mio,,Large Protein Complex,0.63,Medium,Organellar with Cytosolic pool,"5,581","7,040","4,598",44.8%,21.2,24.6,18.8,10.6,3%,67%,30%,248,98.334
Actr1a,P61164,P61164,Alpha-centractin,,Large Protein Complex,0.63,Medium,,"485,963","507,584","431,544",94.2%,1842.3,2077.7,1504.9,400.2,,,,529,42.613
Sbf2,E9Q0D4,E9Q0D4;E9PXF8;E9Q305,,,Large Protein Complex,0.63,Medium,,"1,648","5,065",942,28.7%,5.9,19.6,3.9,6.5,,,,129,205.02
Homer3,Q99JP6,Q99JP6-2;Q99JP6,Homer protein homolog 3,,Large Protein Complex,0.63,Medium,,"35,972","39,841","21,599",72.3%,129.4,154.3,88.4,27.9,,,,209,40.064
Idh1,O88844,O88844;A0A087WPT4;A0A087WRS9,Isocitrate dehydrogenase [NADP] cytoplasmic,,Large Protein Complex,0.63,Medium,Mostly Cytosolic,"1,798,795","2,045,590","1,675,250",98.4%,6994.1,7322.5,6350.2,1622.6,2%,5%,93%,895,46.674
Hsph1,Q61699,Q61699;Q61699-2;E9Q0U7,Heat shock protein 105 kDa,,Large Protein Complex,0.62,Medium,Mostly Cytosolic,"486,822","583,290","447,518",94.2%,1908.3,2164.1,1610.4,907.1,3%,4%,93%,976,96.406
Dicer1,F8VQ54,F8VQ54;Q8R418;Q8R418-2,Endoribonuclease Dicer,,Large Protein Complex,0.62,Medium,Organellar with Cytosolic pool,"8,600","9,315","7,323",51.4%,31.5,34.8,30.0,35.9,0%,13%,87%,248,215.77
Gpi,P06745,P06745;F6SAC3,Glucose-6-phosphate isomerase,,Large Protein Complex,0.62,Medium,Mostly Cytosolic,"914,746","936,912","794,802",96.5%,3363.5,3670.0,3078.7,1109.6,2%,4%,94%,591,62.766
Dpysl5,Q9EQF6,Q9EQF6,Dihydropyrimidinase-related protein 5,,Large Protein Complex,0.62,Medium,,"1,527,228","1,835,130","1,366,560",98.0%,6081.3,6399.7,5070.1,1815.7,,,,1441,61.516
Capza2,P47754,P47754;Q5DQJ3;D6RCW7;A0A0N4SVM0,F-actin-capping protein subunit alpha-2,,Large Protein Complex,0.62,Medium,,"491,548","569,669","462,158",94.4%,1914.9,1986.6,1791.5,313.2,,,,480,32.967
Fubp3,A2AJ72,A2AJ72,,,Large Protein Complex,0.62,Medium,,"139,407","167,265","121,262",86.4%,528.5,583.3,496.4,165.6,,,,586,61.447
Gdi1,P50396,P50396,Rab GDP dissociation inhibitor alpha,,Large Protein Complex,0.61,Medium,Mostly Cytosolic,"1,038,716","1,101,870","947,263",96.9%,3817.7,4510.3,3514.4,1014.2,2%,4%,93%,875,50.521
Nmd3,Q99L48,Q99L48,60S ribosomal export protein NMD3,,Large Protein Complex,0.61,Medium,,"5,912","8,169","5,065",45.6%,23.5,28.5,18.9,6.6,,,,82,57.611
Ipo9,Q91YE6,Q91YE6;E9QKZ2;E0CXB2,Importin-9,,Large Protein Complex,0.61,Medium,Mostly Cytosolic,"157,895","186,729","151,645",87.5%,615.3,651.2,587.4,354.1,3%,3%,94%,468,116.05
Cul5,Q9D5V5,Q9D5V5;E9PV12;G3X914;E9Q6Z0,Cullin-5,,Large Protein Complex,0.61,Medium,,"77,717","83,216","67,392",81.2%,282.9,318.9,272.2,136.6,,,,427,90.973
Ppme1,Q8BVQ5,Q8BVQ5,Protein phosphatase methylesterase 1,,Large Protein Complex,0.61,Medium,Mostly Cytosolic,"168,058","186,183","137,706",88.1%,617.7,690.8,563.7,137.2,3%,3%,94%,213,42.256
Cul4a,Q3TCH7,Q3TCH7,Cullin-4A,,Large Protein Complex,0.61,Medium,Nuclear and Cytosolic,"36,168","41,113","29,470",72.4%,140.9,143.4,114.2,61.3,46%,2%,52%,145,87.752
Tra2a,Q6PFR5,Q6PFR5;A0A0N4SVC2;E9QP00,Transformer-2 protein homolog alpha,,Large Protein Complex,0.61,Medium,Nuclear and Cytosolic,"286,264","293,674","166,874",91.6%,1040.9,1113.3,683.1,178.8,90%,4%,7%,149,32.316
Ppan,Q91YU8,Q91YU8,Suppressor of SWI4 1 homolog,,Large Protein Complex,0.60,Medium,Mostly Nuclear,"34,225","36,999","25,609",71.7%,130.4,140.9,95.0,34.9,91%,4%,4%,85,52.755
Eif5,P59325,P59325;Q3TQR3,Eukaryotic translation initiation factor 5,,Large Protein Complex,0.60,Medium,Mostly Cytosolic,"190,738","221,459","165,397",89.0%,701.0,821.6,677.0,180.5,1%,5%,94%,315,48.968
Srp9,P49962,P49962;Q5EAT0;D3YZX8,Signal recognition particle 9 kDa protein,,Large Protein Complex,0.60,Medium,,"180,629","216,361","126,035",88.7%,703.9,838.1,439.5,35.6,,,,101,10.194
Hn1,P97825,P97825,"Hematological and neurological expressed 1 protein;Hematological and neurological expressed 1 protein, N-terminally processed",,Large Protein Complex,0.60,Medium,Mostly Cytosolic,"1,472,851","1,918,760","1,232,290",97.8%,5864.7,6691.4,4571.9,457.7,2%,5%,93%,290,16.08
Ckb,Q04447,Q04447,Creatine kinase B-type,,Large Protein Complex,0.59,Medium,Mostly Cytosolic,"5,174,010","5,532,540","4,600,140",99.6%,19548.4,20526.2,17818.7,4271.2,2%,5%,92%,1607,42.713
Hn1l,Q6PGH2,Q6PGH2;Q3TM10,Hematological and neurological expressed 1-like protein,,Large Protein Complex,0.59,Medium,,"530,689","565,359","340,644",94.7%,1976.1,2043.4,1394.4,205.3,,,,324,20.02
Scamp5,Q9JKD3,Q9JKD3,Secretory carrier-associated membrane protein 5,,Large Protein Complex,0.59,Medium,,"6,437","7,755","5,390",46.9%,25.1,30.0,18.8,3.2,,,,79,26.068
Prkaca,P05132,P05132;P05132-2,cAMP-dependent protein kinase catalytic subunit alpha,,Large Protein Complex,0.59,Medium,,"122,565","131,831","82,745",85.2%,444.2,503.0,338.7,96.1,,,,177,40.57
Cdk5,P49615,P49615;Q543F6;A0A0G2JDL3,Cyclin-dependent-like kinase 5,,Large Protein Complex,0.59,Medium,Organellar with Cytosolic pool,"48,844","79,269","30,429",76.1%,188.7,293.7,112.9,31.4,3%,10%,87%,169,33.288
Snrpe,P62305,P62305;E9Q4F4;E9Q0W8,Small nuclear ribonucleoprotein E,,Large Protein Complex,0.58,Medium,Nuclear and Cytosolic,"381,444","534,978","303,539",93.2%,1518.9,1865.7,1126.2,79.6,78%,4%,18%,83,10.803
Nfib,P97863,P97863;A2BG75;A2BG77,Nuclear factor 1 B-type;Nuclear factor 1,,Large Protein Complex,0.58,Medium,Nuclear and Cytosolic,"390,625","474,992","364,828",93.3%,1530.0,1658.3,1397.4,479.4,87%,3%,10%,415,63.506
Sept7,E9Q1G8,E9Q1G8;E9Q9F5,,Large Protein Complex,Large Protein Complex,0.58,Medium,,"404,887","410,061","338,681",93.4%,1456.4,1588.4,1386.3,396.3,,,,823,50.648
Knop1,Q9Z2Q2,Q9Z2Q2;E9QKQ3;Q9Z2Q2-2;K4DI66;F6ZLH4;H7BX94;Q9Z2Q2-3,Lysine-rich nucleolar protein 1,,Large Protein Complex,0.58,Medium,Mostly Nuclear,"20,708","30,366","18,341",64.6%,76.9,112.7,73.6,21.6,94%,4%,2%,67,53.846
Sde2,Q8K1J5,Q8K1J5,Protein SDE2 homolog,,Large Protein Complex,0.57,Medium,,"12,723","15,143","7,466",57.0%,46.8,56.2,30.6,11.9,,,,70,48.58
Rbm4b,Q8VE92,Q8VE92,RNA-binding protein 4B,,Large Protein Complex,0.57,Medium,Mostly Nuclear,"34,630","38,095","32,635",71.9%,131.0,147.6,120.8,26.8,92%,4%,3%,79,39.991
Tsc2,Q61037,Q61037-6;Q61037;Q61037-3;Q61037-5;Q7TT21;Q61037-4;Q61037-7;Q61037-2,Tuberin,,Large Protein Complex,0.57,Medium,Mostly Cytosolic,"3,954","4,836","3,113",39.9%,15.0,16.9,12.7,15.2,0%,9%,91%,102,198.91
Paip1,Q8VE62,Q8VE62;G3UYE5,Polyadenylate-binding protein-interacting protein 1,,Large Protein Complex,0.57,Medium,Organellar with Cytosolic pool,"99,007","115,565","92,117",83.3%,379.2,422.1,352.7,87.4,5%,9%,87%,199,45.701
Csnk1d,Q9DC28,Q9DC28;Q9DC28-2;F7A4U8,Casein kinase I isoform delta,,Large Protein Complex,0.56,Medium,,"7,649","9,299","5,178",49.5%,27.5,36.0,21.2,7.0,,,,67,47.316
D6Wsu163e,Q91YN0,Q91YN0,Protein C12orf4 homolog,,Large Protein Complex,0.56,Medium,,"4,724","6,036","4,226",42.5%,17.8,23.4,15.8,5.8,,,,72,63.643
Sec24c,G3X972,G3X972,,Large Protein Complex,Large Protein Complex,0.56,Medium,,"44,611","54,243","42,564",75.0%,173.2,189.2,166.1,102.2,,,,672,118.58
Twf1,Q91YR1,Q91YR1,Twinfilin-1,,Large Protein Complex,0.55,Medium,Mostly Cytosolic,"272,727","316,918","221,632",91.3%,1002.4,1175.8,907.2,211.3,3%,6%,91%,363,40.079
Rab3a,P63011,P63011;Q0PD63,Ras-related protein Rab-3A,,Large Protein Complex,0.55,Medium,,"221,984","243,372","209,695",90.0%,883.9,902.9,731.3,107.1,,,,279,24.97
Nudt3,Q9JI46,Q9JI46;I1E4X7;H3BLR8;B2KF67,Diphosphoinositol polyphosphate phosphohydrolase 1,,Large Protein Complex,0.55,Medium,Mostly Cytosolic,"228,184","325,774","198,736",90.2%,838.7,1333.5,737.3,83.9,1%,2%,97%,118,19.029
Smpd4,Q6ZPR5,Q6ZPR5-3;Q6ZPR5-2;Q6ZPR5-4;E9Q1V5;E9Q914;Q6ZPR5-5;E9Q9L1;E9Q0L7,Sphingomyelin phosphodiesterase 4,,Large Protein Complex,0.55,Medium,Mostly Nuclear,"50,498","70,225","41,023",76.5%,196.8,244.9,158.9,87.7,96%,4%,0%,235,89.876
Rbmxl1,Q91VM5,Q91VM5,"RNA binding motif protein, X-linked-like-1",,Large Protein Complex,0.55,Medium,Mostly Nuclear,"358,192","615,031","195,779",92.8%,1357.9,2144.8,801.4,291.9,95%,4%,1%,215,42.161
Sbf1,Q6ZPE2,Q6ZPE2;Q6ZPE2-2,Myotubularin-related protein 5,,Large Protein Complex,0.55,Medium,,"4,854","5,458","4,621",42.8%,18.5,20.7,17.3,19.6,,,,242,208.69
Phgdh,Q61753,Q61753,D-3-phosphoglycerate dehydrogenase,,Large Protein Complex,0.55,Medium,Mostly Cytosolic,"719,524","853,313","580,129",95.7%,2644.5,3165.9,2374.7,786.9,4%,5%,91%,498,56.585
Homer1,Q9Z2Y3,Q9Z2Y3;D3Z6A7;E9Q0I7;E9Q0I8,Homer protein homolog 1,,Large Protein Complex,0.54,Medium,,"36,122","48,337","27,210",72.4%,143.8,168.6,101.0,28.9,,,,159,41.412
Sf1,E9Q4Q2,E9Q4Q2;Q64213;Q64213-2;D3YZC9;D3YZD0;Q64213-3;D3YVH4,Splicing factor 1,,Large Protein Complex,0.54,Medium,,"266,892","312,682","217,880",91.2%,1011.8,1090.4,891.8,307.9,,,,528,59.698
Tnik,B2RQ80,B2RQ80;B9EKN8;E0CY98;E0CXD6;E9PUL9;P83510;E0CZD7;P83510-2;E0CZF8,Traf2 and NCK-interacting protein kinase,,Large Protein Complex,0.54,Medium,,"55,406","67,751","53,734",77.5%,220.6,236.3,199.4,165.9,,,,962,154.94
Banf1,O54962,O54962,"Barrier-to-autointegration factor;Barrier-to-autointegration factor, N-terminally processed",,Large Protein Complex,0.54,Medium,,"2,052,141","2,430,060","1,540,930",98.6%,7542.4,9015.7,6307.5,400.7,,,,412,10.102
Ralgapa1,Q6GYP7,Q6GYP7;Q6GYP7-2;Q6GYP7-6;Q6GYP7-4,Ral GTPase-activating protein subunit alpha-1,,Large Protein Complex,0.54,Medium,,"1,393","1,808",744,26.6%,5.1,6.7,3.0,6.2,,,,122,229.39
Arf5,P84084,P84084,ADP-ribosylation factor 5,,Large Protein Complex,0.53,Medium,Nuclear and Cytosolic,"271,965","353,654","253,487",91.3%,1079.2,1233.3,946.9,107.9,5%,5%,90%,104,20.529
Copg1,Q9QZE5,Q9QZE5,Coatomer subunit gamma-1,Large Protein Complex,Large Protein Complex,0.53,Medium,,"90,867","116,094","78,485",82.7%,344.5,404.9,321.3,171.2,,,,467,97.512
Setdb1,O88974,O88974;G5E8N3;D3YYC3;O88974-4;O88974-7,Histone-lysine N-methyltransferase SETDB1,,Large Protein Complex,0.53,Medium,Nuclear and Cytosolic,"10,344","14,223","9,088",53.9%,39.5,52.8,34.4,28.9,13%,3%,84%,111,144.55
Scaf1,Q5U4C3,Q5U4C3,"Splicing factor, arginine/serine-rich 19",,Large Protein Complex,0.53,Medium,,"15,403","25,282","12,898",60.0%,58.4,88.2,52.8,39.8,,,,140,133.84
Prdx1,P35700,P35700;B1AXW5;B1AXW6,Peroxiredoxin-1,,Large Protein Complex,0.52,Medium,,"2,575,772","2,783,920","2,224,440",99.1%,9466.9,10328.6,9105.3,1103.9,,,,454,22.176
Scaf8,Q6DID3,Q6DID3,Protein SCAF8,,Large Protein Complex,0.52,Medium,,"25,137","28,107","21,508",67.6%,95.3,98.0,88.0,67.8,,,,263,139.57
Syne2,Q6ZWQ0,Q6ZWQ0;E9QP46,Nesprin-2,,Large Protein Complex,0.52,Medium,Mostly Nuclear,"100,362","119,440","91,442",83.4%,381.3,416.5,372.7,1518.2,92%,6%,3%,4277,782.72
Blmh,Q8R016,Q8R016;E9PY26,Bleomycin hydrolase,,Large Protein Complex,0.52,Medium,Mostly Cytosolic,"314,175","368,509","278,276",92.1%,1209.9,1292.7,1097.3,318.8,1%,5%,94%,362,52.511
Calm1,P62204,P62204;Q3UKW2;Q9D6P8,Calmodulin;Calmodulin-like protein 3,,Large Protein Complex,0.51,Medium,,"8,102,890","8,431,120","7,022,640",99.8%,29986.2,31384.3,28259.8,2636.7,,,,701,16.837
