ProteinGroupAc,Replicate1 TMT Set1-126,Replicate1 TMT Set2-126,Replicate2 TMT Set1-126,Replicate2 TMT Set2-126,Replicate1 TMT Set1-127C,Replicate1 TMT Set2-127C,Replicate2 TMT Set1-127C,Replicate2 TMT Set2-127C,Replicate1 TMT Set1-127N,Replicate1 TMT Set2-127N,Replicate2 TMT Set1-127N,Replicate2 TMT Set2-127N,Replicate1 TMT Set1-128C,Replicate1 TMT Set2-128C,Replicate2 TMT Set1-128C,Replicate2 TMT Set2-128C,Replicate1 TMT Set1-128N,Replicate1 TMT Set2-128N,Replicate2 TMT Set1-128N,Replicate2 TMT Set2-128N,Replicate1 TMT Set1-129C,Replicate1 TMT Set2-129C,Replicate2 TMT Set1-129C,Replicate2 TMT Set2-129C,Replicate1 TMT Set1-129N,Replicate1 TMT Set2-129N,Replicate2 TMT Set1-129N,Replicate2 TMT Set2-129N,Replicate1 TMT Set1-130C,Replicate1 TMT Set2-130C,Replicate2 TMT Set1-130C,Replicate2 TMT Set2-130C,Replicate1 TMT Set1-130N,Replicate1 TMT Set2-130N,Replicate2 TMT Set1-130N,Replicate2 TMT Set2-130N,Replicate1 TMT Set1-131,Replicate1 TMT Set2-131,Replicate2 TMT Set1-131,Replicate2 TMT Set2-131,Accession,Description,Coverage,Quantified Proteins,Quantified Unique Peptides,Quantified Peptides,Quantified PSMs,Score - Replicate1 TMT Set1,Coverage -  Replicate1 TMT Set1,Quantified Peptides -  Replicate1 TMT Set1,Quantified PSMs -  Replicate1 TMT Set1,Score - Replicate1 TMT Set2,Coverage -  Replicate1 TMT Set2,Quantified Peptides -  Replicate1 TMT Set2,Quantified PSMs -  Replicate1 TMT Set2,Score - Replicate2 TMT Set1,Coverage -  Replicate2 TMT Set1,Quantified Peptides -  Replicate2 TMT Set1,Quantified PSMs -  Replicate2 TMT Set1,Score - Replicate2 TMT Set2,Coverage -  Replicate2 TMT Set2,Quantified Peptides -  Replicate2 TMT Set2,Quantified PSMs -  Replicate2 TMT Set2,markers,SVM Classification,SVM Score,assignment
Q14696,0.01,0.048,0.01,0.017,0.071,0.081,0.075,0.078,0.01,0.135,0.064,0.121,0.21,0.17,0.174,0.217,0.261,0.232,0.228,0.21,0.229,0.146,0.224,0.166,0.142,0.093,0.131,0.059,0.044,0.078,0.054,0.106,0.01,0.01,0.01,0.01,0.014,0.014,0.017,0.02,Q14696,LDLR chaperone MESD OS=Homo sapiens GN=MESDC2 PE=1 SV=2 - [MESD_HUMAN],52.14,2,12,12,55,228.12,34.19,8,16,185.72,29.06,6,8,310.28,52.14,12,19,222.22,43.59,8,12,unknown,ER,0.950107365,unknown
Q16270,0.032,0.145,0.044,0.134,0.27,0.155,0.185,0.194,0.027,0.138,0.208,0.187,0.191,0.125,0.176,0.165,0.133,0.133,0.141,0.103,0.132,0.109,0.108,0.086,0.102,0.08,0.069,0.033,0.041,0.06,0.029,0.065,0.029,0.026,0.034,0.033,0.016,0.026,0.01,0.01,Q16270,Insulin-like growth factor-binding protein 7 OS=Homo sapiens GN=IGFBP7 PE=1 SV=1 - [IBP7_HUMAN],52.13,3,13,13,38,350.96,52.13,12,12,237.01,44.68,8,11,242.63,36.52,7,7,244.12,39.72,8,8,unknown,PM,0.851628722,unknown
P63000,0.011,0.185,0.028,0.109,0.272,0.177,0.208,0.16,0.02,0.168,0.143,0.113,0.226,0.154,0.178,0.15,0.18,0.121,0.166,0.08,0.113,0.068,0.099,0.063,0.082,0.047,0.069,0.039,0.034,0.041,0.039,0.078,0.011,0.01,0.015,0.015,0.031,0.037,0.027,0.037,P63000-2,Isoform B of Ras-related C3 botulinum toxin substrate 1 OS=Homo sapiens GN=RAC1 - [RAC1_HUMAN],52.13,5,8,13,66,358.51,43.13,10,18,533.25,41.23,9,24,220.39,37.44,9,12,224.37,43.6,10,12,unknown,PM,0.947269551,PM
P29323,0.01,0.17,0.03,0.168,0.223,0.167,0.176,0.182,0.01,0.176,0.116,0.151,0.252,0.167,0.157,0.176,0.201,0.126,0.163,0.094,0.119,0.072,0.108,0.094,0.103,0.052,0.083,0.04,0.047,0.044,0.04,0.068,0.017,0.01,0.01,0.01,0.015,0.013,0.011,0.01,P29323-2,Isoform 2 of Ephrin type-B receptor 2 OS=Homo sapiens GN=EPHB2 - [EPHB2_HUMAN],52.13,8,38,44,124,340.8,20.59,21,24,403.76,22.01,20,24,699.52,36.61,31,40,769.39,38.74,28,36,PM,PM,1,PM
Q8TDN6,0.01,0.017,0.01,0.01,0.024,0.027,0.016,0.017,0.01,0.034,0.013,0.02,0.031,0.043,0.031,0.029,0.032,0.055,0.037,0.04,0.061,0.091,0.05,0.047,0.055,0.138,0.037,0.305,0.453,0.285,0.625,0.354,0.298,0.241,0.147,0.148,0.049,0.049,0.026,0.034,Q8TDN6,Ribosome biogenesis protein BRX1 homolog OS=Homo sapiens GN=BRIX1 PE=1 SV=2 - [BRX1_HUMAN],52.12,1,15,15,39,61.06,12.75,4,4,71.52,14.73,4,4,184.93,43.34,12,15,218.78,37.68,12,16,unknown,NUCLEUS,0.904704014,NUCLEUS
Q07954,0.01,0.194,0.024,0.166,0.31,0.229,0.247,0.255,0.015,0.212,0.187,0.181,0.248,0.126,0.179,0.149,0.134,0.083,0.128,0.082,0.103,0.061,0.091,0.068,0.078,0.042,0.06,0.023,0.029,0.027,0.029,0.046,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,Q07954,Prolow-density lipoprotein receptor-related protein 1 OS=Homo sapiens GN=LRP1 PE=1 SV=2 - [LRP1_HUMAN],52.11,2,184,187,609,1790.36,21.06,78,109,1535.54,17.87,73,92,3714.27,40.05,131,195,4753.4,42.69,139,213,unknown,PM,0.508049238,unknown
Q9BSD7,0.01,0.037,0.01,0.026,0.061,0.04,0.067,0.05,0.01,0.052,0.04,0.06,0.12,0.077,0.064,0.085,0.131,0.113,0.095,0.168,0.224,0.178,0.18,0.128,0.137,0.151,0.125,0.121,0.125,0.15,0.245,0.175,0.108,0.096,0.078,0.073,0.066,0.11,0.09,0.085,Q9BSD7,Cancer-related nucleoside-triphosphatase OS=Homo sapiens GN=NTPCR PE=1 SV=1 - [NTPCR_HUMAN],52.11,1,9,9,25,162.18,20.53,4,4,269.32,37.37,6,7,147.76,40,6,7,191.15,38.95,6,7,unknown,MITOCHONDRIA,0.292253072,unknown
Q99959,0.016,0.109,0.071,0.085,0.152,0.107,0.136,0.13,0.028,0.146,0.103,0.123,0.224,0.172,0.145,0.186,0.199,0.157,0.17,0.112,0.138,0.095,0.113,0.107,0.096,0.076,0.089,0.066,0.073,0.077,0.091,0.121,0.046,0.028,0.041,0.037,0.01,0.01,0.01,0.01,Q99959-2,Isoform 1 of Plakophilin-2 OS=Homo sapiens GN=PKP2 - [PKP2_HUMAN],52.09,2,36,36,79,399.38,22.82,18,20,337.4,15.53,12,12,469.59,25.57,18,20,487.36,36.08,24,27,unknown,PM,0.573973792,unknown
Q8NBU5,0.01,0.021,0.01,0.038,0.045,0.036,0.075,0.063,0.013,0.075,0.049,0.074,0.134,0.103,0.087,0.114,0.154,0.194,0.137,0.235,0.294,0.253,0.313,0.201,0.209,0.167,0.173,0.086,0.076,0.114,0.08,0.102,0.062,0.044,0.076,0.062,0.01,0.01,0.01,0.01,Q8NBU5,ATPase family AAA domain-containing protein 1 OS=Homo sapiens GN=ATAD1 PE=1 SV=1 - [ATAD1_HUMAN],52.08,2,13,13,35,95.98,25.21,6,7,77.22,8.03,3,4,315.42,37.4,9,11,280.46,33.52,9,13,unknown,MITOCHONDRIA,0.928327729,unknown
P63010,0.01,0.08,0.01,0.034,0.11,0.103,0.083,0.104,0.01,0.141,0.046,0.106,0.173,0.146,0.115,0.14,0.164,0.123,0.114,0.087,0.113,0.084,0.096,0.081,0.094,0.076,0.072,0.115,0.214,0.14,0.271,0.174,0.051,0.037,0.063,0.052,0.043,0.041,0.086,0.075,P63010,AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1 - [AP2B1_HUMAN],52.08,3,22,47,156,506.65,27.96,27,42,823.27,31.59,27,41,635.96,30.74,24,34,540.88,35.11,29,39,unknown,NUCLEUS,0.251451665,unknown
Q4VC31,0.01,0.025,0.01,0.016,0.034,0.036,0.071,0.061,0.01,0.07,0.034,0.084,0.115,0.106,0.095,0.105,0.144,0.183,0.129,0.327,0.329,0.242,0.347,0.189,0.22,0.17,0.179,0.075,0.072,0.119,0.083,0.105,0.019,0.01,0.01,0.01,0.051,0.028,0.023,0.021,Q4VC31,Coiled-coil domain-containing protein 58 OS=Homo sapiens GN=CCDC58 PE=1 SV=1 - [CCD58_HUMAN],52.08,1,7,7,25,177.22,45.14,5,6,187.93,52.08,6,7,106.3,23.61,4,5,179.71,50.69,6,7,unknown,MITOCHONDRIA,0.951638513,MITOCHONDRIA
P62906,0.01,0.034,0.01,0.012,0.064,0.048,0.036,0.043,0.01,0.072,0.027,0.054,0.116,0.102,0.065,0.098,0.131,0.132,0.098,0.104,0.135,0.102,0.112,0.102,0.097,0.08,0.077,0.14,0.37,0.346,0.512,0.368,0.057,0.044,0.043,0.043,0.02,0.032,0.017,0.021,P62906,60S ribosomal protein L10a OS=Homo sapiens GN=RPL10A PE=1 SV=2 - [RL10A_HUMAN],52.07,1,16,16,132,410.25,49.77,14,31,390.43,44.7,11,31,448.18,47.93,14,38,387.11,45.62,13,32,RIBOSOME 60S,RIBOSOME 60S,1,RIBOSOME 60S
Q96S52,0.01,0.036,0.01,0.05,0.074,0.061,0.07,0.092,0.012,0.113,0.064,0.118,0.193,0.159,0.167,0.186,0.212,0.194,0.2,0.177,0.209,0.169,0.227,0.15,0.176,0.131,0.151,0.071,0.055,0.085,0.064,0.099,0.038,0.032,0.028,0.021,0.01,0.01,0.01,0.01,Q96S52,GPI transamidase component PIG-S OS=Homo sapiens GN=PIGS PE=1 SV=3 - [PIGS_HUMAN],52.07,2,20,20,56,362.4,28.47,12,14,230.91,21.8,9,10,310.07,37.12,12,16,337.15,30.09,13,16,ER,ER,1,ER
Q9BRJ6,0.01,0.019,0.01,0.01,0.035,0.024,0.014,0.02,0.01,0.043,0.012,0.027,0.069,0.059,0.027,0.044,0.072,0.076,0.04,0.049,0.117,0.095,0.061,0.064,0.072,0.104,0.038,0.157,0.468,0.421,0.672,0.448,0.128,0.098,0.087,0.096,0.035,0.054,0.039,0.051,Q9BRJ6,Uncharacterized protein C7orf50 OS=Homo sapiens GN=C7orf50 PE=1 SV=1 - [CG050_HUMAN],52.06,1,13,13,28,177.74,40.21,6,6,67.74,32.99,4,4,218.66,46.39,8,8,270.68,51.55,10,10,unknown,NUCLEUS,0.551167925,unknown
O43852.1,0.01,0.02,0.012,0.051,0.036,0.049,0.093,0.105,0.01,0.111,0.086,0.121,0.14,0.169,0.168,0.22,0.18,0.234,0.212,0.185,0.258,0.164,0.207,0.162,0.224,0.131,0.128,0.052,0.087,0.085,0.051,0.086,0.01,0.01,0.01,0.01,0.058,0.036,0.016,0.016,O43852-2,Isoform 2 of Calumenin OS=Homo sapiens GN=CALU - [CALU_HUMAN],52.06,6,3,20,64,166.6,28.89,10,13,271.98,23.81,8,14,399.88,49.52,12,20,301.41,46.03,14,17,unknown,ER,0.81828638,unknown
Q99426,0.01,0.06,0.01,0.037,0.063,0.042,0.043,0.046,0.01,0.032,0.024,0.026,0.043,0.028,0.033,0.025,0.033,0.021,0.028,0.016,0.028,0.017,0.032,0.02,0.025,0.019,0.025,0.013,0.016,0.01,0.011,0.01,0.015,0.011,0.01,0.01,0.764,0.774,0.775,0.806,Q99426,Tubulin-folding cofactor B OS=Homo sapiens GN=TBCB PE=1 SV=2 - [TBCB_HUMAN],52.05,2,12,12,43,135.17,28.69,8,10,214.79,32.38,8,8,371.77,50,11,14,309.39,44.67,9,11,unknown,CYTOSOL,0.93176663,unknown
P43897,0.01,0.02,0.01,0.019,0.042,0.026,0.073,0.064,0.01,0.061,0.028,0.08,0.118,0.088,0.089,0.103,0.144,0.164,0.133,0.309,0.35,0.272,0.313,0.196,0.227,0.186,0.188,0.081,0.072,0.136,0.089,0.109,0.011,0.012,0.019,0.013,0.01,0.011,0.01,0.01,P43897,"Elongation factor Ts, mitochondrial OS=Homo sapiens GN=TSFM PE=1 SV=2 - [EFTS_HUMAN]",52,4,21,21,67,406.76,40.31,16,18,202.93,47.38,14,15,388.38,39.69,13,15,455.03,42.46,16,19,MITOCHONDRIA,MITOCHONDRIA,1,MITOCHONDRIA
Q96JJ7,0.01,0.046,0.01,0.049,0.104,0.08,0.084,0.114,0.015,0.134,0.077,0.137,0.199,0.168,0.172,0.197,0.192,0.191,0.201,0.176,0.205,0.149,0.211,0.145,0.167,0.108,0.144,0.06,0.047,0.075,0.08,0.087,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,Q96JJ7,Protein disulfide-isomerase TMX3 OS=Homo sapiens GN=TMX3 PE=1 SV=2 - [TMX3_HUMAN],51.98,2,23,23,62,319.84,31.28,13,18,208.35,27.53,10,13,230.72,19.6,9,14,298.78,32.38,12,17,ER,ER,1,ER
P46108,0.011,0.089,0.022,0.077,0.086,0.069,0.061,0.064,0.01,0.065,0.044,0.048,0.075,0.066,0.05,0.049,0.061,0.043,0.049,0.03,0.046,0.027,0.044,0.033,0.037,0.028,0.031,0.019,0.016,0.014,0.01,0.014,0.016,0.018,0.013,0.015,0.636,0.558,0.659,0.655,P46108,Adapter molecule crk OS=Homo sapiens GN=CRK PE=1 SV=2 - [CRK_HUMAN],51.97,2,13,13,22,132.45,25.66,5,5,98.14,21.71,4,4,159.67,31.25,7,7,152.88,27.96,6,6,unknown,CYTOSOL,0.894876248,unknown
Q9P0J1,0.01,0.032,0.011,0.045,0.05,0.041,0.097,0.076,0.013,0.069,0.056,0.085,0.117,0.106,0.093,0.109,0.151,0.176,0.139,0.291,0.329,0.246,0.322,0.195,0.224,0.169,0.173,0.078,0.072,0.122,0.071,0.108,0.01,0.01,0.01,0.01,0.01,0.011,0.011,0.01,Q9P0J1,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial OS=Homo sapiens GN=PDP1 PE=1 SV=3 - [PDP1_HUMAN]",51.96,2,22,22,48,388.61,34.64,13,15,347.44,28.31,13,14,382.04,23.28,7,9,284.22,23.09,8,10,MITOCHONDRIA,MITOCHONDRIA,1,MITOCHONDRIA
Q99848,0.01,0.011,0.01,0.016,0.015,0.014,0.016,0.034,0.01,0.023,0.013,0.029,0.032,0.031,0.029,0.049,0.035,0.041,0.039,0.039,0.057,0.063,0.053,0.049,0.045,0.097,0.039,0.253,0.467,0.313,0.618,0.324,0.322,0.336,0.146,0.144,0.03,0.046,0.032,0.033,Q99848,Probable rRNA-processing protein EBP2 OS=Homo sapiens GN=EBNA1BP2 PE=1 SV=2 - [EBP2_HUMAN],51.96,1,19,19,52,235.6,35.62,13,15,115.04,16.99,8,8,287.37,40.52,14,17,147.44,32.35,10,12,unknown,NUCLEUS,0.891835219,NUCLEUS
Q99541,0.01,0.044,0.01,0.043,0.056,0.051,0.09,0.089,0.01,0.067,0.047,0.093,0.121,0.091,0.104,0.121,0.121,0.112,0.143,0.175,0.217,0.194,0.249,0.176,0.239,0.202,0.2,0.104,0.102,0.109,0.088,0.096,0.023,0.013,0.015,0.01,0.108,0.107,0.071,0.067,Q99541,Perilipin-2 OS=Homo sapiens GN=PLIN2 PE=1 SV=2 - [PLIN2_HUMAN],51.95,1,21,21,44,161.12,29.75,13,13,209.79,18.31,8,8,131.31,24.94,9,9,216.96,35.47,14,14,unknown,MITOCHONDRIA,0.72501098,unknown
O14579,0.01,0.05,0.015,0.044,0.076,0.055,0.067,0.072,0.011,0.073,0.063,0.081,0.106,0.083,0.094,0.103,0.085,0.084,0.093,0.073,0.096,0.076,0.08,0.08,0.079,0.086,0.072,0.092,0.162,0.11,0.151,0.097,0.044,0.041,0.039,0.032,0.328,0.321,0.313,0.296,O14579,Coatomer subunit epsilon OS=Homo sapiens GN=COPE PE=1 SV=3 - [COPE_HUMAN],51.95,3,14,14,40,169.63,23.05,5,7,148.25,30.19,7,8,209.68,34.09,10,12,226.27,42.21,12,13,unknown,NUCLEUS,0.342698336,unknown
P53992,0.01,0.064,0.01,0.037,0.096,0.085,0.089,0.104,0.01,0.108,0.101,0.15,0.157,0.121,0.162,0.164,0.14,0.117,0.139,0.091,0.157,0.117,0.095,0.082,0.137,0.106,0.085,0.12,0.259,0.238,0.26,0.189,0.016,0.015,0.021,0.022,0.018,0.019,0.013,0.016,P53992,Protein transport protein Sec24C OS=Homo sapiens GN=SEC24C PE=1 SV=3 - [SC24C_HUMAN],51.92,2,39,39,133,401.64,32.82,24,27,733.14,30.8,22,35,626.87,42.14,28,34,594.48,33.18,24,37,unknown,GOLGI,0.257807198,unknown
Q9Y3B8,0.01,0.051,0.01,0.011,0.035,0.049,0.042,0.037,0.01,0.041,0.019,0.042,0.063,0.065,0.043,0.051,0.072,0.088,0.06,0.13,0.155,0.111,0.125,0.092,0.114,0.077,0.073,0.038,0.03,0.057,0.039,0.05,0.023,0.014,0.01,0.01,0.468,0.42,0.564,0.54,Q9Y3B8,"Oligoribonuclease, mitochondrial OS=Homo sapiens GN=REXO2 PE=1 SV=3 - [ORN_HUMAN]",51.9,3,13,13,26,118.08,18.99,4,4,35.73,12.24,3,3,142.86,42.62,10,11,201.36,40.93,7,8,unknown,CYTOSOL,0.615572882,unknown
Q9Y2S7,0.01,0.034,0.02,0.051,0.035,0.043,0.098,0.073,0.011,0.074,0.048,0.082,0.111,0.102,0.091,0.106,0.128,0.173,0.133,0.298,0.329,0.264,0.322,0.188,0.257,0.182,0.182,0.072,0.077,0.12,0.069,0.097,0.015,0.012,0.015,0.012,0.012,0.01,0.01,0.01,Q9Y2S7,Polymerase delta-interacting protein 2 OS=Homo sapiens GN=POLDIP2 PE=1 SV=1 - [PDIP2_HUMAN],51.9,1,16,16,44,152.28,29.89,10,11,105.08,16.03,6,6,213.96,34.78,9,11,270.8,43.21,13,16,unknown,MITOCHONDRIA,0.966457107,MITOCHONDRIA
O43819,0.01,0.037,0.02,0.08,0.05,0.045,0.107,0.088,0.02,0.074,0.073,0.083,0.114,0.098,0.095,0.115,0.148,0.168,0.145,0.286,0.341,0.235,0.301,0.177,0.241,0.177,0.169,0.064,0.065,0.13,0.065,0.09,0.011,0.022,0.02,0.011,0.01,0.015,0.01,0.01,O43819,"Protein SCO2 homolog, mitochondrial OS=Homo sapiens GN=SCO2 PE=1 SV=3 - [SCO2_HUMAN]",51.88,1,9,9,17,85.58,9.02,2,3,67.69,7.52,2,2,110.89,34.59,6,6,102.6,41.73,6,6,MITOCHONDRIA,MITOCHONDRIA,1,MITOCHONDRIA
Q14694,0.01,0.036,0.01,0.044,0.048,0.038,0.044,0.042,0.01,0.05,0.03,0.039,0.076,0.07,0.044,0.063,0.087,0.093,0.061,0.069,0.112,0.105,0.102,0.109,0.106,0.123,0.101,0.156,0.473,0.402,0.411,0.28,0.041,0.036,0.061,0.058,0.037,0.048,0.134,0.143,Q14694,Ubiquitin carboxyl-terminal hydrolase 10 OS=Homo sapiens GN=USP10 PE=1 SV=2 - [UBP10_HUMAN],51.88,3,27,27,63,309.01,26.07,15,17,188.84,14.04,8,8,474.6,37.47,17,19,363.41,38.1,18,19,unknown,RIBOSOME 40S,0.330386767,unknown
Q96PK6,0.01,0.01,0.01,0.014,0.015,0.014,0.022,0.019,0.01,0.027,0.018,0.025,0.048,0.044,0.035,0.043,0.05,0.056,0.046,0.055,0.076,0.072,0.073,0.068,0.065,0.088,0.076,0.177,0.328,0.294,0.471,0.33,0.378,0.34,0.202,0.198,0.023,0.035,0.037,0.043,Q96PK6,RNA-binding protein 14 OS=Homo sapiens GN=RBM14 PE=1 SV=2 - [RBM14_HUMAN],51.87,4,35,35,186,1218.69,42,22,51,715.71,32.44,17,37,1111.47,46.79,30,54,1058.72,47.53,26,44,unknown,NUCLEUS,0.867335438,NUCLEUS
Q9NZ45,0.012,0.017,0.01,0.011,0.133,0.036,0.084,0.061,0.014,0.073,0.052,0.089,0.146,0.099,0.104,0.104,0.148,0.181,0.158,0.308,0.262,0.269,0.319,0.21,0.161,0.18,0.191,0.088,0.066,0.14,0.077,0.122,0.014,0.01,0.011,0.01,0.012,0.01,0.01,0.01,Q9NZ45,CDGSH iron-sulfur domain-containing protein 1 OS=Homo sapiens GN=CISD1 PE=1 SV=1 - [CISD1_HUMAN],51.85,1,6,6,19,77.4,42.59,5,7,36.35,17.59,2,2,117.55,38.89,4,6,92.61,30.56,3,4,unknown,MITOCHONDRIA,0.862359232,unknown
Q15393,0.01,0.02,0.01,0.012,0.023,0.019,0.018,0.022,0.01,0.027,0.011,0.019,0.032,0.036,0.018,0.025,0.035,0.045,0.024,0.03,0.052,0.052,0.036,0.035,0.043,0.073,0.032,0.264,0.477,0.341,0.505,0.278,0.22,0.229,0.182,0.172,0.112,0.151,0.129,0.139,Q15393,Splicing factor 3B subunit 3 OS=Homo sapiens GN=SF3B3 PE=1 SV=4 - [SF3B3_HUMAN],51.85,3,52,52,174,730.52,26.05,31,41,465.22,21.36,23,25,1122.45,40.76,39,52,1067.47,42.73,37,56,unknown,NUCLEUS,0.87024845,NUCLEUS
Q16698,0.01,0.037,0.01,0.042,0.053,0.042,0.093,0.068,0.012,0.074,0.041,0.078,0.115,0.098,0.092,0.105,0.14,0.171,0.135,0.287,0.34,0.228,0.302,0.181,0.221,0.159,0.151,0.067,0.069,0.12,0.101,0.111,0.039,0.037,0.072,0.053,0.01,0.013,0.01,0.01,Q16698-2,"Isoform 2 of 2,4-dienoyl-CoA reductase, mitochondrial OS=Homo sapiens GN=DECR1 - [DECR_HUMAN]",51.84,2,20,20,88,403.95,42.33,12,19,366.17,29.14,8,22,374.14,38.04,15,23,445.24,42.64,14,24,unknown,MITOCHONDRIA,0.978656653,MITOCHONDRIA
Q9Y276,0.01,0.024,0.01,0.05,0.04,0.035,0.086,0.081,0.011,0.063,0.037,0.083,0.106,0.092,0.1,0.114,0.126,0.169,0.143,0.278,0.31,0.26,0.307,0.193,0.262,0.182,0.193,0.073,0.079,0.128,0.08,0.102,0.017,0.01,0.02,0.01,0.015,0.014,0.016,0.01,Q9Y276,Mitochondrial chaperone BCS1 OS=Homo sapiens GN=BCS1L PE=1 SV=1 - [BCS1_HUMAN],51.79,1,19,19,46,252.09,26.97,10,12,156.01,19.33,8,9,200.09,28.88,9,10,296.26,36.52,13,15,unknown,MITOCHONDRIA,0.954008663,MITOCHONDRIA
O14653,0.01,0.078,0.01,0.078,0.111,0.105,0.133,0.145,0.029,0.156,0.137,0.18,0.214,0.204,0.202,0.198,0.198,0.152,0.175,0.144,0.196,0.138,0.148,0.105,0.14,0.092,0.094,0.046,0.04,0.05,0.045,0.072,0.033,0.016,0.026,0.018,0.01,0.01,0.01,0.01,O14653-3,Isoform 3 of Golgi SNAP receptor complex member 2 OS=Homo sapiens GN=GOSR2 - [GOSR2_HUMAN],51.79,3,7,7,30,148.41,34.36,4,5,26.93,5.64,1,1,262.05,48.72,6,12,338.12,47.69,6,12,GOLGI,GOLGI,1,GOLGI
Q99715,0.01,0.08,0.012,0.056,0.124,0.106,0.128,0.141,0.016,0.117,0.122,0.145,0.169,0.128,0.155,0.143,0.18,0.188,0.153,0.158,0.219,0.141,0.173,0.13,0.154,0.103,0.119,0.063,0.053,0.078,0.062,0.091,0.048,0.036,0.05,0.046,0.01,0.012,0.01,0.01,Q99715,Collagen alpha-1(XII) chain OS=Homo sapiens GN=COL12A1 PE=1 SV=2 - [COCA1_HUMAN],51.78,4,128,128,285,822.86,12.99,32,34,552.43,9.92,24,28,2170.36,36.43,81,102,2292,43.58,98,121,unknown,ER,0.633205465,unknown
Q8NFH5,0.01,0.016,0.01,0.044,0.02,0.024,0.069,0.057,0.01,0.05,0.054,0.078,0.091,0.079,0.101,0.12,0.106,0.109,0.143,0.222,0.164,0.15,0.261,0.188,0.155,0.136,0.157,0.084,0.112,0.125,0.088,0.106,0.332,0.289,0.118,0.097,0.01,0.023,0.01,0.01,Q8NFH5-2,Isoform 2 of Nucleoporin NUP53 OS=Homo sapiens GN=NUP35 - [NUP53_HUMAN],51.78,3,12,12,39,185.97,32.36,6,6,151.32,33.33,6,6,348.76,45.63,10,12,359.49,43.69,10,15,unknown,NUCLEUS,0.466590858,unknown
Q9H0B6,0.01,0.027,0.029,0.057,0.046,0.029,0.072,0.059,0.012,0.048,0.045,0.051,0.092,0.075,0.057,0.062,0.108,0.099,0.06,0.077,0.167,0.177,0.103,0.082,0.184,0.196,0.086,0.093,0.232,0.179,0.175,0.128,0.038,0.032,0.033,0.032,0.107,0.141,0.322,0.344,Q9H0B6,Kinesin light chain 2 OS=Homo sapiens GN=KLC2 PE=1 SV=1 - [KLC2_HUMAN],51.77,2,21,29,64,483.95,30.87,18,21,243.57,18.65,10,10,272.62,28.14,13,14,382.4,36.01,18,19,unknown,NUCLEUS,0.57023841,unknown
Q9HAV0,0.062,0.209,0.066,0.208,0.288,0.174,0.195,0.184,0.067,0.17,0.145,0.136,0.199,0.152,0.152,0.178,0.173,0.121,0.152,0.084,0.097,0.068,0.099,0.083,0.057,0.051,0.068,0.03,0.018,0.041,0.03,0.061,0.012,0.016,0.023,0.019,0.01,0.01,0.01,0.01,Q9HAV0,Guanine nucleotide-binding protein subunit beta-4 OS=Homo sapiens GN=GNB4 PE=1 SV=3 - [GBB4_HUMAN],51.76,1,7,13,74,560.81,26.47,9,20,367.89,24.41,7,12,627.56,46.47,11,22,659.96,47.65,11,20,unknown,PM,0.923686431,PM
Q8NHZ8,0.024,0.038,0.023,0.025,0.028,0.035,0.034,0.035,0.013,0.035,0.019,0.034,0.025,0.035,0.024,0.039,0.026,0.033,0.025,0.04,0.032,0.033,0.035,0.041,0.04,0.099,0.059,0.127,0.075,0.046,0.094,0.05,0.358,0.31,0.298,0.206,0.38,0.336,0.369,0.322,Q8NHZ8,Anaphase-promoting complex subunit CDC26 OS=Homo sapiens GN=CDC26 PE=1 SV=1 - [CDC26_HUMAN],51.76,1,3,3,6,33.18,10.59,1,1,44.64,28.24,1,1,97.05,38.82,2,2,37.05,23.53,2,2,unknown,NUCLEUS,0.711412598,NUCLEUS
P62266,0.013,0.051,0.01,0.021,0.067,0.049,0.042,0.04,0.014,0.059,0.03,0.05,0.093,0.074,0.066,0.088,0.101,0.094,0.105,0.092,0.123,0.084,0.096,0.1,0.067,0.063,0.08,0.146,0.447,0.437,0.511,0.394,0.044,0.031,0.022,0.026,0.06,0.072,0.031,0.033,P62266,40S ribosomal protein S23 OS=Homo sapiens GN=RPS23 PE=1 SV=3 - [RS23_HUMAN],51.75,1,10,10,52,257.48,49.65,8,11,167.84,48.25,5,11,361.56,41.96,8,12,455.72,51.75,8,18,RIBOSOME 40S,RIBOSOME 40S,1,RIBOSOME 40S
Q9BZG1,0.01,0.107,0.01,0.06,0.204,0.142,0.127,0.165,0.01,0.17,0.063,0.163,0.229,0.156,0.176,0.17,0.189,0.13,0.176,0.132,0.143,0.105,0.189,0.119,0.126,0.089,0.131,0.051,0.046,0.059,0.065,0.085,0.01,0.01,0.01,0.01,0.024,0.027,0.026,0.019,Q9BZG1,Ras-related protein Rab-34 OS=Homo sapiens GN=RAB34 PE=1 SV=1 - [RAB34_HUMAN],51.74,3,19,19,76,389.81,39,12,16,355.37,46.33,11,15,381.65,47.88,13,17,558.6,45.56,15,28,unknown,PM,0.623324844,unknown
