Protein Group Information,,,,Normalized TMT 10-plex reporter ion values,,,,,,,,,
UniProt ID,UniProt Description,Peptides,PSMs,126,127N,127C,128N,128C,129N,129C,130N,130C,131
Q99LR1,Monoacylglycerol lipase ABHD12 GN=Abhd12 PE=1 SV=2 - [ABD12_MOUSE],11,15,0.0424,0.0641,0.0699,0.0446,0.1216,0.1560,0.1076,0.1885,0.0463,0.1589
Q9D6W8,Uncharacterized protein C17orf59 homolog PE=1 SV=1 - [CQ059_MOUSE],11,15,0.0461,0.0901,0.1335,0.1394,0.2607,0.1096,0.0573,0.0611,0.0482,0.0540
Q9QXK7,Cleavage and polyadenylation specificity factor subunit 3 GN=Cpsf3 PE=1 SV=2 - [CPSF3_MOUSE],11,15,0.2063,0.0435,0.0510,0.0246,0.0436,0.0447,0.0471,0.1057,0.2783,0.1553
Q9R0P9,Ubiquitin carboxyl-terminal hydrolase isozyme L1 GN=Uchl1 PE=1 SV=1 - [UCHL1_MOUSE],11,15,0.4312,0.1277,0.1266,0.0538,0.0763,0.0456,0.0343,0.0385,0.0273,0.0387
B2RXC1,Trafficking protein particle complex subunit 11 GN=Trappc11 PE=2 SV=1 - [TPC11_MOUSE],11,14,0.1701,0.1000,0.0823,0.0626,0.1312,0.1075,0.0686,0.0974,0.0461,0.1341
O35657,Sialidase-1 GN=Neu1 PE=2 SV=1 - [NEUR1_MOUSE],11,14,0.0439,0.0837,0.1628,0.1033,0.2247,0.1531,0.0572,0.0827,0.0191,0.0695
O55143;O55143-2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 GN=Atp2a2 PE=1 SV=2 - [AT2A2_MOUSE]|Isoform SERCA2A of Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 GN=Atp2a2 - [AT2A2_MOUSE],11,14,0.0000,0.0543,0.0833,0.0537,0.1668,0.2440,0.1130,0.1505,0.0144,0.1200
P22682,E3 ubiquitin-protein ligase CBL GN=Cbl PE=1 SV=3 - [CBL_MOUSE],11,14,0.1680,0.1166,0.0981,0.0524,0.0932,0.0919,0.0683,0.1155,0.0518,0.1443
P28659-2,Isoform 2 of CUGBP Elav-like family member 1 GN=Celf1 - [CELF1_MOUSE],11,14,0.1785,0.0347,0.0430,0.0205,0.0386,0.0361,0.0433,0.0925,0.3910,0.1217
Q3TAA7,Serine/threonine-protein kinase 11-interacting protein GN=Stk11ip PE=1 SV=1 - [S11IP_MOUSE],11,14,0.0912,0.1100,0.1265,0.0951,0.1682,0.1258,0.0623,0.0823,0.0547,0.0839
Q64518-2,Isoform SERCA3A of Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 GN=Atp2a3 - [AT2A3_MOUSE],11,14,0.0547,0.0748,0.0866,0.0604,0.1142,0.1806,0.1185,0.1324,0.0527,0.1252
Q6PIP5,NudC domain-containing protein 1 GN=Nudcd1 PE=2 SV=2 - [NUDC1_MOUSE],11,14,0.3400,0.0949,0.0999,0.0472,0.0536,0.0680,0.0562,0.0821,0.0679,0.0903
Q6ZPV2-2,Isoform 2 of DNA helicase INO80 GN=Ino80 - [INO80_MOUSE],11,14,0.0716,0.0355,0.0191,0.0120,0.0384,0.0492,0.0946,0.2254,0.2191,0.2353
Q80UV9-3,Isoform 3 of Transcription initiation factor TFIID subunit 1 GN=Taf1 - [TAF1_MOUSE],11,14,0.0662,0.0284,0.0326,0.0198,0.0416,0.0521,0.0904,0.2380,0.1960,0.2348
Q8K370,Acyl-CoA dehydrogenase family member 10 GN=Acad10 PE=2 SV=1 - [ACD10_MOUSE],11,14,0.0491,0.0559,0.0705,0.0352,0.0692,0.1092,0.1700,0.2146,0.0426,0.1836
Q8VC30,Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing) GN=Dak PE=2 SV=1 - [DHAK_MOUSE],11,14,0.3193,0.1205,0.1110,0.0537,0.0814,0.0605,0.0550,0.0773,0.0427,0.0785
O08759,Ubiquitin-protein ligase E3A GN=Ube3a PE=2 SV=1 - [UBE3A_MOUSE],11,13,0.5273,0.0702,0.0893,0.0343,0.0513,0.0324,0.0286,0.0644,0.0372,0.0648
Q61609,Sodium-dependent phosphate transporter 1 GN=Slc20a1 PE=1 SV=1 - [S20A1_MOUSE],11,13,0.0411,0.1367,0.1511,0.0920,0.1617,0.1393,0.0874,0.0827,0.0385,0.0694
Q7TNP2,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform GN=Ppp2r1b PE=1 SV=2 - [2AAB_MOUSE],11,13,0.2899,0.1019,0.0962,0.0627,0.0847,0.0724,0.0599,0.0960,0.0551,0.0812
Q8BHS3,Pre-mRNA-splicing factor RBM22 GN=Rbm22 PE=2 SV=1 - [RBM22_MOUSE],11,13,0.1433,0.0278,0.0417,0.0178,0.0402,0.0395,0.0613,0.1231,0.2476,0.2576
Q8BHY2,Nucleolar complex protein 4 homolog GN=Noc4l PE=2 SV=1 - [NOC4L_MOUSE],11,13,0.1421,0.0405,0.0478,0.0269,0.0495,0.0477,0.0660,0.1619,0.2378,0.1798
Q8R060,Protein zwilch homolog GN=Zwilch PE=2 SV=1 - [ZWILC_MOUSE],11,13,0.3469,0.1210,0.1118,0.0489,0.0743,0.0592,0.0524,0.0750,0.0431,0.0673
Q91W39,Nuclear receptor coactivator 5 GN=Ncoa5 PE=1 SV=1 - [NCOA5_MOUSE],11,13,0.0755,0.0424,0.0517,0.0278,0.0492,0.0618,0.0761,0.1241,0.3133,0.1781
Q91XD6,Vacuolar protein-sorting-associated protein 36 GN=Vps36 PE=1 SV=1 - [VPS36_MOUSE],11,13,0.1469,0.1525,0.1066,0.0661,0.0848,0.0709,0.0653,0.1322,0.0606,0.1142
Q923E4,NAD-dependent protein deacetylase sirtuin-1 GN=Sirt1 PE=1 SV=2 - [SIR1_MOUSE],11,13,0.5761,0.0500,0.0810,0.0209,0.0446,0.0421,0.0295,0.0611,0.0521,0.0426
P47857,"6-phosphofructokinase, muscle type GN=Pfkm PE=1 SV=3 - [K6PF_MOUSE]",11,12,0.2501,0.0946,0.0871,0.0555,0.0833,0.0720,0.0581,0.1268,0.0418,0.1307
Q02858,Angiopoietin-1 receptor GN=Tek PE=1 SV=2 - [TIE2_MOUSE],11,12,0.0471,0.1833,0.1443,0.0958,0.1499,0.1025,0.0690,0.0803,0.0471,0.0807
Q7TPH6,Probable E3 ubiquitin-protein ligase MYCBP2 GN=Mycbp2 PE=1 SV=2 - [MYCB2_MOUSE],11,12,0.1455,0.0877,0.0638,0.0418,0.0822,0.0714,0.0870,0.1358,0.0787,0.2060
Q8C0D5,Elongation factor Tu GTP-binding domain-containing protein 1 GN=Eftud1 PE=2 SV=1 - [ETUD1_MOUSE],11,12,0.2680,0.0761,0.0758,0.0394,0.0618,0.0558,0.0660,0.1380,0.0582,0.1609
Q9WVG6-2,Isoform 2 of Histone-arginine methyltransferase CARM1 GN=Carm1 - [CARM1_MOUSE],11,12,0.3884,0.0693,0.0820,0.0376,0.0681,0.0496,0.0496,0.0987,0.0548,0.1021
P98197,Probable phospholipid-transporting ATPase IH GN=Atp11a PE=2 SV=1 - [AT11A_MOUSE],11,11,0.0548,0.1286,0.1532,0.1091,0.2048,0.1069,0.0636,0.0694,0.0402,0.0695
Q61183,Poly(A) polymerase alpha GN=Papola PE=1 SV=4 - [PAPOA_MOUSE],11,11,0.3413,0.0703,0.0774,0.0275,0.0488,0.0582,0.0669,0.1022,0.0961,0.1112
Q6DFV5,Probable helicase with zinc finger domain GN=Helz PE=1 SV=2 - [HELZ_MOUSE],11,11,0.1660,0.0735,0.0588,0.0328,0.0786,0.0915,0.0752,0.1375,0.0896,0.1964
Q80UK8,Integrator complex subunit 2 GN=Ints2 PE=2 SV=2 - [INT2_MOUSE],11,11,0.1694,0.0318,0.0507,0.0240,0.0550,0.0361,0.0922,0.1620,0.2012,0.1776
Q80YR5,Scaffold attachment factor B2 GN=Safb2 PE=1 SV=2 - [SAFB2_MOUSE],11,11,0.1789,0.0314,0.0391,0.0205,0.0393,0.0481,0.0608,0.0981,0.3169,0.1668
Q8K4L3,Supervillin GN=Svil PE=1 SV=1 - [SVIL_MOUSE],11,11,0.1274,0.0917,0.0766,0.0544,0.0923,0.1252,0.1021,0.1168,0.1045,0.1091
Q9WTX8,Mitotic spindle assembly checkpoint protein MAD1 GN=Mad1l1 PE=2 SV=1 - [MD1L1_MOUSE],11,11,0.1028,0.0393,0.0399,0.0253,0.0429,0.0505,0.0600,0.2031,0.2143,0.2221
Q64433,"10 kDa heat shock protein, mitochondrial GN=Hspe1 PE=1 SV=2 - [CH10_MOUSE]",10,124,0.0255,0.0355,0.0369,0.0237,0.0440,0.0880,0.2330,0.2511,0.0313,0.2311
O35658,"Complement component 1 Q subcomponent-binding protein, mitochondrial GN=C1qbp PE=1 SV=1 - [C1QBP_MOUSE]",10,91,0.0224,0.0285,0.0299,0.0185,0.0457,0.0965,0.2569,0.2325,0.0477,0.2214
P10639,Thioredoxin GN=Txn PE=1 SV=3 - [THIO_MOUSE],10,54,0.4382,0.1323,0.1281,0.0601,0.0755,0.0489,0.0344,0.0338,0.0190,0.0296
Q9CQ22,Ragulator complex protein LAMTOR1 GN=Lamtor1 PE=1 SV=1 - [LTOR1_MOUSE],10,50,0.0250,0.1174,0.1859,0.1262,0.2241,0.1456,0.0585,0.0514,0.0242,0.0418
P11438,Lysosome-associated membrane glycoprotein 1 GN=Lamp1 PE=1 SV=2 - [LAMP1_MOUSE],10,47,0.0102,0.1444,0.2284,0.1529,0.2240,0.1197,0.0487,0.0368,0.0077,0.0272
Q9CYL5,Golgi-associated plant pathogenesis-related protein 1 GN=Glipr2 PE=2 SV=3 - [GAPR1_MOUSE],10,47,0.0148,0.2935,0.1967,0.1055,0.1346,0.0922,0.0468,0.0445,0.0339,0.0375
P62267,40S ribosomal protein S23 GN=Rps23 PE=2 SV=3 - [RS23_MOUSE],10,46,0.2572,0.0813,0.0805,0.0357,0.0573,0.0780,0.0689,0.0906,0.0856,0.1650
Q06185,"ATP synthase subunit e, mitochondrial GN=Atp5i PE=1 SV=2 - [ATP5I_MOUSE]",10,43,0.0267,0.0276,0.0341,0.0219,0.0472,0.0898,0.2060,0.2438,0.0740,0.2289
O88441,Metaxin-2 GN=Mtx2 PE=1 SV=1 - [MTX2_MOUSE],10,40,0.0230,0.0466,0.0453,0.0230,0.0484,0.0972,0.1990,0.2093,0.1051,0.2031
P57787,Monocarboxylate transporter 4 GN=Slc16a3 PE=1 SV=1 - [MOT4_MOUSE],10,39,0.0289,0.2188,0.1471,0.1015,0.1531,0.1213,0.0707,0.0718,0.0306,0.0562
Q64152-2,Isoform 2 of Transcription factor BTF3 GN=Btf3 - [BTF3_MOUSE],10,38,0.3238,0.1151,0.0907,0.0322,0.0417,0.0475,0.0493,0.0747,0.0719,0.1531
Q9D1G1,Ras-related protein Rab-1B GN=Rab1b PE=1 SV=1 - [RAB1B_MOUSE],10,38,0.0370,0.1026,0.1405,0.0935,0.1929,0.1686,0.0788,0.0869,0.0254,0.0739
P62849-2,Isoform 2 of 40S ribosomal protein S24 GN=Rps24 - [RS24_MOUSE],10,37,0.2880,0.0694,0.0816,0.0346,0.0582,0.0731,0.0635,0.0865,0.0856,0.1595
Q9D0T1,NHP2-like protein 1 GN=Nhp2l1 PE=2 SV=4 - [NH2L1_MOUSE],10,32,0.1987,0.0190,0.0338,0.0153,0.0256,0.0309,0.0545,0.1349,0.3434,0.1438
Q9D855,Cytochrome b-c1 complex subunit 7 GN=Uqcrb PE=1 SV=3 - [QCR7_MOUSE],10,32,0.0230,0.0281,0.0307,0.0177,0.0371,0.0911,0.2600,0.2194,0.0859,0.2071
P68037,Ubiquitin-conjugating enzyme E2 L3 GN=Ube2l3 PE=2 SV=1 - [UB2L3_MOUSE],10,31,0.3797,0.1253,0.1173,0.0609,0.0804,0.0760,0.0406,0.0485,0.0283,0.0430
P63280,SUMO-conjugating enzyme UBC9 GN=Ube2i PE=1 SV=1 - [UBC9_MOUSE],10,30,0.1478,0.0575,0.0482,0.0292,0.0450,0.0604,0.0847,0.1913,0.1435,0.1923
Q8R2Y8,"Peptidyl-tRNA hydrolase 2, mitochondrial GN=Ptrh2 PE=2 SV=1 - [PTH2_MOUSE]",10,30,0.0155,0.0393,0.0359,0.0272,0.0580,0.1293,0.2247,0.2190,0.0450,0.2062
Q9D8M4,60S ribosomal protein L7-like 1 GN=Rpl7l1 PE=2 SV=1 - [RL7L_MOUSE],10,30,0.1806,0.0295,0.0348,0.0210,0.0387,0.0437,0.0558,0.1187,0.2994,0.1776
P49722,Proteasome subunit alpha type-2 GN=Psma2 PE=1 SV=3 - [PSA2_MOUSE],10,29,0.4426,0.1021,0.1068,0.0434,0.0639,0.0553,0.0441,0.0499,0.0367,0.0551
P83917,Chromobox protein homolog 1 GN=Cbx1 PE=1 SV=1 - [CBX1_MOUSE],10,29,0.3512,0.0123,0.0401,0.0065,0.0130,0.0228,0.0673,0.1232,0.2520,0.1116
Q9D5T0,ATPase family AAA domain-containing protein 1 GN=Atad1 PE=1 SV=1 - [ATAD1_MOUSE],10,29,0.0268,0.0238,0.0284,0.0206,0.0446,0.1024,0.2200,0.2391,0.0749,0.2195
Q9DCS9,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10 GN=Ndufb10 PE=1 SV=3 - [NDUBA_MOUSE],10,29,0.0212,0.0260,0.0345,0.0195,0.0478,0.0923,0.2131,0.2319,0.0877,0.2260
O88696,"Putative ATP-dependent Clp protease proteolytic subunit, mitochondrial GN=Clpp PE=2 SV=1 - [CLPP_MOUSE]",10,28,0.0272,0.0376,0.0428,0.0271,0.0522,0.0868,0.2304,0.2313,0.0405,0.2241
P62317,Small nuclear ribonucleoprotein Sm D2 GN=Snrpd2 PE=2 SV=1 - [SMD2_MOUSE],10,28,0.2266,0.0306,0.0433,0.0182,0.0332,0.0383,0.0548,0.0774,0.3192,0.1584
P62245,40S ribosomal protein S15a GN=Rps15a PE=2 SV=2 - [RS15A_MOUSE],10,27,0.2767,0.0728,0.0759,0.0337,0.0668,0.0755,0.0537,0.0858,0.0753,0.1837
P62996,Transformer-2 protein homolog beta GN=Tra2b PE=1 SV=1 - [TRA2B_MOUSE],10,27,0.2144,0.0283,0.0411,0.0145,0.0260,0.0286,0.0419,0.0585,0.4493,0.0972
Q9D0M3-2,"Isoform 2 of Cytochrome c1, heme protein, mitochondrial GN=Cyc1 - [CY1_MOUSE]",10,27,0.0268,0.0343,0.0360,0.0220,0.0434,0.0965,0.1819,0.2219,0.1133,0.2238
Q9D1J3,SAP domain-containing ribonucleoprotein GN=Sarnp PE=1 SV=3 - [SARNP_MOUSE],10,27,0.1224,0.0135,0.0228,0.0080,0.0193,0.0283,0.0628,0.2219,0.2542,0.2469
P61290,Proteasome activator complex subunit 3 GN=Psme3 PE=1 SV=1 - [PSME3_MOUSE],10,26,0.5916,0.0342,0.0711,0.0176,0.0343,0.0408,0.0415,0.0590,0.0478,0.0621
P84104-2,Isoform Short of Serine/arginine-rich splicing factor 3 GN=Srsf3 - [SRSF3_MOUSE],10,26,0.2679,0.0302,0.0481,0.0190,0.0355,0.0479,0.0580,0.0846,0.2945,0.1144
P26645,Myristoylated alanine-rich C-kinase substrate GN=Marcks PE=1 SV=2 - [MARCS_MOUSE],10,25,0.0595,0.2545,0.1696,0.1148,0.1492,0.1003,0.0486,0.0527,0.0153,0.0353
Q99KR7,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial GN=Ppif PE=1 SV=1 - [PPIF_MOUSE]",10,25,0.0294,0.0280,0.0367,0.0231,0.0530,0.0861,0.2114,0.2494,0.0528,0.2301
Q9D7G0,Ribose-phosphate pyrophosphokinase 1 GN=Prps1 PE=1 SV=4 - [PRPS1_MOUSE],10,25,0.3840,0.1086,0.1010,0.0460,0.0677,0.0492,0.0378,0.0829,0.0382,0.0847
Q9JHJ0,Tropomodulin-3 GN=Tmod3 PE=1 SV=1 - [TMOD3_MOUSE],10,25,0.1475,0.1624,0.1045,0.0610,0.0976,0.1109,0.0808,0.0791,0.0906,0.0656
O35344,Importin subunit alpha-3 GN=Kpna3 PE=1 SV=1 - [IMA3_MOUSE],10,24,0.3529,0.0587,0.0684,0.0294,0.0518,0.0491,0.0445,0.0984,0.1522,0.0946
P54728,UV excision repair protein RAD23 homolog B GN=Rad23b PE=1 SV=2 - [RD23B_MOUSE],10,24,0.4966,0.0795,0.0879,0.0406,0.0611,0.0464,0.0370,0.0602,0.0390,0.0517
Q6PD26,GPI transamidase component PIG-S GN=Pigs PE=1 SV=3 - [PIGS_MOUSE],10,24,0.0290,0.0533,0.0614,0.0416,0.1024,0.1787,0.1200,0.2068,0.0565,0.1502
Q9ERE7,LDLR chaperone MESD GN=Mesdc2 PE=1 SV=1 - [MESD_MOUSE],10,24,0.0354,0.0687,0.0800,0.0524,0.1224,0.2225,0.1246,0.1407,0.0336,0.1196
O35593,26S proteasome non-ATPase regulatory subunit 14 GN=Psmd14 PE=1 SV=2 - [PSDE_MOUSE],10,23,0.4490,0.0980,0.1037,0.0437,0.0591,0.0556,0.0449,0.0503,0.0385,0.0573
P08030,Adenine phosphoribosyltransferase GN=Aprt PE=2 SV=2 - [APT_MOUSE],10,23,0.4883,0.0792,0.1032,0.0598,0.0792,0.0485,0.0426,0.0463,0.0184,0.0346
Q5XG69,Soluble lamin-associated protein of 75 kDa GN=Fam169a PE=1 SV=3 - [F169A_MOUSE],10,23,0.4059,0.0372,0.0633,0.0182,0.0370,0.0390,0.0601,0.1141,0.1174,0.1077
Q7TQ95,Protein lunapark GN=Lnp PE=1 SV=1 - [LNP_MOUSE],10,23,0.0267,0.0833,0.0807,0.0558,0.1442,0.2081,0.1046,0.1431,0.0293,0.1244
Q8C5L6,Inositol polyphosphate 5-phosphatase K GN=Inpp5k PE=2 SV=2 - [INP5K_MOUSE],10,23,0.0332,0.0686,0.0749,0.0672,0.1683,0.2138,0.1084,0.1260,0.0332,0.1064
Q9JMG1,Endothelial differentiation-related factor 1 GN=Edf1 PE=1 SV=1 - [EDF1_MOUSE],10,23,0.0660,0.0384,0.0392,0.0269,0.0578,0.1258,0.1214,0.1705,0.0691,0.2849
B2RSH2,Guanine nucleotide-binding protein G(i) subunit alpha-1 GN=Gnai1 PE=2 SV=1 - [GNAI1_MOUSE],10,22,0.0326,0.2443,0.1852,0.1228,0.1397,0.0965,0.0532,0.0513,0.0298,0.0446
O70439,Syntaxin-7 GN=Stx7 PE=1 SV=3 - [STX7_MOUSE],10,22,0.0295,0.0792,0.1464,0.1191,0.2453,0.1533,0.0614,0.0701,0.0380,0.0576
P84096,Rho-related GTP-binding protein RhoG GN=Rhog PE=2 SV=1 - [RHOG_MOUSE],10,22,0.0378,0.1730,0.1520,0.1150,0.1692,0.1199,0.0697,0.0695,0.0345,0.0594
Q8CEE7,Retinol dehydrogenase 13 GN=Rdh13 PE=2 SV=1 - [RDH13_MOUSE],10,22,0.0321,0.0333,0.0368,0.0260,0.0489,0.1036,0.2553,0.2003,0.0674,0.1964
Q99KW9,T-cell immunomodulatory protein GN=Itfg1 PE=2 SV=2 - [TIP_MOUSE],10,22,0.0309,0.0864,0.1280,0.1054,0.2207,0.2058,0.0760,0.0645,0.0291,0.0532
Q9CR98,Protein FAM136A GN=Fam136a PE=1 SV=1 - [F136A_MOUSE],10,22,0.0488,0.0391,0.0611,0.0277,0.0485,0.0920,0.1866,0.2345,0.0498,0.2120
Q9DCH4,Eukaryotic translation initiation factor 3 subunit F GN=Eif3f PE=1 SV=2 - [EIF3F_MOUSE],10,22,0.5253,0.0606,0.0741,0.0277,0.0448,0.0408,0.0357,0.0541,0.0413,0.0957
P61358,60S ribosomal protein L27 GN=Rpl27 PE=2 SV=2 - [RL27_MOUSE],10,21,0.1760,0.0511,0.0559,0.0351,0.0665,0.0922,0.0724,0.1286,0.1409,0.1813
Q64105,Sepiapterin reductase GN=Spr PE=1 SV=1 - [SPRE_MOUSE],10,21,0.4201,0.1153,0.1184,0.0478,0.0619,0.0529,0.0485,0.0563,0.0257,0.0530
Q9CXZ1,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial GN=Ndufs4 PE=1 SV=3 - [NDUS4_MOUSE]",10,21,0.0151,0.0272,0.0257,0.0188,0.0349,0.0858,0.2028,0.2521,0.0946,0.2429
O55126,Protein NipSnap homolog 2 GN=Gbas PE=2 SV=1 - [NIPS2_MOUSE],10,20,0.0344,0.0397,0.0433,0.0297,0.0613,0.0927,0.2038,0.2314,0.0417,0.2220
O70126,Aurora kinase B GN=Aurkb PE=1 SV=2 - [AURKB_MOUSE],10,20,0.1045,0.0663,0.0575,0.0349,0.0552,0.0707,0.0818,0.1839,0.1550,0.1901
P25425-6,"Isoform 6 of POU domain, class 2, transcription factor 1 GN=Pou2f1 - [PO2F1_MOUSE]",10,20,0.0434,0.0221,0.0248,0.0125,0.0244,0.0428,0.1196,0.2594,0.2102,0.2408
P31938,Dual specificity mitogen-activated protein kinase kinase 1 GN=Map2k1 PE=1 SV=2 - [MP2K1_MOUSE],10,20,0.2348,0.0879,0.0843,0.0534,0.0589,0.0736,0.0665,0.1431,0.0643,0.1332
Q60973,Histone-binding protein RBBP7 GN=Rbbp7 PE=1 SV=1 - [RBBP7_MOUSE],10,20,0.3011,0.0521,0.0594,0.0238,0.0401,0.0415,0.0677,0.1243,0.1634,0.1266
Q64337,Sequestosome-1 GN=Sqstm1 PE=1 SV=1 - [SQSTM_MOUSE],10,20,0.0950,0.2651,0.1497,0.0909,0.1084,0.0765,0.0553,0.0616,0.0328,0.0647
Q91ZR1,Ras-related protein Rab-4B GN=Rab4b PE=2 SV=2 - [RAB4B_MOUSE],10,20,0.0340,0.0727,0.1098,0.1001,0.2252,0.1990,0.0794,0.0896,0.0234,0.0668
Q99M54,Cell division cycle-associated protein 3 GN=Cdca3 PE=1 SV=2 - [CDCA3_MOUSE],10,20,0.0488,0.2171,0.1488,0.0966,0.1403,0.0913,0.0550,0.0847,0.0386,0.0789
Q9CXS4,Centromere protein V GN=Cenpv PE=2 SV=2 - [CENPV_MOUSE],10,20,0.0995,0.0218,0.0243,0.0158,0.0330,0.0525,0.0725,0.2450,0.1871,0.2484
A2AWL7,MAX gene-associated protein GN=Mga PE=2 SV=1 - [MGAP_MOUSE],10,19,0.0485,0.0225,0.0175,0.0187,0.0258,0.0551,0.1108,0.2704,0.1734,0.2575
O54946,DnaJ homolog subfamily B member 6 GN=Dnajb6 PE=1 SV=4 - [DNJB6_MOUSE],10,19,0.0882,0.0729,0.0713,0.0444,0.0789,0.0900,0.0880,0.1801,0.0807,0.2055
O70492,Sorting nexin-3 GN=Snx3 PE=1 SV=3 - [SNX3_MOUSE],10,19,0.1085,0.0611,0.0955,0.0850,0.3089,0.1174,0.0550,0.0745,0.0338,0.0601
O88952,Protein lin-7 homolog C GN=Lin7c PE=1 SV=2 - [LIN7C_MOUSE],10,19,0.0455,0.1950,0.1273,0.0806,0.1506,0.1095,0.0601,0.0876,0.0624,0.0813
P24638,Lysosomal acid phosphatase GN=Acp2 PE=2 SV=2 - [PPAL_MOUSE],10,19,0.0246,0.0915,0.1440,0.1384,0.2399,0.1593,0.0681,0.0654,0.0141,0.0547
Q61263,Sterol O-acyltransferase 1 GN=Soat1 PE=2 SV=2 - [SOAT1_MOUSE],10,19,0.0188,0.0486,0.0518,0.0422,0.1203,0.1804,0.1197,0.1730,0.0654,0.1797
Q6PDL0,Cytoplasmic dynein 1 light intermediate chain 2 GN=Dync1li2 PE=1 SV=2 - [DC1L2_MOUSE],10,19,0.0636,0.0524,0.0406,0.0209,0.0420,0.0624,0.1327,0.2686,0.0745,0.2425
Q7TQK5,Coiled-coil domain-containing protein 93 GN=Ccdc93 PE=2 SV=1 - [CCD93_MOUSE],10,19,0.0525,0.0572,0.0990,0.1072,0.2684,0.1542,0.0688,0.0722,0.0421,0.0784
Q80UP8,Sodium-dependent phosphate transporter 2 GN=Slc20a2 PE=1 SV=2 - [S20A2_MOUSE],10,19,0.0287,0.0847,0.1076,0.0855,0.2691,0.1662,0.0741,0.0845,0.0357,0.0639
Q8CIN4,Serine/threonine-protein kinase PAK 2 GN=Pak2 PE=1 SV=1 - [PAK2_MOUSE],10,19,0.2908,0.1295,0.1169,0.0611,0.0912,0.0713,0.0497,0.0745,0.0334,0.0816
Q8K3Y3,Protein lin-28 homolog A GN=Lin28a PE=1 SV=1 - [LN28A_MOUSE],10,19,0.2574,0.0707,0.0684,0.0291,0.0457,0.0547,0.0702,0.0899,0.1988,0.1151
Q8R3J4,"mTERF domain-containing protein 1, mitochondrial GN=Mterfd1 PE=2 SV=1 - [MTER1_MOUSE]",10,19,0.0371,0.0249,0.0317,0.0247,0.0488,0.0962,0.2138,0.2338,0.0547,0.2343
Q8VDW0,ATP-dependent RNA helicase DDX39A GN=Ddx39a PE=2 SV=1 - [DX39A_MOUSE],10,19,0.2159,0.0299,0.0474,0.0205,0.0288,0.0368,0.0533,0.0931,0.3377,0.1365
Q9D1P0,"39S ribosomal protein L13, mitochondrial GN=Mrpl13 PE=2 SV=1 - [RM13_MOUSE]",10,19,0.0478,0.0404,0.0380,0.0263,0.0478,0.0906,0.2019,0.2139,0.0783,0.2149
Q9JI13,Something about silencing protein 10 GN=Utp3 PE=1 SV=1 - [SAS10_MOUSE],10,19,0.1400,0.0215,0.0314,0.0136,0.0255,0.0347,0.0667,0.1766,0.2910,0.1991
Q9QWR8,Alpha-N-acetylgalactosaminidase GN=Naga PE=2 SV=2 - [NAGAB_MOUSE],10,19,0.0448,0.0696,0.1257,0.1021,0.2136,0.1566,0.0697,0.0952,0.0495,0.0731
Q9WUR9,"Adenylate kinase isoenzyme 4, mitochondrial GN=Ak4 PE=2 SV=1 - [KAD4_MOUSE]",10,19,0.0412,0.0275,0.0277,0.0195,0.0447,0.0956,0.2534,0.2289,0.0491,0.2123
Q3URD3,Sarcolemmal membrane-associated protein GN=Slmap PE=1 SV=2 - [SLMAP_MOUSE],10,18,0.0467,0.0822,0.0869,0.0618,0.1370,0.1975,0.0896,0.1293,0.0543,0.1149
Q80X85,"28S ribosomal protein S7, mitochondrial GN=Mrps7 PE=2 SV=1 - [RT07_MOUSE]",10,18,0.0254,0.0294,0.0302,0.0180,0.0424,0.0864,0.2119,0.2447,0.0800,0.2316
Q8BWF0,"Succinate-semialdehyde dehydrogenase, mitochondrial GN=Aldh5a1 PE=1 SV=1 - [SSDH_MOUSE]",10,18,0.0475,0.0389,0.0484,0.0321,0.0628,0.1060,0.2076,0.2179,0.0483,0.1906
Q8VCM4,"Lipoyltransferase 1, mitochondrial GN=Lipt1 PE=2 SV=1 - [LIPT_MOUSE]",10,18,0.0710,0.0556,0.0599,0.0326,0.0652,0.0960,0.1567,0.2066,0.0607,0.1956
Q8VDQ9,Protein KRI1 homolog GN=Kri1 PE=1 SV=2 - [KRI1_MOUSE],10,18,0.2320,0.0309,0.0534,0.0239,0.0352,0.0436,0.0475,0.0964,0.3190,0.1183
Q8VE70,Programmed cell death protein 10 GN=Pdcd10 PE=1 SV=1 - [PDC10_MOUSE],10,18,0.0867,0.1787,0.1343,0.0913,0.1127,0.0909,0.0597,0.1030,0.0494,0.0933
Q91X78,Erlin-1 GN=Erlin1 PE=1 SV=1 - [ERLN1_MOUSE],10,18,0.0334,0.0660,0.0743,0.0511,0.1381,0.1888,0.1050,0.1432,0.0590,0.1412
Q9CYA6,Zinc finger CCHC domain-containing protein 8 GN=Zcchc8 PE=2 SV=3 - [ZCHC8_MOUSE],10,18,0.3151,0.0495,0.0571,0.0223,0.0380,0.0546,0.0583,0.0856,0.2085,0.1109
