Protein complex	Protein Names	Gene Names	AC
60S ribosome	"60S acidic ribosomal protein P0;L10E;60S acidic ribosomal protein P0-like;RPLP0 protein"	RPLP0	"P05388;A8K4Z4;Q53HK9;Q53HW2;Q3B7A4;Q6NSF2;Q8NHW5;Q3MHV2"
60S ribosome	60S acidic ribosomal protein P1	"RPLP1;RRP1"	"P05386;Q6ICQ4;Q7Z612"
60S ribosome	"60S acidic ribosomal protein P2;Renal carcinoma antigen NY-REN-44"	"RPLP2;D11S2243E;RPP2"	"P05387;Q6FG96"
60S ribosome	"60S ribosomal protein L40;CEP52"	"UBA52;UBCEP2"	"P62987;Q3MIH3"
Coatomer	"Coatomer subunit delta variant 2 (Archain 1, isoform CRA_a);Coatomer subunit delta;Delta-coat protein"	"ARCN1;hCG_40220;COPD"	"B0YIW6;Q6MZV5;P48444;B0YIW5"
Coatomer	"Coatomer subunit alpha;Alpha-coat protein;HEP-COP;Xenin;Xenopsin-related peptide;Proxenin"	COPA	"P53621;Q5T201;Q8IXZ9"
Coatomer	"Coatomer subunit beta;Beta-coat protein"	"COPB1;COPB;MSTP026"	P53618
Coatomer	"Coatomer subunit beta';Beta'-coat protein;p102"	COPB2	P35606
Coatomer	"Coatomer subunit gamma;Gamma-coat protein"	"COPG;COPG1"	"Q9Y678;A8K6M8;Q54AC4;Q8WUI6"
Coatomer	"Coatomer subunit epsilon;Epsilon-coat protein;Coatomer protein complex, subunit epsilon, isoform CRA_e;Putative uncharacterized protein COPE;Coatomer protein complex, subunit epsilon, isoform CRA_b;cDNA FLJ44512 fis, clone UTERU3001988, highly similar to Homo sapiens coatomer protein complex, subunit epsilon (COPE), transcript variant 2, mRNA"	COPE	"O14579;Q53HJ6;Q7Z4Z1;Q9UGP6;A6NE29;A6NKA3"
Coatomer	"Coatomer subunit gamma-2;Gamma-2-coat protein"	"COPG2;DKFZp761N09121"	"Q9UBF2;B3KND4;Q2NLA0;Q9H9B7;Q9NSM7;Q9NUP3"
Coatomer	"Coatomer subunit zeta-1;Zeta-1-coat protein;cDNA FLJ59844, highly similar to Coatomer subunit zeta-1"	"COPZ1;COPZ;CGI-120;HSPC181"	"P61923;Q53FU3;B4DDX8"
Coatomer	"Coatomer subunit zeta-2;Zeta-2-coat protein"	COPZ2	Q9P299
COP9 signalosome	"COP9 signalosome complex subunit 2;JAB1-containing signalosome subunit 2;Thyroid receptor-interacting protein 15;Alien homolog"	"COPS2;CSN2;TRIP15"	"P61201-2;P61201;Q59EL2;P61201-1;B2R6N0;Q53HJ0"
COP9 signalosome	"COP9 signalosome complex subunit 3;JAB1-containing signalosome subunit 3"	"COPS3;CSN3"	"Q9UNS2;B2R683;J3QL22;J3QS85"
COP9 signalosome	"COP9 signalosome complex subunit 4;JAB1-containing signalosome subunit 4"	"COPS4;CSN4"	"Q9BT78;Q53FV3"
COP9 signalosome	"COP9 signalosome complex subunit 5;Jun activation domain-binding protein 1;COP9 signalosome subunit 5 variant"	"COPS5;CSN5;JAB1"	"Q92905;Q59GH5"
COP9 signalosome	"COP9 signalosome complex subunit 6;JAB1-containing signalosome subunit 6;Vpr-interacting protein;MOV34 homolog"	"COPS6;CSN6;HVIP"	"Q7L5N1;A4D2A3;B2R514"
COP9 signalosome	"COP9 signalosome complex subunit 7a;JAB1-containing signalosome subunit 7a;Dermal papilla-derived protein 10"	"COPS7A;CSN7A;DERP10"	"Q9UBW8;A8K9A6;Q567U8;F5H7C6;F5GYF7"
COP9 signalosome	"COP9 signalosome complex subunit 7b;JAB1-containing signalosome subunit 7b;COPS7B protein"	"COPS7B;CSN7B"	"Q9H9Q2-1;Q9H9Q2;Q53GQ2;Q53S22;Q5BJG3;Q6ZTQ7;Q9H9Q2-2;J3KQV6;J3QT67"
COP9 signalosome	"COP9 signalosome complex subunit 8;JAB1-containing signalosome subunit 8;COP9 homolog;Putative uncharacterized protein"	"COPS8;CSN8;hCG_1776875"	"Q99627;B2R8N1;Q53QS9;A8K1H6"
COP9 signalosome	"COP9 signalosome complex subunit 1;JAB1-containing signalosome subunit 1;G protein pathway suppressor 1;Protein MFH"	"GPS1;COPS1;CSN1"	"Q13098-1;Q13098;A8K070;Q13098-2;Q13098-3;C9JFE4;A0A096LP07"
eIF3	"Eukaryotic translation initiation factor 3 subunit A;Eukaryotic translation initiation factor 3 subunit 10;eIF-3-theta;eIF3 p167;eIF3 p180;eIF3 p185"	"EIF3A;EIF3S10;KIAA0139"	"Q14152;B1AMV5;Q05BS0;Q24JU4;Q3B770;Q6P1R0;Q7Z5T5"
eIF3	"Eukaryotic translation initiation factor 3 subunit B;Eukaryotic translation initiation factor 3 subunit 9;eIF-3-eta;eIF3 p116;eIF3 p110;Prt1 homolog"	"EIF3B;EIF3S9"	"P55884-2;P55884;P55884-1;A4D208;A4D210;Q59FS8;Q86UM1;Q96G38"
eIF3	"Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit 8;eIF3 p110"	"EIF3C;EIF3S8;EIF3CL"	"Q99613;A1KYQ7;B2RXG3;Q3B7B9"
eIF3	Eukaryotic translation initiation factor 3 subunit D	EIF3D	O15371
eIF3	"Eukaryotic translation initiation factor 3 subunit E;Eukaryotic translation initiation factor 3 subunit 6;eIF-3 p48;Viral integration site protein INT-6 homolog"	"EIF3E;EIF3S6;INT6"	"P60228;B2R806;Q6FG33;Q6IAX5;Q8WVK4"
eIF3	"Eukaryotic translation initiation factor 3 subunit F;Eukaryotic translation initiation factor 3 subunit 5;eIF-3-epsilon;eIF3 p47 subunit"	"EIF3F;EIF3S5"	"O00303;A8K0S2"
eIF3	"Eukaryotic translation initiation factor 3 subunit G;Eukaryotic translation initiation factor 3 subunit 4;eIF-3-delta;eIF-3 RNA-binding subunit;eIF3 p44;eIF3 p42"	"EIF3G;EIF3S4"	"O75821;A8K5K5;Q6IAM0;K7EP16;K7ENA8"
eIF3	"Eukaryotic translation initiation factor 3 subunit H;Eukaryotic translation initiation factor 3 subunit 3;eIF-3 gamma;eIF3 p40 subunit"	"EIF3H;EIF3S3"	"O15372;Q53HG0;Q53HR0;Q5BKY2;Q6IB98"
eIF3	"Eukaryotic translation initiation factor 3 subunit I;Eukaryotic translation initiation factor 3 subunit 2;eIF-3-beta;eIF3 p36;TGF-beta receptor-interacting protein 1"	"EIF3I;EIF3S2;TRIP1"	"Q13347;Q53HU7;Q5U0F4;Q9P1D9"
eIF3	"Eukaryotic translation initiation factor 3 subunit J;Eukaryotic translation initiation factor 3 subunit 1;eIF-3-alpha;eIF3 p35"	"EIF3J;EIF3S1;PRO0391"	O75822
eIF3	"Eukaryotic translation initiation factor 3 subunit K;Eukaryotic translation initiation factor 3 subunit 12;eIF-3 p25;eIF-3 p28;Muscle-specific gene M9 protein;PLAC-24"	"EIF3K;EIF3S12;ARG134;HSPC029;MSTP001;PTD001"	"Q9UBQ5;A8K0I9;K7ES31;K7EMQ9"
eIF3	Eukaryotic translation initiation factor 3 subunit L	EIF3L	"Q9Y262;B0QY89"
eIF3	"Eukaryotic translation initiation factor 3 subunit M;PCI domain-containing protein 1;Fetal lung protein B5"	"EIF3M;HFLB5;PCID1;GA17;PNAS-125"	"Q7L2H7;A8K7X4"
F-actin-capping protein complex	"F-actin-capping protein subunit alpha-1;CapZ alpha-1;Uncharacterized protein CAPZA1"	CAPZA1	"P52907;A8K0T9;A8MV55"
F-actin-capping protein complex	"F-actin-capping protein subunit alpha-2;CapZ alpha-2;Uncharacterized protein CAPZA2"	"CAPZA2;hCG_37884;tcag7.31"	"P47755;A4D0V4;Q53GC7;Q53GE2;A8MW68"
F-actin-capping protein complex	"CapZ beta;F-actin-capping protein subunit beta;Capping protein (Actin filament) muscle Z-line, beta;Capping protein (Actin filament) muscle Z-line, beta, isoform CRA_a;CAPZB protein;Capping protein (Actin filament) muscle Z-line, beta, isoform CRA_d;cDNA, FLJ93598, highly similar to Homo sapiens capping protein (actin filament) muscle Z-line, beta (CAPZB), mRNA;cDNA FLJ60094, highly similar to F-actin capping protein subunit beta;cDNA FLJ43095 fis, clone CORDB2000541, highly similar to F-actin capping protein subunit beta"	"CAPZB;hCG_41078;RP4-657E11.7-001;RP4-657E11.7-008;RP4-657E11.7-002;RP4-657E11.7-009"	"P47756-2;P47756;B1AK87;Q7L4N0;B1AK88;B2R7T8;B4DWA6;P47756-1;B1AK85;B1AK86;B1AP83"
Ku70/80	"ATP-dependent DNA helicase 2 subunit 2;ATP-dependent DNA helicase II 80 kDa subunit;Lupus Ku autoantigen protein p86;86 kDa subunit of Ku antigen;Ku86;Ku80;Thyroid-lupus autoantigen;CTC box-binding factor 85 kDa subunit;Nuclear factor IV;DNA-repair protein XRCC5;Putative uncharacterized protein XRCC5"	"XRCC5;G22P2"	"P13010;Q53TC2;Q53T09"
Ku70/80	"ATP-dependent DNA helicase 2 subunit 1;ATP-dependent DNA helicase II 70 kDa subunit;Lupus Ku autoantigen protein p70;70 kDa subunit of Ku antigen;Thyroid-lupus autoantigen;CTC box-binding factor 75 kDa subunit;DNA-repair protein XRCC6;X-ray repair complementing defective repair in Chinese hamster cells 6 (Ku autoantigen, 70kDa);Putative uncharacterized protein"	"XRCC6;G22P1;CTA-216E10.7-005;CTA-216E10.7-002;hCG_2013151;CTA-216E10.7-004"	"P12956;B2RDN9;B1AHC9;Q6IC76;B1AHC8;B1AHC7"
OST complex	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	"OST48;DDOST"	P39656
OST complex	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	"RPN1;B7Z4L4"	"P04843;B7Z4L4"
OST complex	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2	"RPN2;Q5JYR7"	"P04844;Q5JYR7"
OST complex	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1	DAD1	"F5GXX5;P61803;F5H895"
OST complex	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A	STT3A	P46977
OST complex	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B	STT3B	Q8TCJ2
Protein Kinase A	cAMP-dependent protein kinase catalytic subunit alpha	"PRKACA;PKACA"	"P17612-1;P17612;A8K8B9;P17612-2;Q15136"
Protein Kinase A	"cAMP-dependent protein kinase catalytic subunit beta;Protein kinase, cAMP-dependent, catalytic, beta;Uncharacterized protein PRKACB;Protein kinase, cAMP-dependent, catalytic, beta (cDNA FLJ34101 fis, clone FCBBF3007631, highly similar to cAMP-dependent protein kinase, beta-catalytic subunit)"	"PRKACB;RP11-82H13.1-007;RP11-82H13.1-005;RP11-82H13.1-002;RP11-82H13.1-008;RP11-82H13.1-010"	"P22694-2;P22694;B1APF6;P22694-6;B1APG3;P22694-7;P22694-5;B1APG2;P22694-1;B2RB89;A6NJF4;P22694-3;P22694-4;B1APG4;Q96B09;B1APF9;B1APF8"
Protein Kinase A	"cAMP-dependent protein kinase type I-alpha regulatory subunit;Tissue-specific extinguisher 1"	"PRKAR1A;PKR1;PRKAR1;TSE1"	"P10644;B2R5T5;Q68DQ4"
Protein Kinase A	"cAMP-dependent protein kinase type II-alpha regulatory subunit;PRKAR2A protein (Protein kinase, cAMP-dependent, regulatory, type II, alpha, isoform CRA_b) (Protein kinase, cAMP-dependent, regulatory, type II, alpha)"	"PRKAR2A;PKR2;PRKAR2;hCG_1779456"	"P13861;A8KAH7;Q9BUB1"
Protein Kinase A	cAMP-dependent protein kinase type I-beta regulatory subunit	PRKAR1B	"P31321;A8K099;B4DM81;C9JSK5"
TRiC/CCT	"T-complex protein 1 subunit alpha;CCT-alpha"	"CCT1;CCTA;TCP1"	"P17987;E1P5B2"
TRiC/CCT	"T-complex protein 1 subunit beta;CCT-beta"	"CCT2;99D8.1;CCTB"	"P78371;A8K402;Q9H369"
TRiC/CCT	"T-complex protein 1 subunit gamma;CCT-gamma;Chaperonin containing TCP1, subunit 3 (Gamma);Uncharacterized protein CCT3 (cDNA FLJ57904, highly similar to T-complex protein 1 subunit gamma)"	"CCT3;CCTG;TRIC5;RP11-443G18.6-002;RP11-443G18.6-014"	"P49368;Q2TU64;Q59H77;Q5SZY0;A6NE14;Q5SZX6"
TRiC/CCT	"T-complex protein 1 subunit delta;CCT-delta;Stimulator of TAR RNA-binding;T-complex protein 1, delta subunit"	"CCT4;CCTD;SRB"	"P50991;B2R6I3;A8K3C3"
TRiC/CCT	"T-complex protein 1 subunit epsilon;CCT-epsilon"	"CCT5;CCTE;KIAA0098"	"P48643;A8JZY8;A8K2X8;Q96GI1;Q9BU08;Q9HB74"
TRiC/CCT	"T-complex protein 1 subunit zeta;CCT-zeta;CCT-zeta-1;Tcp20;HTR3;Acute morphine dependence-related protein 2;Uncharacterized protein CCT6A"	"CCT6A;CCT6;CCTZ"	"P40227;A1JUI8;B2R9K8;Q59ET3;A6NCD2"
TRiC/CCT	"T-complex protein 1 subunit zeta-2;CCT-zeta-2;TCP-1-zeta-like;CCT-zeta-like;Testis-specific Tcp20;Testis-specific protein TSA303"	CCT6B	Q92526
TRiC/CCT	"T-complex protein 1 subunit eta;CCT-eta;HIV-1 Nef-interacting protein;Uncharacterized protein CCT7"	"CCT7;CCTH;NIP7-1"	"Q99832;A8K7E6;Q53HV2;Q6IBT3;A8MWI8"
TRiC/CCT	"T-complex protein 1 subunit theta;CCT-theta;Renal carcinoma antigen NY-REN-15"	"CCT8;CCTQ;KIAA0002"	"P50990;Q53HU0;Q7Z759"
