  Protein IDs,  Majority protein IDs,  Protein names,  Gene names,  Organelle,  Protein complex,  Main organelle_all,  Second organelle_all,  Alpha_all,  Corr_all,  Main organelle_LFD,  Second organelle_LFD,  Alpha_LFD,  Corr_LFD,  Main organelle_HFD3,  Second organelle_HFD3,  Alpha_HFD3,  Corr_HFD3,  Main organelle_HFD12,  Second organelle_HFD12,  Alpha_HFD12,  Corr_HFD12,,,,,,,,,,
Q8K1H1;A0A0A0MQD1,Q8K1H1;A0A0A0MQD1,Tudor domain-containing protein 7,Tdrd7,,,Cytoplasm,Endosome,0.217556,0.842724,Cytoplasm,Endosome,0.27108,0.736093,Cytoplasm,Lysosome,0.156773,0.786789,Cytoplasm,Endosome,0.303232,0.700859,,,,,,,,,,
Q8K1R7,Q8K1R7,Serine/threonine-protein kinase Nek9,Nek9,,,Cytoplasm,LD,0,0.97226,Cytoplasm,LD,0,0.907632,Cytoplasm,LD,0,0.926907,Cytoplasm,Peroxisome,0,0.881218,,,,,,,,,,
Q8K2T1;D3YU12;G5E8S7;Q8K2T1-2;Q8K2T1-3,Q8K2T1;D3YU12;G5E8S7;Q8K2T1-2,NmrA-like family domain-containing protein 1,Nmral1,,,Cytoplasm,LD,0.278095,0.949718,Cytoplasm,LD,0.462429,0.953205,Cytoplasm,LD,0.292371,0.932489,Cytoplasm,Endosome,0,0.906426,,,,,,,,,,
Q8K354,Q8K354,Carbonyl reductase [NADPH] 3,Cbr3,,,Cytoplasm,Peroxisome,0.214412,0.747794,Cytoplasm,LD,0.429491,0.856513,Cytoplasm,ER,0.147308,0.502405,Cytoplasm,Peroxisome,0.249119,0.603133,,,,,,,,,,
Q8K3K8,Q8K3K8,Optineurin,Optn,,,Cytoplasm,Peroxisome,0,0.906879,Cytoplasm,Nucleus,0,0.897141,Cytoplasm,PM,0.0935351,0.831931,Cytoplasm,Endosome,0.225573,0.76828,,,,,,,,,,
Q8QZZ7;G3X9K8;D3YXX8;D3Z5E8,Q8QZZ7;G3X9K8,EKC/KEOPS complex subunit Tprkb,Tprkb,,,Cytoplasm,LD,0.524149,0.728462,Cytoplasm,Golgi,0,0.844322,Cytoplasm,LD,0.836336,0.518259,Cytoplasm,Peroxisome,0.270449,0.548096,,,,,,,,,,
Q8R0Y6;Q8K009;D3Z6B9,Q8R0Y6,Cytosolic 10-formyltetrahydrofolate dehydrogenase,Aldh1l1,,,Cytoplasm,Mitochondria,0,0.985652,Cytoplasm,Peroxisome,0,0.982122,Cytoplasm,Peroxisome,0,0.985673,Cytoplasm,Mitochondria,0,0.988128,,,,,,,,,,
Q8R1H0,Q8R1H0,Homeodomain-only protein,Hopx,,,Cytoplasm,LD,0.569764,0.835114,Cytoplasm,Lysosome,0.182466,0.638002,Cytoplasm,LD,0.393811,0.826703,Cytoplasm,Peroxisome,0.360971,0.455317,,,,,,,,,,
Q8R1Q8,Q8R1Q8,Cytoplasmic dynein 1 light intermediate chain 1,Dync1li1,,,Cytoplasm,Endosome,0.42008,0.845328,Cytoplasm,Golgi,0.481058,0.810459,Cytoplasm,Endosome,0.519789,0.845674,Cytoplasm,Endosome,0.354334,0.857181,,,,,,,,,,
Q8R1T1;Q8R1T1-2,Q8R1T1;Q8R1T1-2,Charged multivesicular body protein 7,Chmp7,,,Cytoplasm,Peroxisome,0.140709,0.841785,Cytoplasm,Endosome,0,0.861546,Cytoplasm,LD,0.589933,0.694116,Cytoplasm,Peroxisome,0.222976,0.603998,,,,,,,,,,
Q8R1X6;Q8R1X6-2;D3Z3F8;D3Z2D6;D3Z1M5,Q8R1X6;Q8R1X6-2;D3Z3F8,Spartin,Spg20,,,Cytoplasm,Nucleus,0,0.950209,Cytoplasm,PM,0,0.966355,Cytoplasm,LD,0,0.916166,Cytoplasm,Nucleus,0,0.92398,,,,,,,,,,
Q8R3C0;H9KV04,Q8R3C0;H9KV04,Mini-chromosome maintenance complex-binding protein,Mcmbp,,,Cytoplasm,Peroxisome,0.125874,0.782475,Cytoplasm,Peroxisome,0.213334,0.75121,Cytoplasm,Golgi,0,0.88975,Cytoplasm,ER,0.180087,0.371872,,,,,,,,,,
Q8R3E3;Q8R3E3-2;B1AT64;Q8R3E3-3,Q8R3E3;Q8R3E3-2;B1AT64;Q8R3E3-3,WD repeat domain phosphoinositide-interacting protein 1,Wipi1,,,Cytoplasm,Peroxisome,0.132801,0.801465,Cytoplasm,Endosome,0,0.846163,Cytoplasm,ER,0.086564,0.631725,Cytoplasm,Peroxisome,0.188805,0.682889,,,,,,,,,,
Q8R3R8,Q8R3R8,Gamma-aminobutyric acid receptor-associated protein-like 1,Gabarapl1,,,Cytoplasm,Endosome,0.382594,0.774396,Cytoplasm,Endosome,0.395235,0.767331,Cytoplasm,Endosome,0.337206,0.805312,Cytoplasm,Endosome,0.386345,0.602988,,,,,,,,,,
Q8R3V5;A2AWI9;A2AWI7;Q8R3V5-3;Q8R3V5-1,Q8R3V5;A2AWI9;A2AWI7;Q8R3V5-3;Q8R3V5-1,Endophilin-B2,Sh3glb2,,,Cytoplasm,LD,0.434395,0.892349,Cytoplasm,LD,0.319037,0.89308,Cytoplasm,Peroxisome,0.147861,0.797041,Cytoplasm,Golgi-LD,0.457361,0.83662,,,,,,,,,,
Q8R519,Q8R519,2-amino-3-carboxymuconate-6-semialdehyde decarboxylase,Acmsd,,,Cytoplasm,LD,0.306671,0.929554,Cytoplasm,Mitochondria,0.0390962,0.956864,Cytoplasm,Endosome,0,0.959068,Cytoplasm,Golgi-LD,0.560578,0.760457,,,,,,,,,,
Q8R5C5;E0CZD4;E0CYB4,Q8R5C5,Beta-centractin,Actr1b,,,Cytoplasm,Endosome,0.470133,0.824689,Cytoplasm,Endosome,0.558323,0.750081,Cytoplasm,Endosome,0.494678,0.758755,Cytoplasm,Endosome,0.389229,0.81154,,,,,,,,,,
Q8R5F7;Q8R5F7-2,Q8R5F7;Q8R5F7-2,Interferon-induced helicase C domain-containing protein 1,Ifih1,,,Cytoplasm,Endosome,0.287611,0.897327,Cytoplasm,Endosome,0.428101,0.839036,Cytoplasm,Endosome,0.207939,0.813297,Cytoplasm,Endosome,0.378636,0.815648,,,,,,,,,,
Q8VBT2;D3Z221,Q8VBT2;D3Z221,L-serine dehydratase/L-threonine deaminase,Sds,,,Cytoplasm,Golgi,0,0.982419,Cytoplasm,Golgi,0,0.969499,Cytoplasm,LD,0,0.981316,Cytoplasm,Endosome,0,0.967438,,,,,,,,,,
Q8VC03,Q8VC03,Echinoderm microtubule-associated protein-like 3,Eml3,,,Cytoplasm,Endosome,0.335532,0.510263,Cytoplasm,Endosome,0.336605,0.433511,Cytoplasm,Endosome,0.566229,0.32934,Cytoplasm,ER,0.13326,0.482273,,,,,,,,,,
Q8VCE2;D6RCY0;D3Z3X7,Q8VCE2,GPN-loop GTPase 1,Gpn1,,,Cytoplasm,ER,0.151045,0.537285,Cytoplasm,ER,0.214274,0.440183,Nucleus,LD,0.653551,0.108171,Golgi-LD,Cytoplasm,0.173683,0.0575494,,,,,,,,,,
Q8VCN9,Q8VCN9,Tubulin-specific chaperone C,Tbcc,,,Cytoplasm,Peroxisome,0.325516,0.597345,Cytoplasm,Peroxisome,0.22201,0.73044,LD,Endosome,0,0.94131,Golgi-LD,Cytoplasm,0.177089,0.0819741,,,,,,,,,,
Q8VDC1,Q8VDC1,FYVE and coiled-coil domain-containing protein 1,Fyco1,,,Cytoplasm,Endosome,0.613742,0.407343,Cytoplasm,Endosome,0.530532,0.437637,Cytoplasm,Golgi,0.375656,0.39615,PM,Endosome,0.585525,0.458218,,,,,,,,,,
Q8VDD5;F2Z494,Q8VDD5,Myosin-9,Myh9,,,PM,Cytoplasm,0.426553,0.894675,Cytoplasm,PM,0.482256,0.832035,PM,Cytoplasm,0.397519,0.756828,PM,Cytoplasm,0.389716,0.902344,,,,,,,,,,
Q8VDK1-2;Q8VDK1;D3YY53;D3Z3I3;D3Z2Y2,Q8VDK1-2;Q8VDK1;D3YY53,Nitrilase homolog 1,Nit1,,,Cytoplasm,Mitochondria,0.126084,0.903635,Cytoplasm,Mitochondria,0.0975652,0.878,Cytoplasm,Mitochondria,0.162177,0.864607,Cytoplasm,Mitochondria,0.143819,0.864698,,,,,,,,,,
Q8VDW0;D6RHT5;Q8VDW0-2,Q8VDW0,ATP-dependent RNA helicase DDX39A,Ddx39a,,,Cytoplasm,Nucleus,0.202332,0.814534,Cytoplasm,Nucleus,0.155447,0.716476,Cytoplasm,Nucleus,0.259483,0.731325,Cytoplasm,Nucleus,0.19841,0.687804,,,,,,,,,,
Q8VE70;F8WI55;E0CY82,Q8VE70;F8WI55,Programmed cell death protein 10,Pdcd10,,,Endosome,Cytoplasm,0.283108,0.647841,Cytoplasm,Endosome,0.677121,0.320688,Cytoplasm,Endosome,0.599442,0.487735,Endosome,Cytoplasm,0.198418,0.60295,,,,,,,,,,
Q8VEH5,Q8VEH5,EPM2A-interacting protein 1,Epm2aip1,,,Cytoplasm,LD,0.377955,0.835567,Cytoplasm,LD,0.369346,0.75626,Cytoplasm,LD,0.383208,0.695465,Golgi-LD,Cytoplasm,0.23141,0.558498,,,,,,,,,,
Q8VEJ9,Q8VEJ9,Vacuolar protein sorting-associated protein 4A,Vps4a,,,Cytoplasm,ER,0.119191,0.564438,Cytoplasm,ER,0.181312,0.451484,Cytoplasm,ER,0.158744,0.438646,Nucleus,Cytoplasm,0.21197,0.0172959,,,,,,,,,,
Q8VI36;F8VQ28;Q8VI36-2,Q8VI36;F8VQ28;Q8VI36-2,Paxillin,Pxn,,,Cytoplasm,PM,0.183626,0.86212,Cytoplasm,LD,0.218569,0.906101,Cytoplasm,PM,0.2352,0.835035,Cytoplasm,PM,0.273162,0.805174,,,,,,,,,,
Q91UZ5,Q91UZ5,Inositol monophosphatase 2,Impa2,,,Cytoplasm,ER,0.112107,0.620903,Cytoplasm,Endosome,0.245574,0.529835,Nucleus,Golgi,0.530965,0.356568,Cytoplasm,Peroxisome,0.151148,0.804995,,,,,,,,,,
Q91V09;S4R225;A2AC24,Q91V09;S4R225,WD repeat-containing protein 13,Wdr13,,,LD,Cytoplasm,0.123855,0.732581,Cytoplasm,LD,0.797434,0.533118,LD,Golgi,0,0.9214,Golgi-LD,Cytoplasm,0.179883,0.424388,,,,,,,,,,
Q91V36,Q91V36,Nuclear receptor-binding protein 2,Nrbp2,,,LD,Cytoplasm,0.14596,0.736391,Cytoplasm,LD,0.742394,0.700333,Cytoplasm,LD,0.983043,0.591265,Golgi-LD,Cytoplasm,0.0382081,0.398849,,,,,,,,,,
Q91V77;P56565;D3YUT6,Q91V77;P56565,Protein S100;Protein S100-A1,S100a1,,,Cytoplasm,Peroxisome,0.0914416,0.898348,Cytoplasm,Golgi,0,0.918444,Cytoplasm,Peroxisome,0.142238,0.868136,Cytoplasm,Peroxisome,0.12231,0.878965,,,,,,,,,,
Q91W92,Q91W92,Cdc42 effector protein 1,Cdc42ep1,,,Nucleus,Cytoplasm,0.247145,0.706963,Cytoplasm,Nucleus,0.524651,0.69392,Nucleus,ER,0,0.825836,Nucleus,Cytoplasm,0.230804,0.454185,,,,,,,,,,
Q91WG2;Q91WG2-1;Q91WG2-2;D6RCU7,Q91WG2;Q91WG2-1;Q91WG2-2,Rab GTPase-binding effector protein 2,Rabep2,,,Cytoplasm,Peroxisome,0.115765,0.869911,Cytoplasm,Peroxisome,0.231834,0.720726,Cytoplasm,Peroxisome,0.211044,0.647971,Cytoplasm,Peroxisome,0.0902444,0.686395,,,,,,,,,,
Q91XD4,Q91XD4,Formimidoyltransferase-cyclodeaminase;Glutamate formimidoyltransferase;Formimidoyltetrahydrofolate cyclodeaminase,Ftcd,,,Cytoplasm,LD,0,0.974916,Cytoplasm,Peroxisome,0,0.969272,Cytoplasm,LD,0,0.966897,Cytoplasm,Golgi-LD,0,0.984508,,,,,,,,,,
Q91XD6,Q91XD6,Vacuolar protein-sorting-associated protein 36,Vps36,,,Cytoplasm,LD,0,0.970294,Cytoplasm,LD,0,0.96155,Cytoplasm,LD,0,0.964759,Cytoplasm,Nucleus,0,0.966711,,,,,,,,,,
Q91XH5;Q64105;G3UXX3;G3UZ79,Q91XH5;Q64105;G3UXX3,Sepiapterin reductase,Spr,,,Cytoplasm,Endosome,0,0.98666,Cytoplasm,Endosome,0,0.984544,Cytoplasm,Endosome,0,0.985299,Cytoplasm,Endosome,0,0.971206,,,,,,,,,,
Q91YR1;D3Z2H0,Q91YR1,Twinfilin-1,Twf1,,,Cytoplasm,LD,0,0.982505,Cytoplasm,LD,0,0.970607,Cytoplasm,LD,0,0.968125,Cytoplasm,Golgi-LD,0,0.981568,,,,,,,,,,
Q920E5,Q920E5,Farnesyl pyrophosphate synthase,Fdps,,,Cytoplasm,Endosome,0,0.980998,Cytoplasm,Golgi,0,0.980362,Cytoplasm,Golgi,0,0.974192,Cytoplasm,Endosome,0,0.97336,,,,,,,,,,
Q921W0,Q921W0,Charged multivesicular body protein 1a,Chmp1a,,,Cytoplasm,Lysosome,0.128652,0.787016,Cytoplasm,Lysosome,0.167526,0.713655,Cytoplasm,Peroxisome,0.0540937,0.859174,Cytoplasm,Endosome,0.367559,0.607691,,,,,,,,,,
Q921W4;D3YZD6;D3Z6I4;Q921W4-2;D3YU21;F7BGV1,Q921W4;D3YZD6;D3Z6I4;Q921W4-2,Quinone oxidoreductase-like protein 1,Cryzl1,,,Cytoplasm,Endosome,0.225791,0.899206,Cytoplasm,Endosome,0.182935,0.876061,Cytoplasm,Endosome,0.271664,0.853486,Cytoplasm,Endosome,0.316222,0.818908,,,,,,,,,,
Q922D8,Q922D8,"C-1-tetrahydrofolate synthase, cytoplasmic;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase;C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed",Mthfd1,,,Cytoplasm,ER,0.513349,0.783339,Cytoplasm,ER,0.540559,0.682553,Cytoplasm,Lysosome,0.534889,0.718253,Cytoplasm,ER,0.463295,0.772357,,,,,,,,,,
Q922F4,Q922F4,Tubulin beta-6 chain,Tubb6,,,Cytoplasm,Peroxisome,0.303743,0.633138,Cytoplasm,ER,0.19707,0.479666,Cytoplasm,Peroxisome,0.322102,0.506345,Golgi-LD,Cytoplasm,0.258139,0.155296,,,,,,,,,,
Q922H1;Q922H1-2;Q9D8D8;F6Y6T5;F6ZU11,Q922H1;Q922H1-2,Protein arginine N-methyltransferase 3,Prmt3,,,Cytoplasm,ER,0.129073,0.585027,Cytoplasm,ER,0.181729,0.409936,Cytoplasm,Golgi,0.380018,0.690204,Cytoplasm,Endosome,0.345292,0.355836,,,,,,,,,,
Q923F1;Q61189,Q923F1;Q61189,Methylosome subunit pICln,Clns1a,,,Cytoplasm,Peroxisome,0.211571,0.668462,Cytoplasm,ER,0.0642116,0.628052,Cytoplasm,Peroxisome,0.283498,0.508767,Nucleus,Cytoplasm,0.332838,0.149732,,,,,,,,,,
Q923G2,Q923G2,"DNA-directed RNA polymerases I, II, and III subunit RPABC3",Polr2h,,,Cytoplasm,LD,0.524915,0.797512,Cytoplasm,PM,0.235745,0.651933,Cytoplasm,LD,0.701012,0.767016,Cytoplasm,Peroxisome,0.258807,0.611124,,,,,,,,,,
Q924Y0;A2AGK3,Q924Y0,Gamma-butyrobetaine dioxygenase,Bbox1,,,Cytoplasm,Golgi,0,0.977264,Cytoplasm,LD,0.0932899,0.967395,Cytoplasm,LD,0.0545442,0.973202,Cytoplasm,ER,0,0.967676,,,,,,,,,,
Q925E7;F6RV17;G3UXS9;G3UZP6,Q925E7;F6RV17,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform;Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B,Ppp2r2d,,,Cytoplasm,LD,0.619548,0.655302,Cytoplasm,ER,0.212795,0.372904,LD,Endosome,0,0.704542,Cytoplasm,ER,0.178717,0.421662,,,,,,,,,,
Q99J45;D3YUV1;F7AZ06;F7C033;F7C5I8,Q99J45;D3YUV1,Nuclear receptor-binding protein,Nrbp1,,,Cytoplasm,LD,0.373978,0.85801,Cytoplasm,Golgi,0,0.909237,Cytoplasm,LD,0.427907,0.805696,Cytoplasm,Golgi-LD,0.581269,0.549109,,,,,,,,,,
Q99JY9;A0A087WRA1;A0A087WQ14;A0A087WP86;A0A087WS98;Q641P0;A0A087WPR6;Q641P0-2;A0A087WQ83,Q99JY9,Actin-related protein 3,Actr3,,,Cytoplasm,LD,0,0.893327,Cytoplasm,LD,0,0.846233,Cytoplasm,Endosome,0.257369,0.804814,Cytoplasm,Endosome,0.167019,0.907658,,,,,,,,,,
Q99K28;Q99K28-2,Q99K28;Q99K28-2,ADP-ribosylation factor GTPase-activating protein 2,Arfgap2,,,Cytoplasm,Golgi,0.528992,0.502205,Cytoplasm,Golgi,0.778863,0.915672,Cytoplasm,Golgi,0.284535,0.592255,ER,Peroxisome,0.480235,0.505428,,,,,,,,,,
Q99KB8;G5E8T9;Q99KB8-2;E9PYA3;E9Q2H8;D3YWI0;D3YUX8;D3YV58,Q99KB8;G5E8T9;Q99KB8-2;E9PYA3;E9Q2H8;D3YWI0,"Hydroxyacylglutathione hydrolase, mitochondrial",Hagh,,,Cytoplasm,Mitochondria,0.158116,0.933791,Cytoplasm,Mitochondria,0.197225,0.919694,Cytoplasm,Mitochondria,0.169913,0.909672,Cytoplasm,Mitochondria,0.125859,0.918172,,,,,,,,,,
Q99KD5;D6RIN1,Q99KD5;D6RIN1,Protein unc-45 homolog A,Unc45a,,,Cytoplasm,Nucleus,0,0.963821,Cytoplasm,Golgi,0,0.915479,Cytoplasm,PM,0,0.945671,Cytoplasm,Lysosome,0.0351411,0.912911,,,,,,,,,,
Q99KJ8,Q99KJ8,Dynactin subunit 2,Dctn2,,,Cytoplasm,Endosome,0.345287,0.848902,Cytoplasm,Endosome,0.393208,0.822496,Cytoplasm,Endosome,0.379542,0.811668,Cytoplasm,Endosome,0.296743,0.860851,,,,,,,,,,
Q99L85;B1AR48;F8WIE7,Q99L85,Elongator complex protein 5,Elp5,,,Cytoplasm,Golgi,0.637998,0.446978,Cytoplasm,ER,0.245145,0.260268,Golgi,Cytoplasm,0.20645,0.547132,Nucleus,Cytoplasm,0.343111,0.175924,,,,,,,,,,
Q99LS3;D3Z4T3;D3Z666,Q99LS3;D3Z4T3,Phosphoserine phosphatase,Psph,,,Cytoplasm,Peroxisome,0.14564,0.846514,Cytoplasm,Golgi,0,0.903578,Cytoplasm,LD,0.690875,0.767101,Cytoplasm,Peroxisome,0.228868,0.679616,,,,,,,,,,
Q99M51;Q8BH99;A0A087WQD1;A0A087WSB1;O55033;A0A0A0MQF0,Q99M51;Q8BH99,Cytoplasmic protein NCK1,Nck1,,,Cytoplasm,Golgi,0,0.925528,Cytoplasm,Golgi,0,0.922602,Cytoplasm,LD,0.293619,0.913245,Cytoplasm,Nucleus,0.0728941,0.784215,,,,,,,,,,
Q99MN1;Q8R2P8,Q99MN1;Q8R2P8,Lysine--tRNA ligase,Kars,,,Cytoplasm,LD,0,0.858863,Cytoplasm,Golgi,0.240461,0.849234,Cytoplasm,Golgi,0.207692,0.822266,Cytoplasm,Golgi-LD,0,0.880362,,,,,,,,,,
Q9CPY7;Q9CPY7-2;A0A0G2JEM7,Q9CPY7;Q9CPY7-2,Cytosol aminopeptidase,Lap3,,,Cytoplasm,PM,0,0.980702,Cytoplasm,LD,0,0.980806,Cytoplasm,LD,0,0.972659,Cytoplasm,PM,0,0.984014,,,,,,,,,,
Q9CQ20,Q9CQ20,Mid1-interacting protein 1,Mid1ip1,,,Cytoplasm,LD,0.59674,0.76079,Cytoplasm,Golgi,0,0.767527,Cytoplasm,LD,0.814968,0.684736,Cytoplasm,Golgi-LD,0.660816,0.591033,,,,,,,,,,
Q9CQ71,Q9CQ71,Replication protein A 14 kDa subunit,Rpa3,,,Cytoplasm,ER,0.0739751,0.713316,Cytoplasm,ER,0.115548,0.569397,Cytoplasm,ER,0.143399,0.49706,Cytoplasm,Endosome,0.273835,0.547198,,,,,,,,,,
Q9CQM9,Q9CQM9,Glutaredoxin-3,Glrx3,,,Cytoplasm,LD,0.0408076,0.977164,Cytoplasm,LD,0.0606564,0.971125,Cytoplasm,LD,0.0687001,0.958497,Cytoplasm,Endosome,0,0.957309,,,,,,,,,,
Q9CQY1,Q9CQY1,Ubiquitin-like protein ATG12,Atg12,,,Cytoplasm,Peroxisome,0.108632,0.751675,Cytoplasm,ER,0.0693924,0.607532,Cytoplasm,Peroxisome,0.039593,0.754534,Cytoplasm,Golgi-LD,0.738795,0.385793,,,,,,,,,,
Q9CR95,Q9CR95,Adaptin ear-binding coat-associated protein 1,Necap1,,,Endosome,Cytoplasm,0.242052,0.715909,Cytoplasm,Endosome,0.531415,0.757769,Endosome,Golgi,0.285575,0.64475,Endosome,Lysosome,0,0.818421,,,,,,,,,,
Q9CVB6;D3YXG6;A0A087WRT2,Q9CVB6;D3YXG6,Actin-related protein 2/3 complex subunit 2,Arpc2,,,Cytoplasm,LD,0,0.9569,Cytoplasm,LD,0,0.899407,Cytoplasm,LD,0,0.923682,Cytoplasm,Golgi-LD,0,0.941635,,,,,,,,,,
Q9CVD2;E9Q717;Q5M8S1;F6T5L3,Q9CVD2;E9Q717;Q5M8S1,Ataxin-3,Atxn3,,,Cytoplasm,LD,0.747733,0.677593,Cytoplasm,LD,0.923823,0.631925,Cytoplasm,LD,0.872447,0.455235,Cytoplasm,ER,0.162058,0.410048,,,,,,,,,,
Q9CXW3;A0A0A6YY29,Q9CXW3,Calcyclin-binding protein,Cacybp,,,Cytoplasm,Endosome,0.346808,0.96343,Cytoplasm,Endosome,0.411207,0.916496,Cytoplasm,Endosome,0.286596,0.928823,Cytoplasm,Endosome,0.389357,0.933155,,,,,,,,,,
Q9CY46;Q9QXA5;D3YTP8,Q9CY46;Q9QXA5;D3YTP8,U6 snRNA-associated Sm-like protein LSm4,Lsm4,,,Cytoplasm,Nucleus,0.289298,0.733764,Cytoplasm,Nucleus,0.0978907,0.705112,Cytoplasm,Nucleus,0.238593,0.618151,Nucleus,Cytoplasm,0.387754,0.68858,,,,,,,,,,
Q9CYG7;Q9CYG7-2,Q9CYG7;Q9CYG7-2,Mitochondrial import receptor subunit TOM34,Tomm34,,,Cytoplasm,LD,0,0.960718,Cytoplasm,Lysosome,0,0.930653,Cytoplasm,LD,0,0.953905,Cytoplasm,Golgi-LD,0,0.910739,,,,,,,,,,
Q9CZ28;A2A6M1,Q9CZ28;A2A6M1,Vacuolar-sorting protein SNF8,Snf8,,,Cytoplasm,Mitochondria,0,0.885116,Cytoplasm,Golgi,0.205335,0.827865,Cytoplasm,Golgi,0.227823,0.760754,Cytoplasm,Endosome,0.227695,0.813089,,,,,,,,,,
Q9CZD3,Q9CZD3,Glycine--tRNA ligase,Gars,,,Cytoplasm,Endosome,0,0.982932,Cytoplasm,Endosome,0,0.968264,Cytoplasm,Endosome,0,0.963787,Cytoplasm,Lysosome,0,0.97201,,,,,,,,,,
Q9D061;Q9D061-2;Q9D061-3,Q9D061;Q9D061-2;Q9D061-3,Acyl-CoA-binding domain-containing protein 6,Acbd6,,,Cytoplasm,Peroxisome,0.139879,0.841576,Cytoplasm,Lysosome,0.251709,0.538453,Cytoplasm,Peroxisome,0.154383,0.680313,Cytoplasm,Peroxisome,0.108521,0.692076,,,,,,,,,,
Q9D0C4;Q9D0C4-2,Q9D0C4;Q9D0C4-2,tRNA (guanine(37)-N1)-methyltransferase,Trmt5,,,Cytoplasm,LD,0.329892,0.803262,Cytoplasm,Peroxisome,0.100331,0.763261,Cytoplasm,LD,0.317891,0.849904,Cytoplasm,Golgi-LD,0.583245,0.462026,,,,,,,,,,
Q9D0I9,Q9D0I9,"Arginine--tRNA ligase, cytoplasmic",Rars,,,Cytoplasm,LD,0,0.894788,Cytoplasm,Golgi,0.193619,0.862439,Cytoplasm,LD,0,0.867052,Cytoplasm,Golgi-LD,0,0.906845,,,,,,,,,,
Q9D0M5;D6RIN4,Q9D0M5,"Dynein light chain 2, cytoplasmic",Dynll2,,,Cytoplasm,Endosome,0.37442,0.551743,Cytoplasm,Golgi,0.27977,0.672564,Cytoplasm,Golgi,0.335232,0.460644,Cytoplasm,PM,0.555476,0.423612,,,,,,,,,,
Q9D187;F8WHV1,Q9D187;F8WHV1,Mitotic spindle-associated MMXD complex subunit MIP18,Fam96b,,,Cytoplasm,LD,0.475834,0.692582,Cytoplasm,Lysosome,0.138583,0.728739,Cytoplasm,LD,0.54034,0.622694,Cytoplasm,Golgi-LD,0.680192,0.547492,,,,,,,,,,
Q9D1H7;D3Z4J5;D3Z7S0;Q9D1H7-2,Q9D1H7;D3Z4J5;D3Z7S0;Q9D1H7-2,Golgi to ER traffic protein 4 homolog,Get4,,,Golgi,Cytoplasm,0.35478,0.697534,Cytoplasm,Golgi,0.472706,0.586458,Endosome,Golgi,0.804752,0.657138,Cytoplasm,Endosome,0.383963,0.448893,,,,,,,,,,
Q9D2Y4;Q9D2Y4-2;D3YV42,Q9D2Y4;Q9D2Y4-2,Mixed lineage kinase domain-like protein,Mlkl,,,Cytoplasm,Peroxisome,0.248333,0.646148,Cytoplasm,ER,0.156118,0.531467,Cytoplasm,ER,0.17989,0.380758,Cytoplasm,ER,0.209821,0.382102,,,,,,,,,,
Q9D4H2;F6VDD7,Q9D4H2,GRIP and coiled-coil domain-containing protein 1,Gcc1,,,Cytoplasm,LD,0,0.914374,Cytoplasm,ER,0,0.935829,Cytoplasm,Golgi,0.230703,0.821172,Cytoplasm,Endosome,0,0.826453,,,,,,,,,,
Q9D4V0,Q9D4V0,Ethanolamine kinase 1,Etnk1,,,Cytoplasm,ER,0.190279,0.383316,Cytoplasm,ER,0.223054,0.279471,Cytoplasm,ER,0.230493,0.3319,Nucleus,Cytoplasm,0.195894,0.00881632,,,,,,,,,,
Q9D898;A3KGQ6,Q9D898;A3KGQ6,Actin-related protein 2/3 complex subunit 5-like protein;Actin-related protein 2/3 complex subunit 5,Arpc5l,,,Cytoplasm,PM,0.205806,0.788048,Cytoplasm,PM,0.186587,0.686733,Cytoplasm,PM,0.227938,0.674026,Cytoplasm,PM,0.286807,0.720723,,,,,,,,,,
Q9D8U8,Q9D8U8,Sorting nexin-5,Snx5,,,Cytoplasm,Peroxisome,0,0.983686,Cytoplasm,Peroxisome,0,0.960304,Cytoplasm,Peroxisome,0,0.978645,Cytoplasm,Mitochondria,0,0.9762,,,,,,,,,,
Q9D8Z1,Q9D8Z1,Activating signal cointegrator 1 complex subunit 1,Ascc1,,,Cytoplasm,Endosome,0.531753,0.314642,Cytoplasm,ER,0.22577,0.278321,Nucleus,Endosome,0.596984,0.369671,Cytoplasm,Endosome,0.532647,0.111849,,,,,,,,,,
Q9DAZ9;Q4KL52,Q9DAZ9;Q4KL52,Abscission/NoCut checkpoint regulator,Zfyve19,,,Cytoplasm,ER,0.111322,0.535126,Cytoplasm,ER,0.224189,0.363811,Cytoplasm,ER,0.194601,0.405623,Nucleus,Cytoplasm,0.2548,0.0519298,,,,,,,,,,
Q9DB27;Q9DB27-2;Q9CQ21,Q9DB27;Q9DB27-2,Malignant T-cell-amplified sequence 1,Mcts1,,,Cytoplasm,Endosome,0.222571,0.868977,Cytoplasm,Golgi,0.496987,0.905508,Cytoplasm,Golgi,0.137701,0.895448,Cytoplasm,Endosome,0.230914,0.878369,,,,,,,,,,
